date,CPRT,CPRT_EPS,PE Ratio
1994-09-02,0.63,0.45,1.4
1994-09-06,0.64,0.45,1.4222222222222223
1994-09-07,0.65,0.45,1.4444444444444444
1994-09-08,0.63,0.45,1.4
1994-09-09,0.63,0.45,1.4
1994-09-12,0.64,0.45,1.4222222222222223
1994-09-13,0.64,0.45,1.4222222222222223
1994-09-14,0.63,0.45,1.4
1994-09-15,0.62,0.45,1.3777777777777778
1994-09-16,0.61,0.45,1.3555555555555554
1994-09-19,0.61,0.45,1.3555555555555554
1994-09-20,0.61,0.45,1.3555555555555554
1994-09-21,0.61,0.45,1.3555555555555554
1994-09-22,0.61,0.45,1.3555555555555554
1994-09-23,0.61,0.45,1.3555555555555554
1994-09-26,0.61,0.45,1.3555555555555554
1994-09-27,0.62,0.45,1.3777777777777778
1994-09-28,0.65,0.45,1.4444444444444444
1994-09-29,0.63,0.45,1.4
1994-09-30,0.66,0.45,1.4666666666666668
1994-10-03,0.65,0.45,1.4444444444444444
1994-10-04,0.65,0.45,1.4444444444444444
1994-10-05,0.66,0.45,1.4666666666666668
1994-10-06,0.65,0.45,1.4444444444444444
1994-10-07,0.64,0.45,1.4222222222222223
1994-10-10,0.64,0.45,1.4222222222222223
1994-10-11,0.68,0.45,1.511111111111111
1994-10-12,0.68,0.45,1.511111111111111
1994-10-13,0.69,0.45,1.5333333333333332
1994-10-14,0.68,0.45,1.511111111111111
1994-10-17,0.69,0.45,1.5333333333333332
1994-10-18,0.69,0.45,1.5333333333333332
1994-10-19,0.68,0.45,1.511111111111111
1994-10-20,0.69,0.45,1.5333333333333332
1994-10-21,0.71,0.45,1.5777777777777777
1994-10-24,0.72,0.45,1.5999999999999999
1994-10-25,0.73,0.45,1.6222222222222222
1994-10-26,0.75,0.45,1.6666666666666665
1994-10-27,0.76,0.45,1.6888888888888889
1994-10-28,0.76,0.45,1.6888888888888889
1994-10-31,0.78,0.45,1.7333333333333334
1994-11-01,0.78,0.45,1.7333333333333334
1994-11-02,0.75,0.45,1.6666666666666665
1994-11-03,0.74,0.45,1.6444444444444444
1994-11-04,0.72,0.45,1.5999999999999999
1994-11-07,0.71,0.45,1.5777777777777777
1994-11-08,0.72,0.45,1.5999999999999999
1994-11-09,0.72,0.45,1.5999999999999999
1994-11-10,0.73,0.45,1.6222222222222222
1994-11-11,0.73,0.45,1.6222222222222222
1994-11-14,0.74,0.45,1.6444444444444444
1994-11-15,0.74,0.45,1.6444444444444444
1994-11-16,0.73,0.45,1.6222222222222222
1994-11-17,0.73,0.45,1.6222222222222222
1994-11-18,0.73,0.45,1.6222222222222222
1994-11-21,0.74,0.45,1.6444444444444444
1994-11-22,0.73,0.45,1.6222222222222222
1994-11-23,0.72,0.45,1.5999999999999999
1994-11-25,0.72,0.45,1.5999999999999999
1994-11-28,0.72,0.45,1.5999999999999999
1994-11-29,0.72,0.45,1.5999999999999999
1994-11-30,0.71,0.45,1.5777777777777777
1994-12-01,0.71,0.45,1.5777777777777777
1994-12-02,0.73,0.45,1.6222222222222222
1994-12-05,0.73,0.45,1.6222222222222222
1994-12-06,0.73,0.45,1.6222222222222222
1994-12-07,0.73,0.45,1.6222222222222222
1994-12-08,0.7,0.45,1.5555555555555554
1994-12-09,0.71,0.45,1.5777777777777777
1994-12-12,0.7,0.45,1.5555555555555554
1994-12-13,0.71,0.45,1.5777777777777777
1994-12-14,0.71,0.45,1.5777777777777777
1994-12-15,0.7,0.45,1.5555555555555554
1994-12-16,0.69,0.45,1.5333333333333332
1994-12-19,0.67,0.45,1.488888888888889
1994-12-20,0.65,0.45,1.4444444444444444
1994-12-21,0.66,0.45,1.4666666666666668
1994-12-22,0.66,0.45,1.4666666666666668
1994-12-23,0.67,0.45,1.488888888888889
1994-12-27,0.68,0.45,1.511111111111111
1994-12-28,0.68,0.45,1.511111111111111
1994-12-29,0.69,0.45,1.5333333333333332
1994-12-30,0.73,0.45,1.6222222222222222
1995-01-03,0.73,0.45,1.6222222222222222
1995-01-04,0.73,0.45,1.6222222222222222
1995-01-05,0.73,0.45,1.6222222222222222
1995-01-06,0.73,0.45,1.6222222222222222
1995-01-09,0.72,0.45,1.5999999999999999
1995-01-10,0.71,0.45,1.5777777777777777
1995-01-11,0.7,0.45,1.5555555555555554
1995-01-12,0.71,0.45,1.5777777777777777
1995-01-13,0.71,0.45,1.5777777777777777
1995-01-16,0.76,0.45,1.6888888888888889
1995-01-17,0.81,0.45,1.8
1995-01-18,0.81,0.45,1.8
1995-01-19,0.8,0.45,1.777777777777778
1995-01-20,0.79,0.45,1.7555555555555555
1995-01-23,0.79,0.45,1.7555555555555555
1995-01-24,0.8,0.45,1.777777777777778
1995-01-25,0.79,0.45,1.7555555555555555
1995-01-26,0.76,0.45,1.6888888888888889
1995-01-27,0.77,0.45,1.711111111111111
1995-01-30,0.77,0.45,1.711111111111111
1995-01-31,0.77,0.45,1.711111111111111
1995-02-01,0.75,0.45,1.6666666666666665
1995-02-02,0.77,0.45,1.711111111111111
1995-02-03,0.77,0.45,1.711111111111111
1995-02-06,0.76,0.45,1.6888888888888889
1995-02-07,0.78,0.45,1.7333333333333334
1995-02-08,0.76,0.45,1.6888888888888889
1995-02-09,0.77,0.45,1.711111111111111
1995-02-10,0.8,0.45,1.777777777777778
1995-02-13,0.8,0.45,1.777777777777778
1995-02-14,0.8,0.45,1.777777777777778
1995-02-15,0.8,0.45,1.777777777777778
1995-02-16,0.81,0.45,1.8
1995-02-17,0.81,0.45,1.8
1995-02-21,0.8,0.45,1.777777777777778
1995-02-22,0.81,0.45,1.8
1995-02-23,0.81,0.45,1.8
1995-02-24,0.81,0.45,1.8
1995-02-27,0.79,0.45,1.7555555555555555
1995-02-28,0.79,0.45,1.7555555555555555
1995-03-01,0.78,0.45,1.7333333333333334
1995-03-02,0.78,0.45,1.7333333333333334
1995-03-03,0.79,0.45,1.7555555555555555
1995-03-06,0.78,0.45,1.7333333333333334
1995-03-07,0.78,0.45,1.7333333333333334
