date,BMY,BMY_EPS,PE Ratio
,,0.17,
1972-06-01,1.87,0.17,11.0
1972-06-02,1.88,0.17,11.058823529411763
1972-06-05,1.89,0.17,11.117647058823527
1972-06-06,1.88,0.17,11.058823529411763
1972-06-07,1.87,0.17,11.0
1972-06-08,1.88,0.17,11.058823529411763
1972-06-09,1.86,0.17,10.941176470588236
1972-06-12,1.87,0.17,11.0
1972-06-13,1.87,0.17,11.0
1972-06-14,1.84,0.17,10.823529411764705
1972-06-15,1.86,0.17,10.941176470588236
1972-06-16,1.84,0.17,10.823529411764705
1972-06-19,1.85,0.17,10.882352941176471
1972-06-20,1.86,0.17,10.941176470588236
1972-06-21,1.86,0.17,10.941176470588236
1972-06-22,1.84,0.17,10.823529411764705
1972-06-23,1.82,0.17,10.705882352941176
1972-06-26,1.84,0.17,10.823529411764705
1972-06-27,1.83,0.17,10.76470588235294
1972-06-28,1.84,0.17,10.823529411764705
1972-06-29,1.85,0.17,10.882352941176471
1972-06-30,1.86,0.17,10.941176470588236
1972-07-03,1.85,0.17,10.882352941176471
1972-07-05,1.86,0.17,10.941176470588236
1972-07-06,1.86,0.17,10.941176470588236
1972-07-07,1.86,0.17,10.941176470588236
1972-07-10,1.86,0.17,10.941176470588236
1972-07-11,1.85,0.17,10.882352941176471
1972-07-12,1.85,0.17,10.882352941176471
1972-07-13,1.86,0.17,10.941176470588236
1972-07-14,1.86,0.17,10.941176470588236
1972-07-17,1.84,0.17,10.823529411764705
1972-07-18,1.84,0.17,10.823529411764705
1972-07-19,1.85,0.17,10.882352941176471
1972-07-20,1.87,0.17,11.0
1972-07-21,1.88,0.17,11.058823529411763
1972-07-24,1.88,0.17,11.058823529411763
1972-07-25,1.9,0.17,11.176470588235293
1972-07-26,1.9,0.17,11.176470588235293
1972-07-27,1.91,0.17,11.235294117647058
1972-07-28,1.91,0.17,11.235294117647058
1972-07-31,1.91,0.17,11.235294117647058
1972-08-01,1.93,0.17,11.352941176470587
1972-08-02,2.01,0.17,11.823529411764703
1972-08-03,2.05,0.17,12.058823529411763
1972-08-04,2.07,0.17,12.176470588235292
1972-08-07,2.05,0.17,12.058823529411763
1972-08-08,2.06,0.17,12.117647058823529
1972-08-09,2.08,0.17,12.235294117647058
1972-08-10,2.15,0.17,12.64705882352941
1972-08-11,2.14,0.17,12.588235294117647
1972-08-14,2.09,0.17,12.294117647058822
1972-08-15,2.08,0.17,12.235294117647058
1972-08-16,2.06,0.17,12.117647058823529
1972-08-17,2.04,0.17,12.0
1972-08-18,2.04,0.17,12.0
1972-08-21,2.03,0.17,11.941176470588234
1972-08-22,2.06,0.17,12.117647058823529
1972-08-23,2.02,0.17,11.88235294117647
1972-08-24,2.0,0.17,11.76470588235294
1972-08-25,2.0,0.17,11.76470588235294
1972-08-28,1.99,0.17,11.705882352941176
1972-08-29,2.0,0.17,11.76470588235294
1972-08-30,1.99,0.17,11.705882352941176
1972-08-31,2.04,0.17,12.0
1972-09-01,2.04,0.17,12.0
1972-09-05,2.02,0.17,11.88235294117647
1972-09-06,2.0,0.17,11.76470588235294
1972-09-07,2.0,0.17,11.76470588235294
1972-09-08,2.0,0.17,11.76470588235294
1972-09-11,1.99,0.17,11.705882352941176
1972-09-12,1.97,0.17,11.588235294117647
1972-09-13,1.96,0.17,11.52941176470588
1972-09-14,1.97,0.17,11.588235294117647
1972-09-15,1.97,0.17,11.588235294117647
