date,NRG,NRG_EPS,PE Ratio
,,0.1,
1999-05-12,,0.0,
1999-08-16,,0.01,
1999-11-12,,0.09,
2000-05-12,,0.03,
2000-08-14,,0.13,
2000-11-14,,0.27,
2001-05-15,,0.09,
2001-08-14,,0.12,
2001-11-14,,0.32,
2002-05-15,,-0.17,
2002-08-14,,0.06,
2002-11-18,,-3.88,
2003-03-31,,-1.89,
2003-05-20,,-0.74,
2003-08-14,,-1.21,
2003-11-13,,-0.08,
2003-12-02,9.63,-0.08,-120.37500000000001
2003-12-03,9.75,-0.08,-121.875
2003-12-04,10.13,-0.08,-126.62500000000001
2003-12-05,10.13,-0.08,-126.62500000000001
2003-12-08,10.9,-0.08,-136.25
2003-12-09,11.07,-0.08,-138.375
2003-12-10,11.25,-0.08,-140.625
2003-12-11,11.45,-0.08,-143.125
2003-12-12,11.48,-0.08,-143.5
2003-12-15,11.2,-0.08,-140.0
2003-12-16,10.98,-0.08,-137.25
2003-12-17,10.73,-0.08,-134.125
2003-12-18,10.78,-0.08,-134.75
2003-12-19,10.9,-0.08,-136.25
2003-12-22,10.83,-0.08,-135.375
2003-12-23,10.9,-0.08,-136.25
2003-12-24,10.93,-0.08,-136.625
2003-12-26,10.93,-0.08,-136.625
2003-12-29,10.9,-0.08,-136.25
2003-12-30,10.95,-0.08,-136.875
2003-12-31,10.95,-0.08,-136.875
2004-01-02,11.23,-0.08,-140.375
2004-01-05,11.2,-0.08,-140.0
2004-01-06,11.23,-0.08,-140.375
2004-01-07,11.13,-0.08,-139.125
2004-01-08,11.13,-0.08,-139.125
2004-01-09,10.58,-0.08,-132.25
2004-01-12,10.6,-0.08,-132.5
2004-01-13,10.5,-0.08,-131.25
2004-01-14,10.5,-0.08,-131.25
2004-01-15,10.43,-0.08,-130.375
2004-01-16,10.4,-0.08,-130.0
2004-01-20,10.5,-0.08,-131.25
2004-01-21,10.5,-0.08,-131.25
2004-01-22,10.75,-0.08,-134.375
2004-01-23,10.6,-0.08,-132.5
2004-01-26,10.43,-0.08,-130.375
2004-01-27,10.37,-0.08,-129.625
2004-01-28,10.25,-0.08,-128.125
2004-01-29,10.0,-0.08,-125.0
2004-01-30,10.0,-0.08,-125.0
2004-02-02,10.08,-0.08,-126.0
2004-02-03,10.15,-0.08,-126.875
2004-02-04,10.13,-0.08,-126.62500000000001
