date,LLY,LLY_EPS,PE Ratio
,,0.19,
1972-06-01,4.05,0.19,21.31578947368421
1972-06-02,4.09,0.19,21.526315789473685
1972-06-05,4.04,0.19,21.263157894736842
1972-06-06,4.0,0.19,21.05263157894737
1972-06-07,4.05,0.19,21.31578947368421
1972-06-08,4.0,0.19,21.05263157894737
1972-06-09,4.05,0.19,21.31578947368421
1972-06-12,4.04,0.19,21.263157894736842
1972-06-13,4.08,0.19,21.473684210526315
1972-06-14,4.16,0.19,21.894736842105264
1972-06-15,4.19,0.19,22.05263157894737
1972-06-16,4.14,0.19,21.789473684210524
1972-06-19,4.11,0.19,21.63157894736842
1972-06-20,4.16,0.19,21.894736842105264
1972-06-21,4.13,0.19,21.736842105263158
1972-06-22,4.16,0.19,21.894736842105264
1972-06-23,4.17,0.19,21.94736842105263
1972-06-26,4.22,0.19,22.210526315789473
1972-06-27,4.2,0.19,22.105263157894736
1972-06-28,4.13,0.19,21.736842105263158
1972-06-29,4.1,0.19,21.57894736842105
1972-06-30,4.16,0.19,21.894736842105264
1972-07-03,4.2,0.19,22.105263157894736
1972-07-05,4.25,0.19,22.36842105263158
1972-07-06,4.33,0.19,22.789473684210527
1972-07-07,4.43,0.19,23.31578947368421
1972-07-10,4.38,0.19,23.052631578947366
1972-07-11,4.4,0.19,23.157894736842106
1972-07-12,4.44,0.19,23.368421052631582
1972-07-13,4.44,0.19,23.368421052631582
1972-07-14,4.52,0.19,23.789473684210524
1972-07-17,4.44,0.19,23.368421052631582
1972-07-18,4.41,0.19,23.210526315789473
1972-07-19,4.45,0.19,23.42105263157895
1972-07-20,4.5,0.19,23.684210526315788
1972-07-21,4.57,0.19,24.05263157894737
1972-07-24,4.65,0.19,24.47368421052632
1972-07-25,4.61,0.19,24.263157894736842
1972-07-26,4.73,0.19,24.894736842105264
1972-07-27,4.73,0.19,24.894736842105264
1972-07-28,4.72,0.19,24.842105263157894
1972-07-31,4.66,0.19,24.526315789473685
1972-08-01,4.72,0.19,24.842105263157894
1972-08-02,4.7,0.19,24.736842105263158
1972-08-03,4.72,0.19,24.842105263157894
1972-08-04,4.69,0.19,24.68421052631579
1972-08-07,4.69,0.19,24.68421052631579
1972-08-08,4.7,0.19,24.736842105263158
1972-08-09,4.69,0.19,24.68421052631579
1972-08-10,4.71,0.19,24.789473684210527
1972-08-11,4.72,0.19,24.842105263157894
1972-08-14,4.8,0.19,25.263157894736842
1972-08-15,4.73,0.19,24.894736842105264
1972-08-16,4.66,0.19,24.526315789473685
1972-08-17,4.65,0.19,24.47368421052632
1972-08-18,4.73,0.19,24.894736842105264
1972-08-21,4.83,0.19,25.42105263157895
1972-08-22,4.85,0.19,25.52631578947368
1972-08-23,4.81,0.19,25.31578947368421
1972-08-24,4.76,0.19,25.052631578947366
1972-08-25,4.66,0.19,24.526315789473685
1972-08-28,4.65,0.19,24.47368421052632
1972-08-29,4.69,0.19,24.68421052631579
1972-08-30,4.67,0.19,24.57894736842105
1972-08-31,4.67,0.19,24.57894736842105
1972-09-01,4.69,0.19,24.68421052631579
1972-09-05,4.66,0.19,24.526315789473685
1972-09-06,4.63,0.19,24.36842105263158
1972-09-07,4.64,0.19,24.421052631578945
1972-09-08,4.59,0.19,24.157894736842103
1972-09-11,4.52,0.19,23.789473684210524
1972-09-12,4.45,0.19,23.42105263157895
1972-09-13,4.42,0.19,23.263157894736842
1972-09-14,4.53,0.19,23.842105263157897
1972-09-15,4.51,0.19,23.736842105263158
1972-09-18,4.49,0.19,23.63157894736842
1972-09-19,4.55,0.19,23.94736842105263
1972-09-20,4.55,0.19,23.94736842105263
1972-09-21,4.51,0.19,23.736842105263158
1972-09-22,4.5,0.19,23.684210526315788
1972-09-25,4.48,0.19,23.578947368421055
1972-09-26,4.47,0.19,23.52631578947368
1972-09-27,4.48,0.19,23.578947368421055
1972-09-28,4.49,0.19,23.63157894736842
1972-09-29,4.52,0.19,23.789473684210524
1972-10-02,4.45,0.19,23.42105263157895
1972-10-03,4.47,0.19,23.52631578947368
1972-10-04,4.44,0.19,23.368421052631582
1972-10-05,4.36,0.19,22.947368421052634
1972-10-06,4.37,0.19,23.0
1972-10-09,4.41,0.19,23.210526315789473
1972-10-10,4.42,0.19,23.263157894736842
1972-10-11,4.39,0.19,23.105263157894736
1972-10-12,4.4,0.19,23.157894736842106
1972-10-13,4.38,0.19,23.052631578947366
1972-10-16,4.34,0.19,22.842105263157894
1972-10-17,4.39,0.19,23.105263157894736
1972-10-18,4.5,0.19,23.684210526315788
1972-10-19,4.59,0.19,24.157894736842103
1972-10-20,4.65,0.19,24.47368421052632
1972-10-23,4.65,0.19,24.47368421052632
1972-10-24,4.8,0.19,25.263157894736842
1972-10-25,4.81,0.19,25.31578947368421
1972-10-26,4.92,0.19,25.894736842105264
1972-10-27,4.84,0.19,25.473684210526315
1972-10-30,4.85,0.19,25.52631578947368
1972-10-31,4.94,0.19,26.0
1972-11-01,4.95,0.19,26.05263157894737
1972-11-02,4.95,0.19,26.05263157894737
1972-11-03,4.92,0.19,25.894736842105264
1972-11-06,4.93,0.19,25.94736842105263
1972-11-08,4.88,0.19,25.684210526315788
1972-11-09,4.84,0.19,25.473684210526315
1972-11-10,4.78,0.19,25.157894736842106
1972-11-13,4.73,0.19,24.894736842105264
1972-11-14,4.81,0.19,25.31578947368421
1972-11-15,4.87,0.19,25.63157894736842
1972-11-16,4.87,0.19,25.63157894736842
1972-11-17,4.83,0.19,25.42105263157895
1972-11-20,4.77,0.19,25.105263157894733
1972-11-21,4.77,0.19,25.105263157894733
1972-11-22,4.76,0.19,25.052631578947366
1972-11-24,4.8,0.19,25.263157894736842
1972-11-27,4.77,0.19,25.105263157894733
1972-11-28,4.71,0.19,24.789473684210527
1972-11-29,4.73,0.19,24.894736842105264
1972-11-30,4.74,0.19,24.947368421052634
1972-12-01,4.73,0.19,24.894736842105264
1972-12-04,4.75,0.19,25.0
1972-12-05,4.73,0.19,24.894736842105264
1972-12-06,4.76,0.19,25.052631578947366
1972-12-07,4.74,0.19,24.947368421052634
1972-12-08,4.77,0.19,25.105263157894733
1972-12-11,4.77,0.19,25.105263157894733
1972-12-12,4.77,0.19,25.105263157894733
1972-12-13,4.83,0.19,25.42105263157895
1972-12-14,4.86,0.19,25.578947368421055
1972-12-15,4.82,0.19,25.36842105263158
1972-12-18,4.79,0.19,25.210526315789473
1972-12-19,4.7,0.19,24.736842105263158
1972-12-20,4.73,0.19,24.894736842105264
1972-12-21,4.73,0.19,24.894736842105264
1972-12-22,4.81,0.19,25.31578947368421
1972-12-26,4.84,0.19,25.473684210526315
1972-12-27,4.89,0.19,25.736842105263158
1972-12-29,4.98,0.19,26.210526315789476
1973-01-02,4.95,0.19,26.05263157894737
1973-01-03,4.97,0.19,26.157894736842103
1973-01-04,4.93,0.19,25.94736842105263
1973-01-05,4.95,0.19,26.05263157894737
