date,V,V_EPS,PE Ratio
2008-02-04,,-1.11,
2008-03-19,14.13,-1.11,-12.72972972972973
2008-03-20,16.09,-1.11,-14.495495495495494
2008-03-24,14.93,-1.11,-13.450450450450449
2008-03-25,15.81,-1.11,-14.243243243243242
2008-03-26,15.99,-1.11,-14.405405405405403
2008-03-27,15.73,-1.11,-14.17117117117117
2008-03-28,15.69,-1.11,-14.135135135135133
2008-03-31,15.59,-1.11,-14.045045045045043
2008-04-01,15.4,-1.11,-13.873873873873872
2008-04-02,15.58,-1.11,-14.036036036036036
2008-04-03,16.38,-1.11,-14.756756756756754
2008-04-04,16.12,-1.11,-14.522522522522522
2008-04-07,16.26,-1.11,-14.64864864864865
2008-04-08,17.02,-1.11,-15.333333333333332
2008-04-09,16.45,-1.11,-14.819819819819818
2008-04-10,16.53,-1.11,-14.891891891891891
2008-04-11,16.53,-1.11,-14.891891891891891
2008-04-14,16.42,-1.11,-14.792792792792794
2008-04-15,16.09,-1.11,-14.495495495495494
2008-04-16,16.54,-1.11,-14.900900900900899
2008-04-17,16.76,-1.11,-15.0990990990991
2008-04-18,17.25,-1.11,-15.540540540540539
2008-04-21,17.74,-1.11,-15.98198198198198
2008-04-22,17.57,-1.11,-15.828828828828827
2008-04-23,17.52,-1.11,-15.783783783783782
2008-04-24,18.08,-1.11,-16.288288288288285
2008-04-25,18.78,-1.11,-16.91891891891892
2008-04-28,18.91,-1.11,-17.036036036036034
2008-04-29,20.22,-1.11,-18.216216216216214
2008-04-30,20.86,-1.11,-18.792792792792792
2008-05-01,21.35,-1.11,-19.234234234234233
2008-05-02,20.69,-1.11,-18.63963963963964
2008-05-05,21.26,-1.11,-19.153153153153152
2008-05-06,21.88,-1.11,-19.711711711711708
2008-05-07,22.13,-1.11,-19.936936936936934
2008-05-08,21.83,-1.11,-19.666666666666664
2008-05-09,20.72,-1.11,-18.666666666666664
2008-05-12,20.48,-1.11,-18.45045045045045
2008-05-13,20.59,0.93,22.139784946236556
2008-05-14,20.56,0.93,22.10752688172043
2008-05-15,20.56,0.93,22.10752688172043
2008-05-16,20.59,0.93,22.139784946236556
2008-05-19,20.83,0.93,22.39784946236559
2008-05-20,20.68,0.93,22.236559139784944
2008-05-21,20.21,0.93,21.731182795698924
2008-05-22,19.33,0.93,20.784946236559136
2008-05-23,19.09,0.93,20.526881720430108
2008-05-27,19.68,0.93,21.161290322580644
2008-05-28,20.48,0.93,22.021505376344084
2008-05-29,21.31,0.93,22.913978494623652
2008-05-30,21.59,0.93,23.21505376344086
2008-06-02,21.52,0.93,23.139784946236556
2008-06-03,21.89,0.93,23.53763440860215
2008-06-04,21.37,0.93,22.978494623655912
2008-06-05,21.81,0.93,23.451612903225804
2008-06-06,20.91,0.93,22.483870967741936
2008-06-09,20.54,0.93,22.08602150537634
2008-06-10,20.08,0.93,21.591397849462364
2008-06-11,19.43,0.93,20.892473118279568
2008-06-12,19.89,0.93,21.387096774193548
2008-06-13,20.38,0.93,21.913978494623652
2008-06-16,20.82,0.93,22.387096774193548
2008-06-17,21.17,0.93,22.763440860215056
2008-06-18,20.97,0.93,22.548387096774192
2008-06-19,21.07,0.93,22.655913978494624
2008-06-20,20.89,0.93,22.462365591397848
2008-06-23,20.26,0.93,21.78494623655914
2008-06-24,20.67,0.93,22.225806451612904
2008-06-25,20.51,0.93,22.053763440860216
2008-06-26,19.78,0.93,21.268817204301076
2008-06-27,20.65,0.93,22.204301075268816
2008-06-30,20.33,0.93,21.860215053763437
2008-07-01,20.35,0.93,21.881720430107528
2008-07-02,19.86,0.93,21.354838709677416
2008-07-03,19.52,0.93,20.989247311827956
2008-07-07,18.91,0.93,20.333333333333332
2008-07-08,19.76,0.93,21.247311827956988
2008-07-09,18.97,0.93,20.39784946236559
2008-07-10,19.31,0.93,20.763440860215052
2008-07-11,18.64,0.93,20.043010752688172
2008-07-14,18.15,0.93,19.51612903225806
2008-07-15,17.11,0.93,18.39784946236559
