date,MS,MS_EPS,PE Ratio
,,0.45,
1993-02-23,7.75,0.45,17.22222222222222
1993-02-24,7.97,0.45,17.71111111111111
1993-02-25,8.16,0.45,18.133333333333333
1993-02-26,8.28,0.45,18.4
1993-03-01,8.0,0.45,17.77777777777778
1993-03-02,8.22,0.45,18.26666666666667
1993-03-03,8.19,0.45,18.2
1993-03-04,8.16,0.45,18.133333333333333
1993-03-05,8.31,0.45,18.46666666666667
1993-03-08,8.28,0.45,18.4
1993-03-09,8.53,0.45,18.955555555555552
1993-03-10,8.88,0.45,19.733333333333334
1993-03-11,8.88,0.45,19.733333333333334
1993-03-12,9.03,0.45,20.066666666666666
1993-03-15,8.88,0.45,19.733333333333334
1993-03-16,8.69,0.45,19.31111111111111
1993-03-17,8.78,0.45,19.51111111111111
1993-03-18,9.0,0.45,20.0
1993-03-19,8.91,0.45,19.8
1993-03-22,8.88,0.45,19.733333333333334
1993-03-23,8.69,0.45,19.31111111111111
1993-03-24,8.59,0.45,19.08888888888889
1993-03-25,8.59,0.45,19.08888888888889
1993-03-26,9.16,0.45,20.355555555555554
1993-03-29,9.25,0.45,20.555555555555554
1993-03-30,9.59,0.45,21.31111111111111
1993-03-31,9.59,0.45,21.31111111111111
1993-04-01,9.25,0.45,20.555555555555554
1993-04-02,8.91,0.45,19.8
1993-04-05,9.06,0.45,20.133333333333333
1993-04-06,8.94,0.45,19.866666666666664
1993-04-07,9.06,0.45,20.133333333333333
1993-04-08,9.03,0.45,20.066666666666666
1993-04-12,9.25,0.45,20.555555555555554
1993-04-13,9.53,0.45,21.177777777777777
1993-04-14,9.78,0.45,21.73333333333333
1993-04-15,9.38,0.45,20.844444444444445
1993-04-16,9.34,0.45,20.755555555555556
1993-04-19,9.13,0.45,20.28888888888889
1993-04-20,8.84,0.45,19.644444444444442
1993-04-21,8.72,0.45,19.37777777777778
1993-04-22,8.72,0.45,19.37777777777778
1993-04-23,8.59,0.45,19.08888888888889
1993-04-26,8.41,0.45,18.68888888888889
1993-04-27,8.5,0.45,18.88888888888889
1993-04-28,8.66,0.45,19.244444444444444
1993-04-29,8.63,0.45,19.17777777777778
1993-04-30,9.69,0.45,21.53333333333333
1993-05-03,9.19,0.45,20.42222222222222
1993-05-04,9.25,0.45,20.555555555555554
1993-05-05,9.16,0.45,20.355555555555554
1993-05-06,9.09,0.45,20.2
1993-05-07,9.13,0.45,20.28888888888889
1993-05-10,9.25,0.45,20.555555555555554
1993-05-11,9.22,0.45,20.48888888888889
1993-05-12,9.22,0.45,20.48888888888889
1993-05-13,9.0,0.45,20.0
1993-05-14,8.75,0.45,19.444444444444443
1993-05-17,8.91,0.45,19.8
1993-05-18,8.81,0.45,19.57777777777778
1993-05-19,8.91,0.45,19.8
1993-05-20,8.75,0.45,19.444444444444443
1993-05-21,8.5,0.45,18.88888888888889
1993-05-24,8.66,0.45,19.244444444444444
1993-05-25,8.63,0.45,19.17777777777778
1993-05-26,9.16,0.45,20.355555555555554
1993-05-27,8.78,0.45,19.51111111111111
1993-05-28,8.59,0.45,19.08888888888889
1993-06-01,8.66,0.45,19.244444444444444
1993-06-02,8.72,0.45,19.37777777777778
1993-06-03,8.56,0.45,19.022222222222222
1993-06-04,8.47,0.45,18.822222222222223
1993-06-07,8.47,0.45,18.822222222222223
1993-06-08,8.47,0.45,18.822222222222223
1993-06-09,8.59,0.45,19.08888888888889
1993-06-10,8.5,0.45,18.88888888888889
1993-06-11,8.56,0.45,19.022222222222222
1993-06-14,8.59,0.45,19.08888888888889
1993-06-15,8.5,0.45,18.88888888888889
1993-06-16,8.75,0.45,19.444444444444443
1993-06-17,8.78,0.45,19.51111111111111
1993-06-18,8.53,0.45,18.955555555555552
1993-06-21,8.47,0.45,18.822222222222223
1993-06-22,8.47,0.45,18.822222222222223
1993-06-23,8.47,0.45,18.822222222222223
1993-06-24,8.78,0.45,19.51111111111111
1993-06-25,9.06,0.45,20.133333333333333
1993-06-28,9.69,0.45,21.53333333333333
1993-06-29,9.31,0.45,20.68888888888889
1993-06-30,9.38,0.45,20.844444444444445
1993-07-01,9.25,0.45,20.555555555555554
1993-07-02,9.31,0.45,20.68888888888889
1993-07-06,9.22,0.45,20.48888888888889
1993-07-07,9.22,0.45,20.48888888888889
1993-07-08,9.19,0.45,20.42222222222222
1993-07-09,9.19,0.45,20.42222222222222
1993-07-12,9.69,0.45,21.53333333333333
1993-07-13,9.22,0.45,20.48888888888889
1993-07-14,8.91,0.45,19.8
1993-07-15,8.97,0.45,19.933333333333334
1993-07-16,8.94,0.45,19.866666666666664
1993-07-19,9.09,0.45,20.2
1993-07-20,9.5,0.45,21.11111111111111
1993-07-21,9.66,0.45,21.466666666666665
1993-07-22,9.44,0.45,20.977777777777778
1993-07-23,9.34,0.45,20.755555555555556
1993-07-26,9.63,0.45,21.400000000000002
1993-07-27,9.47,0.45,21.044444444444444
1993-07-28,9.44,0.45,20.977777777777778
1993-07-29,9.31,0.45,20.68888888888889
1993-07-30,9.31,0.45,20.68888888888889
1993-08-02,9.25,0.45,20.555555555555554
1993-08-03,9.16,0.45,20.355555555555554
1993-08-04,9.22,0.45,20.48888888888889
1993-08-05,9.16,0.45,20.355555555555554
1993-08-06,9.47,0.45,21.044444444444444
1993-08-09,9.63,0.45,21.400000000000002
1993-08-10,9.56,0.45,21.244444444444444
1993-08-11,9.31,0.45,20.68888888888889
1993-08-12,9.31,0.45,20.68888888888889
1993-08-13,9.22,0.45,20.48888888888889
1993-08-16,9.19,0.45,20.42222222222222
1993-08-17,9.13,0.45,20.28888888888889
1993-08-18,9.22,0.45,20.48888888888889
1993-08-19,9.16,0.45,20.355555555555554
1993-08-20,9.25,0.45,20.555555555555554
1993-08-23,9.38,0.45,20.844444444444445
1993-08-24,9.84,0.45,21.866666666666667
1993-08-25,9.78,0.45,21.73333333333333
1993-08-26,9.75,0.45,21.666666666666668
1993-08-27,9.56,0.45,21.244444444444444
1993-08-30,9.88,0.45,21.955555555555556
1993-08-31,9.72,0.45,21.6
1993-09-01,9.84,0.45,21.866666666666667
1993-09-02,9.97,0.45,22.155555555555555
