date,EL,EL_EPS,PE Ratio
,,0.06,
1995-11-17,8.63,0.06,143.83333333333334
1995-11-20,8.31,0.06,138.5
1995-11-21,8.16,0.06,136.0
1995-11-22,8.41,0.06,140.16666666666669
1995-11-24,8.72,0.06,145.33333333333334
1995-11-27,8.75,0.06,145.83333333333334
1995-11-28,8.63,0.06,143.83333333333334
1995-11-29,8.75,0.06,145.83333333333334
1995-11-30,9.09,0.06,151.5
1995-12-01,9.0,0.06,150.0
1995-12-04,8.91,0.06,148.5
1995-12-05,8.78,0.06,146.33333333333331
1995-12-06,8.81,0.06,146.83333333333334
1995-12-07,8.75,0.06,145.83333333333334
1995-12-08,8.97,0.06,149.50000000000003
1995-12-11,9.09,0.06,151.5
1995-12-12,8.75,0.06,145.83333333333334
1995-12-13,8.69,0.06,144.83333333333334
1995-12-14,8.44,0.06,140.66666666666666
1995-12-15,8.38,0.06,139.66666666666669
1995-12-18,8.28,0.06,138.0
1995-12-19,8.44,0.06,140.66666666666666
1995-12-20,8.63,0.06,143.83333333333334
1995-12-21,8.69,0.06,144.83333333333334
1995-12-22,8.75,0.06,145.83333333333334
1995-12-26,8.53,0.06,142.16666666666666
1995-12-27,8.84,0.06,147.33333333333334
1995-12-28,8.81,0.06,146.83333333333334
1995-12-29,8.72,0.06,145.33333333333334
1996-01-02,8.75,0.06,145.83333333333334
1996-01-03,8.72,0.06,145.33333333333334
1996-01-04,8.66,0.06,144.33333333333334
1996-01-05,8.44,0.06,140.66666666666666
1996-01-08,8.47,0.06,141.16666666666669
1996-01-09,8.38,0.06,139.66666666666669
1996-01-10,8.28,0.06,138.0
1996-01-11,8.47,0.06,141.16666666666669
1996-01-12,8.69,0.06,144.83333333333334
1996-01-15,8.66,0.06,144.33333333333334
1996-01-16,8.44,0.06,140.66666666666666
1996-01-17,8.38,0.06,139.66666666666669
1996-01-18,8.16,0.06,136.0
1996-01-19,8.09,0.06,134.83333333333334
1996-01-22,8.31,0.06,138.5
1996-01-23,8.16,0.06,136.0
1996-01-24,8.28,0.06,138.0
1996-01-25,8.56,0.06,142.66666666666669
1996-01-26,8.56,0.06,142.66666666666669
1996-01-29,8.44,0.06,140.66666666666666
1996-01-30,9.25,0.06,154.16666666666669
1996-01-31,9.22,0.06,153.66666666666669
1996-02-01,9.03,0.06,150.5
1996-02-02,9.25,0.06,154.16666666666669
1996-02-05,9.41,0.06,156.83333333333334
1996-02-06,9.47,0.06,157.83333333333334
1996-02-07,9.78,0.06,163.0
1996-02-08,9.56,0.06,159.33333333333334
1996-02-09,9.59,0.06,159.83333333333334
1996-02-12,9.34,0.06,155.66666666666666
1996-02-13,9.19,0.06,153.16666666666666
1996-02-14,9.16,0.06,152.66666666666669
1996-02-15,9.34,0.06,155.66666666666666
1996-02-16,9.19,0.06,153.16666666666666
1996-02-20,9.06,0.06,151.0
1996-02-21,9.13,0.06,152.16666666666669
1996-02-22,9.09,0.06,151.5
1996-02-23,9.31,0.06,155.16666666666669
1996-02-26,9.25,0.06,154.16666666666669
1996-02-27,9.16,0.06,152.66666666666669
1996-02-28,9.22,0.06,153.66666666666669
1996-02-29,9.16,0.06,152.66666666666669
1996-03-01,9.47,0.06,157.83333333333334
1996-03-04,9.38,0.06,156.33333333333334
1996-03-05,9.41,0.06,156.83333333333334
1996-03-06,9.31,0.06,155.16666666666669
1996-03-07,9.22,0.06,153.66666666666669
1996-03-08,9.0,0.06,150.0
1996-03-11,8.88,0.06,148.00000000000003
1996-03-12,8.66,0.06,144.33333333333334
1996-03-13,8.91,0.06,148.5
1996-03-14,8.91,0.06,148.5
1996-03-15,8.72,0.06,145.33333333333334
1996-03-18,8.97,0.06,149.50000000000003
1996-03-19,8.91,0.06,148.5
1996-03-20,8.72,0.06,145.33333333333334
1996-03-21,8.66,0.06,144.33333333333334
1996-03-22,8.66,0.06,144.33333333333334
1996-03-25,8.78,0.06,146.33333333333331
1996-03-26,9.0,0.06,150.0
1996-03-27,9.09,0.06,151.5
1996-03-28,9.09,0.06,151.5
1996-03-29,8.94,0.06,149.0
1996-04-01,9.09,0.06,151.5
