date,DOW,DOW_EPS,PE Ratio
,,-0.58,
2017-04-27,,1.3,
2017-07-27,,1.89,
2017-11-06,,1.36,
2018-05-04,,1.52,
2018-08-03,,1.35,
2018-11-02,,1.25,
2019-03-20,49.8,1.25,39.839999999999996
2019-03-21,48.98,1.25,39.184
2019-03-22,48.6,1.25,38.88
2019-03-25,49.15,1.25,39.32
2019-03-26,48.85,1.25,39.08
2019-03-27,50.1,1.25,40.08
2019-03-28,50.85,1.25,40.68
2019-03-29,51.63,1.25,41.304
2019-04-01,53.5,1.25,42.8
2019-04-02,56.25,1.25,45.0
2019-04-03,56.88,1.25,45.504000000000005
2019-04-04,59.71,1.25,47.768
2019-04-05,57.24,1.25,45.792
2019-04-08,57.15,1.25,45.72
2019-04-09,56.27,1.25,45.016000000000005
2019-04-10,55.71,1.25,44.568
2019-04-11,54.89,1.25,43.912
2019-04-12,58.3,1.25,46.64
2019-04-15,57.78,1.25,46.224000000000004
2019-04-16,58.5,1.25,46.8
2019-04-17,58.32,1.25,46.656
2019-04-18,57.77,1.25,46.216
2019-04-22,57.89,1.25,46.312
2019-04-23,57.64,1.25,46.112
2019-04-24,55.98,1.25,44.784
2019-04-25,55.33,1.25,44.263999999999996
2019-04-26,55.25,1.25,44.2
2019-04-29,55.5,1.25,44.4
2019-04-30,56.73,1.25,45.384
2019-05-01,56.13,1.25,44.904
2019-05-02,52.7,1.25,42.160000000000004
2019-05-03,53.3,0.57595,92.54275544752149
2019-05-06,53.46,0.57595,92.82055734004689
2019-05-07,52.95,0.57595,91.9350638076222
2019-05-08,52.48,0.57595,91.11902074832885
2019-05-09,52.93,0.57595,91.90033857105652
2019-05-10,53.07,0.57595,92.14341522701623
2019-05-13,50.95,0.57595,88.4625401510548
2019-05-14,52.48,0.57595,91.11902074832885
2019-05-15,52.95,0.57595,91.9350638076222
2019-05-16,52.98,0.57595,91.9871516624707
2019-05-17,50.8,0.57595,88.20210087681222
2019-05-20,50.08,0.57595,86.95199236044796
2019-05-21,50.63,0.57595,87.906936366004
2019-05-22,50.21,0.57595,87.17770639812484
2019-05-23,48.71,0.57595,84.57331365569928
2019-05-24,49.2,0.57595,85.4240819515583
2019-05-28,48.56,0.57595,84.31287438145674
2019-05-29,48.71,0.57595,84.57331365569928
2019-05-30,48.47,0.57595,84.1566108169112
2019-05-31,46.76,0.57595,81.18760309054606
2019-06-03,47.96,0.57595,83.27111728448651
2019-06-04,49.93,0.57595,86.6915530862054
2019-06-05,50.34,0.57595,87.40342043580173
2019-06-06,51.06,0.57595,88.653528952166
2019-06-07,51.3,0.57595,89.07023179095408
2019-06-10,51.62,0.57595,89.62583557600486
2019-06-11,52.04,0.57595,90.35506554388402
2019-06-12,52.49,0.57595,91.1363833666117
2019-06-13,52.88,0.57595,91.81352547964234
2019-06-14,51.15,0.57595,88.80979251671152
2019-06-17,49.35,0.57595,85.68452122580086
2019-06-18,49.61,0.57595,86.13594930115462
2019-06-19,48.5,0.57595,84.2086986717597
2019-06-20,48.93,0.57595,84.9552912579217
2019-06-21,48.36,0.57595,83.9656220158
2019-06-24,49.58,0.57595,86.0838614463061
2019-06-25,49.69,0.57595,86.27485024741732
2019-06-26,50.45,0.57595,87.59440923691294
2019-06-27,50.91,0.57595,88.39308967792343
2019-06-28,49.31,0.57595,85.61507075266951
2019-07-01,50.16,0.57595,87.09089330671065
2019-07-02,49.4,0.57595,85.77133431721504
2019-07-03,49.33,0.57595,85.64979598923517
2019-07-05,49.31,0.57595,85.61507075266951
2019-07-08,48.52,0.57595,84.24342390832538
2019-07-09,47.87,0.57595,83.11485371994097
2019-07-10,47.55,0.57595,82.55924993489018
2019-07-11,47.78,0.57595,82.95859015539544
2019-07-12,49.71,0.57595,86.309575483983
2019-07-15,50.93,0.57595,88.4278149144891
2019-07-16,52.32,0.57595,90.84121885580346
2019-07-17,51.6,0.57595,89.5911103394392
2019-07-18,51.75,0.57595,89.85154961368175
2019-07-19,51.52,0.57595,89.4522093931765
2019-07-22,50.88,0.57595,88.34100182307493
2019-07-23,52.62,0.57595,91.36209740428856
2019-07-24,52.79,0.57595,91.6572619150968
2019-07-25,50.77,0.33353,152.22019008784818
2019-07-26,49.11,0.33353,147.24312655533237
2019-07-29,48.05,0.33353,144.06500164902707
2019-07-30,48.4,0.33353,145.11438251431656
2019-07-31,48.44,0.33353,145.23431175606393
2019-08-01,46.85,0.33353,140.467124396606
2019-08-02,45.6,0.33353,136.71933559200073
2019-08-05,44.77,0.33353,134.2308038257428
2019-08-06,44.43,0.33353,133.21140527089017
2019-08-07,44.89,0.33353,134.59059155098493
2019-08-08,46.79,0.33353,140.28723053398494
2019-08-09,46.64,0.33353,139.83749587743233
2019-08-12,45.69,0.33353,136.9891763859323
2019-08-13,46.85,0.33353,140.467124396606
2019-08-14,44.08,0.33353,132.1620244056007
2019-08-15,43.38,0.33353,130.06326267502175
2019-08-16,44.51,0.33353,133.4512637543849
2019-08-19,45.6,0.33353,136.71933559200073
2019-08-20,43.16,0.33353,129.4036518454112
2019-08-21,43.28,0.33353,129.76343957065333
2019-08-22,42.05,0.33353,126.07561538692171
2019-08-23,40.71,0.33353,122.05798578838485
2019-08-26,40.82,0.33353,122.38779120319012
2019-08-27,41.17,0.33353,123.43717206847961
2019-08-28,42.52,0.33353,127.48478397745332
2019-08-29,42.37,0.33353,127.03504932090067
2019-08-30,42.63,0.33353,127.81458939225858
2019-09-03,41.8,0.33353,125.32605762600065
2019-09-04,42.54,0.33353,127.54474859832699
2019-09-05,43.36,0.33353,130.00329805414805
2019-09-06,43.24,0.33353,129.64351032890596
2019-09-09,44.45,0.33353,133.27136989176387
2019-09-10,46.32,0.33353,138.87806194345336
2019-09-11,46.88,0.33353,140.55707132791653
2019-09-12,46.97,0.33353,140.8269121218481
2019-09-13,48.2,0.33353,144.51473630557973
2019-09-16,49.01,0.33353,146.94330345096392
2019-09-17,48.0,0.33353,143.91509009684287
2019-09-18,47.51,0.33353,142.4459568854376
2019-09-19,47.64,0.33353,142.83572692111653
2019-09-20,48.21,0.33353,144.54471861601655
2019-09-23,47.91,0.33353,143.64524930291128
2019-09-24,46.6,0.33353,139.71756663568496
2019-09-25,47.68,0.33353,142.9556561628639
2019-09-26,47.23,0.33353,141.606452193206
2019-09-27,47.07,0.33353,141.12673522621654
2019-09-30,47.65,0.33353,142.86570923155338
2019-10-01,45.97,0.33353,137.8286810781639
2019-10-02,44.93,0.33353,134.7105207927323
2019-10-03,45.31,0.33353,135.8498485893323
2019-10-04,45.34,0.33353,135.93979552064283
2019-10-07,45.17,0.33353,135.4300962432165
2019-10-08,43.85,0.33353,131.47243126555333
2019-10-09,44.01,0.33353,131.95214823254278
2019-10-10,44.92,0.33353,134.68053848229545
2019-10-11,47.13,0.33353,141.3066290888376
2019-10-14,46.82,0.33353,140.3771774652955
2019-10-15,47.2,0.33353,141.5165052618955
2019-10-16,47.12,0.33353,141.27664677840073
2019-10-17,47.81,0.33353,143.34542619854287
2019-10-18,47.96,0.33353,143.7951608550955
2019-10-21,47.12,0.33353,141.27664677840073
2019-10-22,46.82,0.33353,140.3771774652955
2019-10-23,47.23,0.33353,141.606452193206
2019-10-24,49.47,0.33353,148.32248973105868
2019-10-25,50.48,0.78213,64.54170022886221
2019-10-28,51.21,0.78213,65.4750489049135
2019-10-29,51.49,0.78213,65.83304565737154
2019-10-30,51.03,0.78213,65.24490813547621
2019-10-31,50.49,0.78213,64.55448582716429
2019-11-01,52.31,0.78213,66.88146471814149
2019-11-04,54.17,0.78213,69.25958600232698
2019-11-05,54.2,0.78213,69.2979427972332
2019-11-06,54.28,0.78213,69.40022758364978
2019-11-07,55.8,0.78213,71.3436385255648
2019-11-08,55.99,0.78213,71.58656489330419
2019-11-11,55.81,0.78213,71.35642412386689
2019-11-12,55.16,0.78213,70.52536023423215
2019-11-13,53.66,0.78213,68.60752048892128
2019-11-14,53.95,0.78213,68.97830283968139
2019-11-15,54.86,0.78213,70.14179228516998
2019-11-18,54.32,0.78213,69.45136997685808
2019-11-19,53.39,0.78213,68.26230933476532
2019-11-20,52.67,0.78213,67.3417462570161
2019-11-21,53.88,0.78213,68.88880365156687
2019-11-22,54.2,0.78213,69.2979427972332
