date,DFS,DFS_EPS,PE Ratio
2007-06-14,28.75,,
2007-06-15,29.08,,
2007-06-18,29.93,,
2007-06-19,29.7,,
2007-06-20,29.81,,
2007-06-21,31.21,,
2007-06-22,31.7,,
2007-06-25,31.3,,
2007-06-26,30.41,,
2007-06-27,29.58,,
2007-06-28,29.5,,
2007-06-29,28.5,,
2007-07-02,27.5,,
2007-07-03,26.67,,
2007-07-05,25.93,,
2007-07-06,25.64,,
2007-07-09,25.54,,
2007-07-10,24.9,,
2007-07-11,25.21,,
2007-07-12,26.34,,
2007-07-13,27.16,,
2007-07-16,26.84,,
2007-07-17,26.5,,
2007-07-18,26.36,,
2007-07-19,26.71,,
2007-07-20,26.3,,
2007-07-23,26.12,,
2007-07-24,25.0,,
2007-07-25,24.1,,
2007-07-26,24.62,,
2007-07-27,23.33,,
2007-07-30,23.57,,
2007-07-31,23.05,,
2007-08-01,22.88,,
2007-08-02,23.37,,
2007-08-03,21.99,,
2007-08-06,22.15,,
2007-08-07,22.88,,
2007-08-08,24.29,,
2007-08-09,22.16,,
2007-08-10,20.86,,
2007-08-13,22.1,,
2007-08-14,21.96,,
2007-08-15,21.66,,
2007-08-16,22.85,,
2007-08-17,23.18,,
2007-08-20,23.45,,
2007-08-21,23.67,,
2007-08-22,23.73,,
2007-08-23,23.7,,
2007-08-24,23.99,,
2007-08-27,23.83,,
2007-08-28,22.71,,
2007-08-29,23.33,,
2007-08-30,22.76,,
2007-08-31,23.14,,
2007-09-04,23.43,,
2007-09-05,22.55,,
2007-09-06,22.28,,
2007-09-07,21.11,,
2007-09-10,20.56,,
2007-09-11,20.61,,
2007-09-12,21.0,,
2007-09-13,21.34,,
2007-09-14,21.27,,
2007-09-17,21.32,,
2007-09-18,23.09,,
2007-09-19,23.41,,
2007-09-20,22.66,,
2007-09-21,22.4,,
2007-09-24,22.26,,
2007-09-25,21.72,,
2007-09-26,21.25,,
2007-09-27,20.67,,
2007-09-28,20.8,,
2007-10-01,21.57,,
2007-10-02,21.37,,
2007-10-03,21.35,,
2007-10-04,22.02,,
2007-10-05,22.73,,
2007-10-08,22.65,,
2007-10-09,23.03,,
2007-10-10,22.65,,
2007-10-11,22.03,,
2007-10-12,22.13,1.35,16.392592592592592
2007-10-15,21.38,1.35,15.837037037037035
2007-10-16,20.93,1.35,15.503703703703703
2007-10-17,20.78,1.35,15.392592592592592
2007-10-18,20.53,1.35,15.207407407407407
2007-10-19,19.8,1.35,14.666666666666666
2007-10-22,19.68,1.35,14.577777777777776
2007-10-23,19.41,1.35,14.377777777777776
2007-10-24,18.39,1.35,13.622222222222222
2007-10-25,17.56,1.35,13.007407407407406
2007-10-26,18.93,1.35,14.02222222222222
2007-10-29,19.49,1.35,14.437037037037035
2007-10-30,20.14,1.35,14.918518518518518
2007-10-31,19.3,1.35,14.296296296296296
2007-11-01,18.52,1.35,13.718518518518517
2007-11-02,18.18,1.35,13.466666666666665
2007-11-05,18.15,1.35,13.444444444444443
2007-11-06,18.24,1.35,13.51111111111111
2007-11-07,17.26,1.35,12.785185185185185
2007-11-08,17.7,1.35,13.111111111111109
2007-11-09,17.82,1.35,13.2
2007-11-12,18.01,1.35,13.340740740740742
2007-11-13,19.0,1.35,14.074074074074073
2007-11-14,18.29,1.35,13.548148148148147
2007-11-15,17.68,1.35,13.096296296296295
2007-11-16,17.76,1.35,13.155555555555555
2007-11-19,16.74,1.35,12.399999999999999
2007-11-20,16.44,1.35,12.177777777777777
2007-11-21,16.25,1.35,12.037037037037036
2007-11-23,16.68,1.35,12.355555555555554
2007-11-26,16.3,1.35,12.074074074074074
2007-11-27,16.75,1.35,12.407407407407407
2007-11-28,17.65,1.35,13.074074074074073
2007-11-29,17.28,1.35,12.8
2007-11-30,17.37,1.35,12.866666666666667
2007-12-03,16.39,1.35,12.14074074074074
2007-12-04,16.21,1.35,12.007407407407408
2007-12-05,16.45,1.35,12.185185185185183
2007-12-06,17.32,1.35,12.829629629629629
2007-12-07,16.76,1.35,12.414814814814815
2007-12-10,17.27,1.35,12.792592592592591
2007-12-11,16.32,1.35,12.088888888888889
2007-12-12,16.51,1.35,12.22962962962963
2007-12-13,16.42,1.35,12.162962962962963
2007-12-14,15.64,1.35,11.585185185185185
2007-12-17,15.61,1.35,11.562962962962962
2007-12-18,15.89,1.35,11.77037037037037
2007-12-19,15.89,1.35,11.77037037037037
2007-12-20,15.46,1.35,11.451851851851853
2007-12-21,15.5,1.35,11.481481481481481
2007-12-24,15.63,1.35,11.577777777777778
2007-12-26,15.71,1.35,11.637037037037038
2007-12-27,15.2,1.35,11.259259259259258
2007-12-28,14.94,1.35,11.066666666666666
2007-12-31,15.08,1.35,11.17037037037037
2008-01-02,14.9,1.35,11.037037037037036
2008-01-03,14.83,1.35,10.985185185185184
2008-01-04,13.94,1.35,10.325925925925924
2008-01-07,14.38,1.35,10.651851851851852
2008-01-08,13.6,1.35,10.074074074074073
2008-01-09,14.18,1.35,10.503703703703703
2008-01-10,14.26,1.35,10.562962962962962
2008-01-11,13.73,1.35,10.17037037037037
2008-01-14,13.56,1.35,10.044444444444444
2008-01-15,13.2,1.35,9.777777777777777
2008-01-16,13.07,1.35,9.68148148148148
2008-01-17,12.55,1.35,9.296296296296296
2008-01-18,12.63,1.35,9.355555555555556
2008-01-22,12.71,1.35,9.414814814814815
2008-01-23,14.6,1.35,10.814814814814813
2008-01-24,15.7,1.35,11.629629629629628
2008-01-25,15.56,1.35,11.525925925925925
2008-01-28,16.0,1.35,11.851851851851851
2008-01-29,16.35,1.35,12.11111111111111
2008-01-30,16.3,1.35,12.074074074074074
2008-01-31,17.49,1.35,12.955555555555554
2008-02-01,17.96,1.35,13.303703703703704
2008-02-04,16.34,1.35,12.103703703703703
2008-02-05,15.8,1.35,11.703703703703704
2008-02-06,15.77,1.35,11.68148148148148
2008-02-07,16.21,1.35,12.007407407407408
2008-02-08,15.63,1.35,11.577777777777778
