date,MRO,MRO_EPS,PE Ratio
,,0.0,
1970-01-02,5.76,0.0,inf
1970-01-05,5.8,0.0,inf
1970-01-06,5.7,0.0,inf
1970-01-07,5.76,0.0,inf
1970-01-08,5.97,0.0,inf
1970-01-09,5.86,0.0,inf
1970-01-12,5.76,0.0,inf
1970-01-13,5.76,0.0,inf
1970-01-14,5.7,0.0,inf
1970-01-15,5.68,0.0,inf
1970-01-16,5.65,0.0,inf
1970-01-19,5.7,0.0,inf
1970-01-20,5.63,0.0,inf
1970-01-21,5.63,0.0,inf
1970-01-22,5.61,0.0,inf
1970-01-23,5.59,0.0,inf
1970-01-26,5.45,0.0,inf
1970-01-27,5.39,0.0,inf
1970-01-28,5.49,0.0,inf
1970-01-29,5.41,0.0,inf
1970-01-30,5.51,0.0,inf
1970-02-02,5.45,0.0,inf
1970-02-03,5.59,0.0,inf
1970-02-04,5.61,0.0,inf
1970-02-05,5.49,0.0,inf
1970-02-06,5.57,0.0,inf
1970-02-09,5.61,0.0,inf
1970-02-10,5.59,0.0,inf
1970-02-11,5.63,0.0,inf
1970-02-12,5.68,0.0,inf
1970-02-13,5.61,0.0,inf
1970-02-16,5.7,0.0,inf
1970-02-17,5.8,0.0,inf
1970-02-18,5.94,0.0,inf
1970-02-19,5.94,0.0,inf
1970-02-20,6.01,0.0,inf
1970-02-24,5.99,0.0,inf
1970-02-25,6.19,0.0,inf
1970-02-26,6.17,0.0,inf
1970-02-27,6.17,0.0,inf
1970-03-02,6.23,0.0,inf
1970-03-03,6.38,0.0,inf
1970-03-04,6.46,0.0,inf
1970-03-05,6.46,0.0,inf
1970-03-06,6.4,0.0,inf
1970-03-09,6.21,0.0,inf
1970-03-10,6.21,0.0,inf
1970-03-11,6.3,0.0,inf
1970-03-12,6.28,0.0,inf
1970-03-13,6.28,0.0,inf
1970-03-16,6.11,0.0,inf
1970-03-17,6.19,0.0,inf
1970-03-18,6.13,0.0,inf
1970-03-19,6.09,0.0,inf
1970-03-20,6.05,0.0,inf
1970-03-23,6.05,0.0,inf
1970-03-24,6.19,0.0,inf
1970-03-25,6.25,0.0,inf
1970-03-26,6.25,0.0,inf
1970-03-30,6.15,0.0,inf
1970-03-31,6.19,0.0,inf
1970-04-01,6.36,0.0,inf
1970-04-02,6.38,0.0,inf
1970-04-03,6.36,0.0,inf
1970-04-06,6.34,0.0,inf
1970-04-07,6.44,0.0,inf
1970-04-08,6.44,0.0,inf
1970-04-09,6.42,0.0,inf
1970-04-10,6.32,0.0,inf
1970-04-13,6.25,0.0,inf
1970-04-14,6.21,0.0,inf
1970-04-15,6.4,0.0,inf
1970-04-16,6.23,0.0,inf
1970-04-17,6.11,0.0,inf
1970-04-20,6.21,0.0,inf
1970-04-21,6.19,0.0,inf
1970-04-22,6.19,0.0,inf
1970-04-23,6.03,0.0,inf
1970-04-24,5.99,0.0,inf
1970-04-27,5.88,0.0,inf
1970-04-28,5.86,0.0,inf
1970-04-29,5.88,0.0,inf
1970-04-30,5.84,0.0,inf
1970-05-01,5.88,0.0,inf
1970-05-04,5.63,0.0,inf
1970-05-05,5.65,0.0,inf
1970-05-06,5.72,0.0,inf
1970-05-07,5.76,0.0,inf
1970-05-08,5.8,0.0,inf
1970-05-11,5.76,0.0,inf
1970-05-12,5.8,0.0,inf
1970-05-13,5.8,0.0,inf
1970-05-14,5.61,0.0,inf
1970-05-15,5.63,0.0,inf
1970-05-18,5.65,0.0,inf
1970-05-19,5.51,0.0,inf
1970-05-20,5.47,0.0,inf
1970-05-21,5.43,0.0,inf
1970-05-22,5.39,0.0,inf
1970-05-25,5.2,0.0,inf
1970-05-26,5.1,0.0,inf
