date,EXC,EXC_EPS,PE Ratio
,,0.2,
1980-02-11,7.0,0.2,35.0
1980-02-12,7.0,0.2,35.0
1980-02-13,7.06,0.2,35.3
1980-02-14,7.13,0.2,35.65
1980-02-15,6.81,0.2,34.05
1980-02-19,6.81,0.2,34.05
1980-02-20,6.63,0.2,33.15
1980-02-21,6.69,0.2,33.45
1980-02-22,6.69,0.2,33.45
1980-02-25,6.44,0.2,32.2
1980-02-26,6.44,0.2,32.2
1980-02-27,6.31,0.2,31.549999999999997
1980-02-28,6.38,0.2,31.9
1980-02-29,6.5,0.2,32.5
1980-03-03,6.5,0.2,32.5
1980-03-04,6.38,0.2,31.9
1980-03-05,6.31,0.2,31.549999999999997
1980-03-06,6.13,0.2,30.65
1980-03-07,6.25,0.2,31.25
1980-03-10,6.25,0.2,31.25
1980-03-11,6.25,0.2,31.25
1980-03-12,6.19,0.2,30.95
1980-03-13,6.19,0.2,30.95
1980-03-14,6.25,0.2,31.25
1980-03-17,6.13,0.2,30.65
1980-03-18,6.31,0.2,31.549999999999997
1980-03-19,6.25,0.2,31.25
1980-03-20,6.19,0.2,30.95
1980-03-21,6.25,0.2,31.25
1980-03-24,6.0,0.2,30.0
1980-03-25,6.06,0.2,30.299999999999997
1980-03-26,6.0,0.2,30.0
1980-03-27,6.06,0.2,30.299999999999997
1980-03-28,6.06,0.2,30.299999999999997
1980-03-31,6.13,0.2,30.65
1980-04-01,6.19,0.2,30.95
1980-04-02,6.38,0.2,31.9
1980-04-03,6.5,0.2,32.5
1980-04-07,6.5,0.2,32.5
1980-04-08,6.5,0.2,32.5
1980-04-09,6.5,0.2,32.5
1980-04-10,6.75,0.2,33.75
1980-04-11,6.88,0.2,34.4
1980-04-14,6.81,0.2,34.05
1980-04-15,6.88,0.2,34.4
1980-04-16,7.0,0.2,35.0
1980-04-17,7.13,0.2,35.65
1980-04-18,7.13,0.2,35.65
1980-04-21,7.06,0.2,35.3
1980-04-22,6.94,0.2,34.7
1980-04-23,6.94,0.2,34.7
1980-04-24,6.94,0.2,34.7
1980-04-25,7.0,0.2,35.0
1980-04-28,7.0,0.2,35.0
1980-04-29,7.0,0.2,35.0
1980-04-30,7.06,0.2,35.3
1980-05-01,7.0,0.2,35.0
1980-05-02,7.0,0.2,35.0
1980-05-05,7.13,0.2,35.65
1980-05-06,7.38,0.2,36.9
1980-05-07,7.56,0.2,37.8
1980-05-08,7.63,0.2,38.15
1980-05-09,7.5,0.2,37.5
1980-05-12,7.63,0.2,38.15
1980-05-13,7.69,0.2,38.45
1980-05-14,7.81,0.2,39.05
1980-05-15,7.75,0.2,38.75
1980-05-16,7.81,0.2,39.05
1980-05-19,7.56,0.2,37.8
1980-05-20,7.63,0.2,38.15
1980-05-21,7.31,0.2,36.55
1980-05-22,7.31,0.2,36.55
1980-05-23,7.38,0.2,36.9
1980-05-27,7.31,0.2,36.55
1980-05-28,7.25,0.2,36.25
1980-05-29,7.13,0.2,35.65
1980-05-30,7.25,0.2,36.25
1980-06-02,7.19,0.2,35.95
1980-06-03,7.13,0.2,35.65
1980-06-04,7.19,0.2,35.95
1980-06-05,7.13,0.2,35.65
1980-06-06,7.19,0.2,35.95
1980-06-09,7.13,0.2,35.65
1980-06-10,7.13,0.2,35.65
1980-06-11,7.19,0.2,35.95
1980-06-12,7.19,0.2,35.95
1980-06-13,7.31,0.2,36.55
1980-06-16,7.44,0.2,37.2
1980-06-17,7.56,0.2,37.8
1980-06-18,7.56,0.2,37.8
1980-06-19,7.63,0.2,38.15
1980-06-20,7.56,0.2,37.8
1980-06-23,7.38,0.2,36.9
1980-06-24,7.31,0.2,36.55
1980-06-25,7.38,0.2,36.9
1980-06-26,7.19,0.2,35.95
1980-06-27,7.38,0.2,36.9
1980-06-30,7.25,0.2,36.25
1980-07-01,7.25,0.2,36.25
1980-07-02,7.5,0.2,37.5
1980-07-03,7.5,0.2,37.5
1980-07-07,7.5,0.2,37.5
1980-07-08,7.56,0.2,37.8
1980-07-09,7.44,0.2,37.2
1980-07-10,7.44,0.2,37.2
1980-07-11,7.44,0.2,37.2
1980-07-14,7.5,0.2,37.5
1980-07-15,7.44,0.2,37.2
1980-07-16,7.5,0.2,37.5
1980-07-17,7.38,0.2,36.9
1980-07-18,7.38,0.2,36.9
1980-07-21,7.38,0.2,36.9
1980-07-22,7.38,0.2,36.9
1980-07-23,7.31,0.2,36.55
1980-07-24,7.25,0.2,36.25
1980-07-25,7.31,0.2,36.55
1980-07-28,7.25,0.2,36.25
1980-07-29,7.31,0.2,36.55
1980-07-30,7.31,0.2,36.55
1980-07-31,7.25,0.2,36.25
1980-08-01,7.19,0.2,35.95
1980-08-04,7.25,0.2,36.25
1980-08-05,7.31,0.2,36.55
1980-08-06,7.25,0.2,36.25
1980-08-07,7.25,0.2,36.25
1980-08-08,7.19,0.2,35.95
1980-08-11,7.19,0.2,35.95
1980-08-12,7.19,0.2,35.95
1980-08-13,7.13,0.2,35.65
1980-08-14,7.25,0.2,36.25
1980-08-15,7.25,0.2,36.25
1980-08-18,7.19,0.2,35.95
1980-08-19,7.19,0.2,35.95
1980-08-20,7.19,0.2,35.95
1980-08-21,6.88,0.2,34.4
1980-08-22,6.75,0.2,33.75
1980-08-25,6.81,0.2,34.05
1980-08-26,6.81,0.2,34.05
1980-08-27,6.75,0.2,33.75
1980-08-28,6.75,0.2,33.75
1980-08-29,6.69,0.2,33.45
1980-09-02,6.81,0.2,34.05
1980-09-03,6.81,0.2,34.05
1980-09-04,6.88,0.2,34.4
1980-09-05,6.88,0.2,34.4
1980-09-08,6.88,0.2,34.4
1980-09-09,6.81,0.2,34.05
1980-09-10,6.81,0.2,34.05
1980-09-11,6.81,0.2,34.05
1980-09-12,6.88,0.2,34.4
1980-09-15,6.75,0.2,33.75
1980-09-16,6.81,0.2,34.05
1980-09-17,6.69,0.2,33.45
1980-09-18,6.63,0.2,33.15
1980-09-19,6.63,0.2,33.15
1980-09-22,6.56,0.2,32.8
1980-09-23,6.5,0.2,32.5
1980-09-24,6.63,0.2,33.15
1980-09-25,6.56,0.2,32.8
1980-09-26,6.56,0.2,32.8
1980-09-29,6.56,0.2,32.8
1980-09-30,6.56,0.2,32.8
1980-10-01,6.56,0.2,32.8
1980-10-02,6.69,0.2,33.45
1980-10-03,6.69,0.2,33.45
1980-10-06,6.69,0.2,33.45
1980-10-07,6.81,0.2,34.05
1980-10-08,6.75,0.2,33.75
1980-10-09,6.75,0.2,33.75
1980-10-10,6.69,0.2,33.45
1980-10-13,6.75,0.2,33.75
1980-10-14,6.63,0.2,33.15
1980-10-15,6.63,0.2,33.15
1980-10-16,6.63,0.2,33.15
1980-10-17,6.63,0.2,33.15
1980-10-20,6.63,0.2,33.15
1980-10-21,6.63,0.2,33.15
1980-10-22,6.63,0.2,33.15
1980-10-23,6.69,0.2,33.45
1980-10-24,6.63,0.2,33.15
1980-10-27,6.56,0.2,32.8
1980-10-28,6.56,0.2,32.8
1980-10-29,6.56,0.2,32.8
1980-10-30,6.56,0.2,32.8
1980-10-31,6.56,0.2,32.8
1980-11-03,6.69,0.2,33.45
1980-11-05,6.38,0.2,31.9
1980-11-06,6.38,0.2,31.9
1980-11-07,6.44,0.2,32.2
1980-11-10,6.5,0.2,32.5
1980-11-11,6.5,0.2,32.5
1980-11-12,6.56,0.2,32.8
1980-11-13,6.5,0.2,32.5
1980-11-14,6.38,0.2,31.9
1980-11-17,6.31,0.2,31.549999999999997
1980-11-18,6.31,0.2,31.549999999999997
1980-11-19,6.31,0.2,31.549999999999997
1980-11-20,6.25,0.2,31.25
1980-11-21,6.25,0.2,31.25
1980-11-24,6.13,0.2,30.65
1980-11-25,6.13,0.2,30.65
1980-11-26,6.06,0.2,30.299999999999997
1980-11-28,6.13,0.2,30.65
1980-12-01,6.06,0.2,30.299999999999997
1980-12-02,6.0,0.2,30.0
1980-12-03,6.06,0.2,30.299999999999997
1980-12-04,6.06,0.2,30.299999999999997
1980-12-05,6.0,0.2,30.0
1980-12-08,6.0,0.2,30.0
1980-12-09,6.06,0.2,30.299999999999997
1980-12-10,6.06,0.2,30.299999999999997
1980-12-11,6.06,0.2,30.299999999999997
1980-12-12,6.0,0.2,30.0
1980-12-15,5.75,0.2,28.75
1980-12-16,5.81,0.2,29.049999999999997
1980-12-17,5.88,0.2,29.4
1980-12-18,6.13,0.2,30.65
1980-12-19,6.19,0.2,30.95
1980-12-22,6.5,0.2,32.5
1980-12-23,6.56,0.2,32.8
1980-12-24,6.5,0.2,32.5
1980-12-26,6.44,0.2,32.2
1980-12-29,6.38,0.2,31.9
1980-12-30,6.31,0.2,31.549999999999997
1980-12-31,6.25,0.2,31.25
1981-01-02,6.44,0.2,32.2
1981-01-05,6.75,0.2,33.75
1981-01-06,6.88,0.2,34.4
1981-01-07,6.75,0.2,33.75
1981-01-08,6.56,0.2,32.8
1981-01-09,6.56,0.2,32.8
1981-01-12,6.63,0.2,33.15
1981-01-13,6.69,0.2,33.45
1981-01-14,6.63,0.2,33.15
1981-01-15,6.63,0.2,33.15
1981-01-16,6.63,0.2,33.15
1981-01-19,6.56,0.2,32.8
1981-01-20,6.5,0.2,32.5
1981-01-21,6.5,0.2,32.5
1981-01-22,6.44,0.2,32.2
1981-01-23,6.31,0.2,31.549999999999997
1981-01-26,6.25,0.2,31.25
1981-01-27,6.38,0.2,31.9
1981-01-28,6.44,0.2,32.2
1981-01-29,6.44,0.2,32.2
1981-01-30,6.56,0.2,32.8
1981-02-02,6.56,0.2,32.8
1981-02-03,6.5,0.2,32.5
1981-02-04,6.5,0.2,32.5
1981-02-05,6.44,0.2,32.2
1981-02-06,6.44,0.2,32.2
1981-02-09,6.5,0.2,32.5
1981-02-10,6.19,0.2,30.95
1981-02-11,6.25,0.2,31.25
1981-02-12,6.19,0.2,30.95
1981-02-13,6.25,0.2,31.25
1981-02-17,6.06,0.2,30.299999999999997
1981-02-18,6.06,0.2,30.299999999999997
1981-02-19,6.06,0.2,30.299999999999997
1981-02-20,6.0,0.2,30.0
1981-02-23,6.13,0.2,30.65
1981-02-24,6.13,0.2,30.65
1981-02-25,6.13,0.2,30.65
1981-02-26,6.19,0.2,30.95
1981-02-27,6.13,0.2,30.65
1981-03-02,6.13,0.2,30.65
1981-03-03,6.06,0.2,30.299999999999997
1981-03-04,6.0,0.2,30.0
1981-03-05,6.06,0.2,30.299999999999997
1981-03-06,6.06,0.2,30.299999999999997
1981-03-09,6.06,0.2,30.299999999999997
1981-03-10,6.19,0.2,30.95
1981-03-11,6.19,0.2,30.95
1981-03-12,6.19,0.2,30.95
1981-03-13,6.19,0.2,30.95
1981-03-16,6.25,0.2,31.25
1981-03-17,6.25,0.2,31.25
1981-03-18,6.31,0.2,31.549999999999997
1981-03-19,6.38,0.2,31.9
1981-03-20,6.25,0.2,31.25
1981-03-23,6.25,0.2,31.25
1981-03-24,6.25,0.2,31.25
1981-03-25,6.31,0.2,31.549999999999997
1981-03-26,6.25,0.2,31.25
1981-03-27,6.19,0.2,30.95
1981-03-30,6.25,0.2,31.25
1981-03-31,6.06,0.2,30.299999999999997
1981-04-01,6.13,0.2,30.65
1981-04-02,6.19,0.2,30.95
1981-04-03,6.25,0.2,31.25
1981-04-06,6.19,0.2,30.95
1981-04-07,6.25,0.2,31.25
1981-04-08,6.19,0.2,30.95
1981-04-09,6.19,0.2,30.95
1981-04-10,6.13,0.2,30.65
1981-04-13,6.19,0.2,30.95
1981-04-14,6.13,0.2,30.65
1981-04-15,6.19,0.2,30.95
1981-04-16,6.25,0.2,31.25
1981-04-20,6.38,0.2,31.9
1981-04-21,6.38,0.2,31.9
1981-04-22,6.31,0.2,31.549999999999997
1981-04-23,6.25,0.2,31.25
1981-04-24,6.31,0.2,31.549999999999997
1981-04-27,6.31,0.2,31.549999999999997
1981-04-28,6.25,0.2,31.25
1981-04-29,6.31,0.2,31.549999999999997
1981-04-30,6.19,0.2,30.95
1981-05-01,6.19,0.2,30.95
1981-05-04,6.06,0.2,30.299999999999997
1981-05-05,6.0,0.2,30.0
1981-05-06,6.06,0.2,30.299999999999997
1981-05-07,6.13,0.2,30.65
1981-05-08,6.06,0.2,30.299999999999997
1981-05-11,6.06,0.2,30.299999999999997
1981-05-12,6.13,0.2,30.65
1981-05-13,6.19,0.2,30.95
1981-05-14,6.25,0.2,31.25
1981-05-15,6.25,0.2,31.25
1981-05-18,6.38,0.2,31.9
1981-05-19,6.38,0.2,31.9
1981-05-20,6.0,0.2,30.0
1981-05-21,6.13,0.2,30.65
1981-05-22,6.13,0.2,30.65
1981-05-26,6.13,0.2,30.65
1981-05-27,6.06,0.2,30.299999999999997
1981-05-28,6.13,0.2,30.65
1981-05-29,6.19,0.2,30.95
1981-06-01,6.25,0.2,31.25
1981-06-02,6.13,0.2,30.65
1981-06-03,6.19,0.2,30.95
1981-06-04,6.19,0.2,30.95
1981-06-05,6.13,0.2,30.65
1981-06-08,6.25,0.2,31.25
1981-06-09,6.19,0.2,30.95
1981-06-10,6.25,0.2,31.25
1981-06-11,6.44,0.2,32.2
1981-06-12,6.5,0.2,32.5
1981-06-15,6.63,0.2,33.15
1981-06-16,6.56,0.2,32.8
1981-06-17,6.5,0.2,32.5
1981-06-18,6.44,0.2,32.2
1981-06-19,6.38,0.2,31.9
1981-06-22,6.81,0.2,34.05
1981-06-23,6.81,0.2,34.05
1981-06-24,6.69,0.2,33.45
1981-06-25,6.75,0.2,33.75
1981-06-26,6.81,0.2,34.05
1981-06-29,6.75,0.2,33.75
1981-06-30,6.75,0.2,33.75
1981-07-01,6.75,0.2,33.75
1981-07-02,6.75,0.2,33.75
1981-07-06,6.75,0.2,33.75
1981-07-07,6.69,0.2,33.45
1981-07-08,6.69,0.2,33.45
1981-07-09,6.75,0.2,33.75
1981-07-10,6.75,0.2,33.75
1981-07-13,6.81,0.2,34.05
1981-07-14,6.81,0.2,34.05
1981-07-15,6.75,0.2,33.75
1981-07-16,6.75,0.2,33.75
1981-07-17,6.75,0.2,33.75
1981-07-20,6.69,0.2,33.45
1981-07-21,6.69,0.2,33.45
1981-07-22,6.69,0.2,33.45
1981-07-23,6.63,0.2,33.15
1981-07-24,6.88,0.2,34.4
1981-07-27,6.88,0.2,34.4
1981-07-28,6.81,0.2,34.05
1981-07-29,6.94,0.2,34.7
1981-07-30,6.88,0.2,34.4
1981-07-31,6.88,0.2,34.4
1981-08-03,6.81,0.2,34.05
1981-08-04,6.88,0.2,34.4
1981-08-05,6.81,0.2,34.05
1981-08-06,6.94,0.2,34.7
1981-08-07,6.88,0.2,34.4
1981-08-10,7.13,0.2,35.65
1981-08-11,7.13,0.2,35.65
1981-08-12,7.13,0.2,35.65
1981-08-13,7.06,0.2,35.3
1981-08-14,7.06,0.2,35.3
1981-08-17,7.06,0.2,35.3
1981-08-18,7.06,0.2,35.3
1981-08-19,7.0,0.2,35.0
1981-08-20,6.69,0.2,33.45
1981-08-21,6.63,0.2,33.15
1981-08-24,6.56,0.2,32.8
1981-08-25,6.56,0.2,32.8
1981-08-26,6.63,0.2,33.15
1981-08-27,6.5,0.2,32.5
1981-08-28,6.56,0.2,32.8
1981-08-31,6.56,0.2,32.8
1981-09-01,6.5,0.2,32.5
1981-09-02,6.56,0.2,32.8
1981-09-03,6.5,0.2,32.5
1981-09-04,6.38,0.2,31.9
1981-09-08,6.38,0.2,31.9
1981-09-09,6.44,0.2,32.2
1981-09-10,6.44,0.2,32.2
1981-09-11,6.44,0.2,32.2
1981-09-14,6.5,0.2,32.5
1981-09-15,6.5,0.2,32.5
1981-09-16,6.5,0.2,32.5
1981-09-17,6.5,0.2,32.5
1981-09-18,6.5,0.2,32.5
1981-09-21,6.5,0.2,32.5
1981-09-22,6.5,0.2,32.5
1981-09-23,6.38,0.2,31.9
1981-09-24,6.38,0.2,31.9
1981-09-25,6.25,0.2,31.25
1981-09-28,6.25,0.2,31.25
1981-09-29,6.31,0.2,31.549999999999997
1981-09-30,6.38,0.2,31.9
1981-10-01,6.38,0.2,31.9
1981-10-02,6.31,0.2,31.549999999999997
1981-10-05,6.38,0.2,31.9
1981-10-06,6.5,0.2,32.5
1981-10-07,6.56,0.2,32.8
1981-10-08,6.56,0.2,32.8
1981-10-09,6.69,0.2,33.45
1981-10-12,6.69,0.2,33.45
1981-10-13,6.63,0.2,33.15
1981-10-14,6.63,0.2,33.15
1981-10-15,6.63,0.2,33.15
1981-10-16,6.63,0.2,33.15
1981-10-19,6.69,0.2,33.45
1981-10-20,6.63,0.2,33.15
1981-10-21,6.69,0.2,33.45
1981-10-22,6.69,0.2,33.45
1981-10-23,6.69,0.2,33.45
1981-10-26,6.63,0.2,33.15
1981-10-27,6.63,0.2,33.15
1981-10-28,6.69,0.2,33.45
1981-10-29,6.75,0.2,33.75
1981-10-30,6.88,0.2,34.4
1981-11-02,7.0,0.2,35.0
1981-11-03,7.06,0.2,35.3
1981-11-04,6.69,0.2,33.45
1981-11-05,6.69,0.2,33.45
1981-11-06,6.63,0.2,33.15
1981-11-09,6.88,0.2,34.4
1981-11-10,6.94,0.2,34.7
1981-11-11,6.94,0.2,34.7
1981-11-12,7.0,0.2,35.0
1981-11-13,7.0,0.2,35.0
1981-11-16,7.0,0.2,35.0
1981-11-17,7.06,0.2,35.3
1981-11-18,7.0,0.2,35.0
1981-11-19,7.0,0.2,35.0
1981-11-20,7.06,0.2,35.3
1981-11-23,6.94,0.2,34.7
1981-11-24,7.0,0.2,35.0
1981-11-25,7.0,0.2,35.0
1981-11-27,7.13,0.2,35.65
1981-11-30,7.13,0.2,35.65
1981-12-01,7.0,0.2,35.0
1981-12-02,6.94,0.2,34.7
1981-12-03,6.88,0.2,34.4
1981-12-04,7.0,0.2,35.0
1981-12-07,6.88,0.2,34.4
1981-12-08,6.88,0.2,34.4
1981-12-09,6.88,0.2,34.4
1981-12-10,6.88,0.2,34.4
1981-12-11,6.94,0.2,34.7
1981-12-14,6.88,0.2,34.4
1981-12-15,6.81,0.2,34.05
1981-12-16,6.81,0.2,34.05
1981-12-17,6.88,0.2,34.4
1981-12-18,6.81,0.2,34.05
1981-12-21,6.88,0.2,34.4
1981-12-22,6.88,0.2,34.4
1981-12-23,6.81,0.2,34.05
1981-12-24,6.88,0.2,34.4
1981-12-28,6.88,0.2,34.4
1981-12-29,6.88,0.2,34.4
1981-12-30,6.75,0.2,33.75
1981-12-31,6.81,0.2,34.05
1982-01-04,6.88,0.2,34.4
1982-01-05,6.94,0.2,34.7
1982-01-06,6.88,0.2,34.4
1982-01-07,6.81,0.2,34.05
1982-01-08,6.88,0.2,34.4
1982-01-11,6.81,0.2,34.05
1982-01-12,6.75,0.2,33.75
1982-01-13,6.75,0.2,33.75
1982-01-14,6.69,0.2,33.45
1982-01-15,6.75,0.2,33.75
1982-01-18,6.81,0.2,34.05
1982-01-19,6.75,0.2,33.75
1982-01-20,6.81,0.2,34.05
1982-01-21,6.81,0.2,34.05
1982-01-22,6.75,0.2,33.75
1982-01-25,6.81,0.2,34.05
1982-01-26,6.81,0.2,34.05
1982-01-27,6.81,0.2,34.05
1982-01-28,6.88,0.2,34.4
1982-01-29,6.94,0.2,34.7
1982-02-01,6.88,0.2,34.4
1982-02-02,6.88,0.2,34.4
1982-02-03,6.81,0.2,34.05
1982-02-04,6.81,0.2,34.05
1982-02-05,6.88,0.2,34.4
1982-02-08,6.88,0.2,34.4
1982-02-09,6.88,0.2,34.4
1982-02-10,6.88,0.2,34.4
1982-02-11,6.81,0.2,34.05
1982-02-12,6.88,0.2,34.4
1982-02-16,6.88,0.2,34.4
1982-02-17,6.88,0.2,34.4
1982-02-18,6.94,0.2,34.7
1982-02-19,6.94,0.2,34.7
1982-02-22,7.0,0.2,35.0
1982-02-23,6.94,0.2,34.7
1982-02-24,6.88,0.2,34.4
1982-02-25,7.0,0.2,35.0
1982-02-26,7.06,0.2,35.3
1982-03-01,6.81,0.2,34.05
1982-03-02,6.88,0.2,34.4
1982-03-03,7.0,0.2,35.0
1982-03-04,7.0,0.2,35.0
1982-03-05,7.0,0.2,35.0
1982-03-08,7.06,0.2,35.3
1982-03-09,7.06,0.2,35.3
1982-03-10,7.0,0.2,35.0
1982-03-11,6.88,0.2,34.4
1982-03-12,6.88,0.2,34.4
1982-03-15,6.88,0.2,34.4
1982-03-16,6.75,0.2,33.75
1982-03-17,6.75,0.2,33.75
1982-03-18,6.81,0.2,34.05
1982-03-19,6.88,0.2,34.4
1982-03-22,6.94,0.2,34.7
1982-03-23,6.88,0.2,34.4
1982-03-24,6.94,0.2,34.7
1982-03-25,6.88,0.2,34.4
1982-03-26,6.94,0.2,34.7
1982-03-29,6.88,0.2,34.4
1982-03-30,6.94,0.2,34.7
1982-03-31,6.88,0.2,34.4
1982-04-01,6.94,0.2,34.7
1982-04-02,6.94,0.2,34.7
1982-04-05,6.94,0.2,34.7
1982-04-06,7.0,0.2,35.0
1982-04-07,7.06,0.2,35.3
1982-04-08,7.0,0.2,35.0
1982-04-12,7.13,0.2,35.65
1982-04-13,7.13,0.2,35.65
