date,AEE,AEE_EPS,PE Ratio
,,0.18,
1997-05-14,,0.33,
1997-08-14,,0.58,
1997-11-12,,1.57,
1998-01-02,42.81,1.57,27.26751592356688
1998-01-05,42.5,1.57,27.070063694267514
1998-01-06,41.88,1.57,26.67515923566879
1998-01-07,41.5,1.57,26.433121019108277
1998-01-08,41.0,1.57,26.11464968152866
1998-01-09,41.38,1.57,26.356687898089174
1998-01-12,41.75,1.57,26.59235668789809
1998-01-13,41.44,1.57,26.394904458598724
1998-01-14,41.25,1.57,26.27388535031847
1998-01-15,40.31,1.57,25.67515923566879
1998-01-16,40.5,1.57,25.796178343949045
1998-01-20,37.06,1.57,23.605095541401273
1998-01-21,36.81,1.57,23.445859872611464
1998-01-22,36.38,1.57,23.171974522292995
1998-01-23,36.0,1.57,22.929936305732483
1998-01-26,36.19,1.57,23.050955414012737
1998-01-27,36.25,1.57,23.08917197452229
1998-01-28,36.5,1.57,23.248407643312103
1998-01-29,36.75,1.57,23.40764331210191
1998-01-30,36.63,1.57,23.331210191082803
1998-02-02,36.69,1.57,23.369426751592353
1998-02-03,36.63,1.57,23.331210191082803
1998-02-04,36.5,1.57,23.248407643312103
1998-02-05,36.94,1.57,23.52866242038216
1998-02-06,37.56,1.57,23.923566878980893
1998-02-09,37.88,1.57,24.127388535031848
1998-02-10,37.94,1.57,24.165605095541398
1998-02-11,37.75,1.57,24.044585987261147
1998-02-12,37.81,1.57,24.0828025477707
1998-02-13,37.5,1.57,23.885350318471335
1998-02-17,38.0,1.57,24.203821656050955
1998-02-18,38.0,1.57,24.203821656050955
1998-02-19,38.19,1.57,24.324840764331206
1998-02-20,38.31,1.57,24.401273885350317
1998-02-23,38.63,1.57,24.605095541401276
1998-02-24,38.5,1.57,24.522292993630572
1998-02-25,38.38,1.57,24.445859872611464
1998-02-26,38.19,1.57,24.324840764331206
1998-02-27,38.44,1.57,24.484076433121018
1998-03-02,38.44,1.57,24.484076433121018
1998-03-03,38.44,1.57,24.484076433121018
1998-03-04,38.38,1.57,24.445859872611464
1998-03-05,38.31,1.57,24.401273885350317
1998-03-06,38.13,1.57,24.286624203821656
1998-03-09,37.81,1.57,24.0828025477707
1998-03-10,38.13,1.57,24.286624203821656
1998-03-11,38.75,1.57,24.68152866242038
1998-03-12,38.56,1.57,24.56050955414013
1998-03-13,38.69,1.57,24.643312101910826
1998-03-16,39.5,1.57,25.159235668789808
1998-03-17,40.31,1.57,25.67515923566879
1998-03-18,40.88,1.57,26.038216560509554
1998-03-19,41.5,1.57,26.433121019108277
1998-03-20,42.31,1.57,26.949044585987263
1998-03-23,42.06,1.57,26.78980891719745
1998-03-24,42.06,1.57,26.78980891719745
1998-03-25,42.44,1.57,27.03184713375796
1998-03-26,41.94,1.57,26.71337579617834
1998-03-27,41.38,1.57,26.356687898089174
1998-03-30,41.5,1.57,26.433121019108277
1998-03-31,42.13,1.57,26.8343949044586
1998-04-01,42.0,1.57,26.751592356687897
1998-04-02,42.19,1.57,26.872611464968152
1998-04-03,42.5,1.57,27.070063694267514
1998-04-06,42.19,1.57,26.872611464968152
1998-04-07,41.81,1.57,26.630573248407643
1998-04-08,41.88,1.57,26.67515923566879
1998-04-09,41.88,1.57,26.67515923566879
1998-04-13,41.81,1.57,26.630573248407643
1998-04-14,42.25,1.57,26.910828025477706
1998-04-15,42.31,1.57,26.949044585987263
1998-04-16,41.94,1.57,26.71337579617834
1998-04-17,42.13,1.57,26.8343949044586
1998-04-20,41.69,1.57,26.554140127388532
1998-04-21,41.31,1.57,26.312101910828027
1998-04-22,41.0,1.57,26.11464968152866
1998-04-23,39.75,1.57,25.318471337579616
1998-04-24,39.88,1.57,25.40127388535032
1998-04-27,39.56,1.57,25.197452229299362
1998-04-28,39.25,1.57,25.0
1998-04-29,39.06,1.57,24.878980891719745
1998-04-30,39.63,1.57,25.24203821656051
1998-05-01,39.31,1.57,25.038216560509554
1998-05-04,39.25,1.57,25.0
1998-05-05,38.94,1.57,24.802547770700635
1998-05-06,39.0,1.57,24.840764331210192
1998-05-07,39.0,1.57,24.840764331210192
1998-05-08,38.81,1.57,24.719745222929937
1998-05-11,38.88,1.57,24.764331210191084
1998-05-12,38.94,1.57,24.802547770700635
1998-05-13,38.69,0.29,133.41379310344828
1998-05-14,38.69,0.29,133.41379310344828
1998-05-15,38.56,0.29,132.96551724137933
1998-05-18,38.38,0.29,132.34482758620692
1998-05-19,38.31,0.29,132.1034482758621
1998-05-20,38.94,0.29,134.27586206896552
1998-05-21,39.0,0.29,134.48275862068965
1998-05-22,38.56,0.29,132.96551724137933
1998-05-26,38.19,0.29,131.6896551724138
1998-05-27,38.25,0.29,131.89655172413794
1998-05-28,38.69,0.29,133.41379310344828
1998-05-29,39.13,0.29,134.93103448275863
1998-06-01,40.56,0.29,139.86206896551727
1998-06-02,40.38,0.29,139.24137931034485
1998-06-03,40.5,0.29,139.6551724137931
1998-06-04,40.31,0.29,139.00000000000003
1998-06-05,40.88,0.29,140.96551724137933
1998-06-08,39.81,0.29,137.27586206896552
1998-06-09,39.38,0.29,135.79310344827587
1998-06-10,40.13,0.29,138.37931034482762
1998-06-11,40.31,0.29,139.00000000000003
1998-06-12,40.13,0.29,138.37931034482762
1998-06-15,39.81,0.29,137.27586206896552
1998-06-16,39.81,0.29,137.27586206896552
1998-06-17,39.56,0.29,136.41379310344828
1998-06-18,40.19,0.29,138.58620689655172
1998-06-19,39.69,0.29,136.86206896551724
1998-06-22,39.69,0.29,136.86206896551724
1998-06-23,39.75,0.29,137.0689655172414
1998-06-24,39.63,0.29,136.6551724137931
1998-06-25,39.38,0.29,135.79310344827587
1998-06-26,39.44,0.29,136.0
1998-06-29,39.88,0.29,137.51724137931038
1998-06-30,39.75,0.29,137.0689655172414
1998-07-01,40.31,0.29,139.00000000000003
1998-07-02,40.38,0.29,139.24137931034485
1998-07-06,40.19,0.29,138.58620689655172
1998-07-07,40.25,0.29,138.79310344827587
1998-07-08,40.31,0.29,139.00000000000003
1998-07-09,40.13,0.29,138.37931034482762
1998-07-10,39.88,0.29,137.51724137931038
1998-07-13,39.44,0.29,136.0
1998-07-14,39.63,0.29,136.6551724137931
1998-07-15,39.5,0.29,136.20689655172416
1998-07-16,39.31,0.29,135.55172413793105
1998-07-17,39.31,0.29,135.55172413793105
1998-07-20,39.06,0.29,134.6896551724138
