date,BAX,BAX_EPS,PE Ratio
1981-10-27,3.85,,
1981-10-28,3.85,,
1981-10-29,3.82,,
1981-10-30,3.88,,
1981-11-02,4.02,,
1981-11-03,4.05,,
1981-11-04,4.0,,
1981-11-05,3.95,,
1981-11-06,3.87,,
1981-11-09,3.93,,
1981-11-10,3.96,,
1981-11-11,3.98,,
1981-11-12,3.96,,
1981-11-13,3.92,,
1981-11-16,3.92,,
1981-11-17,4.04,,
1981-11-18,4.07,,
1981-11-19,4.1,,
1981-11-20,4.09,,
1981-11-23,3.95,,
1981-11-24,3.9,,
1981-11-25,4.01,,
1981-11-27,4.09,,
1981-11-30,4.07,,
1981-12-01,4.07,,
1981-12-02,4.05,,
1981-12-03,4.07,,
1981-12-04,4.1,,
1981-12-07,4.02,,
1981-12-08,3.98,,
1981-12-09,4.07,,
1981-12-10,4.04,,
1981-12-11,4.02,,
1981-12-14,3.92,,
1981-12-15,3.92,,
1981-12-16,3.92,,
1981-12-17,3.95,,
1981-12-18,4.05,,
1981-12-21,3.95,,
1981-12-22,3.99,,
1981-12-23,4.02,,
1981-12-24,3.98,,
1981-12-28,4.01,,
1981-12-29,4.04,,
1981-12-30,4.05,,
1981-12-31,4.13,,
1982-01-04,4.22,,
1982-01-05,4.07,,
1982-01-06,3.98,,
1982-01-07,4.12,,
1982-01-08,4.1,,
1982-01-11,3.93,,
1982-01-12,4.04,,
1982-01-13,3.96,,
1982-01-14,4.05,,
1982-01-15,4.12,,
1982-01-18,4.21,,
1982-01-19,4.1,,
1982-01-20,4.12,,
1982-01-21,4.12,,
1982-01-22,4.15,,
1982-01-25,4.15,,
1982-01-26,4.13,,
1982-01-27,4.16,,
1982-01-28,4.32,,
1982-01-29,4.44,,
1982-02-01,4.32,,
1982-02-02,4.27,,
1982-02-03,4.1,,
1982-02-04,4.19,,
1982-02-05,4.36,,
1982-02-08,4.26,,
1982-02-09,4.13,,
1982-02-10,4.24,,
1982-02-11,4.22,,
1982-02-12,4.3,,
1982-02-16,4.35,,
1982-02-17,4.44,,
1982-02-18,4.47,,
1982-02-19,4.38,,
1982-02-22,4.29,,
1982-02-23,4.26,,
1982-02-24,4.29,,
1982-02-25,4.32,,
1982-02-26,4.32,,
1982-03-01,4.29,,
1982-03-02,4.27,,
1982-03-03,4.29,,
1982-03-04,4.24,,
1982-03-05,4.13,,
1982-03-08,4.16,,
1982-03-09,4.09,,
1982-03-10,4.01,,
1982-03-11,3.93,,
1982-03-12,3.85,,
1982-03-15,3.99,,
1982-03-16,3.99,,
1982-03-17,4.01,,
1982-03-18,4.07,,
1982-03-19,4.12,,
1982-03-22,4.22,,
1982-03-23,4.22,,
1982-03-24,4.15,,
1982-03-25,4.13,,
1982-03-26,4.09,,
1982-03-29,4.07,,
1982-03-30,4.01,,
1982-03-31,3.95,,
1982-04-01,4.09,,
1982-04-02,4.16,,
1982-04-05,4.19,,
1982-04-06,4.22,,
1982-04-07,4.29,,
1982-04-08,4.27,,
1982-04-12,4.19,,
1982-04-13,4.27,,
1982-04-14,4.19,,
1982-04-15,4.24,,
1982-04-16,4.21,,
1982-04-19,4.24,,
1982-04-20,4.24,,
1982-04-21,4.09,,
1982-04-22,4.12,,
1982-04-23,4.16,,
1982-04-26,4.26,,
1982-04-27,4.29,,
1982-04-28,4.32,,
1982-04-29,4.33,,
1982-04-30,4.42,,
1982-05-03,4.42,,
1982-05-04,4.47,,
1982-05-05,4.41,,
1982-05-06,4.49,,
1982-05-07,4.47,,
1982-05-10,4.41,,
1982-05-11,4.49,,
1982-05-12,4.47,,
1982-05-13,4.47,,
1982-05-14,4.44,,
1982-05-17,4.44,,
1982-05-18,4.39,,
1982-05-19,4.33,,
1982-05-20,4.39,,
1982-05-21,4.38,,
1982-05-24,4.36,,
1982-05-25,4.38,,
1982-05-26,4.26,,
1982-05-27,4.29,,
1982-05-28,4.19,,
1982-06-01,4.18,,
1982-06-02,4.26,,
1982-06-03,4.22,,
1982-06-04,4.19,,
1982-06-07,4.18,,
1982-06-08,4.13,,
1982-06-09,4.04,,
1982-06-10,4.16,,
1982-06-11,4.27,,
1982-06-14,4.24,,
1982-06-15,4.24,,
1982-06-16,4.22,,
1982-06-17,4.18,,
1982-06-18,4.18,,
1982-06-21,4.16,,
1982-06-22,4.21,,
1982-06-23,4.33,,
1982-06-24,4.29,,
1982-06-25,4.32,,
1982-06-28,4.41,,
1982-06-29,4.44,,
1982-06-30,4.49,,
1982-07-01,4.39,,
1982-07-02,4.29,,
1982-07-06,4.35,,
1982-07-07,4.3,,
1982-07-08,4.33,,
1982-07-09,4.53,,
1982-07-12,4.7,,
1982-07-13,4.73,,
1982-07-14,4.7,,
1982-07-15,4.72,,
1982-07-16,4.76,,
1982-07-19,4.69,,
1982-07-20,4.7,,
1982-07-21,4.72,,
1982-07-22,4.67,,
1982-07-23,4.47,,
1982-07-26,4.42,,
1982-07-27,4.49,,
1982-07-28,4.47,,
1982-07-29,4.41,,
1982-07-30,4.33,,
1982-08-02,4.41,,
1982-08-03,4.5,,
1982-08-04,4.44,,
1982-08-05,4.42,,
1982-08-06,4.33,,
1982-08-09,4.29,,
1982-08-10,4.3,,
1982-08-11,4.29,,
1982-08-12,4.21,,
1982-08-13,4.26,,
1982-08-16,4.33,,
1982-08-17,4.61,,
1982-08-18,4.61,,
1982-08-19,4.64,,
1982-08-20,4.81,,
1982-08-23,4.81,,
1982-08-24,4.78,,
1982-08-25,4.81,,
1982-08-26,4.87,,
1982-08-27,4.9,,
1982-08-30,4.93,,
1982-08-31,5.07,,
1982-09-01,5.03,,
1982-09-02,5.13,,
1982-09-03,5.3,,
1982-09-07,5.12,,
1982-09-08,5.12,,
1982-09-09,5.03,,
1982-09-10,4.96,,
1982-09-13,5.09,,
1982-09-14,5.21,,
1982-09-15,5.26,,
1982-09-16,5.21,,
1982-09-17,5.23,,
1982-09-20,5.24,,
1982-09-21,5.41,,
1982-09-22,5.4,,
1982-09-23,5.35,,
1982-09-24,5.29,,
1982-09-27,5.33,,
1982-09-28,5.32,,
1982-09-29,5.32,,
1982-09-30,5.23,,
1982-10-01,5.33,,
1982-10-04,5.3,,
1982-10-05,5.35,,
1982-10-06,5.6,,
1982-10-07,5.77,,
1982-10-08,5.8,,
1982-10-11,5.87,,
1982-10-12,5.87,,
1982-10-13,5.89,,
1982-10-14,5.78,,
1982-10-15,5.75,,
1982-10-18,5.9,,
1982-10-19,5.92,,
1982-10-20,5.95,,
1982-10-21,5.92,,
1982-10-22,5.87,,
1982-10-25,5.77,,
1982-10-26,5.64,,
1982-10-27,5.77,,
1982-10-28,5.77,,
1982-10-29,5.83,,
1982-11-01,5.9,,
1982-11-02,6.07,,
1982-11-03,6.21,,
1982-11-04,6.04,,
1982-11-05,6.0,,
1982-11-08,6.07,,
1982-11-09,6.23,,
1982-11-10,6.07,,
1982-11-11,6.11,,
1982-11-12,6.12,,
1982-11-15,5.98,,
1982-11-16,5.95,,
1982-11-17,5.89,,
1982-11-18,5.83,,
1982-11-19,5.84,,
1982-11-22,5.52,,
1982-11-23,5.53,,
1982-11-24,5.6,,
1982-11-26,5.78,,
1982-11-29,5.78,,
1982-11-30,6.15,,
1982-12-01,6.09,,
1982-12-02,5.92,,
1982-12-03,5.98,,
1982-12-06,5.98,,
1982-12-07,6.06,,
1982-12-08,6.14,,
1982-12-09,6.0,,
1982-12-10,6.01,,
1982-12-13,6.03,,
1982-12-14,5.92,,
1982-12-15,5.83,,
1982-12-16,5.89,,
1982-12-17,5.94,,
1982-12-20,5.92,,
1982-12-21,5.92,,
1982-12-22,5.94,,
1982-12-23,5.83,,
1982-12-27,6.06,,
1982-12-28,6.09,,
1982-12-29,6.01,,
1982-12-30,5.97,,
1982-12-31,5.97,,
