date,GS,GS_EPS,PE Ratio
,,2.07,
1999-05-04,70.38,2.07,34.0
1999-05-05,69.13,2.07,33.39613526570049
1999-05-06,67.94,2.07,32.82125603864734
1999-05-07,74.13,2.07,35.811594202898554
1999-05-10,70.69,2.07,34.14975845410628
1999-05-11,70.63,2.07,34.1207729468599
1999-05-12,73.5,2.07,35.507246376811594
1999-05-13,73.19,2.07,35.35748792270532
1999-05-14,70.19,2.07,33.908212560386474
1999-05-17,68.63,2.07,33.15458937198068
1999-05-18,68.63,2.07,33.15458937198068
1999-05-19,69.31,2.07,33.48309178743962
1999-05-20,68.38,2.07,33.033816425120776
1999-05-21,67.5,2.07,32.608695652173914
1999-05-24,65.31,2.07,31.550724637681164
1999-05-25,64.5,2.07,31.159420289855074
1999-05-26,66.06,2.07,31.913043478260875
1999-05-27,67.75,2.07,32.72946859903382
1999-05-28,67.94,2.07,32.82125603864734
1999-06-01,64.19,2.07,31.009661835748794
1999-06-02,63.25,2.07,30.555555555555557
1999-06-03,63.63,2.07,30.739130434782613
1999-06-04,65.38,2.07,31.584541062801932
1999-06-07,65.94,2.07,31.855072463768117
1999-06-08,63.75,2.07,30.797101449275363
1999-06-09,65.5,2.07,31.64251207729469
1999-06-10,63.38,2.07,30.618357487922708
1999-06-11,63.25,2.07,30.555555555555557
1999-06-14,61.25,2.07,29.58937198067633
1999-06-15,62.75,2.07,30.31400966183575
1999-06-16,65.25,2.07,31.521739130434785
1999-06-17,65.0,2.07,31.40096618357488
1999-06-18,64.81,2.07,31.309178743961358
1999-06-21,69.5,2.07,33.574879227053145
1999-06-22,68.0,2.07,32.850241545893724
1999-06-23,65.0,2.07,31.40096618357488
1999-06-24,65.06,2.07,31.42995169082126
1999-06-25,66.25,2.07,32.0048309178744
1999-06-28,66.56,2.07,32.15458937198068
1999-06-29,67.75,2.07,32.72946859903382
1999-06-30,72.25,2.07,34.90338164251208
1999-07-01,70.81,2.07,34.20772946859904
1999-07-02,70.94,2.07,34.270531400966185
1999-07-06,70.5,2.07,34.05797101449276
1999-07-07,68.0,2.07,32.850241545893724
1999-07-08,67.25,2.07,32.48792270531401
1999-07-09,67.25,2.07,32.48792270531401
1999-07-12,68.38,2.07,33.033816425120776
1999-07-13,67.88,2.07,32.792270531400966
1999-07-14,67.63,2.07,32.671497584541065
1999-07-15,67.94,2.07,32.82125603864734
1999-07-16,68.06,2.07,32.8792270531401
1999-07-19,69.44,2.07,33.54589371980676
1999-07-20,68.13,2.07,32.91304347826087
1999-07-21,67.88,2.07,32.792270531400966
1999-07-22,66.5,2.07,32.1256038647343
1999-07-23,64.06,2.07,30.946859903381647
1999-07-26,63.25,2.07,30.555555555555557
1999-07-27,65.5,2.07,31.64251207729469
1999-07-28,66.06,2.07,31.913043478260875
1999-07-29,65.0,2.07,31.40096618357488
1999-07-30,64.31,2.07,31.067632850241548
1999-08-02,62.81,2.07,30.34299516908213
1999-08-03,60.81,2.07,29.376811594202902
1999-08-04,60.0,2.07,28.985507246376812
1999-08-05,59.25,2.07,28.623188405797105
1999-08-06,56.25,2.07,27.17391304347826
1999-08-09,55.81,2.07,26.961352657004834
1999-08-10,57.0,2.07,27.536231884057973
1999-08-11,61.5,2.07,29.710144927536234
1999-08-12,60.69,2.07,29.318840579710145
1999-08-13,63.13,2.07,30.497584541062807
1999-08-16,62.88,2.07,30.376811594202902
1999-08-17,63.0,2.07,30.434782608695656
1999-08-18,62.31,2.07,30.101449275362324
1999-08-19,61.56,2.07,29.739130434782613
1999-08-20,62.31,2.07,30.101449275362324
1999-08-23,63.63,2.07,30.739130434782613
1999-08-24,63.44,2.07,30.647342995169083
1999-08-25,64.0,2.07,30.917874396135268
1999-08-26,62.75,2.07,30.31400966183575
1999-08-27,61.56,2.07,29.739130434782613
1999-08-30,59.31,2.07,28.65217391304348
1999-08-31,59.81,2.07,28.89371980676329
1999-09-01,60.31,2.07,29.135265700483096
1999-09-02,59.25,2.07,28.623188405797105
1999-09-03,63.13,2.07,30.497584541062807
1999-09-07,62.5,2.07,30.193236714975846
1999-09-08,62.56,2.07,30.222222222222225
1999-09-09,61.75,2.07,29.83091787439614
1999-09-10,63.09,2.07,30.478260869565222
1999-09-13,62.13,2.07,30.01449275362319
1999-09-14,59.38,2.07,28.685990338164256
1999-09-15,58.31,2.07,28.169082125603868
1999-09-16,57.69,2.07,27.869565217391305
1999-09-17,60.06,2.07,29.01449275362319
1999-09-20,60.75,2.07,29.347826086956523
1999-09-21,59.13,2.07,28.56521739130435
1999-09-22,61.31,2.07,29.618357487922708
1999-09-23,60.81,2.07,29.376811594202902
1999-09-24,61.94,2.07,29.92270531400966
1999-09-27,61.56,2.07,29.739130434782613
1999-09-28,62.25,2.07,30.072463768115945
1999-09-29,61.44,2.07,29.681159420289855
1999-09-30,61.0,2.07,29.468599033816428
1999-10-01,59.19,2.07,28.594202898550726
1999-10-04,61.69,2.07,29.80193236714976
1999-10-05,62.25,2.07,30.072463768115945
1999-10-06,64.0,2.07,30.917874396135268
1999-10-07,63.19,2.07,30.52657004830918
1999-10-08,63.94,2.07,30.88888888888889
1999-10-11,63.69,2.07,30.768115942028988
1999-10-12,62.94,2.07,30.405797101449277
1999-10-13,61.0,2.07,29.468599033816428
1999-10-14,62.0,2.07,29.95169082125604
1999-10-15,59.75,2.07,28.86473429951691
1999-10-18,59.25,2.07,28.623188405797105
1999-10-19,60.38,2.07,29.169082125603868
1999-10-20,61.75,2.07,29.83091787439614
1999-10-21,61.81,2.07,29.859903381642514
1999-10-22,65.5,2.07,31.64251207729469
1999-10-25,64.0,2.07,30.917874396135268
1999-10-26,61.81,2.07,29.859903381642514
1999-10-27,64.38,2.07,31.10144927536232
1999-10-28,72.0,2.07,34.78260869565218
1999-10-29,71.0,2.07,34.29951690821256
1999-11-01,69.38,2.07,33.51690821256039
1999-11-02,69.75,2.07,33.69565217391305
1999-11-03,68.75,2.07,33.212560386473434
1999-11-04,70.13,2.07,33.8792270531401
1999-11-05,73.69,2.07,35.59903381642512
1999-11-08,73.0,2.07,35.26570048309179
