date,VNO,VNO_EPS,PE Ratio
,,1.1,
1989-09-19,5.84,1.1,5.309090909090909
1989-09-20,5.73,1.1,5.209090909090909
1989-09-21,5.73,1.1,5.209090909090909
1989-09-22,5.73,1.1,5.209090909090909
1989-09-25,5.82,1.1,5.290909090909091
1989-09-26,5.73,1.1,5.209090909090909
1989-09-27,5.78,1.1,5.254545454545454
1989-09-28,5.73,1.1,5.209090909090909
1989-09-29,5.73,1.1,5.209090909090909
1989-10-02,5.75,1.1,5.227272727272727
1989-10-03,5.75,1.1,5.227272727272727
1989-10-04,5.73,1.1,5.209090909090909
1989-10-05,5.78,1.1,5.254545454545454
1989-10-06,5.7,1.1,5.181818181818182
1989-10-09,5.64,1.1,5.127272727272727
1989-10-10,5.7,1.1,5.181818181818182
1989-10-11,5.76,1.1,5.236363636363635
1989-10-12,5.7,1.1,5.181818181818182
1989-10-13,5.78,1.1,5.254545454545454
1989-10-16,5.79,1.1,5.263636363636364
1989-10-17,5.73,1.1,5.209090909090909
1989-10-18,5.75,1.1,5.227272727272727
1989-10-19,5.73,1.1,5.209090909090909
1989-10-20,5.75,1.1,5.227272727272727
1989-10-23,5.78,1.1,5.254545454545454
1989-10-24,5.75,1.1,5.227272727272727
1989-10-25,5.79,1.1,5.263636363636364
1989-10-26,5.79,1.1,5.263636363636364
1989-10-27,5.7,1.1,5.181818181818182
1989-10-30,5.75,1.1,5.227272727272727
1989-10-31,5.75,1.1,5.227272727272727
1989-11-01,5.71,1.1,5.1909090909090905
1989-11-02,5.68,1.1,5.163636363636363
1989-11-03,5.7,1.1,5.181818181818182
1989-11-06,5.7,1.1,5.181818181818182
1989-11-07,5.7,1.1,5.181818181818182
1989-11-08,5.7,1.1,5.181818181818182
1989-11-09,5.7,1.1,5.181818181818182
1989-11-10,5.7,1.1,5.181818181818182
1989-11-13,5.7,1.1,5.181818181818182
1989-11-14,5.7,1.1,5.181818181818182
1989-11-15,5.7,1.1,5.181818181818182
1989-11-16,5.7,1.1,5.181818181818182
1989-11-17,5.7,1.1,5.181818181818182
1989-11-20,5.63,1.1,5.118181818181817
1989-11-21,5.64,1.1,5.127272727272727
1989-11-22,5.7,1.1,5.181818181818182
1989-11-24,5.7,1.1,5.181818181818182
1989-11-27,5.68,1.1,5.163636363636363
1989-11-28,5.75,1.1,5.227272727272727
1989-11-29,5.75,1.1,5.227272727272727
1989-11-30,5.73,1.1,5.209090909090909
1989-12-01,5.78,1.1,5.254545454545454
1989-12-04,5.77,1.1,5.245454545454544
1989-12-05,5.78,1.1,5.254545454545454
1989-12-06,5.79,1.1,5.263636363636364
1989-12-07,5.79,1.1,5.263636363636364
1989-12-08,5.78,1.1,5.254545454545454
1989-12-11,5.78,1.1,5.254545454545454
1989-12-12,5.73,1.1,5.209090909090909
1989-12-13,5.73,1.1,5.209090909090909
1989-12-14,5.73,1.1,5.209090909090909
1989-12-15,5.73,1.1,5.209090909090909
1989-12-18,5.66,1.1,5.1454545454545455
1989-12-19,5.56,1.1,5.054545454545454
1989-12-20,5.49,1.1,4.99090909090909
1989-12-21,5.48,1.1,4.9818181818181815
1989-12-22,5.55,1.1,5.045454545454545
1989-12-26,5.44,1.1,4.945454545454545
1989-12-27,5.49,1.1,4.99090909090909
1989-12-28,5.51,1.1,5.009090909090909
1989-12-29,5.51,1.1,5.009090909090909
1990-01-02,5.44,1.1,4.945454545454545
1990-01-03,5.37,1.1,4.881818181818182
1990-01-04,5.34,1.1,4.854545454545454
1990-01-05,5.34,1.1,4.854545454545454
1990-01-08,5.36,1.1,4.872727272727273
