date,PKG,PKG_EPS,PE Ratio
,,0.3,
2000-01-28,12.0,0.3,40.0
2000-01-31,12.06,0.3,40.2
2000-02-01,12.0,0.3,40.0
2000-02-02,12.06,0.3,40.2
2000-02-03,12.0,0.3,40.0
2000-02-04,11.38,0.3,37.93333333333334
2000-02-07,10.81,0.3,36.03333333333334
2000-02-08,9.88,0.3,32.93333333333334
2000-02-09,10.13,0.3,33.76666666666667
2000-02-10,10.63,0.3,35.43333333333334
2000-02-11,10.06,0.3,33.53333333333334
2000-02-14,9.81,0.3,32.7
2000-02-15,10.44,0.3,34.8
2000-02-16,10.56,0.3,35.2
2000-02-17,10.38,0.3,34.6
2000-02-18,10.5,0.3,35.0
2000-02-22,10.31,0.3,34.36666666666667
2000-02-23,10.13,0.3,33.76666666666667
2000-02-24,9.94,0.3,33.13333333333333
2000-02-25,10.44,0.3,34.8
2000-02-28,10.13,0.3,33.76666666666667
2000-02-29,10.88,0.3,36.26666666666667
2000-03-01,11.0,0.3,36.66666666666667
2000-03-02,11.5,0.3,38.333333333333336
2000-03-03,10.94,0.3,36.46666666666667
2000-03-06,10.75,0.3,35.833333333333336
2000-03-07,10.25,0.3,34.16666666666667
2000-03-08,10.38,0.3,34.6
2000-03-09,10.5,0.3,35.0
2000-03-10,10.25,0.3,34.16666666666667
2000-03-13,9.75,0.3,32.5
2000-03-14,9.88,0.3,32.93333333333334
2000-03-15,9.63,0.3,32.1
2000-03-16,9.75,0.3,32.5
2000-03-17,9.56,0.3,31.86666666666667
2000-03-20,9.63,0.3,32.1
2000-03-21,9.63,0.3,32.1
2000-03-22,9.56,0.3,31.86666666666667
2000-03-23,9.69,0.3,32.3
2000-03-24,9.75,0.3,32.5
2000-03-27,9.88,0.3,32.93333333333334
2000-03-28,9.81,0.3,32.7
2000-03-29,9.81,0.3,32.7
2000-03-30,9.81,0.3,32.7
2000-03-31,10.5,0.3,35.0
2000-04-03,10.31,0.3,34.36666666666667
2000-04-04,10.06,0.3,33.53333333333334
2000-04-05,10.25,0.3,34.16666666666667
2000-04-06,10.81,0.3,36.03333333333334
2000-04-07,10.5,0.3,35.0
2000-04-10,10.31,0.3,34.36666666666667
2000-04-11,10.56,0.3,35.2
2000-04-12,10.81,0.3,36.03333333333334
2000-04-13,10.63,0.3,35.43333333333334
2000-04-14,10.13,0.3,33.76666666666667
2000-04-17,10.38,0.3,34.6
2000-04-18,10.63,0.3,35.43333333333334
2000-04-19,10.94,0.3,36.46666666666667
2000-04-20,10.63,0.3,35.43333333333334
2000-04-24,10.88,0.3,36.26666666666667
2000-04-25,11.25,0.3,37.5
2000-04-26,11.0,0.3,36.66666666666667
2000-04-27,10.81,0.3,36.03333333333334
2000-04-28,11.88,0.3,39.6
2000-05-01,11.63,0.3,38.76666666666667
2000-05-02,11.75,0.3,39.16666666666667
2000-05-03,11.56,0.3,38.53333333333334
2000-05-04,11.75,0.3,39.16666666666667
