date,ETFC,ETFC_EPS,PE Ratio
,,0.73,
1996-08-16,28.13,0.73,38.534246575342465
1996-08-19,27.34,0.73,37.45205479452055
1996-08-20,27.5,0.73,37.67123287671233
1996-08-21,26.25,0.73,35.95890410958904
1996-08-22,26.25,0.73,35.95890410958904
1996-08-23,26.56,0.73,36.38356164383561
1996-08-26,26.25,0.73,35.95890410958904
1996-08-27,26.25,0.73,35.95890410958904
1996-08-28,26.56,0.73,36.38356164383561
1996-08-29,26.33,0.73,36.06849315068493
1996-08-30,26.25,0.73,35.95890410958904
1996-09-03,26.25,0.73,35.95890410958904
1996-09-04,26.25,0.73,35.95890410958904
1996-09-05,26.25,0.73,35.95890410958904
1996-09-06,26.25,0.73,35.95890410958904
1996-09-09,26.25,0.73,35.95890410958904
1996-09-10,26.25,0.73,35.95890410958904
1996-09-11,21.88,0.73,29.972602739726028
1996-09-12,22.81,0.73,31.246575342465754
1996-09-13,23.44,0.73,32.109589041095894
1996-09-16,22.81,0.73,31.246575342465754
1996-09-17,21.56,0.73,29.534246575342465
1996-09-18,20.94,0.73,28.684931506849317
1996-09-19,21.25,0.73,29.10958904109589
1996-09-20,24.06,0.73,32.95890410958904
1996-09-23,23.13,0.73,31.684931506849313
1996-09-24,22.81,0.73,31.246575342465754
1996-09-25,23.75,0.73,32.534246575342465
1996-09-26,26.88,0.73,36.821917808219176
1996-09-27,31.25,0.73,42.80821917808219
1996-09-30,32.97,0.73,45.16438356164384
1996-10-01,27.5,0.73,37.67123287671233
1996-10-02,27.81,0.73,38.0958904109589
1996-10-03,30.0,0.73,41.09589041095891
1996-10-04,30.94,0.73,42.38356164383562
1996-10-07,30.94,0.73,42.38356164383562
1996-10-08,29.06,0.73,39.80821917808219
1996-10-09,28.75,0.73,39.38356164383562
1996-10-10,30.63,0.73,41.95890410958904
1996-10-11,31.25,0.73,42.80821917808219
1996-10-14,30.63,0.73,41.95890410958904
1996-10-15,30.31,0.73,41.52054794520548
1996-10-16,30.63,0.73,41.95890410958904
1996-10-17,31.25,0.73,42.80821917808219
1996-10-18,31.25,0.73,42.80821917808219
1996-10-21,31.25,0.73,42.80821917808219
1996-10-22,29.38,0.73,40.24657534246575
1996-10-23,29.69,0.73,40.67123287671233
1996-10-24,29.38,0.73,40.24657534246575
1996-10-25,28.28,0.73,38.73972602739726
1996-10-28,27.19,0.73,37.24657534246575
1996-10-29,26.88,0.73,36.821917808219176
1996-10-30,27.19,0.73,37.24657534246575
1996-10-31,27.81,0.73,38.0958904109589
1996-11-01,24.69,0.73,33.82191780821918
1996-11-04,24.38,0.73,33.397260273972606
1996-11-05,23.13,0.73,31.684931506849313
1996-11-06,25.0,0.73,34.24657534246575
1996-11-07,24.06,0.73,32.95890410958904
1996-11-08,24.38,0.73,33.397260273972606
1996-11-11,23.44,0.73,32.109589041095894
1996-11-12,22.5,0.73,30.82191780821918
1996-11-13,22.5,0.73,30.82191780821918
1996-11-14,24.06,0.73,32.95890410958904
1996-11-15,24.69,0.73,33.82191780821918
1996-11-18,25.0,0.73,34.24657534246575
1996-11-19,25.31,0.73,34.67123287671233
1996-11-20,25.31,0.73,34.67123287671233
1996-11-21,27.46,0.73,37.61643835616439
1996-11-22,26.56,0.73,36.38356164383561
1996-11-25,26.88,0.73,36.821917808219176
1996-11-26,26.56,0.73,36.38356164383561
1996-11-27,26.56,0.73,36.38356164383561
1996-11-29,27.34,0.73,37.45205479452055
1996-12-02,26.88,0.73,36.821917808219176
1996-12-03,28.44,0.73,38.95890410958904
1996-12-04,29.38,0.73,40.24657534246575
1996-12-05,30.31,0.73,41.52054794520548
1996-12-06,28.75,0.73,39.38356164383562
1996-12-09,30.94,0.73,42.38356164383562
1996-12-10,30.0,0.73,41.09589041095891
1996-12-11,29.06,0.73,39.80821917808219
1996-12-12,29.69,0.73,40.67123287671233
1996-12-13,29.38,0.73,40.24657534246575
1996-12-16,28.13,0.73,38.534246575342465
1996-12-17,28.44,0.73,38.95890410958904
1996-12-18,28.44,0.73,38.95890410958904
1996-12-19,28.13,0.73,38.534246575342465
1996-12-20,27.5,0.73,37.67123287671233
1996-12-23,28.13,0.73,38.534246575342465
1996-12-24,27.81,0.73,38.0958904109589
1996-12-26,27.81,0.73,38.0958904109589
1996-12-27,28.13,0.73,38.534246575342465
1996-12-30,28.44,0.73,38.95890410958904
1996-12-31,28.75,0.73,39.38356164383562
1997-01-02,28.13,0.73,38.534246575342465
1997-01-03,27.81,0.73,38.0958904109589
1997-01-06,29.69,0.73,40.67123287671233
1997-01-07,30.31,0.73,41.52054794520548
1997-01-08,29.69,0.73,40.67123287671233
1997-01-09,28.75,0.73,39.38356164383562
1997-01-10,30.0,0.73,41.09589041095891
1997-01-13,30.63,0.73,41.95890410958904
1997-01-14,29.69,0.73,40.67123287671233
1997-01-15,30.63,0.73,41.95890410958904
1997-01-16,31.25,0.73,42.80821917808219
1997-01-17,31.56,0.73,43.23287671232877
1997-01-20,33.13,0.73,45.38356164383562
1997-01-21,40.94,0.73,56.082191780821915
1997-01-22,48.44,0.73,66.35616438356165
1997-01-23,46.25,0.73,63.35616438356165
1997-01-24,47.19,0.73,64.64383561643835
1997-01-27,46.25,0.73,63.35616438356165
1997-01-28,44.38,0.73,60.79452054794521
1997-01-29,44.69,0.73,61.21917808219178
1997-01-30,44.69,0.73,61.21917808219178
1997-01-31,44.06,0.73,60.35616438356165
1997-02-03,44.69,0.73,61.21917808219178
1997-02-04,45.0,0.73,61.64383561643836
1997-02-05,44.69,0.73,61.21917808219178
1997-02-06,42.03,0.73,57.57534246575343
1997-02-07,38.75,0.73,53.08219178082192
1997-02-10,37.19,0.73,50.945205479452056
1997-02-11,35.31,0.73,48.369863013698634
1997-02-12,36.88,0.73,50.520547945205486
1997-02-13,40.94,0.73,56.082191780821915
1997-02-14,42.19,0.73,57.794520547945204
1997-02-18,40.63,0.73,55.657534246575345
1997-02-19,45.0,0.73,61.64383561643836
1997-02-20,45.31,0.73,62.06849315068494
1997-02-21,48.44,0.73,66.35616438356165
1997-02-24,55.47,0.73,75.98630136986301
1997-02-25,50.31,0.73,68.91780821917808
1997-02-26,49.69,0.73,68.06849315068493
1997-02-27,53.13,0.73,72.78082191780823
1997-02-28,60.0,0.73,82.19178082191782
1997-03-03,63.13,0.73,86.47945205479452
1997-03-04,62.19,0.73,85.1917808219178
1997-03-05,63.13,0.73,86.47945205479452
1997-03-06,58.75,0.73,80.47945205479452
1997-03-07,62.19,0.73,85.1917808219178
1997-03-10,60.63,0.73,83.05479452054794
1997-03-11,59.38,0.73,81.34246575342466
1997-03-12,56.41,0.73,77.27397260273972
1997-03-13,54.06,0.73,74.05479452054794
1997-03-14,52.19,0.73,71.4931506849315
1997-03-17,50.94,0.73,69.78082191780821
1997-03-18,50.0,0.73,68.4931506849315
1997-03-19,49.06,0.73,67.2054794520548
1997-03-20,48.13,0.73,65.93150684931507
1997-03-21,47.5,0.73,65.06849315068493
1997-03-24,45.16,0.73,61.863013698630134
1997-03-25,45.63,0.73,62.5068493150685
1997-03-26,45.0,0.73,61.64383561643836
1997-03-27,44.69,0.73,61.21917808219178
1997-03-31,45.0,0.73,61.64383561643836
1997-04-01,46.56,0.73,63.780821917808225
1997-04-02,44.22,0.73,60.57534246575342
1997-04-03,42.66,0.73,58.438356164383556
1997-04-04,43.75,0.73,59.93150684931507
1997-04-07,46.56,0.73,63.780821917808225
1997-04-08,47.66,0.73,65.2876712328767
1997-04-09,48.13,0.73,65.93150684931507
1997-04-10,47.5,0.73,65.06849315068493
1997-04-11,44.69,0.73,61.21917808219178
1997-04-14,43.91,0.73,60.150684931506845
1997-04-15,44.06,0.73,60.35616438356165
1997-04-16,43.44,0.73,59.50684931506849
1997-04-17,39.84,0.73,54.57534246575343
1997-04-18,42.66,0.73,58.438356164383556
1997-04-21,41.25,0.73,56.50684931506849
1997-04-22,40.94,0.73,56.082191780821915
1997-04-23,40.78,0.73,55.86301369863014
1997-04-24,44.22,0.73,60.57534246575342
1997-04-25,39.06,0.73,53.5068493150685
1997-04-28,38.44,0.73,52.65753424657534
1997-04-29,36.88,0.73,50.520547945205486
1997-04-30,37.5,0.73,51.369863013698634
1997-05-01,37.81,0.73,51.79452054794521
1997-05-02,42.5,0.73,58.21917808219178
1997-05-05,45.31,0.73,62.06849315068494
1997-05-06,45.0,0.73,61.64383561643836
1997-05-07,44.69,0.73,61.21917808219178
1997-05-08,44.84,0.73,61.424657534246585
1997-05-09,44.69,0.73,61.21917808219178
1997-05-12,44.06,0.73,60.35616438356165
1997-05-13,42.5,0.73,58.21917808219178
1997-05-14,42.19,0.73,57.794520547945204
1997-05-15,40.0,0.73,54.794520547945204
1997-05-16,39.84,0.73,54.57534246575343
1997-05-19,38.75,0.73,53.08219178082192
1997-05-20,39.53,0.73,54.15068493150685
1997-05-21,40.31,0.73,55.21917808219179
1997-05-22,42.19,0.73,57.794520547945204
1997-05-23,42.81,0.73,58.64383561643836
1997-05-27,43.13,0.73,59.08219178082192
1997-05-28,43.44,0.73,59.50684931506849
1997-05-29,43.13,0.73,59.08219178082192
