date,MRK,MRK_EPS,PE Ratio
,,0.17,
1970-01-02,1.55,0.17,9.117647058823529
1970-01-05,1.54,0.17,9.058823529411764
1970-01-06,1.55,0.17,9.117647058823529
1970-01-07,1.53,0.17,9.0
1970-01-08,1.55,0.17,9.117647058823529
1970-01-09,1.54,0.17,9.058823529411764
1970-01-12,1.54,0.17,9.058823529411764
1970-01-13,1.54,0.17,9.058823529411764
1970-01-14,1.53,0.17,9.0
1970-01-15,1.53,0.17,9.0
1970-01-16,1.53,0.17,9.0
1970-01-19,1.51,0.17,8.88235294117647
1970-01-20,1.52,0.17,8.941176470588236
1970-01-21,1.53,0.17,9.0
1970-01-22,1.52,0.17,8.941176470588236
1970-01-23,1.51,0.17,8.88235294117647
1970-01-26,1.45,0.17,8.529411764705882
1970-01-27,1.46,0.17,8.588235294117647
1970-01-28,1.43,0.17,8.411764705882351
1970-01-29,1.42,0.17,8.352941176470587
1970-01-30,1.4,0.17,8.235294117647058
1970-02-02,1.42,0.17,8.352941176470587
1970-02-03,1.52,0.17,8.941176470588236
1970-02-04,1.48,0.17,8.705882352941176
1970-02-05,1.5,0.17,8.823529411764705
1970-02-06,1.48,0.17,8.705882352941176
1970-02-09,1.5,0.17,8.823529411764705
1970-02-10,1.49,0.17,8.76470588235294
1970-02-11,1.5,0.17,8.823529411764705
1970-02-12,1.51,0.17,8.88235294117647
1970-02-13,1.52,0.17,8.941176470588236
1970-02-16,1.53,0.17,9.0
1970-02-17,1.53,0.17,9.0
1970-02-18,1.51,0.17,8.88235294117647
1970-02-19,1.51,0.17,8.88235294117647
1970-02-20,1.52,0.17,8.941176470588236
1970-02-24,1.55,0.17,9.117647058823529
1970-02-25,1.56,0.17,9.176470588235293
1970-02-26,1.52,0.17,8.941176470588236
1970-02-27,1.51,0.17,8.88235294117647
1970-03-02,1.49,0.17,8.76470588235294
1970-03-03,1.5,0.17,8.823529411764705
1970-03-04,1.49,0.17,8.76470588235294
1970-03-05,1.48,0.17,8.705882352941176
1970-03-06,1.48,0.17,8.705882352941176
1970-03-09,1.47,0.17,8.647058823529411
1970-03-10,1.45,0.17,8.529411764705882
1970-03-11,1.44,0.17,8.470588235294116
1970-03-12,1.42,0.17,8.352941176470587
1970-03-13,1.37,0.17,8.058823529411764
1970-03-16,1.35,0.17,7.9411764705882355
1970-03-17,1.36,0.17,8.0
1970-03-18,1.41,0.17,8.294117647058822
1970-03-19,1.41,0.17,8.294117647058822
1970-03-20,1.37,0.17,8.058823529411764
1970-03-23,1.38,0.17,8.117647058823529
1970-03-24,1.4,0.17,8.235294117647058
1970-03-25,1.44,0.17,8.470588235294116
1970-03-26,1.44,0.17,8.470588235294116
1970-03-30,1.44,0.17,8.470588235294116
1970-03-31,1.42,0.17,8.352941176470587
1970-04-01,1.42,0.17,8.352941176470587
1970-04-02,1.41,0.17,8.294117647058822
1970-04-03,1.39,0.17,8.176470588235293
1970-04-06,1.38,0.17,8.117647058823529
1970-04-07,1.39,0.17,8.176470588235293
1970-04-08,1.42,0.17,8.352941176470587
1970-04-09,1.39,0.17,8.176470588235293
1970-04-10,1.39,0.17,8.176470588235293
1970-04-13,1.37,0.17,8.058823529411764
1970-04-14,1.38,0.17,8.117647058823529
1970-04-15,1.38,0.17,8.117647058823529
1970-04-16,1.36,0.17,8.0
1970-04-17,1.34,0.17,7.88235294117647
1970-04-20,1.35,0.17,7.9411764705882355
1970-04-21,1.34,0.17,7.88235294117647
1970-04-22,1.33,0.17,7.823529411764706
1970-04-23,1.29,0.17,7.588235294117647
1970-04-24,1.3,0.17,7.647058823529411
1970-04-27,1.31,0.17,7.705882352941177
1970-04-28,1.3,0.17,7.647058823529411
1970-04-29,1.32,0.17,7.764705882352941
1970-04-30,1.31,0.17,7.705882352941177
1970-05-01,1.31,0.17,7.705882352941177
1970-05-04,1.28,0.17,7.529411764705882
1970-05-05,1.28,0.17,7.529411764705882
1970-05-06,1.28,0.17,7.529411764705882
1970-05-07,1.28,0.17,7.529411764705882
1970-05-08,1.27,0.17,7.470588235294117
1970-05-11,1.27,0.17,7.470588235294117
1970-05-12,1.27,0.17,7.470588235294117
1970-05-13,1.26,0.17,7.411764705882352
1970-05-14,1.25,0.17,7.352941176470588
1970-05-15,1.26,0.17,7.411764705882352
1970-05-18,1.26,0.17,7.411764705882352
1970-05-19,1.24,0.17,7.294117647058823
1970-05-20,1.21,0.17,7.117647058823529
1970-05-21,1.16,0.17,6.823529411764705
1970-05-22,1.16,0.17,6.823529411764705
1970-05-25,1.15,0.17,6.76470588235294
1970-05-26,1.09,0.17,6.411764705882353
1970-05-27,1.14,0.17,6.705882352941176
1970-05-28,1.17,0.17,6.88235294117647
1970-05-29,1.17,0.17,6.88235294117647
1970-06-01,1.19,0.17,6.999999999999999
