date,SJM,SJM_EPS,PE Ratio
1994-10-31,23.75,,
1994-11-01,23.38,,
1994-11-02,23.75,,
1994-11-03,23.63,,
1994-11-04,23.13,,
1994-11-07,23.25,,
1994-11-08,23.0,,
1994-11-09,23.13,,
1994-11-10,23.13,,
1994-11-11,23.13,,
1994-11-14,23.13,,
1994-11-15,23.0,,
1994-11-16,23.13,,
1994-11-17,23.88,,
1994-11-18,23.63,,
1994-11-21,23.75,,
1994-11-22,23.5,,
1994-11-23,23.63,,
1994-11-25,23.5,,
1994-11-28,23.5,,
1994-11-29,23.38,,
1994-11-30,23.38,,
1994-12-01,22.75,,
1994-12-02,22.75,,
1994-12-05,22.63,,
1994-12-06,22.13,,
1994-12-07,22.13,,
1994-12-08,22.25,,
1994-12-09,22.0,,
1994-12-12,22.13,,
1994-12-13,22.63,,
1994-12-14,23.88,,
1994-12-15,24.75,,
1994-12-16,24.38,,
1994-12-19,24.0,,
1994-12-20,24.38,,
1994-12-21,24.88,,
1994-12-22,24.88,,
1994-12-23,25.0,,
1994-12-27,24.75,,
1994-12-28,24.75,,
1994-12-29,23.75,,
1994-12-30,24.0,,
1995-01-03,23.75,,
1995-01-04,24.25,,
1995-01-05,24.13,,
1995-01-06,24.25,,
1995-01-09,24.13,,
1995-01-10,23.5,,
1995-01-11,23.5,,
1995-01-12,23.38,,
1995-01-13,23.5,,
1995-01-16,23.5,,
1995-01-17,23.75,,
1995-01-18,23.75,,
1995-01-19,23.5,,
1995-01-20,22.75,,
1995-01-23,23.25,,
1995-01-24,23.25,,
1995-01-25,23.63,,
1995-01-26,23.38,,
1995-01-27,22.88,,
1995-01-30,22.88,,
1995-01-31,23.13,,
1995-02-01,22.88,,
1995-02-02,23.0,,
1995-02-03,22.88,,
1995-02-06,23.13,,
1995-02-07,23.0,,
1995-02-08,22.25,,
1995-02-09,22.75,,
1995-02-10,23.38,,
1995-02-13,23.5,,
1995-02-14,23.75,,
1995-02-15,23.38,,
1995-02-16,23.0,,
1995-02-17,23.25,,
1995-02-21,23.0,,
1995-02-22,22.88,,
1995-02-23,22.75,,
1995-02-24,22.88,,
1995-02-27,23.25,,
1995-02-28,23.5,,
1995-03-01,22.88,,
1995-03-02,23.13,,
1995-03-03,23.13,,
1995-03-06,23.25,,
1995-03-07,22.75,,
1995-03-08,22.75,,
1995-03-09,23.13,,
1995-03-10,23.13,,
1995-03-13,23.25,,
1995-03-14,22.88,,
1995-03-15,22.75,,
1995-03-16,22.13,,
1995-03-17,21.75,,
1995-03-20,21.38,,
1995-03-21,21.0,,
1995-03-22,20.75,,
1995-03-23,20.75,,
1995-03-24,21.13,,
1995-03-27,21.25,,
1995-03-28,21.0,,
1995-03-29,21.63,,
1995-03-30,22.38,,
1995-03-31,22.13,,
1995-04-03,23.0,,
1995-04-04,22.13,,
1995-04-05,22.0,,
1995-04-06,21.75,,
1995-04-07,21.88,,
1995-04-10,22.25,,
1995-04-11,21.5,,
1995-04-12,21.75,,
1995-04-13,21.5,,
1995-04-17,21.63,,
1995-04-18,21.63,,
1995-04-19,21.25,,
1995-04-20,21.0,,
1995-04-21,21.38,,
1995-04-24,21.75,,
1995-04-25,21.5,,
1995-04-26,21.38,,
1995-04-27,21.5,,
1995-04-28,21.5,,
1995-05-01,21.5,,
1995-05-02,21.5,,
1995-05-03,21.38,,
1995-05-04,21.5,,
1995-05-05,21.88,,
1995-05-08,21.63,,
1995-05-09,21.63,,
1995-05-10,21.38,,
1995-05-11,21.25,,
1995-05-12,21.5,,
1995-05-15,21.5,,
1995-05-16,21.63,,
1995-05-17,21.75,,
1995-05-18,22.25,,
1995-05-19,22.0,,
1995-05-22,21.63,,
1995-05-23,22.38,,
1995-05-24,22.13,,
1995-05-25,22.13,,
1995-05-26,22.0,,
1995-05-30,22.5,,
1995-05-31,22.5,,
1995-06-01,22.63,,
1995-06-02,23.5,,
1995-06-05,23.63,,
1995-06-06,23.63,,
1995-06-07,23.5,,
1995-06-08,23.25,,
1995-06-09,23.5,,
1995-06-12,22.5,,
1995-06-13,22.0,,
1995-06-14,22.5,,
1995-06-15,22.13,,
1995-06-16,22.0,,
1995-06-19,21.88,,
1995-06-20,22.0,,
1995-06-21,22.25,,
1995-06-22,22.13,,
1995-06-23,21.75,,
1995-06-26,21.75,,
1995-06-27,21.38,,
1995-06-28,21.38,,
1995-06-29,21.63,,
1995-06-30,22.13,,
1995-07-03,21.88,,
1995-07-05,21.88,,
1995-07-06,22.5,,
1995-07-07,22.13,,
1995-07-10,21.75,,
1995-07-11,22.13,,
1995-07-12,22.0,,
1995-07-13,22.25,,
1995-07-14,22.0,,
1995-07-17,21.88,,
1995-07-18,20.88,,
1995-07-19,20.75,,
1995-07-20,20.88,,
1995-07-21,21.13,,
1995-07-24,20.75,,
1995-07-25,21.0,,
1995-07-26,21.38,,
1995-07-27,21.63,,
1995-07-28,21.38,,
1995-07-31,21.88,,
1995-08-01,22.0,,
1995-08-02,22.38,,
1995-08-03,22.25,,
1995-08-04,22.38,,
1995-08-07,22.5,,
1995-08-08,22.5,,
1995-08-09,21.88,,
1995-08-10,21.63,,
1995-08-11,21.63,,
1995-08-14,21.88,,
1995-08-15,21.5,,
1995-08-16,21.63,,
1995-08-17,21.75,,
1995-08-18,21.5,,
1995-08-21,21.75,,
1995-08-22,21.38,,
1995-08-23,21.5,,
1995-08-24,21.5,,
1995-08-25,21.5,,
1995-08-28,21.38,,
1995-08-29,20.75,,
1995-08-30,20.88,,
1995-08-31,21.0,,
1995-09-01,20.88,,
1995-09-05,20.63,,
1995-09-06,20.88,,
1995-09-07,21.13,,
1995-09-08,21.13,,
1995-09-11,21.0,,
1995-09-12,21.13,,
1995-09-13,21.25,,
1995-09-14,21.13,,
1995-09-15,21.25,,
1995-09-18,21.25,,
1995-09-19,21.13,,
1995-09-20,21.13,,
1995-09-21,20.75,,
1995-09-22,20.63,,
1995-09-25,20.88,,
1995-09-26,21.0,,
1995-09-27,20.88,,
1995-09-28,20.63,,
1995-09-29,20.88,,
1995-10-02,20.75,,
1995-10-03,20.75,,
1995-10-04,20.75,,
1995-10-05,20.38,,
1995-10-06,20.88,,
1995-10-09,20.75,,
1995-10-10,20.75,,
1995-10-11,20.63,,
1995-10-12,20.63,,
1995-10-13,20.75,,
1995-10-16,20.63,,
1995-10-17,20.75,,
1995-10-18,20.75,,
1995-10-19,20.63,,
1995-10-20,20.63,,
1995-10-23,20.13,,
1995-10-24,20.75,,
1995-10-25,20.5,,
1995-10-26,20.5,,
1995-10-27,20.38,,
1995-10-30,20.25,,
1995-10-31,19.63,,
1995-11-01,19.5,,
1995-11-02,19.5,,
1995-11-03,20.0,,
1995-11-06,19.88,,
1995-11-07,18.38,,
1995-11-08,18.0,,
1995-11-09,18.25,,
1995-11-10,18.25,,
1995-11-13,17.75,,
1995-11-14,18.0,,
1995-11-15,18.0,,
1995-11-16,18.5,,
1995-11-17,18.63,,
1995-11-20,18.38,,
1995-11-21,18.5,,
1995-11-22,19.25,,
1995-11-24,20.25,,
1995-11-27,20.5,,
1995-11-28,20.5,,
1995-11-29,20.5,,
1995-11-30,20.88,,
1995-12-01,20.88,,
1995-12-04,20.63,,
1995-12-05,20.63,,
1995-12-06,20.63,,
1995-12-07,20.25,,
1995-12-08,19.88,,
1995-12-11,19.38,,
1995-12-12,18.88,,
1995-12-13,19.0,,
1995-12-14,18.88,,
1995-12-15,18.75,,
1995-12-18,18.0,,
1995-12-19,18.13,,
1995-12-20,18.25,,
1995-12-21,17.88,,
1995-12-22,18.0,,
1995-12-26,18.88,,
1995-12-27,20.0,,
1995-12-28,21.38,,
1995-12-29,22.0,,
1996-01-02,21.0,,
1996-01-03,20.88,,
1996-01-04,21.75,,
1996-01-05,21.5,,
1996-01-08,21.0,,
1996-01-09,21.13,,
1996-01-10,20.63,,
1996-01-11,20.5,,
1996-01-12,20.25,,
1996-01-15,19.88,,
1996-01-16,20.25,,
1996-01-17,20.0,,
1996-01-18,20.13,,
1996-01-19,20.5,,
1996-01-22,20.75,,
1996-01-23,20.88,,
1996-01-24,20.75,,
1996-01-25,21.0,,
1996-01-26,20.88,,
1996-01-29,20.63,,
1996-01-30,21.13,,
1996-01-31,20.75,,
1996-02-01,20.63,,
1996-02-02,20.75,,
1996-02-05,20.13,,
1996-02-06,20.25,,
1996-02-07,20.13,,
1996-02-08,19.75,,
1996-02-09,19.88,,
1996-02-12,19.75,,
1996-02-13,20.0,,
1996-02-14,19.88,,
1996-02-15,19.63,,
1996-02-16,20.13,,
1996-02-20,19.63,,
1996-02-21,19.88,,
1996-02-22,20.13,,
1996-02-23,20.25,,
1996-02-26,20.0,,
1996-02-27,20.38,,
1996-02-28,20.0,,
1996-02-29,20.13,,
1996-03-01,21.63,,
1996-03-04,21.75,,
1996-03-05,21.0,,
1996-03-06,20.38,,
1996-03-07,20.38,,
1996-03-08,19.75,,
1996-03-11,20.0,,
1996-03-12,20.25,,
1996-03-13,20.0,,
1996-03-14,20.13,,
1996-03-15,20.38,,
1996-03-18,20.5,,
1996-03-19,20.5,,
1996-03-20,20.38,,
1996-03-21,20.13,,
1996-03-22,19.75,,
1996-03-25,20.0,,
1996-03-26,20.38,,
1996-03-27,20.63,,
1996-03-28,20.75,,
1996-03-29,22.25,,
1996-04-01,21.88,,
1996-04-02,21.38,,
1996-04-03,20.88,,
1996-04-04,21.25,,
1996-04-08,20.38,,
1996-04-09,21.25,,
1996-04-10,21.13,,
1996-04-11,21.5,,
1996-04-12,21.5,,
1996-04-15,21.25,,
1996-04-16,21.0,,
1996-04-17,21.38,,
1996-04-18,21.25,,
1996-04-19,21.5,,
1996-04-22,21.38,,
1996-04-23,21.75,,
1996-04-24,21.38,,
1996-04-25,21.63,,
1996-04-26,21.5,,
1996-04-29,21.13,,
1996-04-30,21.13,,
1996-05-01,21.25,,
1996-05-02,21.0,,
1996-05-03,21.0,,
1996-05-06,21.0,,
1996-05-07,21.0,,
1996-05-08,21.63,,
1996-05-09,21.63,,
1996-05-10,21.75,,
1996-05-13,20.88,,
1996-05-14,20.88,,
1996-05-15,21.0,,
1996-05-16,20.88,,
1996-05-17,20.88,,
1996-05-20,20.88,,
1996-05-21,21.13,,
1996-05-22,20.88,,
1996-05-23,21.0,,
1996-05-24,20.88,,
1996-05-28,20.88,,
1996-05-29,20.75,,
1996-05-30,20.75,,
1996-05-31,20.38,,
1996-06-03,20.38,,
1996-06-04,20.75,,
1996-06-05,20.25,,
1996-06-06,20.63,,
1996-06-07,20.63,,
1996-06-10,20.25,,
1996-06-11,20.38,,
1996-06-12,19.88,,
1996-06-13,19.5,,
1996-06-14,19.13,,
1996-06-17,19.25,,
1996-06-18,19.5,,
1996-06-19,19.88,,
1996-06-20,19.13,,
1996-06-21,19.88,,
1996-06-24,19.63,,
1996-06-25,19.0,,
1996-06-26,19.38,,
1996-06-27,19.88,,
1996-06-28,19.63,,
1996-07-01,19.5,,
1996-07-02,19.38,,
1996-07-03,19.88,,
1996-07-05,19.63,,
1996-07-08,19.25,,
1996-07-09,19.38,,
1996-07-10,19.38,,
1996-07-11,19.38,,
1996-07-12,18.38,,
1996-07-15,18.63,,
1996-07-16,18.75,,
1996-07-17,18.38,,
1996-07-18,19.0,,
1996-07-19,18.5,,
1996-07-22,18.63,,
1996-07-23,18.5,,
1996-07-24,18.0,,
1996-07-25,18.0,,
1996-07-26,17.88,,
1996-07-29,17.88,,
1996-07-30,18.13,,
1996-07-31,17.75,,
1996-08-01,18.0,,
1996-08-02,18.25,,
1996-08-05,18.0,,
1996-08-06,17.88,,
1996-08-07,18.13,,
1996-08-08,17.88,,
1996-08-09,17.75,,
1996-08-12,17.88,,
1996-08-13,17.63,,
1996-08-14,17.38,,
1996-08-15,17.25,,
1996-08-16,17.25,,
1996-08-19,17.13,,
1996-08-20,17.5,,
1996-08-21,17.38,,
1996-08-22,17.0,,
1996-08-23,17.0,,
1996-08-26,16.63,,
1996-08-27,17.25,,
1996-08-28,16.88,,
1996-08-29,16.75,,
1996-08-30,16.5,,
1996-09-03,16.5,,
1996-09-04,16.88,,
1996-09-05,16.63,,
1996-09-06,17.0,,
1996-09-09,17.0,,
1996-09-10,17.0,,
1996-09-11,17.0,,
1996-09-12,17.0,,
1996-09-13,17.75,,
1996-09-16,17.13,,
1996-09-17,17.25,,
1996-09-18,17.0,,
1996-09-19,17.13,,
1996-09-20,17.25,,
1996-09-23,17.0,,
1996-09-24,17.13,,
1996-09-25,17.13,,
1996-09-26,17.0,,
1996-09-27,17.0,,
1996-09-30,17.0,,
1996-10-01,17.13,,
1996-10-02,17.13,,
1996-10-03,17.13,,
1996-10-04,17.13,,
1996-10-07,17.0,,
1996-10-08,17.0,,
1996-10-09,17.0,,
1996-10-10,17.13,,
1996-10-11,17.38,,
1996-10-14,17.38,,
1996-10-15,17.0,,
1996-10-16,17.0,,
1996-10-17,17.63,,
1996-10-18,17.25,,
1996-10-21,17.38,,
1996-10-22,16.88,,
1996-10-23,16.88,,
1996-10-24,17.13,,
1996-10-25,17.0,,
1996-10-28,16.5,,
1996-10-29,16.5,,
1996-10-30,16.5,,
1996-10-31,16.5,,
1996-11-01,16.5,,
1996-11-04,16.63,,
1996-11-05,16.75,,
1996-11-06,16.75,,
1996-11-07,16.88,,
1996-11-08,17.0,,
1996-11-11,17.38,,
1996-11-12,17.13,,
1996-11-13,17.25,,
1996-11-14,17.38,,
1996-11-15,16.75,,
1996-11-18,16.75,,
1996-11-19,17.25,,
1996-11-20,17.25,,
1996-11-21,17.38,,
1996-11-22,17.5,,
1996-11-25,17.88,,
1996-11-26,18.13,,
1996-11-27,18.25,,
1996-11-29,18.0,,
1996-12-02,18.0,,
1996-12-03,18.5,,
1996-12-04,18.75,,
1996-12-05,18.5,,
1996-12-06,18.0,,
1996-12-09,18.25,,
1996-12-10,18.0,,
1996-12-11,18.0,,
1996-12-12,17.88,,
1996-12-13,18.0,,
1996-12-16,17.25,,
1996-12-17,17.63,,
1996-12-18,17.25,,
1996-12-19,17.38,,
1996-12-20,18.0,,
1996-12-23,17.25,,
1996-12-24,17.38,,
1996-12-26,17.5,,
1996-12-27,17.63,,
1996-12-30,17.63,,
1996-12-31,17.63,,
1997-01-02,17.25,,
1997-01-03,17.63,,
1997-01-06,17.38,,
1997-01-07,17.0,,
1997-01-08,17.5,,
1997-01-09,18.25,,
1997-01-10,18.13,,
1997-01-13,18.0,,
1997-01-14,18.63,,
1997-01-15,18.38,,
1997-01-16,18.25,,
1997-01-17,18.0,,
1997-01-20,18.0,,
1997-01-21,17.88,,
1997-01-22,17.88,,
1997-01-23,17.75,,
1997-01-24,17.5,,
1997-01-27,17.63,,
1997-01-28,17.75,,
1997-01-29,17.63,,
1997-01-30,17.5,,
1997-01-31,17.5,,
1997-02-03,18.25,,
1997-02-04,18.13,,
1997-02-05,17.38,,
1997-02-06,17.75,,
1997-02-07,17.75,,
1997-02-10,17.0,,
1997-02-11,17.25,,
1997-02-12,17.0,,
1997-02-13,17.5,,
1997-02-14,17.88,,
1997-02-18,18.0,,
1997-02-19,18.38,,
1997-02-20,18.13,,
1997-02-21,18.13,,
1997-02-24,18.0,,
1997-02-25,18.0,,
1997-02-26,17.0,,
1997-02-27,16.75,,
1997-02-28,16.63,,
1997-03-03,16.5,,
1997-03-04,17.13,,
1997-03-05,17.13,,
1997-03-06,17.63,,
1997-03-07,18.0,,
1997-03-10,18.25,,
1997-03-11,18.75,,
1997-03-12,18.63,,
1997-03-13,18.13,,
1997-03-14,18.88,,
1997-03-17,18.63,,
1997-03-18,18.75,,
1997-03-19,18.63,,
1997-03-20,18.13,,
