date,GWW,GWW_EPS,PE Ratio
1973-02-21,4.55,,
1973-02-22,4.58,,
1973-02-23,4.73,,
1973-02-26,4.73,,
1973-02-27,4.67,,
1973-02-28,4.63,,
1973-03-01,4.64,,
1973-03-02,4.63,,
1973-03-05,4.59,,
1973-03-06,4.61,,
1973-03-07,4.5,,
1973-03-08,4.5,,
1973-03-09,4.38,,
1973-03-12,4.25,,
1973-03-13,4.31,,
1973-03-14,4.27,,
1973-03-15,4.25,,
1973-03-16,4.25,,
1973-03-19,4.27,,
1973-03-20,4.22,,
1973-03-21,4.16,,
1973-03-22,3.89,,
1973-03-23,3.81,,
1973-03-26,3.78,,
1973-03-27,4.0,,
1973-03-28,4.23,,
1973-03-29,4.38,,
1973-03-30,4.38,,
1973-04-02,4.34,,
1973-04-03,4.2,,
1973-04-04,4.09,,
1973-04-05,4.0,,
1973-04-06,3.91,,
1973-04-09,4.03,,
1973-04-10,4.13,,
1973-04-11,4.13,,
1973-04-12,4.13,,
1973-04-13,4.09,,
1973-04-16,3.97,,
1973-04-17,4.03,,
1973-04-18,4.03,,
1973-04-19,4.06,,
1973-04-23,4.13,,
1973-04-24,4.06,,
1973-04-25,4.06,,
1973-04-26,4.09,,
1973-04-27,4.08,,
1973-04-30,4.02,,
1973-05-01,3.81,,
1973-05-02,3.88,,
1973-05-03,4.0,,
1973-05-04,4.13,,
1973-05-07,4.06,,
1973-05-08,4.0,,
1973-05-09,3.92,,
1973-05-10,3.98,,
1973-05-11,3.95,,
1973-05-14,3.88,,
1973-05-15,3.84,,
1973-05-16,3.8,,
1973-05-17,3.73,,
1973-05-18,3.47,,
1973-05-21,3.41,,
1973-05-22,3.48,,
1973-05-23,3.63,,
1973-05-24,3.7,,
1973-05-25,3.83,,
1973-05-29,3.81,,
1973-05-30,3.66,,
1973-05-31,3.55,,
1973-06-01,3.53,,
1973-06-04,3.5,,
1973-06-05,3.63,,
1973-06-06,3.52,,
1973-06-07,3.56,,
1973-06-08,3.58,,
1973-06-11,3.63,,
1973-06-12,3.73,,
1973-06-13,3.75,,
1973-06-14,3.88,,
1973-06-15,3.75,,
1973-06-18,3.69,,
1973-06-19,3.75,,
1973-06-20,3.69,,
1973-06-21,3.5,,
1973-06-22,3.5,,
1973-06-25,3.45,,
1973-06-26,3.5,,
1973-06-27,3.53,,
1973-06-28,3.63,,
1973-06-29,3.56,,
1973-07-02,3.5,,
1973-07-03,3.55,,
1973-07-05,3.53,,
1973-07-06,3.48,,
1973-07-09,3.55,,
1973-07-10,3.63,,
1973-07-11,3.64,,
1973-07-12,3.75,,
1973-07-13,3.72,,
1973-07-16,3.72,,
1973-07-17,3.88,,
1973-07-18,3.88,,
1973-07-19,4.03,,
1973-07-20,4.09,,
1973-07-23,4.48,,
1973-07-24,4.48,,
1973-07-25,4.56,,
1973-07-26,4.69,,
1973-07-27,4.75,,
1973-07-30,4.75,,
1973-07-31,4.72,,
1973-08-01,4.5,,
1973-08-02,4.41,,
1973-08-03,4.41,,
1973-08-06,4.48,,
1973-08-07,4.56,,
1973-08-08,4.55,,
1973-08-09,4.55,,
1973-08-10,4.5,,
1973-08-13,4.47,,
1973-08-14,4.45,,
1973-08-15,4.41,,
1973-08-16,4.47,,
1973-08-17,4.47,,
1973-08-20,4.47,,
1973-08-21,4.33,,
1973-08-22,4.31,,
1973-08-23,4.38,,
1973-08-24,4.38,,
1973-08-27,4.41,,
1973-08-28,4.38,,
1973-08-29,4.42,,
1973-08-30,4.42,,
1973-08-31,4.42,,
1973-09-04,4.47,,
1973-09-05,4.5,,
1973-09-06,4.55,,
1973-09-07,4.63,,
1973-09-10,4.69,,
1973-09-11,4.63,,
1973-09-12,4.53,,
1973-09-13,4.5,,
1973-09-14,4.5,,
1973-09-17,4.48,,
1973-09-18,4.53,,
1973-09-19,4.53,,
1973-09-20,4.72,,
1973-09-21,4.8,,
1973-09-24,4.94,,
1973-09-25,4.81,,
1973-09-26,4.75,,
1973-09-27,4.75,,
1973-09-28,4.7,,
1973-10-01,4.78,,
1973-10-02,4.77,,
1973-10-03,4.81,,
1973-10-04,4.86,,
1973-10-05,5.0,,
1973-10-08,4.92,,
1973-10-09,4.97,,
1973-10-10,4.97,,
1973-10-11,5.06,,
1973-10-12,5.0,,
1973-10-15,4.97,,
1973-10-16,4.88,,
1973-10-17,4.88,,
1973-10-18,5.0,,
1973-10-19,5.13,,
1973-10-22,5.03,,
1973-10-23,5.0,,
1973-10-24,4.97,,
1973-10-25,5.06,,
1973-10-26,5.16,,
1973-10-29,5.22,,
1973-10-30,5.19,,
1973-10-31,5.42,,
1973-11-01,5.59,,
1973-11-02,5.59,,
1973-11-05,5.41,,
1973-11-06,5.22,,
1973-11-07,5.28,,
1973-11-08,5.38,,
1973-11-09,5.41,,
1973-11-12,5.25,,
1973-11-13,5.22,,
1973-11-14,5.22,,
1973-11-15,5.16,,
1973-11-16,5.03,,
1973-11-19,4.91,,
1973-11-20,4.56,,
1973-11-21,4.61,,
1973-11-23,4.58,,
1973-11-26,4.42,,
1973-11-27,4.34,,
1973-11-28,4.41,,
1973-11-29,4.44,,
1973-11-30,4.47,,
1973-12-03,3.95,,
1973-12-04,4.0,,
1973-12-05,3.94,,
1973-12-06,4.13,,
1973-12-07,4.47,,
1973-12-10,4.31,,
1973-12-11,4.31,,
1973-12-12,4.19,,
1973-12-13,4.06,,
1973-12-14,4.16,,
1973-12-17,4.14,,
1973-12-18,4.25,,
1973-12-19,4.28,,
1973-12-20,4.22,,
1973-12-21,4.55,,
1973-12-24,4.5,,
1973-12-26,4.53,,
1973-12-27,4.5,,
1973-12-28,4.33,,
1973-12-31,4.33,,
1974-01-02,4.3,,
1974-01-03,4.31,,
1974-01-04,4.3,,
1974-01-07,4.25,,
1974-01-08,4.28,,
1974-01-09,4.08,,
1974-01-10,4.06,,
1974-01-11,4.06,,
1974-01-14,4.09,,
1974-01-15,4.34,,
1974-01-16,4.38,,
1974-01-17,4.3,,
1974-01-18,4.13,,
1974-01-21,3.97,,
1974-01-22,3.94,,
1974-01-23,4.08,,
1974-01-24,4.09,,
1974-01-25,4.11,,
1974-01-28,4.09,,
1974-01-29,3.94,,
1974-01-30,3.97,,
1974-01-31,3.97,,
1974-02-01,4.0,,
1974-02-04,4.03,,
