date,FTV,FTV_EPS,PE Ratio
,,0.67,
2016-07-05,48.6,0.67,72.53731343283582
2016-07-06,47.75,0.67,71.26865671641791
2016-07-07,47.74,0.67,71.25373134328358
2016-07-08,50.2,0.67,74.92537313432835
2016-07-11,51.12,0.67,76.29850746268656
2016-07-12,50.57,0.67,75.4776119402985
2016-07-13,50.62,0.67,75.55223880597013
2016-07-14,51.57,0.67,76.97014925373134
2016-07-15,51.23,0.67,76.46268656716417
2016-07-18,51.29,0.67,76.55223880597015
2016-07-19,51.55,0.67,76.94029850746267
2016-07-20,50.34,0.67,75.13432835820896
2016-07-21,50.24,0.67,74.98507462686567
2016-07-22,49.4,0.67,73.73134328358208
2016-07-25,48.98,0.67,73.10447761194028
2016-07-26,49.28,0.67,73.55223880597015
2016-07-27,48.92,0.67,73.01492537313433
2016-07-28,48.65,0.67,72.61194029850746
2016-07-29,48.21,0.67,71.95522388059702
2016-08-01,47.8,0.67,71.34328358208954
2016-08-02,47.5,0.67,70.8955223880597
2016-08-03,49.28,0.67,73.55223880597015
2016-08-04,50.03,0.67,74.67164179104478
2016-08-05,50.58,0.67,75.49253731343283
2016-08-08,50.05,0.67,74.70149253731343
2016-08-09,50.46,0.67,75.31343283582089
2016-08-10,50.45,0.67,75.29850746268657
2016-08-11,52.55,0.67,78.43283582089552
2016-08-12,52.71,0.67,78.67164179104478
2016-08-15,53.66,0.67,80.08955223880596
2016-08-16,53.55,0.67,79.92537313432835
2016-08-17,53.41,0.67,79.71641791044775
2016-08-18,53.16,0.67,79.34328358208954
2016-08-19,51.92,0.67,77.49253731343283
2016-08-22,51.26,0.67,76.50746268656715
2016-08-23,51.9,0.67,77.46268656716417
2016-08-24,51.37,0.67,76.67164179104476
2016-08-25,51.62,0.67,77.04477611940298
2016-08-26,51.87,0.67,77.41791044776119
2016-08-29,52.41,0.67,78.22388059701491
2016-08-30,52.61,0.67,78.52238805970148
2016-08-31,52.67,0.67,78.61194029850746
2016-09-01,52.63,0.67,78.55223880597015
2016-09-02,53.38,0.67,79.67164179104478
2016-09-06,52.73,0.67,78.70149253731343
2016-09-07,52.94,0.67,79.01492537313432
2016-09-08,52.33,0.67,78.1044776119403
2016-09-09,50.55,0.67,75.44776119402984
2016-09-12,51.21,0.67,76.43283582089552
2016-09-13,50.04,0.67,74.6865671641791
2016-09-14,50.02,0.67,74.65671641791045
2016-09-15,50.49,0.67,75.35820895522387
2016-09-16,50.26,0.67,75.01492537313432
2016-09-19,50.78,0.67,75.7910447761194
2016-09-20,50.25,0.67,75.0
2016-09-21,50.98,0.67,76.08955223880596
2016-09-22,51.64,0.67,77.07462686567163
2016-09-23,50.88,0.67,75.94029850746269
2016-09-26,51.22,0.67,76.44776119402984
2016-09-27,51.61,0.67,77.02985074626865
2016-09-28,51.72,0.67,77.19402985074626
2016-09-29,50.7,0.67,75.67164179104478
2016-09-30,50.9,0.67,75.97014925373134
2016-10-03,51.39,0.67,76.70149253731343
2016-10-04,50.81,0.67,75.83582089552239
2016-10-05,50.94,0.67,76.02985074626865
2016-10-06,50.7,0.67,75.67164179104478
2016-10-07,49.93,0.67,74.52238805970148
2016-10-10,49.95,0.67,74.55223880597015
2016-10-11,49.22,0.67,73.46268656716417
2016-10-12,48.99,0.67,73.11940298507463
2016-10-13,48.82,0.67,72.86567164179104
2016-10-14,49.46,0.67,73.82089552238806
2016-10-17,49.06,0.67,73.22388059701493
2016-10-18,49.09,0.67,73.26865671641791
2016-10-19,49.39,0.67,73.71641791044776
