date,HSIC,HSIC_EPS,PE Ratio
,,0.03,
1995-11-03,4.46,0.03,148.66666666666666
1995-11-06,4.49,0.03,149.66666666666669
1995-11-07,4.41,0.03,147.0
1995-11-08,4.36,0.03,145.33333333333334
1995-11-09,4.46,0.03,148.66666666666666
1995-11-10,4.26,0.03,142.0
1995-11-13,4.36,0.03,145.33333333333334
1995-11-14,4.26,0.03,142.0
1995-11-15,4.35,0.03,145.0
1995-11-16,4.41,0.03,147.0
1995-11-17,4.31,0.03,143.66666666666666
1995-11-20,4.31,0.03,143.66666666666666
1995-11-21,4.31,0.03,143.66666666666666
1995-11-22,4.31,0.03,143.66666666666666
1995-11-24,4.45,0.03,148.33333333333334
1995-11-27,4.51,0.03,150.33333333333334
1995-11-28,4.61,0.03,153.66666666666669
1995-11-29,5.0,0.03,166.66666666666669
1995-11-30,4.95,0.03,165.0
1995-12-01,4.95,0.03,165.0
1995-12-04,4.78,0.03,159.33333333333334
1995-12-05,4.85,0.03,161.66666666666666
1995-12-06,4.88,0.03,162.66666666666666
1995-12-07,4.75,0.03,158.33333333333334
1995-12-08,4.8,0.03,160.0
1995-12-11,4.8,0.03,160.0
1995-12-12,4.75,0.03,158.33333333333334
1995-12-13,4.66,0.03,155.33333333333334
1995-12-14,4.56,0.03,152.0
1995-12-15,4.56,0.03,152.0
1995-12-18,4.46,0.03,148.66666666666666
1995-12-19,4.56,0.03,152.0
1995-12-20,4.66,0.03,155.33333333333334
1995-12-21,4.56,0.03,152.0
1995-12-22,4.71,0.03,157.0
1995-12-26,4.56,0.03,152.0
1995-12-27,5.25,0.03,175.0
1995-12-28,5.54,0.03,184.66666666666669
1995-12-29,5.78,0.03,192.66666666666669
1996-01-02,5.34,0.03,178.0
1996-01-03,5.15,0.03,171.66666666666669
1996-01-04,4.78,0.03,159.33333333333334
1996-01-05,4.75,0.03,158.33333333333334
1996-01-08,4.63,0.03,154.33333333333334
1996-01-09,4.67,0.03,155.66666666666666
1996-01-10,4.75,0.03,158.33333333333334
1996-01-11,4.66,0.03,155.33333333333334
1996-01-12,4.66,0.03,155.33333333333334
1996-01-15,4.66,0.03,155.33333333333334
1996-01-16,4.8,0.03,160.0
1996-01-17,4.8,0.03,160.0
1996-01-18,4.95,0.03,165.0
1996-01-19,5.25,0.03,175.0
1996-01-22,5.49,0.03,183.0
1996-01-23,5.56,0.03,185.33333333333331
1996-01-24,5.54,0.03,184.66666666666669
1996-01-25,5.54,0.03,184.66666666666669
1996-01-26,5.34,0.03,178.0
1996-01-29,5.49,0.03,183.0
1996-01-30,5.49,0.03,183.0
1996-01-31,5.78,0.03,192.66666666666669
1996-02-01,5.59,0.03,186.33333333333334
1996-02-02,5.74,0.03,191.33333333333334
1996-02-05,5.74,0.03,191.33333333333334
1996-02-06,5.78,0.03,192.66666666666669
1996-02-07,5.88,0.03,196.0
1996-02-08,5.74,0.03,191.33333333333334
1996-02-09,5.78,0.03,192.66666666666669
1996-02-12,5.78,0.03,192.66666666666669
1996-02-13,5.81,0.03,193.66666666666666
1996-02-14,5.78,0.03,192.66666666666669
1996-02-15,5.69,0.03,189.66666666666669
1996-02-16,5.74,0.03,191.33333333333334
1996-02-20,5.69,0.03,189.66666666666669
1996-02-21,5.69,0.03,189.66666666666669
1996-02-22,5.83,0.03,194.33333333333334
1996-02-23,5.71,0.03,190.33333333333334
1996-02-26,5.76,0.03,192.0
1996-02-27,5.69,0.03,189.66666666666669
1996-02-28,5.69,0.03,189.66666666666669
1996-02-29,5.69,0.03,189.66666666666669
1996-03-01,5.74,0.03,191.33333333333334
1996-03-04,5.74,0.03,191.33333333333334
1996-03-05,5.88,0.03,196.0
1996-03-06,5.98,0.03,199.33333333333334
1996-03-07,5.88,0.03,196.0
1996-03-08,5.83,0.03,194.33333333333334
1996-03-11,5.93,0.03,197.66666666666666
1996-03-12,5.88,0.03,196.0
1996-03-13,5.88,0.03,196.0
1996-03-14,5.93,0.03,197.66666666666666
1996-03-15,5.93,0.03,197.66666666666666
1996-03-18,5.78,0.03,192.66666666666669
1996-03-19,5.69,0.03,189.66666666666669
1996-03-20,5.71,0.03,190.33333333333334
1996-03-21,5.78,0.03,192.66666666666669
1996-03-22,5.69,0.03,189.66666666666669
1996-03-25,5.81,0.03,193.66666666666666
1996-03-26,5.83,0.03,194.33333333333334
1996-03-27,5.78,0.03,192.66666666666669
1996-03-28,5.74,0.03,191.33333333333334
1996-03-29,5.74,0.03,191.33333333333334
1996-04-01,6.03,0.03,201.00000000000003
1996-04-02,5.98,0.03,199.33333333333334
1996-04-03,5.93,0.03,197.66666666666666
1996-04-04,5.78,0.03,192.66666666666669
1996-04-08,5.88,0.03,196.0
1996-04-09,5.78,0.03,192.66666666666669
1996-04-10,5.69,0.03,189.66666666666669
1996-04-11,5.78,0.03,192.66666666666669
1996-04-12,5.54,0.03,184.66666666666669
1996-04-15,5.74,0.03,191.33333333333334
1996-04-16,6.13,0.03,204.33333333333334
1996-04-17,6.03,0.03,201.00000000000003
1996-04-18,6.03,0.03,201.00000000000003
1996-04-19,6.08,0.03,202.66666666666669
1996-04-22,6.08,0.03,202.66666666666669
1996-04-23,6.47,0.03,215.66666666666666
1996-04-24,6.27,0.03,209.0
1996-04-25,6.57,0.03,219.00000000000003
1996-04-26,6.86,0.03,228.66666666666669
1996-04-29,7.21,0.03,240.33333333333334
1996-04-30,7.06,0.03,235.33333333333334
1996-05-01,7.25,0.03,241.66666666666669
1996-05-02,7.25,0.03,241.66666666666669
1996-05-03,7.11,0.03,237.00000000000003
1996-05-06,7.16,0.03,238.66666666666669
1996-05-07,7.3,0.03,243.33333333333334
1996-05-08,7.18,0.03,239.33333333333334
1996-05-09,7.16,0.03,238.66666666666669
1996-05-10,7.16,0.03,238.66666666666669
1996-05-13,7.11,0.03,237.00000000000003
1996-05-14,7.28,0.03,242.66666666666669
1996-05-15,7.11,0.03,237.00000000000003
1996-05-16,7.28,0.03,242.66666666666669
1996-05-17,7.11,0.03,237.00000000000003
1996-05-20,7.11,0.03,237.00000000000003
1996-05-21,7.3,0.03,243.33333333333334
1996-05-22,7.13,0.03,237.66666666666669
1996-05-23,7.12,0.03,237.33333333333334
1996-05-24,7.11,0.03,237.00000000000003
1996-05-28,7.25,0.03,241.66666666666669
1996-05-29,7.11,0.03,237.00000000000003
1996-05-30,7.3,0.03,243.33333333333334
1996-05-31,7.25,0.03,241.66666666666669
1996-06-03,7.11,0.03,237.00000000000003
