date,CE,CE_EPS,PE Ratio
2005-01-21,16.0,,
2005-01-24,16.0,,
2005-01-25,15.65,,
2005-01-26,15.59,,
2005-01-27,15.78,,
2005-01-28,16.0,,
2005-01-31,16.13,,
2005-02-01,16.2,,
2005-02-02,16.2,,
2005-02-03,16.01,,
2005-02-04,16.04,,
2005-02-07,15.75,,
2005-02-08,15.8,,
2005-02-09,15.79,,
2005-02-10,15.58,,
2005-02-11,15.57,,
2005-02-14,15.6,,
2005-02-15,15.94,,
2005-02-16,16.1,,
2005-02-17,16.5,,
2005-02-18,16.74,,
2005-02-22,16.45,,
2005-02-23,16.6,,
2005-02-24,16.75,,
2005-02-25,17.27,,
2005-02-28,16.7,,
2005-03-01,16.16,,
2005-03-02,16.36,,
2005-03-03,16.25,,
2005-03-04,16.51,,
2005-03-07,17.09,,
2005-03-08,17.25,,
2005-03-09,17.95,,
2005-03-10,17.9,,
2005-03-11,18.0,,
2005-03-14,17.85,,
2005-03-15,17.65,,
2005-03-16,17.32,,
2005-03-17,17.39,,
2005-03-18,17.26,,
2005-03-21,16.95,,
2005-03-22,16.99,,
2005-03-23,16.9,,
2005-03-24,18.09,,
2005-03-28,17.83,,
2005-03-29,17.41,,
2005-03-30,17.7,,
2005-03-31,17.99,,
2005-04-01,18.1,,
2005-04-04,17.39,,
2005-04-05,17.33,,
2005-04-06,17.25,,
2005-04-07,17.28,,
2005-04-08,17.02,,
2005-04-11,17.08,,
2005-04-12,17.31,,
2005-04-13,16.81,,
2005-04-14,16.18,,
2005-04-15,15.65,,
2005-04-18,15.3,,
2005-04-19,15.6,,
2005-04-20,15.1,,
2005-04-21,15.24,,
2005-04-22,15.0,,
2005-04-25,15.27,,
2005-04-26,14.78,,
2005-04-27,14.3,,
2005-04-28,14.1,,
2005-04-29,14.55,,
2005-05-02,15.12,,
2005-05-03,15.12,,
2005-05-04,15.21,,
2005-05-05,15.5,,
2005-05-06,15.47,,
2005-05-09,15.91,,
2005-05-10,15.15,,
2005-05-11,15.09,,
2005-05-12,14.85,,
2005-05-13,14.26,,
2005-05-16,14.06,-0.08,-175.75
2005-05-17,14.16,-0.08,-177.0
2005-05-18,14.64,-0.08,-183.0
2005-05-19,15.28,-0.08,-191.0
2005-05-20,15.55,-0.08,-194.375
2005-05-23,16.25,-0.08,-203.125
2005-05-24,16.1,-0.08,-201.25
2005-05-25,15.94,-0.08,-199.25
2005-05-26,15.62,-0.08,-195.25
2005-05-27,15.53,-0.08,-194.125
2005-05-31,15.48,-0.08,-193.5
2005-06-01,15.76,-0.08,-197.0
2005-06-02,15.95,-0.08,-199.375
2005-06-03,15.88,-0.08,-198.5
2005-06-06,15.85,-0.08,-198.125
2005-06-07,15.82,-0.08,-197.75
2005-06-08,15.79,-0.08,-197.37499999999997
2005-06-09,15.8,-0.08,-197.5
2005-06-10,15.8,-0.08,-197.5
2005-06-13,15.64,-0.08,-195.5
2005-06-14,15.7,-0.08,-196.25
2005-06-15,15.87,-0.08,-198.375
2005-06-16,16.3,-0.08,-203.75
2005-06-17,15.65,-0.08,-195.625
2005-06-20,15.38,-0.08,-192.25
2005-06-21,15.47,-0.08,-193.375
2005-06-22,15.86,-0.08,-198.25
2005-06-23,15.78,-0.08,-197.25
2005-06-24,15.84,-0.08,-198.0
2005-06-27,15.67,-0.08,-195.875
2005-06-28,15.72,-0.08,-196.5
2005-06-29,15.8,-0.08,-197.5
2005-06-30,15.89,-0.08,-198.625
2005-07-01,15.97,-0.08,-199.625
2005-07-05,16.04,-0.08,-200.49999999999997
2005-07-06,16.22,-0.08,-202.74999999999997
2005-07-07,16.1,-0.08,-201.25
2005-07-08,16.23,-0.08,-202.875
2005-07-11,16.94,-0.08,-211.75
2005-07-12,17.42,-0.08,-217.75000000000003
2005-07-13,17.78,-0.08,-222.25
2005-07-14,17.77,-0.08,-222.125
2005-07-15,17.86,-0.08,-223.25
2005-07-18,17.69,-0.08,-221.125
2005-07-19,17.98,-0.08,-224.75
2005-07-20,18.42,-0.08,-230.25000000000003
2005-07-21,18.53,-0.08,-231.625
2005-07-22,18.42,-0.08,-230.25000000000003
2005-07-25,18.4,-0.08,-229.99999999999997
2005-07-26,18.4,-0.08,-229.99999999999997
2005-07-27,18.79,-0.08,-234.87499999999997
2005-07-28,18.7,-0.08,-233.75
2005-07-29,18.82,-0.08,-235.25
2005-08-01,18.81,-0.08,-235.12499999999997
2005-08-02,18.88,-0.08,-235.99999999999997
2005-08-03,18.59,-0.08,-232.375
2005-08-04,18.44,-0.08,-230.5
2005-08-05,18.44,-0.08,-230.5
2005-08-08,18.42,-0.08,-230.25000000000003
2005-08-09,19.01,-0.08,-237.62500000000003
2005-08-10,19.12,-0.08,-239.0
2005-08-11,19.58,-0.08,-244.74999999999997
2005-08-12,19.61,0.35,56.02857142857143
2005-08-15,19.74,0.35,56.4
2005-08-16,19.6,0.35,56.00000000000001
2005-08-17,19.44,0.35,55.54285714285715
2005-08-18,19.23,0.35,54.94285714285715
2005-08-19,19.21,0.35,54.88571428571429
2005-08-22,19.46,0.35,55.60000000000001
2005-08-23,20.06,0.35,57.31428571428572
2005-08-24,19.75,0.35,56.42857142857143
2005-08-25,19.15,0.35,54.714285714285715
2005-08-26,18.83,0.35,53.8
2005-08-29,18.61,0.35,53.17142857142857
2005-08-30,18.41,0.35,52.6
2005-08-31,18.43,0.35,52.65714285714286
2005-09-01,18.65,0.35,53.285714285714285
2005-09-02,18.59,0.35,53.114285714285714
2005-09-06,18.66,0.35,53.31428571428572
2005-09-07,18.82,0.35,53.77142857142857
2005-09-08,18.89,0.35,53.971428571428575
2005-09-09,19.03,0.35,54.37142857142858
2005-09-12,19.23,0.35,54.94285714285715
2005-09-13,19.26,0.35,55.02857142857144
2005-09-14,19.13,0.35,54.65714285714286
2005-09-15,18.48,0.35,52.800000000000004
2005-09-16,18.42,0.35,52.62857142857143
2005-09-19,18.15,0.35,51.857142857142854
2005-09-20,17.68,0.35,50.51428571428572
2005-09-21,17.11,0.35,48.885714285714286
2005-09-22,17.1,0.35,48.85714285714286
2005-09-23,17.35,0.35,49.57142857142858
2005-09-26,17.11,0.35,48.885714285714286
2005-09-27,16.95,0.35,48.42857142857143
2005-09-28,16.86,0.35,48.17142857142857
2005-09-29,17.03,0.35,48.657142857142865
2005-09-30,17.25,0.35,49.28571428571429
2005-10-03,16.77,0.35,47.91428571428572
2005-10-04,16.92,0.35,48.34285714285715
2005-10-05,16.86,0.35,48.17142857142857
2005-10-06,16.7,0.35,47.714285714285715
2005-10-07,17.03,0.35,48.657142857142865
2005-10-10,16.68,0.35,47.65714285714286
2005-10-11,16.85,0.35,48.14285714285715
2005-10-12,16.68,0.35,47.65714285714286
2005-10-13,16.71,0.35,47.74285714285715
2005-10-14,16.93,0.35,48.371428571428574
2005-10-17,16.68,0.35,47.65714285714286
2005-10-18,16.6,0.35,47.42857142857144
2005-10-19,16.62,0.35,47.485714285714295
2005-10-20,16.35,0.35,46.71428571428572
2005-10-21,16.31,0.35,46.6
2005-10-24,16.66,0.35,47.6
2005-10-25,16.5,0.35,47.142857142857146
2005-10-26,16.48,0.35,47.08571428571429
2005-10-27,16.26,0.35,46.45714285714286
2005-10-28,17.25,0.35,49.28571428571429
2005-10-31,17.64,0.35,50.400000000000006
2005-11-01,17.8,0.35,50.85714285714286
2005-11-02,18.22,0.35,52.05714285714286
