date,SYY,SYY_EPS,PE Ratio
,,0.04,
1989-09-19,3.34,0.04,83.5
1989-09-20,3.3,0.04,82.5
1989-09-21,3.32,0.04,83.0
1989-09-22,3.31,0.04,82.75
1989-09-25,3.31,0.04,82.75
1989-09-26,3.38,0.04,84.5
1989-09-27,3.41,0.04,85.25
1989-09-28,3.44,0.04,86.0
1989-09-29,3.44,0.04,86.0
1989-10-02,3.42,0.04,85.5
1989-10-03,3.47,0.04,86.75
1989-10-04,3.52,0.04,88.0
1989-10-05,3.52,0.04,88.0
1989-10-06,3.52,0.04,88.0
1989-10-09,3.52,0.04,88.0
1989-10-10,3.51,0.04,87.74999999999999
1989-10-11,3.48,0.04,87.0
1989-10-12,3.48,0.04,87.0
1989-10-13,3.36,0.04,84.0
1989-10-16,3.39,0.04,84.75
1989-10-17,3.36,0.04,84.0
1989-10-18,3.34,0.04,83.5
1989-10-19,3.36,0.04,84.0
1989-10-20,3.31,0.04,82.75
1989-10-23,3.3,0.04,82.5
1989-10-24,3.38,0.04,84.5
1989-10-25,3.41,0.04,85.25
1989-10-26,3.42,0.04,85.5
1989-10-27,3.39,0.04,84.75
1989-10-30,3.45,0.04,86.25
1989-10-31,3.58,0.04,89.5
1989-11-01,3.64,0.04,91.0
1989-11-02,3.58,0.04,89.5
1989-11-03,3.53,0.04,88.25
1989-11-06,3.55,0.04,88.75
1989-11-07,3.61,0.04,90.25
1989-11-08,3.7,0.04,92.5
1989-11-09,3.69,0.04,92.25
1989-11-10,3.77,0.04,94.25
1989-11-13,3.75,0.04,93.75
1989-11-14,3.73,0.04,93.25
1989-11-15,3.8,0.04,95.0
1989-11-16,3.81,0.04,95.25
1989-11-17,3.89,0.04,97.25
1989-11-20,3.95,0.04,98.75
1989-11-21,3.97,0.04,99.25
1989-11-22,3.88,0.04,97.0
1989-11-24,3.84,0.04,96.0
1989-11-27,3.84,0.04,96.0
1989-11-28,3.86,0.04,96.5
1989-11-29,3.86,0.04,96.5
1989-11-30,3.89,0.04,97.25
1989-12-01,3.86,0.04,96.5
1989-12-04,3.84,0.04,96.0
1989-12-05,3.81,0.04,95.25
1989-12-06,3.58,0.04,89.5
1989-12-07,3.61,0.04,90.25
1989-12-08,3.58,0.04,89.5
1989-12-11,3.58,0.04,89.5
1989-12-12,3.66,0.04,91.5
1989-12-13,3.66,0.04,91.5
1989-12-14,3.69,0.04,92.25
