date,APD,APD_EPS,PE Ratio
1980-03-17,3.99,,
1980-03-18,3.97,,
1980-03-19,4.05,,
1980-03-20,4.03,,
1980-03-21,4.03,,
1980-03-24,3.89,,
1980-03-25,3.84,,
1980-03-26,3.86,,
1980-03-27,3.83,,
1980-03-28,4.0,,
1980-03-31,4.02,,
1980-04-01,3.96,,
1980-04-02,3.9,,
1980-04-03,3.77,,
1980-04-07,3.79,,
1980-04-08,3.82,,
1980-04-09,3.95,,
1980-04-10,4.05,,
1980-04-11,4.24,,
1980-04-14,4.19,,
1980-04-15,4.16,,
1980-04-16,4.08,,
1980-04-17,3.93,,
1980-04-18,3.84,,
1980-04-21,3.79,,
1980-04-22,4.08,,
1980-04-23,4.09,,
1980-04-24,4.19,,
1980-04-25,4.26,,
1980-04-28,4.28,,
1980-04-29,4.32,,
1980-04-30,4.39,,
1980-05-01,4.38,,
1980-05-02,4.34,,
1980-05-05,4.37,,
1980-05-06,4.38,,
1980-05-07,4.28,,
1980-05-08,4.16,,
1980-05-09,4.05,,
1980-05-12,3.93,,
1980-05-13,3.95,,
1980-05-14,4.0,,
1980-05-15,3.95,,
1980-05-16,3.96,,
1980-05-19,3.96,,
1980-05-20,3.99,,
1980-05-21,3.97,,
1980-05-22,4.19,,
1980-05-23,4.34,,
1980-05-27,4.37,,
1980-05-28,4.35,,
1980-05-29,4.28,,
1980-05-30,4.34,,
1980-06-02,4.29,,
1980-06-03,4.34,,
1980-06-04,4.45,,
1980-06-05,4.45,,
1980-06-06,4.38,,
1980-06-09,4.28,,
1980-06-10,4.35,,
1980-06-11,4.37,,
1980-06-12,4.39,,
1980-06-13,4.51,,
1980-06-16,4.61,,
1980-06-17,4.58,,
1980-06-18,4.54,,
1980-06-19,4.52,,
1980-06-20,4.45,,
1980-06-23,4.47,,
1980-06-24,4.45,,
1980-06-25,4.57,,
1980-06-26,4.58,,
1980-06-27,4.65,,
1980-06-30,4.48,,
1980-07-01,4.48,,
1980-07-02,4.57,,
1980-07-03,4.8,,
1980-07-07,4.91,,
1980-07-08,4.94,,
1980-07-09,4.9,,
1980-07-10,4.81,,
1980-07-11,4.86,,
1980-07-14,4.91,,
1980-07-15,5.13,,
1980-07-16,5.12,,
1980-07-17,5.07,,
1980-07-18,5.02,,
1980-07-21,5.03,,
1980-07-22,5.02,,
1980-07-23,5.0,,
1980-07-24,4.74,,
1980-07-25,4.67,,
1980-07-28,4.77,,
1980-07-29,5.0,,
1980-07-30,5.0,,
1980-07-31,5.2,,
1980-08-01,5.25,,
1980-08-04,5.15,,
1980-08-05,5.1,,
1980-08-06,5.04,,
1980-08-07,5.15,,
1980-08-08,5.22,,
1980-08-11,5.17,,
1980-08-12,5.17,,
1980-08-13,5.23,,
1980-08-14,5.41,,
1980-08-15,5.52,,
1980-08-18,5.43,,
1980-08-19,5.38,,
1980-08-20,5.45,,
1980-08-21,5.55,,
1980-08-22,5.64,,
1980-08-25,5.55,,
1980-08-26,5.51,,
1980-08-27,5.38,,
1980-08-28,5.38,,
1980-08-29,5.32,,
1980-09-02,5.32,,
1980-09-03,5.42,,
1980-09-04,5.51,,
1980-09-05,5.41,,
1980-09-08,5.3,,
1980-09-09,5.19,,
1980-09-10,5.43,,
1980-09-11,5.49,,
1980-09-12,5.49,,
1980-09-15,5.55,,
1980-09-16,5.74,,
1980-09-17,5.9,,
1980-09-18,5.87,,
1980-09-19,5.88,,
1980-09-22,5.98,,
1980-09-23,6.01,,
1980-09-24,6.01,,
1980-09-25,5.96,,
1980-09-26,5.72,,
1980-09-29,5.65,,
1980-09-30,5.68,,
1980-10-01,5.8,,
1980-10-02,6.19,,
1980-10-03,6.17,,
1980-10-06,6.24,,
1980-10-07,6.17,,
1980-10-08,6.13,,
1980-10-09,6.04,,
1980-10-10,5.91,,
1980-10-13,5.96,,
1980-10-14,6.04,,
1980-10-15,6.13,,
1980-10-16,5.93,,
1980-10-17,5.9,,
1980-10-20,5.78,,
1980-10-21,5.88,,
1980-10-22,5.91,,
1980-10-23,5.97,,
1980-10-24,5.88,,
1980-10-27,5.9,,
1980-10-28,5.97,,
1980-10-29,6.09,,
1980-10-30,5.93,,
1980-10-31,5.72,,
1980-11-03,5.65,,
1980-11-05,5.81,,
1980-11-06,5.69,,
1980-11-07,5.54,,
1980-11-10,5.56,,
1980-11-11,5.67,,
1980-11-12,5.74,,
1980-11-13,5.96,,
1980-11-14,6.03,,
1980-11-17,6.07,,
1980-11-18,6.04,,
1980-11-19,5.91,,
1980-11-20,5.74,,
1980-11-21,5.72,,
1980-11-24,5.64,,
1980-11-25,5.56,,
1980-11-26,5.58,,
1980-11-28,5.59,,
1980-12-01,5.51,,
1980-12-02,5.43,,
1980-12-03,5.41,,
1980-12-04,5.33,,
1980-12-05,5.26,,
1980-12-08,5.06,,
1980-12-09,5.23,,
1980-12-10,4.99,,
1980-12-11,4.93,,
1980-12-12,5.12,,
1980-12-15,5.02,,
1980-12-16,4.94,,
1980-12-17,4.86,,
1980-12-18,4.77,,
1980-12-19,4.8,,
1980-12-22,4.74,,
1980-12-23,4.81,,
1980-12-24,4.8,,
1980-12-26,4.89,,
1980-12-29,4.86,,
1980-12-30,4.8,,
1980-12-31,4.78,,
1981-01-02,4.83,,
1981-01-05,4.83,,
1981-01-06,4.83,,
1981-01-07,4.68,,
1981-01-08,4.63,,
1981-01-09,4.57,,
1981-01-12,4.58,,
1981-01-13,4.58,,
1981-01-14,4.74,,
1981-01-15,4.9,,
1981-01-16,4.94,,
1981-01-19,5.02,,
1981-01-20,4.94,,
1981-01-21,4.97,,
1981-01-22,5.02,,
1981-01-23,4.99,,
1981-01-26,5.2,,
1981-01-27,5.17,,
1981-01-28,5.09,,
1981-01-29,5.06,,
1981-01-30,5.09,,
1981-02-02,4.96,,
1981-02-03,5.0,,
1981-02-04,5.07,,
1981-02-05,5.07,,
1981-02-06,5.06,,
1981-02-09,5.07,,
1981-02-10,5.07,,
1981-02-11,5.03,,
1981-02-12,4.93,,
1981-02-13,4.91,,
1981-02-17,4.91,,
1981-02-18,4.96,,
1981-02-19,4.91,,
1981-02-20,4.86,,
1981-02-23,4.8,,
1981-02-24,4.86,,
1981-02-25,4.81,,
1981-02-26,4.93,,
1981-02-27,4.94,,
1981-03-02,5.12,,
1981-03-03,5.06,,
1981-03-04,5.0,,
1981-03-05,4.91,,
1981-03-06,4.84,,
1981-03-09,4.84,,
1981-03-10,4.76,,
