date,KHC,KHC_EPS,PE Ratio
,,-0.66,
2015-07-06,72.96,-0.66,-110.54545454545453
2015-07-07,74.63,-0.66,-113.07575757575756
2015-07-08,75.4,-0.66,-114.24242424242425
2015-07-09,74.8,-0.66,-113.33333333333333
2015-07-10,77.31,-0.66,-117.13636363636364
2015-07-13,78.83,-0.66,-119.43939393939394
2015-07-14,78.0,-0.66,-118.18181818181817
2015-07-15,76.71,-0.66,-116.2272727272727
2015-07-16,78.75,-0.66,-119.31818181818181
2015-07-17,79.63,-0.66,-120.65151515151514
2015-07-20,80.11,-0.66,-121.37878787878788
2015-07-21,80.22,-0.66,-121.54545454545453
2015-07-22,78.64,-0.66,-119.15151515151514
2015-07-23,76.74,-0.66,-116.27272727272727
2015-07-24,76.41,-0.66,-115.77272727272727
2015-07-27,77.38,-0.66,-117.24242424242424
2015-07-28,78.32,-0.66,-118.66666666666666
2015-07-29,77.91,-0.66,-118.04545454545453
2015-07-30,79.21,-0.66,-120.0151515151515
2015-07-31,79.47,-0.66,-120.4090909090909
2015-08-03,80.37,-0.66,-121.77272727272728
2015-08-04,79.81,-0.66,-120.92424242424242
2015-08-05,80.48,-0.66,-121.93939393939394
2015-08-06,79.76,-0.66,-120.84848484848484
2015-08-07,78.46,-0.66,-118.87878787878786
2015-08-10,78.81,-0.66,-119.4090909090909
2015-08-11,77.97,-0.66,-118.13636363636363
2015-08-12,76.69,-0.66,-116.19696969696969
2015-08-13,75.99,-0.66,-115.13636363636363
2015-08-14,76.42,-0.66,-115.78787878787878
2015-08-17,75.8,-0.66,-114.84848484848484
2015-08-18,75.19,-0.66,-113.92424242424242
2015-08-19,74.78,-0.66,-113.3030303030303
2015-08-20,74.25,-0.66,-112.5
2015-08-21,72.27,-0.66,-109.49999999999999
2015-08-24,70.87,-0.66,-107.37878787878788
2015-08-25,70.21,-0.66,-106.37878787878786
2015-08-26,73.91,-0.66,-111.98484848484847
2015-08-27,75.18,-0.66,-113.90909090909092
2015-08-28,74.69,-0.66,-113.16666666666666
2015-08-31,72.66,-0.66,-110.09090909090908
2015-09-01,70.12,-0.66,-106.24242424242425
2015-09-02,72.07,-0.66,-109.19696969696969
2015-09-03,72.16,-0.66,-109.33333333333333
2015-09-04,70.57,-0.66,-106.92424242424241
2015-09-08,74.07,-0.66,-112.2272727272727
2015-09-09,72.17,-0.66,-109.34848484848484
2015-09-10,72.16,-0.66,-109.33333333333333
2015-09-11,73.76,-0.66,-111.75757575757576
2015-09-14,74.55,-0.66,-112.95454545454544
2015-09-15,75.39,-0.66,-114.22727272727272
2015-09-16,76.37,-0.66,-115.71212121212122
2015-09-17,76.43,-0.66,-115.80303030303031
2015-09-18,75.44,-0.66,-114.3030303030303
2015-09-21,75.2,-0.66,-113.93939393939394
2015-09-22,74.31,-0.66,-112.5909090909091
2015-09-23,73.31,-0.66,-111.07575757575758
2015-09-24,72.92,-0.66,-110.48484848484848
2015-09-25,73.35,-0.66,-111.13636363636363
2015-09-28,69.99,-0.66,-106.04545454545453
2015-09-29,69.2,-0.66,-104.84848484848484
2015-09-30,70.58,-0.66,-106.93939393939394
2015-10-01,70.83,-0.66,-107.31818181818181
2015-10-02,71.41,-0.66,-108.19696969696969
2015-10-05,72.24,-0.66,-109.45454545454544
2015-10-06,72.47,-0.66,-109.8030303030303
2015-10-07,73.15,-0.66,-110.83333333333334
2015-10-08,74.43,-0.66,-112.77272727272728
2015-10-09,74.39,-0.66,-112.7121212121212
2015-10-12,73.72,-0.66,-111.69696969696969
2015-10-13,73.38,-0.66,-111.18181818181817
2015-10-14,73.77,-0.66,-111.77272727272727
2015-10-15,75.22,-0.66,-113.96969696969697
2015-10-16,77.39,-0.66,-117.25757575757575
2015-10-19,76.8,-0.66,-116.36363636363636
2015-10-20,76.87,-0.66,-116.46969696969697
2015-10-21,77.05,-0.66,-116.74242424242424
2015-10-22,79.94,-0.66,-121.12121212121211
2015-10-23,77.98,-0.66,-118.15151515151516
2015-10-26,76.81,-0.66,-116.37878787878788
2015-10-27,77.17,-0.66,-116.92424242424242
2015-10-28,79.18,-0.66,-119.96969696969697
2015-10-29,78.65,-0.66,-119.16666666666667
2015-10-30,77.97,-0.66,-118.13636363636363
2015-11-02,78.27,-0.66,-118.59090909090908
2015-11-03,76.43,-0.66,-115.80303030303031
