date,NWSA,NWSA_EPS,PE Ratio
2013-06-19,15.8,,
2013-06-20,15.3,,
2013-06-21,15.62,,
2013-06-24,15.53,,
2013-06-25,15.72,,
2013-06-26,15.4,,
2013-06-27,15.5,,
2013-06-28,15.25,,
2013-07-01,14.79,,
2013-07-02,15.0,,
2013-07-03,14.87,,
2013-07-05,15.66,,
2013-07-08,15.96,,
2013-07-09,15.71,,
2013-07-10,15.39,,
2013-07-11,15.13,,
2013-07-12,14.93,,
2013-07-15,14.67,,
2013-07-16,15.28,,
2013-07-17,15.89,,
2013-07-18,15.47,,
2013-07-19,15.97,,
2013-07-22,15.73,,
2013-07-23,15.65,,
2013-07-24,15.71,,
2013-07-25,15.57,,
2013-07-26,15.89,,
2013-07-29,15.51,,
2013-07-30,15.95,,
2013-07-31,15.93,,
2013-08-01,16.21,,
2013-08-02,16.34,,
2013-08-05,16.0,,
2013-08-06,16.18,,
2013-08-07,15.95,,
2013-08-08,16.13,,
2013-08-09,15.98,,
2013-08-12,15.92,,
2013-08-13,15.83,,
2013-08-14,15.9,,
2013-08-15,16.1,,
2013-08-16,15.98,,
2013-08-19,15.7,,
2013-08-20,15.7,,
2013-08-21,15.76,,
2013-08-22,15.71,,
2013-08-23,15.75,,
2013-08-26,15.86,,
2013-08-27,15.73,,
2013-08-28,15.76,,
2013-08-29,15.77,,
2013-08-30,15.7,,
2013-09-03,15.78,,
2013-09-04,16.03,,
2013-09-05,16.24,,
2013-09-06,16.19,,
2013-09-09,16.34,,
2013-09-10,16.55,,
2013-09-11,17.05,,
2013-09-12,17.11,,
2013-09-13,16.89,,
2013-09-16,16.96,,
2013-09-17,17.0,,
2013-09-18,17.05,,
2013-09-19,16.87,,
2013-09-20,16.64,,
2013-09-23,16.53,,
2013-09-24,17.04,,
2013-09-25,16.8,,
2013-09-26,16.29,,
2013-09-27,16.17,,
2013-09-30,16.06,,
2013-10-01,15.91,,
2013-10-02,16.14,,
2013-10-03,15.87,,
2013-10-04,15.84,,
2013-10-07,15.91,,
2013-10-08,15.8,,
2013-10-09,15.88,,
2013-10-10,16.22,,
2013-10-11,16.41,,
2013-10-14,16.56,,
2013-10-15,16.58,,
2013-10-16,16.78,,
2013-10-17,16.8,,
2013-10-18,16.85,,
2013-10-21,16.85,,
2013-10-22,17.0,,
2013-10-23,17.11,,
2013-10-24,17.29,,
2013-10-25,17.15,,
2013-10-28,17.29,,
2013-10-29,17.46,,
2013-10-30,17.35,,
2013-10-31,17.6,,
2013-11-01,17.77,,
2013-11-04,17.76,,
2013-11-05,17.68,,
2013-11-06,17.41,,
2013-11-07,17.26,,
2013-11-08,17.6,,
2013-11-11,17.42,,
2013-11-12,17.15,0.05,342.99999999999994
2013-11-13,17.22,0.05,344.4
2013-11-14,17.25,0.05,345.0
2013-11-15,17.76,0.05,355.2
2013-11-18,17.42,0.05,348.40000000000003
2013-11-19,17.48,0.05,349.59999999999997
2013-11-20,17.67,0.05,353.40000000000003
2013-11-21,17.56,0.05,351.19999999999993
2013-11-22,17.55,0.05,351.0
2013-11-25,17.48,0.05,349.59999999999997
2013-11-26,17.69,0.05,353.8
2013-11-27,17.86,0.05,357.2
2013-11-29,17.96,0.05,359.2
2013-12-02,17.65,0.05,352.99999999999994
2013-12-03,17.5,0.05,350.0
2013-12-04,17.58,0.05,351.59999999999997
2013-12-05,17.46,0.05,349.2
2013-12-06,17.78,0.05,355.6
2013-12-09,17.52,0.05,350.4
2013-12-10,17.64,0.05,352.8
2013-12-11,17.6,0.05,352.0
2013-12-12,17.49,0.05,349.79999999999995
2013-12-13,17.66,0.05,353.2
2013-12-16,17.77,0.05,355.4
2013-12-17,17.35,0.05,347.0
2013-12-18,17.5,0.05,350.0
2013-12-19,17.36,0.05,347.2
2013-12-20,17.75,0.05,355.0
2013-12-23,17.9,0.05,357.99999999999994
2013-12-24,17.9,0.05,357.99999999999994
2013-12-26,17.77,0.05,355.4
2013-12-27,17.73,0.05,354.59999999999997
2013-12-30,17.91,0.05,358.2
