date,HCA,HCA_EPS,PE Ratio
2002-08-14,,1.44,
2002-11-14,,1.83,
2003-03-28,,1.63,
2003-05-13,,0.92,
2003-08-11,,1.39,
2003-11-13,,2.01,
2004-03-12,,2.66,
2004-05-06,,0.71,
2004-08-06,,1.44,
2004-11-09,,1.91,
2005-03-11,,2.62,
2005-05-06,,0.97,
2005-08-04,,1.88,
2005-11-08,,2.5,
2006-03-14,,3.25,
2006-05-10,,0.94,
2006-08-04,,1.67,
2006-10-31,,2.26,
2007-03-27,,0.02548397412245099,
2007-05-15,,0.0,
2007-08-14,,0.0,
2007-11-08,,0.0,
2008-03-28,,0.0,
2008-05-12,,0.0,
2008-08-13,,0.0,
2008-11-13,,0.0,
2009-03-04,,0.0,
2009-05-14,,0.0,
2009-08-14,,0.0,
2009-11-12,,0.0,
2010-03-01,,0.0,
2010-05-07,,0.0,
2010-08-11,,7.2,
2010-11-09,,9.8,
2011-02-17,,12.75,
2011-03-10,31.02,12.75,2.4329411764705884
2011-03-11,31.12,12.75,2.4407843137254903
2011-03-14,30.91,12.75,2.424313725490196
2011-03-15,31.34,12.75,2.4580392156862745
2011-03-16,31.25,12.75,2.450980392156863
2011-03-17,31.91,12.75,2.502745098039216
2011-03-18,33.06,12.75,2.5929411764705885
2011-03-21,32.25,12.75,2.5294117647058822
2011-03-22,31.87,12.75,2.499607843137255
2011-03-23,32.68,12.75,2.5631372549019606
2011-03-24,32.69,12.75,2.563921568627451
2011-03-25,32.95,12.75,2.5843137254901962
2011-03-28,33.04,12.75,2.591372549019608
2011-03-29,33.89,12.75,2.6580392156862747
2011-03-30,34.24,12.75,2.6854901960784314
2011-03-31,33.87,12.75,2.656470588235294
2011-04-01,33.74,12.75,2.6462745098039218
2011-04-04,33.67,12.75,2.6407843137254905
2011-04-05,34.02,12.75,2.6682352941176473
2011-04-06,33.3,12.75,2.6117647058823525
2011-04-07,33.66,12.75,2.6399999999999997
2011-04-08,33.17,12.75,2.6015686274509804
2011-04-11,32.12,12.75,2.5192156862745096
2011-04-12,31.53,12.75,2.4729411764705884
2011-04-13,32.06,12.75,2.5145098039215688
2011-04-14,32.14,12.75,2.5207843137254904
2011-04-15,31.98,12.75,2.508235294117647
2011-04-18,32.08,12.75,2.516078431372549
2011-04-19,31.74,12.75,2.489411764705882
2011-04-20,31.65,12.75,2.4823529411764707
2011-04-21,31.4,12.75,2.4627450980392154
2011-04-25,31.4,12.75,2.4627450980392154
2011-04-26,32.0,12.75,2.5098039215686274
2011-04-27,32.65,12.75,2.56078431372549
2011-04-28,32.57,12.75,2.554509803921569
2011-04-29,32.8,12.75,2.572549019607843
2011-05-02,33.44,12.75,2.6227450980392155
2011-05-03,32.61,12.75,2.5576470588235294
2011-05-04,33.55,12.75,2.631372549019608
2011-05-05,34.34,12.75,2.693333333333334
2011-05-06,34.25,12.75,2.6862745098039214
2011-05-09,34.49,12.75,2.7050980392156863
2011-05-10,34.59,12.75,2.7129411764705886
2011-05-11,34.54,0.54,63.962962962962955
2011-05-12,34.51,0.54,63.9074074074074
2011-05-13,34.6,0.54,64.07407407407408
2011-05-16,34.25,0.54,63.425925925925924
2011-05-17,34.54,0.54,63.962962962962955
2011-05-18,35.07,0.54,64.94444444444444
2011-05-19,35.05,0.54,64.9074074074074
2011-05-20,34.63,0.54,64.12962962962963
2011-05-23,34.41,0.54,63.722222222222214
2011-05-24,34.49,0.54,63.87037037037037
2011-05-25,34.68,0.54,64.22222222222221
2011-05-26,34.83,0.54,64.49999999999999
2011-05-27,34.74,0.54,64.33333333333333
2011-05-31,34.89,0.54,64.61111111111111
2011-06-01,34.77,0.54,64.38888888888889
2011-06-02,34.36,0.54,63.629629629629626
2011-06-03,34.14,0.54,63.22222222222222
2011-06-06,33.74,0.54,62.48148148148148
2011-06-07,34.52,0.54,63.92592592592593
2011-06-08,34.76,0.54,64.37037037037037
2011-06-09,35.24,0.54,65.25925925925925
2011-06-10,33.9,0.54,62.77777777777777
2011-06-13,33.65,0.54,62.31481481481481
2011-06-14,33.54,0.54,62.11111111111111
2011-06-15,33.15,0.54,61.388888888888886
2011-06-16,33.87,0.54,62.722222222222214
2011-06-17,34.59,0.54,64.05555555555556
2011-06-20,34.23,0.54,63.38888888888888
2011-06-21,33.9,0.54,62.77777777777777
2011-06-22,33.42,0.54,61.888888888888886
2011-06-23,33.21,0.54,61.5
2011-06-24,32.25,0.54,59.72222222222222
2011-06-27,32.48,0.54,60.14814814814814
2011-06-28,32.75,0.54,60.648148148148145
2011-06-29,32.76,0.54,60.66666666666666
2011-06-30,33.0,0.54,61.11111111111111
2011-07-01,33.06,0.54,61.22222222222222
2011-07-05,33.17,0.54,61.425925925925924
2011-07-06,33.99,0.54,62.94444444444444
2011-07-07,34.29,0.54,63.49999999999999
2011-07-08,33.83,0.54,62.64814814814814
2011-07-11,33.06,0.54,61.22222222222222
2011-07-12,32.8,0.54,60.74074074074073
2011-07-13,33.24,0.54,61.55555555555556
2011-07-14,33.22,0.54,61.51851851851851
2011-07-15,33.22,0.54,61.51851851851851
2011-07-18,32.59,0.54,60.351851851851855
2011-07-19,33.03,0.54,61.166666666666664
2011-07-20,33.25,0.54,61.57407407407407
2011-07-21,34.43,0.54,63.75925925925925
2011-07-22,34.61,0.54,64.09259259259258
2011-07-25,27.97,0.54,51.79629629629629
2011-07-26,28.04,0.54,51.925925925925924
2011-07-27,27.37,0.54,50.68518518518518
2011-07-28,27.22,0.54,50.407407407407405
2011-07-29,26.68,0.54,49.407407407407405
2011-08-01,24.94,0.54,46.18518518518518
2011-08-02,24.64,0.54,45.629629629629626
2011-08-03,24.76,0.54,45.851851851851855
2011-08-04,22.9,0.54,42.407407407407405
2011-08-05,21.99,0.98,22.43877551020408
2011-08-08,18.19,0.98,18.56122448979592
2011-08-09,18.35,0.98,18.72448979591837
2011-08-10,18.58,0.98,18.959183673469386
2011-08-11,19.47,0.98,19.86734693877551
2011-08-12,21.22,0.98,21.653061224489797
2011-08-15,22.58,0.98,23.04081632653061
2011-08-16,21.77,0.98,22.214285714285715
2011-08-17,20.99,0.98,21.418367346938773
2011-08-18,19.96,0.98,20.367346938775512
2011-08-19,19.27,0.98,19.663265306122447
2011-08-22,19.06,0.98,19.448979591836732
2011-08-23,19.58,0.98,19.97959183673469
2011-08-24,20.04,0.98,20.448979591836736
2011-08-25,19.06,0.98,19.448979591836732
2011-08-26,19.5,0.98,19.89795918367347
2011-08-29,19.98,0.98,20.387755102040817
2011-08-30,19.86,0.98,20.26530612244898
2011-08-31,20.03,0.98,20.438775510204085
2011-09-01,19.19,0.98,19.581632653061227
2011-09-02,18.65,0.98,19.03061224489796
2011-09-06,18.76,0.98,19.142857142857146
2011-09-07,19.84,0.98,20.244897959183675
2011-09-08,19.49,0.98,19.887755102040813
2011-09-09,18.3,0.98,18.6734693877551
2011-09-12,18.4,0.98,18.77551020408163
2011-09-13,17.66,0.98,18.020408163265305
2011-09-14,18.61,0.98,18.989795918367346
2011-09-15,20.84,0.98,21.26530612244898
2011-09-16,21.23,0.98,21.66326530612245
2011-09-19,19.81,0.98,20.21428571428571
2011-09-20,19.9,0.98,20.30612244897959
2011-09-21,19.82,0.98,20.22448979591837
2011-09-22,19.92,0.98,20.3265306122449
2011-09-23,19.46,0.98,19.857142857142858
2011-09-26,19.85,0.98,20.25510204081633
2011-09-27,19.83,0.98,20.23469387755102
2011-09-28,19.2,0.98,19.591836734693878
2011-09-29,19.8,0.98,20.20408163265306
2011-09-30,20.16,0.98,20.571428571428573
2011-10-03,18.81,0.98,19.193877551020407
2011-10-04,18.61,0.98,18.989795918367346
2011-10-05,18.07,0.98,18.43877551020408
2011-10-06,18.27,0.98,18.642857142857142
2011-10-07,18.6,0.98,18.979591836734695
2011-10-10,19.18,0.98,19.571428571428573
2011-10-11,19.1,0.98,19.48979591836735
2011-10-12,20.32,0.98,20.73469387755102
2011-10-13,21.13,0.98,21.56122448979592
2011-10-14,22.05,0.98,22.5
2011-10-17,21.8,0.98,22.244897959183675
2011-10-18,22.7,0.98,23.163265306122447
2011-10-19,21.94,0.98,22.387755102040817
2011-10-20,21.67,0.98,22.112244897959187
2011-10-21,23.31,0.98,23.785714285714285
2011-10-24,22.8,0.98,23.26530612244898
2011-10-25,22.16,0.98,22.612244897959183
2011-10-26,22.34,0.98,22.79591836734694
2011-10-27,22.54,0.98,23.0
2011-10-28,22.78,0.98,23.244897959183675
2011-10-31,23.45,0.98,23.928571428571427
2011-11-01,23.5,0.98,23.979591836734695
2011-11-02,23.35,0.98,23.8265306122449
2011-11-03,23.09,0.98,23.56122448979592
2011-11-04,23.51,0.98,23.98979591836735
2011-11-07,24.52,0.98,25.020408163265305
2011-11-08,25.21,0.98,25.72448979591837
2011-11-09,25.02,1.08,23.166666666666664
2011-11-10,25.87,1.08,23.953703703703702
2011-11-11,26.53,1.08,24.564814814814813
2011-11-14,26.53,1.08,24.564814814814813
2011-11-15,26.61,1.08,24.638888888888886
2011-11-16,25.52,1.08,23.629629629629626
2011-11-17,25.05,1.08,23.194444444444443
2011-11-18,25.2,1.08,23.333333333333332
2011-11-21,25.04,1.08,23.185185185185183
2011-11-22,23.95,1.08,22.175925925925924
2011-11-23,23.58,1.08,21.83333333333333
2011-11-25,23.46,1.08,21.72222222222222
2011-11-28,23.77,1.08,22.009259259259256
2011-11-29,24.05,1.08,22.26851851851852
2011-11-30,24.38,1.08,22.574074074074073
2011-12-01,24.19,1.08,22.39814814814815
2011-12-02,22.45,1.08,20.787037037037035
