date,PCAR,PCAR_EPS,PE Ratio
,,0.06,
1980-03-17,1.25,0.06,20.833333333333336
1980-03-18,1.2,0.06,20.0
1980-03-19,1.18,0.06,19.666666666666668
1980-03-20,1.1,0.06,18.333333333333336
1980-03-21,1.11,0.06,18.500000000000004
1980-03-24,1.09,0.06,18.166666666666668
1980-03-25,1.11,0.06,18.500000000000004
1980-03-26,1.11,0.06,18.500000000000004
1980-03-27,1.08,0.06,18.000000000000004
1980-03-28,1.11,0.06,18.500000000000004
1980-03-31,1.11,0.06,18.500000000000004
1980-04-01,1.11,0.06,18.500000000000004
1980-04-02,1.09,0.06,18.166666666666668
1980-04-03,1.09,0.06,18.166666666666668
1980-04-07,1.09,0.06,18.166666666666668
1980-04-08,1.09,0.06,18.166666666666668
1980-04-09,1.12,0.06,18.666666666666668
1980-04-10,1.11,0.06,18.500000000000004
1980-04-11,1.11,0.06,18.500000000000004
1980-04-14,1.1,0.06,18.333333333333336
1980-04-15,1.1,0.06,18.333333333333336
1980-04-16,1.09,0.06,18.166666666666668
1980-04-17,1.07,0.06,17.833333333333336
1980-04-18,1.06,0.06,17.666666666666668
1980-04-21,1.06,0.06,17.666666666666668
1980-04-22,1.07,0.06,17.833333333333336
1980-04-23,0.93,0.06,15.500000000000002
1980-04-24,0.99,0.06,16.5
1980-04-25,0.98,0.06,16.333333333333332
1980-04-28,0.99,0.06,16.5
1980-04-29,0.99,0.06,16.5
1980-04-30,1.01,0.06,16.833333333333336
1980-05-01,1.0,0.06,16.666666666666668
1980-05-02,1.0,0.06,16.666666666666668
1980-05-05,1.0,0.06,16.666666666666668
1980-05-06,1.02,0.06,17.0
1980-05-07,1.05,0.06,17.5
1980-05-08,1.07,0.06,17.833333333333336
1980-05-09,1.08,0.06,18.000000000000004
1980-05-12,1.07,0.06,17.833333333333336
1980-05-13,1.04,0.06,17.333333333333336
1980-05-14,1.07,0.06,17.833333333333336
1980-05-15,1.08,0.06,18.000000000000004
1980-05-16,1.1,0.06,18.333333333333336
1980-05-19,1.09,0.06,18.166666666666668
1980-05-20,1.09,0.06,18.166666666666668
1980-05-21,1.09,0.06,18.166666666666668
1980-05-22,1.18,0.06,19.666666666666668
1980-05-23,1.21,0.06,20.166666666666668
1980-05-27,1.2,0.06,20.0
1980-05-28,1.18,0.06,19.666666666666668
1980-05-29,1.17,0.06,19.5
1980-05-30,1.16,0.06,19.333333333333332
1980-06-02,1.16,0.06,19.333333333333332
1980-06-03,1.16,0.06,19.333333333333332
1980-06-04,1.17,0.06,19.5
1980-06-05,1.16,0.06,19.333333333333332
1980-06-06,1.15,0.06,19.166666666666664
