date,UAA,UAA_EPS,PE Ratio
,,0.04,
2005-11-18,3.16,0.04,79.0
2005-11-21,3.27,0.04,81.75
2005-11-22,2.94,0.04,73.5
2005-11-23,2.98,0.04,74.5
2005-11-25,2.96,0.04,74.0
2005-11-28,2.96,0.04,74.0
2005-11-29,2.67,0.04,66.75
2005-11-30,2.81,0.04,70.25
2005-12-01,2.89,0.04,72.25
2005-12-02,3.08,0.04,77.0
2005-12-05,3.21,0.04,80.25
2005-12-06,3.09,0.04,77.25
2005-12-07,3.21,0.04,80.25
2005-12-08,3.19,0.04,79.75
2005-12-09,3.13,0.04,78.25
2005-12-12,3.19,0.04,79.75
2005-12-13,3.2,0.04,80.0
2005-12-14,3.38,0.04,84.5
2005-12-15,3.42,0.04,85.5
2005-12-16,3.46,0.04,86.5
2005-12-19,3.31,0.04,82.75
2005-12-20,3.51,0.04,87.74999999999999
2005-12-21,3.57,0.04,89.25
2005-12-22,3.59,0.04,89.75
2005-12-23,3.9,0.04,97.5
2005-12-27,4.16,0.04,104.0
2005-12-28,4.54,0.04,113.5
2005-12-29,4.98,0.04,124.50000000000001
2005-12-30,4.79,0.04,119.75
2006-01-03,4.17,0.04,104.25
2006-01-04,3.96,0.04,99.0
2006-01-05,4.45,0.04,111.25
2006-01-06,4.43,0.04,110.74999999999999
2006-01-09,4.48,0.04,112.00000000000001
2006-01-10,4.69,0.04,117.25000000000001
2006-01-11,4.71,0.04,117.75
2006-01-12,4.81,0.04,120.24999999999999
2006-01-13,4.88,0.04,122.0
2006-01-17,4.77,0.04,119.24999999999999
2006-01-18,4.82,0.04,120.5
2006-01-19,4.85,0.04,121.24999999999999
2006-01-20,4.79,0.04,119.75
2006-01-23,4.67,0.04,116.75
2006-01-24,4.59,0.04,114.75
2006-01-25,4.61,0.04,115.25
2006-01-26,4.69,0.04,117.25000000000001
2006-01-27,4.8,0.04,120.0
2006-01-30,5.04,0.04,126.0
2006-01-31,5.0,0.04,125.0
2006-02-01,4.88,0.04,122.0
2006-02-02,4.93,0.04,123.24999999999999
2006-02-03,4.86,0.04,121.5
2006-02-06,4.9,0.04,122.5
2006-02-07,3.87,0.04,96.75
2006-02-08,3.68,0.04,92.0
2006-02-09,3.69,0.04,92.25
2006-02-10,3.74,0.04,93.5
2006-02-13,3.78,0.04,94.5
2006-02-14,3.79,0.04,94.75
2006-02-15,3.63,0.04,90.75
2006-02-16,3.6,0.04,90.0
2006-02-17,3.62,0.04,90.5
2006-02-21,3.43,0.04,85.75
2006-02-22,3.53,0.04,88.25
2006-02-23,3.64,0.04,91.0
2006-02-24,3.6,0.04,90.0
2006-02-27,3.57,0.04,89.25
2006-02-28,3.52,0.04,88.0
2006-03-01,3.58,0.04,89.5
2006-03-02,3.65,0.04,91.25
2006-03-03,3.61,0.04,90.25
2006-03-06,3.58,0.04,89.5
2006-03-07,3.54,0.04,88.5
2006-03-08,3.37,0.04,84.25
2006-03-09,3.38,0.04,84.5
2006-03-10,3.32,0.04,83.0
2006-03-13,3.43,0.04,85.75
2006-03-14,3.7,0.04,92.5
2006-03-15,3.73,0.04,93.25
2006-03-16,3.78,0.04,94.5
2006-03-17,3.76,0.04,93.99999999999999
2006-03-20,3.88,0.04,97.0
2006-03-21,3.86,0.04,96.5
2006-03-22,3.9,0.04,97.5
2006-03-23,3.94,0.04,98.5
2006-03-24,4.13,0.04,103.25
