date,UAL,UAL_EPS,PE Ratio
2001-05-14,,0.0,
2001-08-09,,0.0,
2001-11-13,,0.0,
2002-03-08,,0.0,
2002-04-29,,0.0,
2002-08-14,,0.0,
2002-10-25,,0.0,
2003-03-28,,0.0,
2003-05-02,,-0.01416,
2003-08-01,,-0.02022,
2003-10-30,,-0.023280000000000002,
2004-03-02,,0.0,
2004-04-30,,-4.17,
2004-08-02,,-6.42,
2004-11-09,,-8.77,
2005-03-16,,0.0,
2005-05-11,,-9.23,
2005-08-09,,-0.02156,
2005-10-09,,-0.03682,
2006-02-06,33.9,-0.03682,-920.6952743074417
2006-02-07,32.99,-0.03682,-895.9804454101032
2006-02-08,32.0,-0.03682,-869.0928843020098
2006-02-09,34.5,-0.03682,-936.9907658881043
2006-02-10,34.24,-0.03682,-929.9293862031506
2006-02-13,35.04,-0.03682,-951.6567083107008
2006-02-14,35.78,-0.03682,-971.7544812601848
2006-02-15,36.53,-0.03682,-992.1238457360131
2006-02-16,35.7,-0.03682,-969.5817490494297
2006-02-17,36.93,-0.03682,-1002.9875067897882
2006-02-21,35.43,-0.03682,-962.2487778381314
2006-02-22,36.08,-0.03682,-979.902227050516
2006-02-23,36.14,-0.03682,-981.5317762085823
2006-02-24,35.8,-0.03682,-972.2976643128734
2006-02-27,35.5,-0.03682,-964.1499185225422
2006-02-28,35.47,-0.03682,-963.335143943509
2006-03-01,36.1,-0.03682,-980.4454101032048
2006-03-02,36.07,-0.03682,-979.6306355241717
2006-03-03,36.62,-0.03682,-994.5681694731124
2006-03-06,36.92,-0.03682,-1002.7159152634439
2006-03-07,37.22,-0.03682,-1010.8636610537751
2006-03-08,37.41,-0.03682,-1016.0239000543182
2006-03-09,37.32,-0.03682,-1013.579576317219
2006-03-10,38.14,-0.03682,-1035.850081477458
2006-03-13,38.22,-0.03682,-1038.0228136882129
2006-03-14,38.99,-0.03682,-1058.9353612167301
2006-03-15,39.57,-0.03682,-1074.687669744704
2006-03-16,39.27,-0.03682,-1066.5399239543729
2006-03-17,39.2,-0.03682,-1064.638783269962
2006-03-20,40.15,-0.03682,-1090.439978272678
2006-03-21,40.94,-0.03682,-1111.8957088538837
2006-03-22,42.64,-0.03682,-1158.066268332428
2006-03-23,41.7,-0.03682,-1132.5366648560566
2006-03-24,41.71,-0.03682,-1132.808256382401
2006-03-27,42.31,-0.03682,-1149.1037479630636
2006-03-28,40.8,-0.03682,-1108.0934274850624
2006-03-29,40.52,-0.03682,-1100.48886474742
2006-03-30,39.01,-0.03682,-1059.4785442694188
2006-03-31,39.93,0.0,inf
2006-04-03,39.13,0.0,inf
2006-04-04,39.08,0.0,inf
2006-04-05,39.34,0.0,inf
2006-04-06,38.92,0.0,inf
