date,T,T_EPS,PE Ratio
,,0.22,
1983-11-21,5.14,0.22,23.363636363636363
1983-11-22,5.09,0.22,23.136363636363637
1983-11-23,5.07,0.22,23.045454545454547
1983-11-25,5.08,0.22,23.09090909090909
1983-11-28,5.03,0.22,22.863636363636363
1983-11-29,4.95,0.22,22.5
1983-11-30,4.92,0.22,22.363636363636363
1983-12-01,4.97,0.22,22.59090909090909
1983-12-02,4.95,0.22,22.5
1983-12-05,4.93,0.22,22.409090909090907
1983-12-06,4.91,0.22,22.31818181818182
1983-12-07,4.89,0.22,22.227272727272727
1983-12-08,4.89,0.22,22.227272727272727
1983-12-09,4.85,0.22,22.045454545454543
1983-12-12,4.86,0.22,22.090909090909093
1983-12-13,4.91,0.22,22.31818181818182
1983-12-14,4.92,0.22,22.363636363636363
1983-12-15,4.89,0.22,22.227272727272727
1983-12-16,4.89,0.22,22.227272727272727
1983-12-19,4.89,0.22,22.227272727272727
1983-12-20,4.91,0.22,22.31818181818182
1983-12-21,4.92,0.22,22.363636363636363
1983-12-22,4.89,0.22,22.227272727272727
1983-12-23,4.9,0.22,22.272727272727273
1983-12-27,4.89,0.22,22.227272727272727
1983-12-28,4.94,0.22,22.454545454545457
1983-12-29,4.93,0.22,22.409090909090907
1983-12-30,4.91,0.22,22.31818181818182
1984-01-03,5.08,0.22,23.09090909090909
1984-01-04,5.33,0.22,24.227272727272727
1984-01-05,5.31,0.22,24.136363636363633
1984-01-06,5.19,0.22,23.590909090909093
1984-01-09,5.17,0.22,23.5
1984-01-10,5.17,0.22,23.5
1984-01-11,5.2,0.22,23.636363636363637
1984-01-12,5.21,0.22,23.68181818181818
1984-01-13,5.29,0.22,24.045454545454547
1984-01-16,5.4,0.22,24.545454545454547
1984-01-17,5.42,0.22,24.636363636363637
1984-01-18,5.49,0.22,24.954545454545457
1984-01-19,5.43,0.22,24.68181818181818
1984-01-20,5.43,0.22,24.68181818181818
1984-01-23,5.42,0.22,24.636363636363637
1984-01-24,5.4,0.22,24.545454545454547
1984-01-25,5.31,0.22,24.136363636363633
1984-01-26,5.21,0.22,23.68181818181818
1984-01-27,5.2,0.22,23.636363636363637
1984-01-30,5.28,0.22,24.0
1984-01-31,5.24,0.22,23.81818181818182
1984-02-01,5.21,0.22,23.68181818181818
1984-02-02,5.18,0.22,23.545454545454543
1984-02-03,5.19,0.22,23.590909090909093
1984-02-06,5.14,0.22,23.363636363636363
1984-02-07,5.11,0.22,23.22727272727273
1984-02-08,5.09,0.22,23.136363636363637
1984-02-09,5.0,0.22,22.727272727272727
1984-02-10,4.98,0.22,22.636363636363637
1984-02-13,5.08,0.22,23.09090909090909
1984-02-14,5.11,0.22,23.22727272727273
1984-02-15,5.09,0.22,23.136363636363637
1984-02-16,5.07,0.22,23.045454545454547
1984-02-17,5.04,0.22,22.90909090909091
1984-02-21,5.04,0.22,22.90909090909091
1984-02-22,5.06,0.22,22.999999999999996
1984-02-23,4.99,0.22,22.681818181818183
1984-02-24,4.96,0.22,22.545454545454547
1984-02-27,4.98,0.22,22.636363636363637
1984-02-28,4.94,0.22,22.454545454545457
1984-02-29,5.01,0.22,22.772727272727273
1984-03-01,5.1,0.22,23.18181818181818
1984-03-02,5.06,0.22,22.999999999999996
1984-03-05,5.02,0.22,22.818181818181817
1984-03-06,5.0,0.22,22.727272727272727
1984-03-07,4.94,0.22,22.454545454545457
1984-03-08,5.0,0.22,22.727272727272727
1984-03-09,4.97,0.22,22.59090909090909
1984-03-12,4.94,0.22,22.454545454545457
1984-03-13,4.96,0.22,22.545454545454547
1984-03-14,4.97,0.22,22.59090909090909
1984-03-15,4.96,0.22,22.545454545454547
1984-03-16,4.9,0.22,22.272727272727273
1984-03-19,4.9,0.22,22.272727272727273
1984-03-20,4.86,0.22,22.090909090909093
1984-03-21,4.89,0.22,22.227272727272727
1984-03-22,4.84,0.22,22.0
1984-03-23,4.89,0.22,22.227272727272727
1984-03-26,4.77,0.22,21.68181818181818
1984-03-27,4.77,0.22,21.68181818181818
1984-03-28,4.78,0.22,21.727272727272727
1984-03-29,4.79,0.22,21.772727272727273
1984-03-30,4.77,0.22,21.68181818181818
1984-04-02,4.71,0.22,21.40909090909091
1984-04-03,4.67,0.22,21.227272727272727
1984-04-04,4.67,0.22,21.227272727272727
1984-04-05,4.64,0.22,21.09090909090909
1984-04-06,4.64,0.22,21.09090909090909
1984-04-09,4.63,0.22,21.045454545454543
1984-04-10,4.63,0.22,21.045454545454543
1984-04-11,4.63,0.22,21.045454545454543
1984-04-12,4.69,0.22,21.31818181818182
1984-04-13,4.67,0.22,21.227272727272727
1984-04-16,4.67,0.22,21.227272727272727
1984-04-17,4.69,0.22,21.31818181818182
1984-04-18,4.69,0.22,21.31818181818182
1984-04-19,4.71,0.22,21.40909090909091
1984-04-23,4.74,0.22,21.545454545454547
1984-04-24,4.85,0.22,22.045454545454543
1984-04-25,4.91,0.22,22.31818181818182
1984-04-26,4.94,0.22,22.454545454545457
1984-04-27,4.92,0.22,22.363636363636363
1984-04-30,4.96,0.22,22.545454545454547
1984-05-01,5.01,0.22,22.772727272727273
1984-05-02,4.89,0.22,22.227272727272727
1984-05-03,4.93,0.22,22.409090909090907
1984-05-04,4.92,0.22,22.363636363636363
1984-05-07,4.91,0.22,22.31818181818182
1984-05-08,4.9,0.22,22.272727272727273
1984-05-09,4.91,0.22,22.31818181818182
1984-05-10,4.88,0.22,22.18181818181818
1984-05-11,4.81,0.22,21.863636363636363
1984-05-14,4.72,0.22,21.454545454545453
1984-05-15,4.71,0.22,21.40909090909091
1984-05-16,4.7,0.22,21.363636363636363
1984-05-17,4.67,0.22,21.227272727272727
1984-05-18,4.66,0.22,21.181818181818183
1984-05-21,4.65,0.22,21.136363636363637
1984-05-22,4.64,0.22,21.09090909090909
1984-05-23,4.7,0.22,21.363636363636363
1984-05-24,4.67,0.22,21.227272727272727
1984-05-25,4.64,0.22,21.09090909090909
1984-05-29,4.6,0.22,20.909090909090907
1984-05-30,4.59,0.22,20.863636363636363
1984-05-31,4.61,0.22,20.954545454545457
1984-06-01,4.74,0.22,21.545454545454547
1984-06-04,4.74,0.22,21.545454545454547
1984-06-05,4.73,0.22,21.500000000000004
1984-06-06,4.75,0.22,21.59090909090909
1984-06-07,4.75,0.22,21.59090909090909
1984-06-08,4.8,0.22,21.818181818181817
1984-06-11,4.8,0.22,21.818181818181817
1984-06-12,4.81,0.22,21.863636363636363
1984-06-13,4.8,0.22,21.818181818181817
1984-06-14,4.74,0.22,21.545454545454547
1984-06-15,4.76,0.22,21.636363636363637
1984-06-18,4.78,0.22,21.727272727272727
1984-06-19,4.82,0.22,21.90909090909091
1984-06-20,4.85,0.22,22.045454545454543
1984-06-21,4.91,0.22,22.31818181818182
1984-06-22,4.86,0.22,22.090909090909093
1984-06-25,4.74,0.22,21.545454545454547
1984-06-26,4.74,0.22,21.545454545454547
1984-06-27,4.67,0.22,21.227272727272727
1984-06-28,4.68,0.22,21.27272727272727
1984-06-29,4.66,0.22,21.181818181818183
1984-07-02,4.66,0.22,21.181818181818183
1984-07-03,4.69,0.22,21.31818181818182
1984-07-05,4.68,0.22,21.27272727272727
