date,IP,IP_EPS,PE Ratio
,,0.81,
1962-01-02,8.85,0.81,10.925925925925926
1962-01-03,8.73,0.81,10.777777777777777
1962-01-04,8.7,0.81,10.740740740740739
1962-01-05,8.79,0.81,10.85185185185185
1962-01-08,8.61,0.81,10.629629629629628
1962-01-09,8.49,0.81,10.481481481481481
1962-01-10,8.43,0.81,10.407407407407407
1962-01-11,8.43,0.81,10.407407407407407
1962-01-12,8.4,0.81,10.37037037037037
1962-01-15,8.25,0.81,10.185185185185185
1962-01-16,8.22,0.81,10.148148148148149
1962-01-17,8.16,0.81,10.074074074074074
1962-01-18,8.19,0.81,10.11111111111111
1962-01-19,8.16,0.81,10.074074074074074
1962-01-22,8.19,0.81,10.11111111111111
1962-01-23,8.16,0.81,10.074074074074074
1962-01-24,8.1,0.81,9.999999999999998
1962-01-25,8.1,0.81,9.999999999999998
1962-01-26,8.01,0.81,9.888888888888888
1962-01-29,8.04,0.81,9.925925925925924
1962-01-30,8.13,0.81,10.037037037037038
1962-01-31,8.19,0.81,10.11111111111111
1962-02-01,8.13,0.81,10.037037037037038
1962-02-02,8.22,0.81,10.148148148148149
1962-02-05,8.19,0.81,10.11111111111111
1962-02-06,8.28,0.81,10.222222222222221
1962-02-07,8.49,0.81,10.481481481481481
1962-02-08,8.46,0.81,10.444444444444445
1962-02-09,8.55,0.81,10.555555555555555
1962-02-12,8.58,0.81,10.592592592592592
1962-02-13,8.76,0.81,10.814814814814813
1962-02-14,8.7,0.81,10.740740740740739
1962-02-15,8.79,0.81,10.85185185185185
1962-02-16,8.82,0.81,10.88888888888889
1962-02-19,8.88,0.81,10.962962962962964
1962-02-20,9.0,0.81,11.11111111111111
1962-02-21,8.85,0.81,10.925925925925926
1962-02-23,8.82,0.81,10.88888888888889
1962-02-26,8.76,0.81,10.814814814814813
1962-02-27,8.82,0.81,10.88888888888889
1962-02-28,8.88,0.81,10.962962962962964
1962-03-01,8.91,0.81,11.0
1962-03-02,8.88,0.81,10.962962962962964
1962-03-05,8.79,0.81,10.85185185185185
1962-03-06,8.85,0.81,10.925925925925926
1962-03-07,8.85,0.81,10.925925925925926
1962-03-08,9.03,0.81,11.148148148148147
1962-03-09,9.03,0.81,11.148148148148147
1962-03-12,9.03,0.81,11.148148148148147
1962-03-13,9.09,0.81,11.222222222222221
1962-03-14,9.19,0.81,11.345679012345677
1962-03-15,9.19,0.81,11.345679012345677
1962-03-16,9.19,0.81,11.345679012345677
1962-03-19,9.15,0.81,11.296296296296296
1962-03-20,9.03,0.81,11.148148148148147
1962-03-21,9.03,0.81,11.148148148148147
1962-03-22,8.88,0.81,10.962962962962964
1962-03-23,9.03,0.81,11.148148148148147
1962-03-26,9.06,0.81,11.185185185185185
1962-03-27,9.09,0.81,11.222222222222221
1962-03-28,9.09,0.81,11.222222222222221
1962-03-29,9.06,0.81,11.185185185185185
