date,STZ,STZ_EPS,PE Ratio
,,0.01,
1992-03-17,1.54,0.01,154.0
1992-03-18,1.6,0.01,160.0
1992-03-19,1.64,0.01,164.0
1992-03-20,1.66,0.01,166.0
1992-03-23,1.67,0.01,167.0
1992-03-24,1.71,0.01,171.0
1992-03-25,1.72,0.01,172.0
1992-03-26,1.71,0.01,171.0
1992-03-27,1.7,0.01,170.0
1992-03-30,1.69,0.01,169.0
1992-03-31,1.69,0.01,169.0
1992-04-01,1.69,0.01,169.0
1992-04-02,1.68,0.01,168.0
1992-04-03,1.67,0.01,167.0
1992-04-06,1.67,0.01,167.0
1992-04-07,1.67,0.01,167.0
1992-04-08,1.61,0.01,161.0
1992-04-09,1.68,0.01,168.0
1992-04-10,1.69,0.01,169.0
1992-04-13,1.85,0.01,185.0
1992-04-14,1.9,0.01,190.0
1992-04-15,1.88,0.01,187.99999999999997
1992-04-16,1.82,0.01,182.0
1992-04-20,1.73,0.01,173.0
1992-04-21,1.78,0.01,178.0
1992-04-22,1.79,0.01,179.0
1992-04-23,1.8,0.01,180.0
1992-04-24,1.84,0.01,184.0
1992-04-27,1.82,0.01,182.0
1992-04-28,1.82,0.01,182.0
1992-04-29,1.83,0.01,183.0
1992-04-30,1.9,0.01,190.0
1992-05-01,1.95,0.01,195.0
1992-05-04,1.95,0.01,195.0
1992-05-05,1.95,0.01,195.0
1992-05-06,2.02,0.01,202.0
1992-05-07,2.02,0.01,202.0
1992-05-08,2.02,0.01,202.0
1992-05-11,2.0,0.01,200.0
1992-05-12,2.01,0.01,200.99999999999997
1992-05-13,1.98,0.01,198.0
1992-05-14,2.02,0.01,202.0
1992-05-15,2.01,0.01,200.99999999999997
1992-05-18,2.01,0.01,200.99999999999997
1992-05-19,2.0,0.01,200.0
1992-05-20,2.01,0.01,200.99999999999997
1992-05-21,2.01,0.01,200.99999999999997
1992-05-22,2.01,0.01,200.99999999999997
1992-05-26,1.99,0.01,199.0
1992-05-27,1.98,0.01,198.0
1992-05-28,1.9,0.01,190.0
1992-05-29,1.94,0.01,194.0
1992-06-01,1.94,0.01,194.0
1992-06-02,1.94,0.01,194.0
1992-06-03,1.98,0.01,198.0
1992-06-04,2.0,0.01,200.0
1992-06-05,2.0,0.01,200.0
1992-06-08,2.02,0.01,202.0
1992-06-09,1.98,0.01,198.0
1992-06-10,2.0,0.01,200.0
1992-06-11,2.01,0.01,200.99999999999997
1992-06-12,2.0,0.01,200.0
1992-06-15,1.98,0.01,198.0
1992-06-16,1.98,0.01,198.0
1992-06-17,1.94,0.01,194.0
1992-06-18,1.83,0.01,183.0
1992-06-19,1.85,0.01,185.0
1992-06-22,1.83,0.01,183.0
1992-06-23,1.81,0.01,181.0
1992-06-24,1.75,0.01,175.0
1992-06-25,1.73,0.01,173.0
1992-06-26,1.73,0.01,173.0
1992-06-29,1.83,0.01,183.0
1992-06-30,1.83,0.01,183.0
1992-07-01,1.79,0.01,179.0
1992-07-02,1.78,0.01,178.0
1992-07-06,1.73,0.01,173.0
1992-07-07,1.71,0.01,171.0
1992-07-08,1.73,0.01,173.0
1992-07-09,1.72,0.01,172.0
1992-07-10,1.71,0.01,171.0
1992-07-13,1.71,0.01,171.0
1992-07-14,1.7,0.01,170.0
1992-07-15,1.7,0.01,170.0
1992-07-16,1.71,0.01,171.0
1992-07-17,1.69,0.01,169.0
1992-07-20,1.73,0.01,173.0
1992-07-21,1.83,0.01,183.0
1992-07-22,1.8,0.01,180.0
1992-07-23,1.81,0.01,181.0
1992-07-24,1.78,0.01,178.0
1992-07-27,1.78,0.01,178.0
1992-07-28,1.78,0.01,178.0
1992-07-29,1.81,0.01,181.0
1992-07-30,1.78,0.01,178.0
1992-07-31,1.81,0.01,181.0
1992-08-03,1.81,0.01,181.0
1992-08-04,1.81,0.01,181.0
1992-08-05,1.88,0.01,187.99999999999997
1992-08-06,1.84,0.01,184.0
1992-08-07,1.83,0.01,183.0
1992-08-10,1.81,0.01,181.0
1992-08-11,1.72,0.01,172.0
1992-08-12,1.72,0.01,172.0
1992-08-13,1.72,0.01,172.0
1992-08-14,1.75,0.01,175.0
1992-08-17,1.69,0.01,169.0
1992-08-18,1.72,0.01,172.0
1992-08-19,1.72,0.01,172.0
1992-08-20,1.72,0.01,172.0
1992-08-21,1.69,0.01,169.0
1992-08-24,1.69,0.01,169.0
1992-08-25,1.72,0.01,172.0
1992-08-26,1.66,0.01,166.0
1992-08-27,1.66,0.01,166.0
1992-08-28,1.69,0.01,169.0
1992-08-31,1.69,0.01,169.0
1992-09-01,1.66,0.01,166.0
1992-09-02,1.63,0.01,163.0
1992-09-03,1.63,0.01,163.0
1992-09-04,1.63,0.01,163.0
1992-09-08,1.63,0.01,163.0
1992-09-09,1.63,0.01,163.0
1992-09-10,1.72,0.01,172.0
1992-09-11,1.67,0.01,167.0
1992-09-14,1.72,0.01,172.0
1992-09-15,1.72,0.01,172.0
1992-09-16,1.66,0.01,166.0
1992-09-17,1.66,0.01,166.0
1992-09-18,1.61,0.01,161.0
1992-09-21,1.63,0.01,163.0
1992-09-22,1.56,0.01,156.0
1992-09-23,1.63,0.01,163.0
1992-09-24,1.63,0.01,163.0
1992-09-25,1.63,0.01,163.0
1992-09-28,1.59,0.01,159.0
1992-09-29,1.56,0.01,156.0
1992-09-30,1.53,0.01,153.0
1992-10-01,1.55,0.01,155.0
1992-10-02,1.53,0.01,153.0
1992-10-05,1.41,0.01,141.0
1992-10-06,1.44,0.01,144.0
1992-10-07,1.5,0.01,150.0
1992-10-08,1.56,0.01,156.0
1992-10-09,1.59,0.01,159.0
1992-10-12,1.63,0.01,163.0
1992-10-13,1.63,0.01,163.0
1992-10-14,1.59,0.01,159.0
1992-10-15,1.53,0.01,153.0
1992-10-16,1.53,0.01,153.0
1992-10-19,1.66,0.01,166.0
1992-10-20,1.63,0.01,163.0
1992-10-21,1.63,0.01,163.0
1992-10-22,1.66,0.01,166.0
1992-10-23,1.63,0.01,163.0
1992-10-26,1.69,0.01,169.0
1992-10-27,1.69,0.01,169.0
1992-10-28,1.78,0.01,178.0
1992-10-29,1.78,0.01,178.0
1992-10-30,1.78,0.01,178.0
1992-11-02,1.8,0.01,180.0
1992-11-03,1.78,0.01,178.0
1992-11-04,1.78,0.01,178.0
1992-11-05,1.84,0.01,184.0
1992-11-06,1.86,0.01,186.0
1992-11-09,1.81,0.01,181.0
1992-11-10,1.81,0.01,181.0
1992-11-11,1.75,0.01,175.0
1992-11-12,1.81,0.01,181.0
1992-11-13,1.81,0.01,181.0
1992-11-16,1.78,0.01,178.0
1992-11-17,1.78,0.01,178.0
1992-11-18,1.77,0.01,177.0
1992-11-19,1.91,0.01,191.0
1992-11-20,1.95,0.01,195.0
1992-11-23,1.94,0.01,194.0
1992-11-24,1.97,0.01,197.0
1992-11-25,1.94,0.01,194.0
1992-11-27,1.97,0.01,197.0
1992-11-30,1.97,0.01,197.0
1992-12-01,1.94,0.01,194.0
1992-12-02,1.94,0.01,194.0
1992-12-03,1.91,0.01,191.0
1992-12-04,1.91,0.01,191.0
1992-12-07,1.91,0.01,191.0
1992-12-08,1.91,0.01,191.0
1992-12-09,1.88,0.01,187.99999999999997
1992-12-10,1.84,0.01,184.0
1992-12-11,1.88,0.01,187.99999999999997
1992-12-14,1.88,0.01,187.99999999999997
1992-12-15,1.88,0.01,187.99999999999997
1992-12-16,1.88,0.01,187.99999999999997
1992-12-17,1.88,0.01,187.99999999999997
1992-12-18,1.83,0.01,183.0
1992-12-21,1.86,0.01,186.0
1992-12-22,1.86,0.01,186.0
1992-12-23,1.94,0.01,194.0
1992-12-24,2.0,0.01,200.0
1992-12-28,1.97,0.01,197.0
1992-12-29,2.06,0.01,206.0
1992-12-30,2.06,0.01,206.0
1992-12-31,2.13,0.01,212.99999999999997
1993-01-04,2.13,0.01,212.99999999999997
1993-01-05,2.09,0.01,208.99999999999997
1993-01-06,2.11,0.01,210.99999999999997
1993-01-07,2.09,0.01,208.99999999999997
1993-01-08,2.09,0.01,208.99999999999997
1993-01-11,2.11,0.01,210.99999999999997
1993-01-12,2.08,0.01,208.0
1993-01-13,2.13,0.01,212.99999999999997
1993-01-14,2.13,0.01,212.99999999999997
1993-01-15,2.09,0.01,208.99999999999997
1993-01-18,2.16,0.01,216.0
1993-01-19,2.16,0.01,216.0
1993-01-20,2.16,0.01,216.0
1993-01-21,2.28,0.01,227.99999999999997
1993-01-22,2.28,0.01,227.99999999999997
1993-01-25,2.31,0.01,231.0
1993-01-26,2.34,0.01,233.99999999999997
1993-01-27,2.27,0.01,227.0
1993-01-28,2.25,0.01,225.0
1993-01-29,2.22,0.01,222.00000000000003
1993-02-01,2.22,0.01,222.00000000000003
1993-02-02,2.22,0.01,222.00000000000003
1993-02-03,2.31,0.01,231.0
1993-02-04,2.31,0.01,231.0
1993-02-05,2.31,0.01,231.0
1993-02-08,2.31,0.01,231.0
1993-02-09,2.3,0.01,229.99999999999997
1993-02-10,2.25,0.01,225.0
1993-02-11,2.25,0.01,225.0
1993-02-12,2.28,0.01,227.99999999999997
1993-02-16,2.19,0.01,219.0
1993-02-17,2.16,0.01,216.0
1993-02-18,2.2,0.01,220.0
1993-02-19,2.13,0.01,212.99999999999997
1993-02-22,2.13,0.01,212.99999999999997
1993-02-23,1.95,0.01,195.0
1993-02-24,1.94,0.01,194.0
1993-02-25,2.0,0.01,200.0
1993-02-26,2.0,0.01,200.0
1993-03-01,1.88,0.01,187.99999999999997
1993-03-02,1.97,0.01,197.0
1993-03-03,1.97,0.01,197.0
1993-03-04,1.97,0.01,197.0
1993-03-05,1.97,0.01,197.0
1993-03-08,2.06,0.01,206.0
1993-03-09,2.06,0.01,206.0
1993-03-10,2.06,0.01,206.0
1993-03-11,2.03,0.01,202.99999999999997
1993-03-12,1.94,0.01,194.0
1993-03-15,1.97,0.01,197.0
1993-03-16,1.94,0.01,194.0
1993-03-17,1.94,0.01,194.0
1993-03-18,1.94,0.01,194.0
1993-03-19,1.94,0.01,194.0
1993-03-22,1.94,0.01,194.0
1993-03-23,1.92,0.01,192.0
1993-03-24,1.94,0.01,194.0
1993-03-25,1.94,0.01,194.0
1993-03-26,1.94,0.01,194.0
1993-03-29,1.97,0.01,197.0
1993-03-30,2.02,0.01,202.0
1993-03-31,2.03,0.01,202.99999999999997
1993-04-01,2.0,0.01,200.0
1993-04-02,1.94,0.01,194.0
1993-04-05,1.97,0.01,197.0
1993-04-06,1.97,0.01,197.0
1993-04-07,1.97,0.01,197.0
1993-04-08,1.97,0.01,197.0
1993-04-12,1.97,0.01,197.0
1993-04-13,1.97,0.01,197.0
1993-04-14,1.84,0.01,184.0
1993-04-15,1.81,0.01,181.0
1993-04-16,1.78,0.01,178.0
1993-04-19,1.75,0.01,175.0
1993-04-20,1.75,0.01,175.0
1993-04-21,1.78,0.01,178.0
1993-04-22,1.78,0.01,178.0
1993-04-23,1.77,0.01,177.0
1993-04-26,1.75,0.01,175.0
1993-04-27,2.13,0.01,212.99999999999997
1993-04-28,2.16,0.01,216.0
1993-04-29,2.14,0.01,214.0
1993-04-30,2.23,0.01,223.0
1993-05-03,2.22,0.01,222.00000000000003
1993-05-04,2.33,0.01,233.0
1993-05-05,2.31,0.01,231.0
1993-05-06,2.33,0.01,233.0
1993-05-07,2.34,0.01,233.99999999999997
1993-05-10,2.34,0.01,233.99999999999997
1993-05-11,2.41,0.01,241.0
1993-05-12,2.41,0.01,241.0
1993-05-13,2.31,0.01,231.0
1993-05-14,2.41,0.01,241.0
1993-05-17,2.38,0.01,237.99999999999997
1993-05-18,2.41,0.01,241.0
1993-05-19,2.38,0.01,237.99999999999997
1993-05-20,2.38,0.01,237.99999999999997
1993-05-21,2.38,0.01,237.99999999999997
1993-05-24,2.38,0.01,237.99999999999997
1993-05-25,2.38,0.01,237.99999999999997
1993-05-26,2.38,0.01,237.99999999999997
1993-05-27,2.25,0.01,225.0
1993-05-28,2.31,0.01,231.0
1993-06-01,2.31,0.01,231.0
1993-06-02,2.31,0.01,231.0
1993-06-03,2.34,0.01,233.99999999999997
1993-06-04,2.34,0.01,233.99999999999997
1993-06-07,2.42,0.01,242.0
1993-06-08,2.38,0.01,237.99999999999997
1993-06-09,2.38,0.01,237.99999999999997
