date,ICE,ICE_EPS,PE Ratio
,,0.0,
2005-11-16,7.85,0.0,inf
2005-11-17,7.05,0.0,inf
2005-11-18,7.0,0.0,inf
2005-11-21,7.18,0.0,inf
2005-11-22,6.99,0.0,inf
2005-11-23,6.79,0.0,inf
2005-11-25,6.83,0.0,inf
2005-11-28,6.66,0.0,inf
2005-11-29,6.39,0.0,inf
2005-11-30,6.46,0.0,inf
2005-12-01,7.0,0.0,inf
2005-12-02,7.22,0.0,inf
2005-12-05,7.36,0.0,inf
2005-12-06,7.32,0.0,inf
2005-12-07,7.09,0.0,inf
2005-12-08,7.2,0.0,inf
2005-12-09,7.24,0.0,inf
2005-12-12,7.29,0.0,inf
2005-12-13,7.12,0.0,inf
2005-12-14,7.0,0.0,inf
2005-12-15,6.8,0.0,inf
2005-12-16,6.84,0.0,inf
2005-12-19,6.87,0.0,inf
2005-12-20,6.99,0.0,inf
2005-12-21,6.96,0.0,inf
2005-12-22,6.94,0.0,inf
2005-12-23,6.85,0.0,inf
2005-12-27,7.05,0.0,inf
2005-12-28,7.02,0.0,inf
2005-12-29,7.23,0.0,inf
2005-12-30,7.27,0.0,inf
2006-01-03,7.57,0.0,inf
2006-01-04,7.38,0.0,inf
2006-01-05,7.86,0.0,inf
2006-01-06,8.06,0.0,inf
2006-01-09,8.72,0.0,inf
2006-01-10,9.2,0.0,inf
2006-01-11,9.38,0.0,inf
2006-01-12,8.79,0.0,inf
2006-01-13,8.91,0.0,inf
2006-01-17,9.28,0.0,inf
2006-01-18,9.16,0.0,inf
2006-01-19,9.49,0.0,inf
2006-01-20,9.26,0.0,inf
2006-01-23,9.55,0.0,inf
2006-01-24,10.56,0.0,inf
2006-01-25,10.6,0.0,inf
2006-01-26,10.49,0.0,inf
2006-01-27,10.2,0.0,inf
2006-01-30,9.82,0.0,inf
2006-01-31,10.16,0.0,inf
2006-02-01,11.13,0.0,inf
2006-02-02,11.04,0.0,inf
2006-02-03,11.1,0.0,inf
2006-02-06,11.14,0.0,inf
2006-02-07,10.69,0.0,inf
2006-02-08,10.7,0.0,inf
2006-02-09,10.6,0.0,inf
2006-02-10,10.35,0.0,inf
2006-02-13,10.55,0.0,inf
2006-02-14,10.4,0.0,inf
2006-02-15,10.4,0.0,inf
2006-02-16,10.31,0.0,inf
2006-02-17,10.27,0.0,inf
2006-02-21,9.93,0.0,inf
2006-02-22,9.85,0.0,inf
2006-02-23,9.98,0.0,inf
2006-02-24,10.9,0.0,inf
2006-02-27,11.37,0.0,inf
2006-02-28,10.95,0.0,inf
2006-03-01,11.35,0.0,inf
2006-03-02,11.87,0.0,inf
2006-03-03,12.12,0.0,inf
2006-03-06,12.26,0.0,inf
2006-03-07,12.0,0.0,inf
2006-03-08,11.84,0.0,inf
2006-03-09,12.8,0.0,inf
2006-03-10,13.43,0.0,inf
2006-03-13,14.26,0.0,inf
2006-03-14,13.72,0.0,inf
2006-03-15,13.86,0.0,inf
2006-03-16,13.36,0.0,inf
2006-03-17,13.62,0.0,inf
2006-03-20,14.23,0.0,inf
2006-03-21,14.05,0.0,inf
2006-03-22,13.6,0.0,inf
2006-03-23,13.41,0.0,inf
2006-03-24,13.44,0.0,inf
2006-03-27,13.97,0.0,inf
2006-03-28,13.72,0.0,inf
2006-03-29,13.55,0.0,inf
2006-03-30,14.26,0.0,inf
2006-03-31,13.81,0.0,inf
2006-04-03,12.62,0.0,inf
2006-04-04,13.0,0.0,inf
2006-04-05,12.57,0.0,inf
2006-04-06,11.96,0.0,inf
2006-04-07,10.6,0.0,inf
2006-04-10,10.91,0.0,inf
2006-04-11,11.32,0.0,inf
2006-04-12,11.53,0.0,inf
2006-04-13,11.75,0.0,inf
2006-04-17,11.57,0.0,inf
2006-04-18,13.23,0.0,inf
2006-04-19,13.86,0.0,inf
2006-04-20,14.0,0.0,inf
2006-04-21,13.8,0.0,inf
2006-04-24,13.45,0.0,inf
2006-04-25,13.96,0.0,inf
2006-04-26,14.06,0.0,inf
2006-04-27,14.32,0.0,inf
2006-04-28,14.26,0.0,inf
2006-05-01,13.39,0.0,inf
2006-05-02,13.54,0.0,inf
2006-05-03,14.03,0.0,inf
2006-05-04,13.8,0.0,inf
2006-05-05,14.84,0.0,inf
2006-05-08,15.77,0.0,inf
2006-05-09,15.44,0.0,inf
2006-05-10,15.56,0.0,inf
2006-05-11,15.83,0.0,inf
2006-05-12,15.12,0.0,inf
2006-05-15,15.28,0.0,inf
2006-05-16,15.16,0.0,inf
2006-05-17,14.0,0.0,inf
2006-05-18,13.59,0.0,inf
2006-05-19,14.0,0.0,inf
2006-05-22,11.93,0.0,inf
2006-05-23,11.79,0.0,inf
2006-05-24,10.86,0.0,inf
2006-05-25,11.2,0.0,inf
2006-05-26,11.49,0.0,inf
2006-05-30,10.63,0.0,inf
2006-05-31,11.14,0.0,inf
2006-06-01,11.15,0.0,inf
2006-06-02,10.95,0.0,inf
2006-06-05,10.32,0.0,inf
2006-06-06,10.07,0.0,inf
2006-06-07,10.14,0.0,inf
2006-06-08,9.99,0.0,inf
2006-06-09,10.17,0.0,inf
2006-06-12,9.8,0.0,inf
2006-06-13,9.2,0.0,inf
2006-06-14,9.4,0.0,inf
