date,PAYC,PAYC_EPS,PE Ratio
,,-0.02,
2014-04-15,15.35,-0.02,-767.5
2014-04-16,15.62,-0.02,-781.0
2014-04-17,16.25,-0.02,-812.5
2014-04-21,16.1,-0.02,-805.0
2014-04-22,15.98,-0.02,-799.0
2014-04-23,16.07,-0.02,-803.5
2014-04-24,15.75,-0.02,-787.5
2014-04-25,15.3,-0.02,-765.0
2014-04-28,14.97,-0.02,-748.5
2014-04-29,15.28,-0.02,-764.0
2014-04-30,15.41,-0.02,-770.5
2014-05-01,15.67,-0.02,-783.5
2014-05-02,15.8,-0.02,-790.0
2014-05-05,15.68,-0.02,-784.0
2014-05-06,15.31,-0.02,-765.5
2014-05-07,15.05,-0.02,-752.5
2014-05-08,15.18,-0.02,-759.0
2014-05-09,14.51,-0.02,-725.5
2014-05-12,14.09,-0.02,-704.5
2014-05-13,13.87,-0.02,-693.5
2014-05-14,14.07,-0.02,-703.5
2014-05-15,14.29,-0.02,-714.4999999999999
2014-05-16,13.81,-0.02,-690.5
2014-05-19,13.24,-0.02,-662.0
2014-05-20,14.0,-0.02,-700.0
2014-05-21,14.0,0.02,700.0
2014-05-22,15.38,0.02,769.0
2014-05-23,14.53,0.02,726.5
2014-05-27,14.03,0.02,701.5
2014-05-28,13.25,0.02,662.5
2014-05-29,13.48,0.02,674.0
2014-05-30,13.35,0.02,667.5
2014-06-02,13.54,0.02,677.0
2014-06-03,14.03,0.02,701.5
2014-06-04,14.3,0.02,715.0
2014-06-05,14.17,0.02,708.5
2014-06-06,14.45,0.02,722.5
2014-06-09,14.64,0.02,732.0
2014-06-10,14.43,0.02,721.5
2014-06-11,14.46,0.02,723.0
2014-06-12,13.97,0.02,698.5
2014-06-13,14.0,0.02,700.0
2014-06-16,14.44,0.02,722.0
2014-06-17,14.0,0.02,700.0
2014-06-18,14.17,0.02,708.5
2014-06-19,14.29,0.02,714.4999999999999
2014-06-20,14.12,0.02,706.0
2014-06-23,14.64,0.02,732.0
2014-06-24,14.7,0.02,735.0
2014-06-25,14.72,0.02,736.0
2014-06-26,14.72,0.02,736.0
2014-06-27,13.98,0.02,699.0
2014-06-30,14.59,0.02,729.5
2014-07-01,14.6,0.02,730.0
2014-07-02,14.25,0.02,712.5
2014-07-03,14.68,0.02,734.0
2014-07-07,14.02,0.02,701.0
2014-07-08,13.43,0.02,671.5
2014-07-09,13.42,0.02,671.0
2014-07-10,13.3,0.02,665.0
2014-07-11,13.03,0.02,651.5
2014-07-14,13.29,0.02,664.5
2014-07-15,12.97,0.02,648.5
2014-07-16,12.85,0.02,642.5
2014-07-17,12.41,0.02,620.5
2014-07-18,12.48,0.02,624.0
2014-07-21,12.78,0.02,639.0
2014-07-22,12.62,0.02,631.0
2014-07-23,12.84,0.02,642.0
2014-07-24,13.0,0.02,650.0
2014-07-25,13.0,0.02,650.0
2014-07-28,12.96,0.02,648.0
2014-07-29,12.88,0.02,644.0
2014-07-30,13.0,0.02,650.0
2014-07-31,12.78,0.02,639.0
2014-08-01,12.65,0.02,632.5
2014-08-04,12.69,0.02,634.5
2014-08-05,12.49,0.02,624.5
2014-08-06,13.83,0.02,691.5
2014-08-07,13.82,0.02,691.0
2014-08-08,13.58,0.04,339.5
2014-08-11,13.91,0.04,347.75
2014-08-12,13.89,0.04,347.25
2014-08-13,14.75,0.04,368.75
2014-08-14,15.26,0.04,381.5
2014-08-15,16.84,0.04,421.0
2014-08-18,16.45,0.04,411.25
2014-08-19,16.19,0.04,404.75
2014-08-20,15.77,0.04,394.25
2014-08-21,16.54,0.04,413.49999999999994
2014-08-22,17.45,0.04,436.25
2014-08-25,17.25,0.04,431.25
2014-08-26,18.05,0.04,451.25
2014-08-27,17.98,0.04,449.5
2014-08-28,17.88,0.04,446.99999999999994
2014-08-29,17.92,0.04,448.00000000000006
2014-09-02,18.08,0.04,451.99999999999994
2014-09-03,17.35,0.04,433.75
2014-09-04,16.65,0.04,416.24999999999994
2014-09-05,16.43,0.04,410.75
2014-09-08,16.39,0.04,409.75
2014-09-09,16.11,0.04,402.75
2014-09-10,16.36,0.04,409.0
2014-09-11,16.7,0.04,417.5
2014-09-12,17.74,0.04,443.49999999999994
2014-09-15,17.16,0.04,429.0
2014-09-16,17.89,0.04,447.25
2014-09-17,17.73,0.04,443.25
2014-09-18,18.05,0.04,451.25
2014-09-19,18.99,0.04,474.74999999999994
2014-09-22,18.28,0.04,457.0
2014-09-23,18.3,0.04,457.5
2014-09-24,18.42,0.04,460.50000000000006
2014-09-25,16.99,0.04,424.74999999999994
2014-09-26,17.22,0.04,430.49999999999994
2014-09-29,16.91,0.04,422.75
2014-09-30,16.56,0.04,413.99999999999994
2014-10-01,16.1,0.04,402.5
2014-10-02,16.3,0.04,407.5
2014-10-03,16.57,0.04,414.25
2014-10-06,16.15,0.04,403.74999999999994
2014-10-07,15.76,0.04,394.0
2014-10-08,15.68,0.04,392.0
2014-10-09,14.88,0.04,372.0
2014-10-10,14.88,0.04,372.0
2014-10-13,14.98,0.04,374.5
2014-10-14,15.04,0.04,375.99999999999994
2014-10-15,16.26,0.04,406.50000000000006
2014-10-16,16.76,0.04,419.00000000000006
2014-10-17,16.43,0.04,410.75
2014-10-20,16.34,0.04,408.5
2014-10-21,16.67,0.04,416.75000000000006
2014-10-22,16.48,0.04,412.0
2014-10-23,16.53,0.04,413.25
2014-10-24,16.51,0.04,412.75000000000006
2014-10-27,16.57,0.04,414.25
2014-10-28,16.91,0.04,422.75
2014-10-29,16.77,0.04,419.25
2014-10-30,17.43,0.04,435.75
2014-10-31,17.75,0.04,443.75
2014-11-03,17.68,0.04,442.0
2014-11-04,17.73,0.04,443.25
2014-11-05,21.15,0.04,528.75
2014-11-06,21.59,0.04,539.75
2014-11-07,21.42,0.05,428.40000000000003
2014-11-10,22.07,0.05,441.4
2014-11-11,22.5,0.05,450.0
2014-11-12,22.35,0.05,447.0
2014-11-13,22.6,0.05,452.0
2014-11-14,23.69,0.05,473.8
2014-11-17,24.85,0.05,497.0
2014-11-18,24.84,0.05,496.79999999999995
2014-11-19,25.69,0.05,513.8
2014-11-20,26.1,0.05,522.0
2014-11-21,26.93,0.05,538.5999999999999
2014-11-24,27.47,0.05,549.4
2014-11-25,27.68,0.05,553.5999999999999
2014-11-26,28.29,0.05,565.8
2014-11-28,28.75,0.05,575.0
2014-12-01,28.38,0.05,567.5999999999999
2014-12-02,27.6,0.05,552.0
2014-12-03,26.92,0.05,538.4
2014-12-04,27.27,0.05,545.4
2014-12-05,27.33,0.05,546.5999999999999
2014-12-08,26.42,0.05,528.4
2014-12-09,27.39,0.05,547.8
2014-12-10,26.59,0.05,531.8
2014-12-11,25.64,0.05,512.8
2014-12-12,24.46,0.05,489.2
2014-12-15,24.24,0.05,484.79999999999995
2014-12-16,26.59,0.05,531.8
2014-12-17,27.31,0.05,546.1999999999999
2014-12-18,27.58,0.05,551.5999999999999
2014-12-19,27.21,0.05,544.1999999999999
2014-12-22,28.43,0.05,568.5999999999999
2014-12-23,27.37,0.05,547.4
2014-12-24,26.49,0.05,529.8
2014-12-26,26.68,0.05,533.5999999999999
2014-12-29,26.24,0.05,524.8
2014-12-30,26.07,0.05,521.4
2014-12-31,26.33,0.05,526.5999999999999
2015-01-02,26.06,0.05,521.1999999999999
2015-01-05,25.18,0.05,503.59999999999997
2015-01-06,24.56,0.05,491.19999999999993
2015-01-07,25.34,0.05,506.79999999999995
2015-01-08,26.42,0.05,528.4
2015-01-09,25.43,0.05,508.59999999999997
2015-01-12,24.68,0.05,493.59999999999997
2015-01-13,23.61,0.05,472.2
2015-01-14,23.18,0.05,463.59999999999997
2015-01-15,23.61,0.05,472.2
2015-01-16,23.49,0.05,469.79999999999995
2015-01-20,23.24,0.05,464.79999999999995
2015-01-21,25.26,0.05,505.2
2015-01-22,26.28,0.05,525.6
2015-01-23,27.04,0.05,540.8
2015-01-26,27.41,0.05,548.1999999999999
2015-01-27,28.12,0.05,562.4
2015-01-28,28.76,0.05,575.2
2015-01-29,27.4,0.05,547.9999999999999
2015-01-30,26.17,0.05,523.4
2015-02-02,26.09,0.05,521.8
2015-02-03,27.58,0.05,551.5999999999999
2015-02-04,27.08,0.05,541.5999999999999
2015-02-05,28.0,0.05,560.0
2015-02-06,28.05,0.05,561.0
2015-02-09,29.76,0.05,595.2
2015-02-10,31.7,0.05,634.0
2015-02-11,31.45,0.05,629.0
2015-02-12,33.08,0.05,661.5999999999999
2015-02-13,32.37,0.05,647.3999999999999
2015-02-17,33.56,0.05,671.2
2015-02-18,32.63,0.05,652.6
2015-02-19,33.39,0.05,667.8
2015-02-20,33.77,0.05,675.4
2015-02-23,32.91,0.05,658.1999999999999
2015-02-24,33.19,0.05,663.8
2015-02-25,32.94,0.05,658.8
2015-02-26,32.84,0.05,656.8000000000001
2015-02-27,31.88,0.05,637.5999999999999
2015-03-02,31.87,0.05,637.4
2015-03-03,31.92,0.05,638.4
2015-03-04,31.64,0.05,632.8
2015-03-05,32.35,0.05,647.0
2015-03-06,32.16,0.05,643.1999999999999
2015-03-09,30.65,0.05,612.9999999999999
2015-03-10,30.88,0.05,617.5999999999999
2015-03-11,31.49,0.05,629.8
2015-03-12,31.87,0.05,637.4
2015-03-13,31.4,0.05,627.9999999999999
2015-03-16,31.95,0.05,639.0
2015-03-17,32.67,0.05,653.4
2015-03-18,34.22,0.05,684.4
2015-03-19,35.11,0.05,702.1999999999999
2015-03-20,33.77,0.05,675.4
2015-03-23,33.19,0.05,663.8
2015-03-24,31.62,0.05,632.4
2015-03-25,30.47,0.05,609.4
2015-03-26,31.83,0.05,636.5999999999999
2015-03-27,31.84,0.05,636.8
2015-03-30,32.09,0.05,641.8000000000001
2015-03-31,32.06,0.05,641.2
2015-04-01,31.66,0.05,633.1999999999999
2015-04-02,31.5,0.05,630.0
2015-04-06,31.97,0.05,639.4
2015-04-07,32.36,0.05,647.1999999999999
2015-04-08,32.28,0.05,645.6
2015-04-09,31.97,0.05,639.4
