date,SIVB,SIVB_EPS,PE Ratio
1987-10-26,0.92,,
1987-10-27,0.92,,
1987-10-28,0.92,,
1987-10-29,0.92,,
1987-10-30,0.92,,
1987-11-02,0.88,,
1987-11-03,0.88,,
1987-11-04,0.85,,
1987-11-05,0.85,,
1987-11-06,0.85,,
1987-11-09,0.83,,
1987-11-10,0.83,,
1987-11-11,0.83,,
1987-11-12,0.83,,
1987-11-13,0.83,,
1987-11-16,0.83,,
1987-11-17,0.83,,
1987-11-18,0.83,,
1987-11-19,0.83,,
1987-11-20,0.83,,
1987-11-23,0.89,,
1987-11-25,0.83,,
1987-11-27,0.83,,
1987-11-30,0.83,,
1987-12-01,0.9,,
1987-12-02,0.83,,
1987-12-03,0.83,,
1987-12-04,0.83,,
1987-12-07,0.88,,
1987-12-08,0.88,,
1987-12-09,0.88,,
1987-12-10,0.88,,
1987-12-11,0.88,,
1987-12-14,0.86,,
1987-12-15,0.86,,
1987-12-16,0.88,,
1987-12-17,0.89,,
1987-12-18,0.89,,
1987-12-21,0.91,,
1987-12-22,0.91,,
1987-12-23,0.9,,
1987-12-24,0.9,,
1987-12-28,0.9,,
1987-12-29,0.9,,
1987-12-30,0.9,,
1987-12-31,0.91,,
1988-01-04,0.91,,
1988-01-05,0.91,,
1988-01-06,0.92,,
1988-01-07,0.92,,
1988-01-08,1.02,,
1988-01-11,1.0,,
1988-01-12,0.98,,
1988-01-13,0.98,,
1988-01-14,0.98,,
1988-01-15,0.98,,
1988-01-18,0.98,,
1988-01-19,0.98,,
1988-01-20,0.98,,
1988-01-21,1.02,,
1988-01-22,1.02,,
1988-01-25,1.02,,
1988-01-26,1.02,,
1988-01-27,1.0,,
1988-01-28,1.0,,
1988-01-29,1.0,,
1988-02-01,1.0,,
1988-02-02,1.0,,
1988-02-03,1.0,,
1988-02-04,1.0,,
1988-02-05,0.92,,
1988-02-08,0.92,,
1988-02-09,0.92,,
1988-02-10,0.92,,
1988-02-11,0.9,,
1988-02-12,0.92,,
1988-02-16,0.92,,
1988-02-17,0.9,,
1988-02-18,0.94,,
1988-02-19,0.98,,
1988-02-22,0.98,,
1988-02-23,0.98,,
1988-02-24,0.98,,
1988-02-25,0.98,,
1988-02-26,0.98,,
1988-02-29,0.98,,
1988-03-01,0.9,,
1988-03-02,0.9,,
1988-03-03,0.98,,
1988-03-04,0.98,,
1988-03-07,0.9,,
1988-03-08,0.9,,
1988-03-09,0.9,,
1988-03-10,0.9,,
1988-03-11,0.9,,
1988-03-14,0.92,,
1988-03-15,0.93,,
1988-03-16,0.96,,
1988-03-17,0.96,,
1988-03-18,0.92,,
1988-03-21,0.92,,
1988-03-22,0.92,,
1988-03-23,0.92,,
1988-03-24,0.92,,
1988-03-25,0.92,,
1988-03-28,0.92,,
1988-03-29,0.92,,
1988-03-30,0.92,,
1988-03-31,0.92,,
1988-04-04,0.98,,
1988-04-05,0.98,,
1988-04-06,0.95,,
1988-04-07,0.95,,
1988-04-08,0.95,,
1988-04-11,1.0,,
1988-04-12,1.02,,
1988-04-13,1.02,,
1988-04-14,0.96,,
1988-04-15,1.02,,
1988-04-18,1.02,,
1988-04-19,1.04,,
1988-04-20,1.04,,
1988-04-21,1.02,,
1988-04-22,1.04,,
1988-04-25,1.06,,
1988-04-26,1.1,,
1988-04-27,1.09,,
1988-04-28,1.09,,
1988-04-29,1.1,,
1988-05-02,1.15,,
1988-05-03,1.15,,
1988-05-04,1.15,,
1988-05-05,1.15,,
1988-05-06,1.1,,
1988-05-09,1.1,,
1988-05-10,1.1,,
1988-05-11,1.15,,
1988-05-12,1.15,,
1988-05-13,1.15,,
1988-05-16,1.15,,
1988-05-17,1.15,,
1988-05-18,1.14,,
1988-05-19,1.08,,
1988-05-20,1.15,,
1988-05-23,1.15,,
1988-05-24,1.15,,
1988-05-25,1.15,,
1988-05-26,1.16,,
1988-05-27,1.17,,
1988-05-31,1.17,,
1988-06-01,1.15,,
1988-06-02,1.15,,
1988-06-03,1.15,,
1988-06-06,1.15,,
1988-06-07,1.17,,
1988-06-08,1.13,,
1988-06-09,1.13,,
1988-06-10,1.13,,
1988-06-13,1.13,,
1988-06-14,1.13,,
1988-06-15,1.13,,
1988-06-16,1.13,,
1988-06-17,1.13,,
1988-06-20,1.13,,
1988-06-21,1.13,,
1988-06-22,1.13,,
1988-06-23,1.13,,
1988-06-24,1.13,,
