date,ALK,ALK_EPS,PE Ratio
1980-03-17,0.88,,
1980-03-18,0.85,,
1980-03-19,0.88,,
1980-03-20,0.88,,
1980-03-21,0.85,,
1980-03-24,0.88,,
1980-03-25,0.82,,
1980-03-26,0.82,,
1980-03-27,0.79,,
1980-03-28,0.85,,
1980-03-31,0.85,,
1980-04-01,0.88,,
1980-04-02,0.88,,
1980-04-03,0.88,,
1980-04-07,0.79,,
1980-04-08,0.82,,
1980-04-09,0.85,,
1980-04-10,0.85,,
1980-04-11,0.85,,
1980-04-14,0.82,,
1980-04-15,0.79,,
1980-04-16,0.79,,
1980-04-17,0.77,,
1980-04-18,0.79,,
1980-04-21,0.82,,
1980-04-22,0.82,,
1980-04-23,0.85,,
1980-04-24,0.82,,
1980-04-25,0.85,,
1980-04-28,0.82,,
1980-04-29,0.79,,
1980-04-30,0.82,,
1980-05-01,0.85,,
1980-05-02,0.88,,
1980-05-05,0.88,,
1980-05-06,0.85,,
1980-05-07,0.85,,
1980-05-08,0.85,,
1980-05-09,0.82,,
1980-05-12,0.82,,
1980-05-13,0.85,,
1980-05-14,0.82,,
1980-05-15,0.82,,
1980-05-16,0.85,,
1980-05-19,0.88,,
1980-05-20,0.85,,
1980-05-21,0.85,,
1980-05-22,0.85,,
1980-05-23,0.82,,
1980-05-27,0.85,,
1980-05-28,0.82,,
1980-05-29,0.82,,
1980-05-30,0.85,,
1980-06-02,0.82,,
1980-06-03,0.82,,
1980-06-04,0.85,,
1980-06-05,0.82,,
1980-06-06,0.85,,
1980-06-09,0.85,,
1980-06-10,0.85,,
1980-06-11,0.85,,
1980-06-12,0.85,,
1980-06-13,0.85,,
1980-06-16,0.85,,
1980-06-17,0.82,,
1980-06-18,0.82,,
1980-06-19,0.85,,
1980-06-20,0.85,,
1980-06-23,0.85,,
1980-06-24,0.85,,
1980-06-25,0.85,,
1980-06-26,0.88,,
1980-06-27,0.88,,
1980-06-30,0.88,,
1980-07-01,0.85,,
1980-07-02,0.88,,
1980-07-03,0.91,,
1980-07-07,0.94,,
1980-07-08,0.88,,
1980-07-09,0.91,,
1980-07-10,0.88,,
1980-07-11,0.91,,
1980-07-14,0.91,,
1980-07-15,0.91,,
1980-07-16,0.91,,
1980-07-17,0.91,,
1980-07-18,0.88,,
1980-07-21,0.88,,
1980-07-22,0.91,,
1980-07-23,0.88,,
1980-07-24,0.91,,
1980-07-25,0.88,,
1980-07-28,0.88,,
1980-07-29,0.88,,
1980-07-30,0.91,,
1980-07-31,0.91,,
1980-08-01,0.91,,
1980-08-04,0.91,,
1980-08-05,0.91,,
1980-08-06,0.91,,
1980-08-07,0.91,,
1980-08-08,0.91,,
1980-08-11,0.94,,
1980-08-12,0.91,,
1980-08-13,0.91,,
1980-08-14,0.91,,
1980-08-15,0.91,,
1980-08-18,0.88,,
1980-08-19,0.96,,
1980-08-20,0.91,,
1980-08-21,0.88,,
1980-08-22,0.88,,
1980-08-25,0.88,,
1980-08-26,0.94,,
1980-08-27,0.91,,
1980-08-28,0.91,,
1980-08-29,0.91,,
1980-09-02,0.91,,
1980-09-03,0.88,,
1980-09-04,0.91,,
1980-09-05,0.96,,
1980-09-08,0.94,,
1980-09-09,0.88,,
1980-09-10,0.94,,
1980-09-11,0.94,,
1980-09-12,0.94,,
1980-09-15,0.94,,
1980-09-16,0.94,,
1980-09-17,0.91,,
1980-09-18,0.91,,
1980-09-19,0.91,,
1980-09-22,0.91,,
1980-09-23,0.85,,
1980-09-24,0.88,,
1980-09-25,0.88,,
1980-09-26,0.88,,
1980-09-29,0.85,,
1980-09-30,0.88,,
1980-10-01,0.88,,
1980-10-02,0.91,,
1980-10-03,0.88,,
1980-10-06,0.91,,
1980-10-07,0.88,,
1980-10-08,0.91,,
1980-10-09,0.88,,
1980-10-10,0.91,,
1980-10-13,0.88,,
1980-10-14,0.91,,
1980-10-15,0.88,,
1980-10-16,0.88,,
1980-10-17,0.88,,
1980-10-20,0.88,,
1980-10-21,0.91,,
1980-10-22,0.88,,
1980-10-23,0.99,,
1980-10-24,1.11,,
1980-10-27,1.08,,
1980-10-28,1.08,,
1980-10-29,1.05,,
1980-10-30,1.02,,
1980-10-31,1.05,,
1980-11-03,1.05,,
1980-11-05,1.05,,
1980-11-06,1.08,,
1980-11-07,1.02,,
1980-11-10,1.02,,
1980-11-11,1.02,,
1980-11-12,1.11,,
1980-11-13,1.22,,
1980-11-14,1.16,,
1980-11-17,1.22,,
1980-11-18,1.22,,
1980-11-19,1.19,,
1980-11-20,1.19,,
1980-11-21,1.16,,
1980-11-24,1.07,,
1980-11-25,1.16,,
1980-11-26,1.13,,
1980-11-28,1.1,,
1980-12-01,1.07,,
1980-12-02,1.1,,
