date,LNC,LNC_EPS,PE Ratio
,,0.31,
1980-03-17,9.13,0.31,29.451612903225808
1980-03-18,9.09,0.31,29.322580645161292
1980-03-19,9.25,0.31,29.838709677419356
1980-03-20,9.28,0.31,29.93548387096774
1980-03-21,9.16,0.31,29.548387096774196
1980-03-24,9.13,0.31,29.451612903225808
1980-03-25,9.06,0.31,29.225806451612904
1980-03-26,8.91,0.31,28.741935483870968
1980-03-27,8.31,0.31,26.806451612903228
1980-03-28,8.38,0.31,27.03225806451613
1980-03-31,8.44,0.31,27.2258064516129
1980-04-01,8.56,0.31,27.612903225806452
1980-04-02,8.72,0.31,28.12903225806452
1980-04-03,8.59,0.31,27.70967741935484
1980-04-07,8.5,0.31,27.419354838709676
1980-04-08,8.69,0.31,28.032258064516128
1980-04-09,8.72,0.31,28.12903225806452
1980-04-10,8.91,0.31,28.741935483870968
1980-04-11,9.06,0.31,29.225806451612904
1980-04-14,8.88,0.31,28.645161290322584
1980-04-15,8.69,0.31,28.032258064516128
1980-04-16,8.56,0.31,27.612903225806452
1980-04-17,8.69,0.31,28.032258064516128
1980-04-18,8.75,0.31,28.225806451612904
1980-04-21,8.75,0.31,28.225806451612904
1980-04-22,9.03,0.31,29.129032258064516
1980-04-23,9.06,0.31,29.225806451612904
1980-04-24,9.22,0.31,29.74193548387097
1980-04-25,9.22,0.31,29.74193548387097
1980-04-28,9.06,0.31,29.225806451612904
1980-04-29,9.09,0.31,29.322580645161292
1980-04-30,9.09,0.31,29.322580645161292
1980-05-01,8.91,0.31,28.741935483870968
1980-05-02,9.0,0.31,29.032258064516128
1980-05-05,9.0,0.31,29.032258064516128
1980-05-06,9.25,0.31,29.838709677419356
1980-05-07,9.56,0.31,30.838709677419356
1980-05-08,9.41,0.31,30.35483870967742
1980-05-09,9.09,0.31,29.322580645161292
1980-05-12,9.13,0.31,29.451612903225808
1980-05-13,9.06,0.31,29.225806451612904
1980-05-14,9.25,0.31,29.838709677419356
1980-05-15,9.25,0.31,29.838709677419356
1980-05-16,9.22,0.31,29.74193548387097
1980-05-19,9.16,0.31,29.548387096774196
1980-05-20,9.22,0.31,29.74193548387097
1980-05-21,9.22,0.31,29.74193548387097
1980-05-22,9.28,0.31,29.93548387096774
1980-05-23,9.59,0.31,30.93548387096774
1980-05-27,9.63,0.31,31.06451612903226
1980-05-28,9.66,0.31,31.161290322580644
1980-05-29,9.63,0.31,31.06451612903226
1980-05-30,9.69,0.31,31.258064516129032
1980-06-02,9.63,0.31,31.06451612903226
1980-06-03,9.72,0.31,31.35483870967742
1980-06-04,9.81,0.31,31.645161290322584
1980-06-05,9.88,0.31,31.870967741935488
1980-06-06,10.0,0.31,32.25806451612903
1980-06-09,9.94,0.31,32.064516129032256
1980-06-10,10.06,0.31,32.45161290322581
1980-06-11,10.16,0.31,32.774193548387096
1980-06-12,10.25,0.31,33.064516129032256
1980-06-13,10.53,0.31,33.96774193548387
1980-06-16,10.56,0.31,34.06451612903226
1980-06-17,10.66,0.31,34.38709677419355
1980-06-18,10.59,0.31,34.16129032258065
1980-06-19,10.53,0.31,33.96774193548387
1980-06-20,10.44,0.31,33.67741935483871
1980-06-23,10.38,0.31,33.483870967741936
1980-06-24,10.47,0.31,33.774193548387096
1980-06-25,10.56,0.31,34.06451612903226
1980-06-26,10.41,0.31,33.58064516129032
1980-06-27,10.41,0.31,33.58064516129032
1980-06-30,10.31,0.31,33.25806451612903
1980-07-01,10.44,0.31,33.67741935483871
1980-07-02,10.56,0.31,34.06451612903226
1980-07-03,10.44,0.31,33.67741935483871
1980-07-07,10.44,0.31,33.67741935483871
1980-07-08,10.63,0.31,34.29032258064517
1980-07-09,10.63,0.31,34.29032258064517
1980-07-10,10.44,0.31,33.67741935483871
1980-07-11,10.5,0.31,33.87096774193549
1980-07-14,10.63,0.31,34.29032258064517
1980-07-15,10.75,0.31,34.67741935483871
1980-07-16,10.88,0.31,35.09677419354839
1980-07-17,10.75,0.31,34.67741935483871
1980-07-18,10.84,0.31,34.96774193548387
1980-07-21,10.78,0.31,34.774193548387096
1980-07-22,10.75,0.31,34.67741935483871
1980-07-23,11.28,0.31,36.387096774193544
1980-07-24,11.38,0.31,36.70967741935484
1980-07-25,11.06,0.31,35.67741935483871
1980-07-28,11.0,0.31,35.483870967741936
1980-07-29,10.94,0.31,35.29032258064516
1980-07-30,10.81,0.31,34.87096774193549
1980-07-31,10.75,0.31,34.67741935483871
1980-08-01,10.69,0.31,34.483870967741936
1980-08-04,10.94,0.31,35.29032258064516
1980-08-05,11.16,0.31,36.0
1980-08-06,11.25,0.31,36.29032258064516
1980-08-07,11.38,0.31,36.70967741935484
1980-08-08,11.0,0.31,35.483870967741936
1980-08-11,10.94,0.31,35.29032258064516
1980-08-12,11.06,0.31,35.67741935483871
1980-08-13,10.97,0.31,35.38709677419355
1980-08-14,11.25,0.31,36.29032258064516
1980-08-15,11.19,0.31,36.096774193548384
1980-08-18,11.19,0.31,36.096774193548384
1980-08-19,10.81,0.31,34.87096774193549
1980-08-20,10.66,0.31,34.38709677419355
1980-08-21,10.97,0.31,35.38709677419355
1980-08-22,11.06,0.31,35.67741935483871
1980-08-25,10.88,0.31,35.09677419354839
1980-08-26,10.75,0.31,34.67741935483871
1980-08-27,10.63,0.31,34.29032258064517
1980-08-28,10.63,0.31,34.29032258064517
1980-08-29,10.5,0.31,33.87096774193549
1980-09-02,10.38,0.31,33.483870967741936
1980-09-03,10.5,0.31,33.87096774193549
1980-09-04,10.56,0.31,34.06451612903226
1980-09-05,10.53,0.31,33.96774193548387
1980-09-08,10.5,0.31,33.87096774193549
1980-09-09,10.41,0.31,33.58064516129032
1980-09-10,10.53,0.31,33.96774193548387
1980-09-11,10.5,0.31,33.87096774193549
1980-09-12,10.63,0.31,34.29032258064517
1980-09-15,10.69,0.31,34.483870967741936
1980-09-16,10.59,0.31,34.16129032258065
