date,FANG,FANG_EPS,PE Ratio
2012-10-12,17.5,,
2012-10-15,17.75,,
2012-10-16,17.79,,
2012-10-17,17.7,,
2012-10-18,17.7,,
2012-10-19,17.41,,
2012-10-22,17.03,,
2012-10-23,17.13,,
2012-10-24,17.39,,
2012-10-25,17.03,,
2012-10-26,17.14,,
2012-10-31,17.03,,
2012-11-01,17.23,,
2012-11-02,17.0,,
2012-11-05,16.71,,
2012-11-06,17.01,,
2012-11-07,17.06,,
2012-11-08,16.75,,
2012-11-09,16.55,,
2012-11-12,16.5,,
2012-11-13,16.04,,
2012-11-14,16.05,,
2012-11-15,16.7,,
2012-11-16,16.82,,
2012-11-19,17.12,,
2012-11-20,17.13,,
2012-11-21,17.2,,
2012-11-23,17.32,,
2012-11-26,17.26,,
2012-11-27,17.23,,
2012-11-28,17.25,,
2012-11-29,18.16,,
2012-11-30,18.0,,
2012-12-03,18.1,,
2012-12-04,17.83,,
2012-12-05,17.98,,
2012-12-06,17.62,,
2012-12-07,17.75,,
2012-12-10,17.62,,
2012-12-11,17.54,,
2012-12-12,17.64,,
2012-12-13,17.88,,
2012-12-14,17.57,,
2012-12-17,17.98,,
2012-12-18,18.8,,
2012-12-19,19.18,,
2012-12-20,19.02,,
2012-12-21,18.98,,
2012-12-24,18.64,,
2012-12-26,18.65,,
2012-12-27,18.54,,
2012-12-28,18.78,,
2012-12-31,19.12,,
2013-01-02,19.24,,
2013-01-03,19.14,,
2013-01-04,20.05,,
2013-01-07,20.77,,
2013-01-08,20.6,,
2013-01-09,20.47,,
2013-01-10,21.63,,
2013-01-11,21.67,,
2013-01-14,21.8,,
2013-01-15,21.72,,
2013-01-16,21.28,,
2013-01-17,21.12,,
2013-01-18,20.54,,
2013-01-22,21.79,,
2013-01-23,21.43,,
2013-01-24,21.43,,
2013-01-25,22.0,,
2013-01-28,21.64,,
2013-01-29,22.13,,
2013-01-30,22.67,,
2013-01-31,22.42,,
2013-02-01,22.7,,
2013-02-04,22.54,,
2013-02-05,22.63,,
2013-02-06,22.63,,
2013-02-07,22.42,,
2013-02-08,22.05,,
2013-02-11,21.56,,
2013-02-12,21.57,,
2013-02-13,21.56,,
2013-02-14,22.0,,
2013-02-15,22.3,,
2013-02-19,22.82,,
2013-02-20,21.28,,
2013-02-21,20.73,,
2013-02-22,20.98,,
2013-02-25,19.74,,
2013-02-26,20.05,,
2013-02-27,20.96,,
2013-02-28,22.71,,
2013-03-01,22.34,0.56,39.89285714285714
2013-03-04,22.39,0.56,39.982142857142854
2013-03-05,23.7,0.56,42.32142857142857
2013-03-06,23.55,0.56,42.05357142857142
2013-03-07,24.51,0.56,43.76785714285714
2013-03-08,24.9,0.56,44.46428571428571
2013-03-11,24.49,0.56,43.73214285714285
2013-03-12,24.93,0.56,44.51785714285714
2013-03-13,25.75,0.56,45.982142857142854
2013-03-14,24.86,0.56,44.39285714285714
2013-03-15,24.15,0.56,43.12499999999999
2013-03-18,23.99,0.56,42.83928571428571
2013-03-19,23.76,0.56,42.42857142857143
2013-03-20,24.0,0.56,42.857142857142854
2013-03-21,24.31,0.56,43.41071428571428
2013-03-22,24.55,0.56,43.83928571428571
2013-03-25,25.2,0.56,44.99999999999999
2013-03-26,25.65,0.56,45.80357142857142
2013-03-27,26.11,0.56,46.62499999999999
2013-03-28,26.84,0.56,47.92857142857142
2013-04-01,27.4,0.56,48.92857142857142
2013-04-02,27.04,0.56,48.28571428571428
2013-04-03,24.92,0.56,44.5
2013-04-04,25.05,0.56,44.732142857142854
2013-04-05,25.18,0.56,44.96428571428571
2013-04-08,26.05,0.56,46.51785714285714
2013-04-09,26.76,0.56,47.785714285714285
2013-04-10,26.08,0.56,46.57142857142856
2013-04-11,26.5,0.56,47.32142857142857
2013-04-12,26.63,0.56,47.55357142857142
2013-04-15,25.8,0.56,46.07142857142857
2013-04-16,26.74,0.56,47.74999999999999
2013-04-17,25.8,0.56,46.07142857142857
2013-04-18,26.51,0.56,47.339285714285715
2013-04-19,26.22,0.56,46.82142857142856
2013-04-22,26.98,0.56,48.17857142857142
2013-04-23,27.49,0.56,49.08928571428571
2013-04-24,27.1,0.56,48.39285714285714
2013-04-25,27.3,0.56,48.75
2013-04-26,26.88,0.56,47.99999999999999
2013-04-29,26.04,0.56,46.49999999999999
2013-04-30,26.26,0.56,46.89285714285714
2013-05-01,26.44,0.56,47.214285714285715
2013-05-02,27.1,0.56,48.39285714285714
2013-05-03,27.48,0.56,49.07142857142857
2013-05-06,28.76,0.56,51.357142857142854
2013-05-07,28.54,0.56,50.96428571428571
2013-05-08,29.53,0.56,52.732142857142854
2013-05-09,28.68,0.15,191.20000000000002
2013-05-10,28.58,0.15,190.53333333333333
2013-05-13,28.66,0.15,191.06666666666666
2013-05-14,28.87,0.15,192.46666666666667
2013-05-15,29.48,0.15,196.53333333333333
2013-05-16,29.94,0.15,199.60000000000002
2013-05-17,31.43,0.15,209.53333333333333
2013-05-20,32.03,0.15,213.53333333333336
2013-05-21,31.71,0.15,211.4
2013-05-22,32.54,0.15,216.93333333333334
2013-05-23,33.27,0.15,221.80000000000004
2013-05-24,34.32,0.15,228.8
2013-05-28,34.95,0.15,233.00000000000003
2013-05-29,34.96,0.15,233.0666666666667
2013-05-30,34.95,0.15,233.00000000000003
2013-05-31,33.77,0.15,225.13333333333335
2013-06-03,34.6,0.15,230.66666666666669
2013-06-04,34.08,0.15,227.2
2013-06-05,33.94,0.15,226.26666666666665
2013-06-06,34.58,0.15,230.53333333333333
2013-06-07,35.45,0.15,236.33333333333337
2013-06-10,34.74,0.15,231.60000000000002
2013-06-11,34.46,0.15,229.73333333333335
2013-06-12,34.43,0.15,229.53333333333333
2013-06-13,34.97,0.15,233.13333333333333
2013-06-14,34.89,0.15,232.60000000000002
2013-06-17,34.45,0.15,229.66666666666669
2013-06-18,35.01,0.15,233.4
2013-06-19,34.61,0.15,230.73333333333335
2013-06-20,32.64,0.15,217.60000000000002
2013-06-21,33.15,0.15,221.0
2013-06-24,32.02,0.15,213.4666666666667
2013-06-25,32.92,0.15,219.4666666666667
2013-06-26,33.65,0.15,224.33333333333334
2013-06-27,33.06,0.15,220.40000000000003
2013-06-28,33.32,0.15,222.13333333333335
2013-07-01,34.27,0.15,228.4666666666667
2013-07-02,34.56,0.15,230.40000000000003
2013-07-03,35.2,0.15,234.66666666666669
2013-07-05,35.89,0.15,239.26666666666668
