date,OKE,OKE_EPS,PE Ratio
,,0.06,
1980-10-01,3.89,0.06,64.83333333333334
1980-10-02,4.21,0.06,70.16666666666667
1980-10-03,4.28,0.06,71.33333333333334
1980-10-06,4.16,0.06,69.33333333333334
1980-10-07,4.08,0.06,68.0
1980-10-08,4.2,0.06,70.0
1980-10-09,4.23,0.06,70.50000000000001
1980-10-10,4.31,0.06,71.83333333333333
1980-10-13,4.39,0.06,73.16666666666666
1980-10-14,4.54,0.06,75.66666666666667
1980-10-15,4.4,0.06,73.33333333333334
1980-10-16,4.36,0.06,72.66666666666667
1980-10-17,4.6,0.06,76.66666666666666
1980-10-20,4.75,0.06,79.16666666666667
1980-10-21,4.54,0.06,75.66666666666667
1980-10-22,4.54,0.06,75.66666666666667
1980-10-23,4.65,0.06,77.50000000000001
1980-10-24,4.57,0.06,76.16666666666667
1980-10-27,4.43,0.06,73.83333333333333
1980-10-28,4.49,0.06,74.83333333333334
1980-10-29,4.4,0.06,73.33333333333334
1980-10-30,4.27,0.06,71.16666666666666
1980-10-31,4.38,0.06,73.0
1980-11-03,4.27,0.06,71.16666666666666
1980-11-05,4.31,0.06,71.83333333333333
1980-11-06,4.17,0.06,69.5
1980-11-07,4.09,0.06,68.16666666666667
1980-11-10,4.13,0.06,68.83333333333333
1980-11-11,4.17,0.06,69.5
1980-11-12,4.35,0.06,72.5
1980-11-13,4.46,0.06,74.33333333333333
1980-11-14,4.64,0.06,77.33333333333333
1980-11-17,4.57,0.06,76.16666666666667
1980-11-18,4.71,0.06,78.5
1980-11-19,4.79,0.06,79.83333333333334
1980-11-20,4.75,0.06,79.16666666666667
1980-11-21,4.65,0.06,77.50000000000001
1980-11-24,4.57,0.06,76.16666666666667
1980-11-25,4.64,0.06,77.33333333333333
1980-11-26,4.6,0.06,76.66666666666666
1980-11-28,4.56,0.06,76.0
1980-12-01,4.51,0.06,75.16666666666667
1980-12-02,4.58,0.06,76.33333333333334
1980-12-03,4.57,0.06,76.16666666666667
