date,ANTM,ANTM_EPS,PE Ratio
,,0.34,
2001-10-30,20.45,0.34,60.147058823529406
2001-10-31,20.94,0.34,61.588235294117645
2001-11-01,21.08,0.34,61.99999999999999
2001-11-02,21.45,0.34,63.08823529411764
2001-11-05,21.45,0.34,63.08823529411764
2001-11-06,22.03,0.34,64.79411764705883
2001-11-07,21.63,0.34,63.61764705882352
2001-11-08,21.35,0.34,62.794117647058826
2001-11-09,21.0,0.34,61.764705882352935
2001-11-12,21.42,0.34,63.0
2001-11-13,21.38,0.34,62.882352941176464
2001-11-14,22.98,0.34,67.58823529411764
2001-11-15,23.38,0.34,68.76470588235293
2001-11-16,23.4,0.34,68.8235294117647
2001-11-19,23.75,0.34,69.85294117647058
2001-11-20,24.4,0.34,71.76470588235293
2001-11-21,24.5,0.34,72.05882352941175
2001-11-23,24.59,0.34,72.3235294117647
2001-11-26,24.28,0.34,71.41176470588235
2001-11-27,24.3,0.34,71.47058823529412
2001-11-28,24.48,0.34,72.0
2001-11-29,25.0,0.34,73.52941176470588
2001-11-30,25.42,0.34,74.76470588235294
2001-12-03,25.65,0.34,75.44117647058823
2001-12-04,25.75,0.34,75.73529411764706
2001-12-05,24.43,0.34,71.85294117647058
2001-12-06,24.25,0.34,71.3235294117647
2001-12-07,24.3,0.34,71.47058823529412
2001-12-10,24.13,0.34,70.97058823529412
2001-12-11,24.1,0.34,70.88235294117646
2001-12-12,23.93,0.34,70.38235294117646
2001-12-13,24.05,0.34,70.73529411764706
2001-12-14,24.0,0.34,70.58823529411764
2001-12-17,24.63,0.34,72.44117647058823
2001-12-18,24.65,0.34,72.49999999999999
2001-12-19,24.0,0.34,70.58823529411764
2001-12-20,23.45,0.34,68.97058823529412
2001-12-21,22.88,0.34,67.29411764705881
2001-12-24,22.8,0.34,67.05882352941177
2001-12-26,23.13,0.34,68.02941176470587
2001-12-27,23.45,0.34,68.97058823529412
2001-12-28,24.25,0.34,71.3235294117647
2001-12-31,24.75,0.34,72.79411764705881
2002-01-02,24.4,0.34,71.76470588235293
2002-01-03,24.23,0.34,71.26470588235294
2002-01-04,23.93,0.34,70.38235294117646
2002-01-07,23.51,0.34,69.1470588235294
2002-01-08,23.7,0.34,69.70588235294117
2002-01-09,23.8,0.34,70.0
2002-01-10,25.05,0.34,73.67647058823529
2002-01-11,25.75,0.34,75.73529411764706
2002-01-14,25.95,0.34,76.3235294117647
2002-01-15,25.35,0.34,74.55882352941177
2002-01-16,25.5,0.34,75.0
2002-01-17,25.15,0.34,73.9705882352941
2002-01-18,25.49,0.34,74.9705882352941
2002-01-22,25.88,0.34,76.11764705882352
2002-01-23,26.13,0.34,76.85294117647058
2002-01-24,26.4,0.34,77.6470588235294
2002-01-25,26.94,0.34,79.23529411764706
2002-01-28,26.88,0.34,79.05882352941175
