date,ABBV,ABBV_EPS,PE Ratio
2013-06-25,42.63,0.61,69.88524590163935
2013-06-26,43.38,0.61,71.11475409836066
2013-06-27,43.13,0.61,70.70491803278689
2013-06-28,41.34,0.61,67.7704918032787
2013-07-01,41.61,0.61,68.21311475409836
2013-07-02,42.21,0.61,69.19672131147541
2013-07-03,42.23,0.61,69.22950819672131
2013-07-05,42.72,0.61,70.0327868852459
2013-07-08,43.68,0.61,71.60655737704919
2013-07-09,43.32,0.61,71.01639344262296
2013-07-10,43.91,0.61,71.98360655737704
2013-07-11,43.78,0.61,71.77049180327869
2013-07-12,45.05,0.61,73.85245901639344
2013-07-15,44.62,0.61,73.14754098360656
2013-07-16,43.81,0.61,71.81967213114754
2013-07-17,43.96,0.61,72.06557377049181
2013-07-18,44.32,0.61,72.65573770491804
2013-07-19,44.52,0.61,72.98360655737706
2013-07-22,44.97,0.61,73.72131147540983
2013-07-23,44.31,0.61,72.63934426229508
2013-07-24,43.64,0.61,71.54098360655738
2013-07-25,44.24,0.61,72.52459016393443
2013-07-26,44.79,0.61,73.42622950819673
2013-07-29,45.06,0.61,73.8688524590164
2013-07-30,44.7,0.61,73.27868852459017
2013-07-31,45.48,0.61,74.55737704918032
2013-08-01,45.25,0.61,74.18032786885246
2013-08-02,45.32,0.61,74.29508196721312
2013-08-05,44.71,0.61,73.29508196721312
2013-08-06,44.88,0.61,73.57377049180329
2013-08-07,44.57,0.61,73.06557377049181
2013-08-08,45.06,0.61,73.8688524590164
2013-08-09,44.71,0.73,61.24657534246575
2013-08-12,45.04,0.73,61.6986301369863
2013-08-13,44.93,0.73,61.54794520547945
2013-08-14,44.58,0.73,61.06849315068493
2013-08-15,43.21,0.73,59.19178082191781
2013-08-16,43.0,0.73,58.9041095890411
2013-08-19,43.37,0.73,59.410958904109584
2013-08-20,42.97,0.73,58.863013698630134
2013-08-21,42.31,0.73,57.95890410958904
2013-08-22,42.92,0.73,58.79452054794521
2013-08-23,43.43,0.73,59.49315068493151
2013-08-26,43.45,0.73,59.520547945205486
2013-08-27,42.63,0.73,58.397260273972606
2013-08-28,42.56,0.73,58.301369863013704
2013-08-29,42.62,0.73,58.38356164383561
2013-08-30,42.61,0.73,58.369863013698634
2013-09-03,42.59,0.73,58.34246575342466
2013-09-04,43.13,0.73,59.08219178082192
2013-09-05,43.51,0.73,59.602739726027394
2013-09-06,43.89,0.73,60.12328767123288
2013-09-09,44.43,0.73,60.86301369863014
2013-09-10,44.78,0.73,61.34246575342466
2013-09-11,44.95,0.73,61.57534246575343
2013-09-12,44.7,0.73,61.232876712328775
2013-09-13,44.89,0.73,61.49315068493151
2013-09-16,45.82,0.73,62.76712328767123
2013-09-17,47.6,0.73,65.2054794520548
