date,A,A_EPS,PE Ratio
,,0.3,
1999-11-18,31.47,0.3,104.9
1999-11-19,28.88,0.3,96.26666666666667
1999-11-22,31.47,0.3,104.9
1999-11-23,28.61,0.3,95.36666666666667
1999-11-24,29.37,0.3,97.9
1999-11-26,29.46,0.3,98.2
1999-11-29,30.13,0.3,100.43333333333334
1999-11-30,30.18,0.3,100.60000000000001
1999-12-01,30.71,0.3,102.36666666666667
1999-12-02,31.56,0.3,105.2
1999-12-03,31.83,0.3,106.1
1999-12-06,32.73,0.3,109.1
1999-12-07,32.37,0.3,107.89999999999999
1999-12-08,32.32,0.3,107.73333333333333
1999-12-09,32.77,0.3,109.23333333333335
1999-12-10,32.01,0.3,106.7
1999-12-13,32.55,0.3,108.5
1999-12-14,30.76,0.3,102.53333333333335
1999-12-15,29.82,0.3,99.4
1999-12-16,33.8,0.3,112.66666666666666
1999-12-17,32.86,0.3,109.53333333333333
1999-12-20,33.53,0.3,111.76666666666668
1999-12-21,33.35,0.3,111.16666666666667
1999-12-22,34.02,0.3,113.40000000000002
1999-12-23,35.59,0.3,118.63333333333335
1999-12-27,37.78,0.3,125.93333333333334
1999-12-28,43.99,0.3,146.63333333333335
1999-12-29,51.5,0.3,171.66666666666669
1999-12-30,56.69,0.3,188.96666666666667
1999-12-31,55.3,0.3,184.33333333333334
2000-01-03,51.5,0.3,171.66666666666669
2000-01-04,47.57,0.3,158.56666666666666
2000-01-05,44.62,0.3,148.73333333333332
2000-01-06,42.92,0.3,143.0666666666667
2000-01-07,46.49,0.3,154.96666666666667
2000-01-10,49.31,0.3,164.36666666666667
2000-01-11,48.64,0.3,162.13333333333335
2000-01-12,47.66,0.3,158.86666666666667
2000-01-13,48.37,0.3,161.23333333333332
2000-01-14,48.91,0.3,163.03333333333333
2000-01-18,51.14,0.3,170.46666666666667
2000-01-19,50.07,0.3,166.9
2000-01-20,48.73,0.3,162.43333333333334
2000-01-21,49.18,0.3,163.93333333333334
2000-01-24,49.0,0.3,163.33333333333334
2000-01-25,48.42,0.3,161.4
2000-01-26,48.86,0.3,162.86666666666667
2000-01-27,48.95,0.3,163.16666666666669
2000-01-28,48.69,0.3,162.3
2000-01-31,47.34,0.3,157.8
2000-02-01,50.79,0.3,169.3
2000-02-02,54.72,0.3,182.4
2000-02-03,55.62,0.3,185.4
2000-02-04,54.54,0.3,181.8
2000-02-07,56.87,0.3,189.56666666666666
2000-02-08,56.51,0.3,188.36666666666667
2000-02-09,54.18,0.3,180.6
2000-02-10,54.86,0.3,182.86666666666667
2000-02-11,53.92,0.3,179.73333333333335
2000-02-14,54.68,0.3,182.26666666666668
2000-02-15,58.57,0.3,195.23333333333335
2000-02-16,57.94,0.3,193.13333333333333
2000-02-17,69.38,0.3,231.26666666666665
2000-02-18,67.06,0.3,223.53333333333336
2000-02-22,65.45,0.3,218.16666666666669
2000-02-23,70.82,0.3,236.06666666666666
2000-02-24,76.36,0.3,254.53333333333333
2000-02-25,77.34,0.3,257.8
2000-02-28,72.25,0.3,240.83333333333334
2000-02-29,74.3,0.3,247.66666666666666
2000-03-01,78.06,0.3,260.20000000000005
2000-03-02,75.32,0.3,251.06666666666666
2000-03-03,77.25,0.3,257.5
