date,VMC,VMC_EPS,PE Ratio
,,0.36,
1989-09-19,15.58,0.36,43.27777777777778
1989-09-20,15.42,0.36,42.833333333333336
1989-09-21,15.29,0.36,42.47222222222222
1989-09-22,15.21,0.36,42.25000000000001
1989-09-25,15.04,0.36,41.77777777777778
1989-09-26,15.25,0.36,42.361111111111114
1989-09-27,15.08,0.36,41.88888888888889
1989-09-28,15.33,0.36,42.583333333333336
1989-09-29,15.54,0.36,43.166666666666664
1989-10-02,15.75,0.36,43.75
1989-10-03,15.75,0.36,43.75
1989-10-04,15.75,0.36,43.75
1989-10-05,15.63,0.36,43.41666666666667
1989-10-06,15.58,0.36,43.27777777777778
1989-10-09,15.58,0.36,43.27777777777778
1989-10-10,15.58,0.36,43.27777777777778
1989-10-11,15.63,0.36,43.41666666666667
1989-10-12,15.63,0.36,43.41666666666667
1989-10-13,15.42,0.36,42.833333333333336
1989-10-16,15.0,0.36,41.66666666666667
1989-10-17,15.0,0.36,41.66666666666667
1989-10-18,15.0,0.36,41.66666666666667
1989-10-19,14.96,0.36,41.55555555555556
1989-10-20,15.0,0.36,41.66666666666667
1989-10-23,15.0,0.36,41.66666666666667
1989-10-24,14.96,0.36,41.55555555555556
1989-10-25,15.0,0.36,41.66666666666667
1989-10-26,15.08,0.36,41.88888888888889
1989-10-27,15.04,0.36,41.77777777777778
1989-10-30,14.96,0.36,41.55555555555556
1989-10-31,14.92,0.36,41.44444444444444
1989-11-01,14.83,0.36,41.19444444444444
1989-11-02,14.75,0.36,40.97222222222222
1989-11-03,14.5,0.36,40.27777777777778
1989-11-06,14.29,0.36,39.69444444444444
1989-11-07,14.25,0.36,39.583333333333336
1989-11-08,14.58,0.36,40.5
1989-11-09,14.33,0.36,39.80555555555556
1989-11-10,14.33,0.36,39.80555555555556
1989-11-13,14.42,0.36,40.05555555555556
1989-11-14,14.54,0.36,40.388888888888886
1989-11-15,14.5,0.36,40.27777777777778
1989-11-16,14.42,0.36,40.05555555555556
1989-11-17,14.38,0.36,39.94444444444445
1989-11-20,14.38,0.36,39.94444444444445
1989-11-21,14.46,0.36,40.16666666666667
1989-11-22,14.63,0.36,40.63888888888889
1989-11-24,14.88,0.36,41.333333333333336
1989-11-27,14.67,0.36,40.75
1989-11-28,14.88,0.36,41.333333333333336
1989-11-29,14.88,0.36,41.333333333333336
1989-11-30,14.71,0.36,40.861111111111114
1989-12-01,14.75,0.36,40.97222222222222
1989-12-04,14.79,0.36,41.083333333333336
1989-12-05,14.83,0.36,41.19444444444444
1989-12-06,14.88,0.36,41.333333333333336
1989-12-07,14.92,0.36,41.44444444444444
1989-12-08,14.96,0.36,41.55555555555556
1989-12-11,15.25,0.36,42.361111111111114
1989-12-12,15.25,0.36,42.361111111111114
