date,UA,UA_EPS,PE Ratio
2006-05-10,,0.19,
2006-08-03,,0.24,
2006-11-08,,0.58,
2007-02-28,,0.83,
2007-05-08,,0.21,
2007-08-08,,0.33,
2007-11-07,,0.74,
2008-02-22,,1.09,
2008-05-07,,0.06,
2008-08-06,,0.09,
2008-11-05,,0.62,
2009-02-20,,0.79,
2009-05-07,,0.08,
2009-08-05,,0.11,
2009-11-04,,0.64,
2010-02-25,,0.94,
2010-05-05,,0.14,
2010-08-05,,0.3,
2010-11-03,,-0.21,
2011-02-24,,0.0,
2011-05-04,,0.24,
2011-08-05,,0.12,
2011-11-04,,0.89,
2012-02-27,,0.63,
2012-05-04,,0.28,
2012-08-06,,-0.08,
2012-11-08,,0.55,
2013-02-25,,0.48,
2013-05-01,,0.07,
2013-08-06,,0.17,
2013-11-05,,0.69,
2014-02-21,,0.61,
2014-05-07,,0.06,
2014-08-05,,0.09,
2014-11-05,,0.41,
2015-02-20,,0.42,
2015-05-01,,0.05,
2015-07-01,84.26,0.05,1685.2
2015-07-02,84.59,0.05,1691.8
2015-07-06,84.58,0.05,1691.6
2015-07-07,84.94,0.05,1698.8
2015-07-08,84.39,0.05,1687.8
2015-07-09,84.49,0.05,1689.7999999999997
2015-07-10,86.24,0.05,1724.7999999999997
2015-07-13,89.35,0.05,1786.9999999999998
2015-07-14,88.8,0.05,1775.9999999999998
2015-07-15,88.28,0.05,1765.6
2015-07-16,85.35,0.05,1706.9999999999998
2015-07-17,87.22,0.05,1744.3999999999999
2015-07-20,88.95,0.05,1779.0
2015-07-21,88.34,0.05,1766.8
2015-07-22,89.37,0.05,1787.4
2015-07-23,95.93,0.05,1918.6000000000001
2015-07-24,96.05,0.05,1920.9999999999998
2015-07-27,96.43,0.05,1928.6000000000001
2015-07-28,97.85,0.05,1956.9999999999998
2015-07-29,98.82,0.05,1976.3999999999999
2015-07-30,99.28,0.05,1985.6
2015-07-31,99.33,0.05,1986.6
2015-08-03,98.26,0.05,1965.2
2015-08-04,99.35,0.07,1419.285714285714
