date,MSI,MSI_EPS,PE Ratio
1977-01-03,5.6,,
1977-01-04,5.48,,
1977-01-05,5.5,,
1977-01-06,5.46,,
1977-01-07,5.39,,
1977-01-10,5.33,,
1977-01-11,5.19,,
1977-01-12,5.13,,
1977-01-13,5.18,,
1977-01-14,5.24,,
1977-01-17,5.25,,
1977-01-18,5.26,,
1977-01-19,5.35,,
1977-01-20,5.38,,
1977-01-21,5.39,,
1977-01-24,5.38,,
1977-01-25,5.23,,
1977-01-26,5.23,,
1977-01-27,5.05,,
1977-01-28,5.13,,
1977-01-31,5.05,,
1977-02-01,5.08,,
1977-02-02,5.01,,
1977-02-03,4.99,,
1977-02-04,4.82,,
1977-02-07,4.65,,
1977-02-08,4.71,,
1977-02-09,4.62,,
1977-02-10,4.59,,
1977-02-11,4.62,,
1977-02-14,4.67,,
1977-02-15,4.65,,
1977-02-16,4.67,,
1977-02-17,4.6,,
1977-02-18,4.51,,
1977-02-22,4.5,,
1977-02-23,4.47,,
1977-02-24,4.4,,
1977-02-25,4.45,,
1977-02-28,4.43,,
1977-03-01,4.56,,
1977-03-02,4.56,,
1977-03-03,4.72,,
1977-03-04,4.74,,
1977-03-07,4.8,,
1977-03-08,4.74,,
1977-03-09,4.64,,
1977-03-10,4.67,,
1977-03-11,4.66,,
1977-03-14,4.77,,
1977-03-15,4.84,,
1977-03-16,4.87,,
1977-03-17,4.92,,
1977-03-18,4.92,,
1977-03-21,4.86,,
1977-03-22,4.87,,
1977-03-23,4.71,,
1977-03-24,4.65,,
1977-03-25,4.62,,
1977-03-28,4.59,,
1977-03-29,4.59,,
1977-03-30,4.59,,
1977-03-31,4.62,,
1977-04-01,4.67,,
1977-04-04,4.6,,
1977-04-05,4.62,,
1977-04-06,4.59,,
1977-04-07,4.57,,
1977-04-11,4.52,,
1977-04-12,4.48,,
1977-04-13,4.5,,
1977-04-14,4.64,,
1977-04-15,4.64,,
1977-04-18,4.64,,
1977-04-19,4.52,,
1977-04-20,4.51,,
1977-04-21,4.4,,
1977-04-22,4.25,,
1977-04-25,4.28,,
1977-04-26,4.25,,
1977-04-27,4.37,,
1977-04-28,4.32,,
1977-04-29,4.36,,
1977-05-02,4.4,,
1977-05-03,4.33,,
1977-05-04,4.36,,
1977-05-05,4.45,,
1977-05-06,4.42,,
1977-05-09,4.47,,
1977-05-10,4.41,,
1977-05-11,4.4,,
1977-05-12,4.33,,
1977-05-13,4.4,,
1977-05-16,4.41,,
1977-05-17,4.37,,
1977-05-18,4.41,,
1977-05-19,4.35,,
1977-05-20,4.32,,
1977-05-23,4.28,,
1977-05-24,4.25,,
1977-05-25,4.07,,
1977-05-26,3.98,,
1977-05-27,3.84,,
1977-05-31,3.67,,
1977-06-01,3.79,,
1977-06-02,3.78,,
1977-06-03,3.87,,
1977-06-06,3.79,,
1977-06-07,3.78,,
1977-06-08,3.84,,
1977-06-09,3.88,,
1977-06-10,3.97,,
1977-06-13,4.05,,
1977-06-14,4.17,,
1977-06-15,4.15,,
1977-06-16,4.18,,
1977-06-17,4.2,,
1977-06-20,4.16,,
1977-06-21,4.15,,
1977-06-22,4.13,,
1977-06-23,4.15,,
1977-06-24,4.1,,
1977-06-27,4.12,,
1977-06-28,4.07,,
1977-06-29,4.02,,
1977-06-30,4.02,,
1977-07-01,4.06,,
1977-07-05,4.05,,
1977-07-06,4.02,,
1977-07-07,4.01,,
1977-07-08,4.02,,
1977-07-11,4.05,,
1977-07-12,4.01,,
1977-07-13,4.02,,
1977-07-15,4.13,,
1977-07-18,4.32,,
1977-07-19,4.4,,
1977-07-20,4.27,,
1977-07-21,4.35,,
1977-07-22,4.36,,
1977-07-25,4.37,,
1977-07-26,4.32,,
1977-07-27,4.26,,
1977-07-28,4.32,,
1977-07-29,4.35,,
1977-08-01,4.35,,
1977-08-02,4.3,,
1977-08-03,4.37,,
1977-08-04,4.52,,
1977-08-05,4.4,,
1977-08-08,4.33,,
1977-08-09,4.32,,
1977-08-10,4.41,,
1977-08-11,4.41,,
1977-08-12,4.47,,
1977-08-15,4.65,,
1977-08-16,4.62,,
1977-08-17,4.64,,
1977-08-18,4.61,,
1977-08-19,4.61,,
1977-08-22,4.67,,
1977-08-23,4.64,,
1977-08-24,4.52,,
1977-08-25,4.5,,
1977-08-26,4.52,,
1977-08-29,4.52,,
1977-08-30,4.42,,
1977-08-31,4.45,,
1977-09-01,4.43,,
1977-09-02,4.4,,
1977-09-06,4.33,,
1977-09-07,4.33,,
1977-09-08,4.31,,
1977-09-09,4.26,,
1977-09-12,4.25,,
1977-09-13,4.31,,
1977-09-14,4.43,,
1977-09-15,4.52,,
1977-09-16,4.46,,
1977-09-19,4.4,,
1977-09-20,4.42,,
1977-09-21,4.46,,
1977-09-22,4.5,,
1977-09-23,4.5,,
1977-09-26,4.57,,
1977-09-27,4.6,,
1977-09-28,4.59,,
1977-09-29,4.6,,
1977-09-30,4.56,,
1977-10-03,4.5,,
1977-10-04,4.47,,
1977-10-05,4.42,,
1977-10-06,4.4,,
1977-10-07,4.42,,
1977-10-10,4.41,,
1977-10-11,4.35,,
1977-10-12,4.31,,
1977-10-13,4.32,,
1977-10-14,4.3,,
1977-10-17,4.32,,
1977-10-18,4.03,,
1977-10-19,3.91,,
1977-10-20,3.91,,
1977-10-21,3.93,,
1977-10-24,3.86,,
1977-10-25,3.71,,
1977-10-26,3.69,,
1977-10-27,3.71,,
1977-10-28,3.73,,
1977-10-31,3.76,,
1977-11-01,3.73,,
1977-11-02,3.77,,
1977-11-03,3.78,,
1977-11-04,3.88,,
1977-11-07,3.83,,
