date,WBA,WBA_EPS,PE Ratio
,,0.0,
1989-09-19,2.86,0.0,inf
1989-09-20,2.88,0.0,inf
1989-09-21,2.83,0.0,inf
1989-09-22,2.81,0.0,inf
1989-09-25,2.79,0.0,inf
1989-09-26,2.75,0.0,inf
1989-09-27,2.77,0.0,inf
1989-09-28,2.86,0.0,inf
1989-09-29,2.91,0.0,inf
1989-10-02,2.95,0.0,inf
1989-10-03,2.98,0.0,inf
1989-10-04,3.02,0.0,inf
1989-10-05,3.0,0.0,inf
1989-10-06,3.02,0.0,inf
1989-10-09,3.0,0.0,inf
1989-10-10,3.02,0.0,inf
1989-10-11,2.89,0.0,inf
1989-10-12,2.81,0.0,inf
1989-10-13,2.69,0.0,inf
1989-10-16,2.7,0.0,inf
1989-10-17,2.71,0.0,inf
1989-10-18,2.68,0.0,inf
1989-10-19,2.73,0.0,inf
1989-10-20,2.76,0.0,inf
1989-10-23,2.73,0.0,inf
1989-10-24,2.73,0.0,inf
1989-10-25,2.73,0.0,inf
1989-10-26,2.66,0.0,inf
1989-10-27,2.65,0.0,inf
1989-10-30,2.64,0.0,inf
1989-10-31,2.7,0.0,inf
1989-11-01,2.72,0.0,inf
1989-11-02,2.64,0.0,inf
1989-11-03,2.63,0.0,inf
1989-11-06,2.6,0.0,inf
1989-11-07,2.6,0.0,inf
1989-11-08,2.66,0.0,inf
1989-11-09,2.63,0.0,inf
1989-11-10,2.61,0.0,inf
1989-11-13,2.63,0.0,inf
1989-11-14,2.63,0.0,inf
1989-11-15,2.66,0.0,inf
1989-11-16,2.73,0.0,inf
1989-11-17,2.77,0.0,inf
1989-11-20,2.86,0.0,inf
1989-11-21,2.84,0.0,inf
1989-11-22,2.78,0.0,inf
1989-11-24,2.77,0.0,inf
1989-11-27,2.81,0.0,inf
1989-11-28,2.8,0.0,inf
1989-11-29,2.8,0.0,inf
1989-11-30,2.78,0.0,inf
1989-12-01,2.8,0.0,inf
1989-12-04,2.76,0.0,inf
1989-12-05,2.73,0.0,inf
