date,C,C_EPS,PE Ratio
1990-09-06,22.83,,
1990-09-07,23.03,,
1990-09-10,23.03,,
1990-09-11,23.14,,
1990-09-12,23.14,,
1990-09-13,22.1,,
1990-09-14,21.58,,
1990-09-17,21.37,,
1990-09-18,19.19,,
1990-09-19,17.64,,
1990-09-20,17.12,,
1990-09-21,17.22,,
1990-09-24,16.7,,
1990-09-25,17.74,,
1990-09-26,17.64,,
1990-09-27,17.22,,
1990-09-28,17.01,,
1990-10-01,16.39,,
1990-10-02,15.36,,
1990-10-03,15.77,,
1990-10-04,16.08,,
1990-10-05,15.77,,
1990-10-08,15.36,,
1990-10-09,14.94,,
1990-10-10,15.15,,
1990-10-11,15.25,,
1990-10-12,15.98,,
1990-10-15,15.87,,
1990-10-16,15.46,,
1990-10-17,15.98,,
1990-10-18,17.43,,
1990-10-19,16.91,,
1990-10-22,17.53,,
1990-10-23,17.53,,
1990-10-24,17.53,,
1990-10-25,17.43,,
1990-10-26,15.77,,
1990-10-29,15.46,,
1990-10-30,15.25,,
1990-10-31,15.04,,
1990-11-01,14.94,,
1990-11-02,16.18,,
1990-11-05,16.39,,
1990-11-06,15.87,,
1990-11-07,15.56,,
1990-11-08,15.46,,
1990-11-09,15.98,,
1990-11-12,17.01,,
1990-11-13,17.53,,
1990-11-14,17.95,,
1990-11-15,17.84,,
1990-11-16,17.95,,
1990-11-19,18.05,,
1990-11-20,18.05,,
1990-11-21,17.64,,
1990-11-23,17.74,,
1990-11-26,17.74,,
1990-11-27,18.26,,
1990-11-28,18.36,,
1990-11-29,18.57,,
1990-11-30,18.78,,
1990-12-03,19.09,,
1990-12-04,19.71,,
1990-12-05,20.75,,
1990-12-06,20.65,,
1990-12-07,20.23,,
1990-12-10,19.71,,
1990-12-11,19.61,,
1990-12-12,19.71,,
1990-12-13,19.5,,
1990-12-14,18.88,,
1990-12-17,18.26,,
1990-12-18,19.3,,
1990-12-19,19.61,,
1990-12-20,18.99,,
1990-12-21,19.19,,
1990-12-24,18.99,,
1990-12-26,18.88,,
1990-12-27,18.88,,
1990-12-28,18.67,,
1990-12-31,18.99,,
1991-01-02,19.19,,
1991-01-03,19.19,,
1991-01-04,19.71,,
1991-01-07,19.4,,
1991-01-08,18.99,,
1991-01-09,18.16,,
1991-01-10,18.47,,
1991-01-11,18.88,,
1991-01-14,19.09,,
1991-01-15,18.99,,
1991-01-16,18.99,,
1991-01-17,19.92,,
1991-01-18,20.33,,
1991-01-21,20.65,,
1991-01-22,20.54,,
1991-01-23,20.44,,
1991-01-24,20.75,,
1991-01-25,20.54,,
1991-01-28,19.92,,
1991-01-29,20.75,,
1991-01-30,21.37,,
1991-01-31,21.89,,
1991-02-01,22.41,,
1991-02-04,22.83,,
1991-02-05,23.34,,
1991-02-06,23.86,,
1991-02-07,23.45,,
1991-02-08,23.45,,
1991-02-11,24.28,,
1991-02-12,24.59,,
1991-02-13,24.8,,
1991-02-14,25.0,,
1991-02-15,25.42,,
1991-02-19,25.83,,
1991-02-20,25.83,,
1991-02-21,25.63,,
1991-02-22,25.73,,
1991-02-25,25.73,,
1991-02-26,25.32,,
1991-02-27,25.83,,
1991-02-28,25.52,,
1991-03-01,25.94,,
1991-03-04,26.77,,
1991-03-05,27.7,,
1991-03-06,26.98,,
1991-03-07,26.56,,
1991-03-08,26.35,,
1991-03-11,25.94,,
1991-03-12,25.73,,
1991-03-13,25.73,,
1991-03-14,25.32,,
1991-03-15,25.32,,
1991-03-18,25.32,,
1991-03-19,24.49,,
1991-03-20,24.38,,
1991-03-21,24.28,,
1991-03-22,24.17,,
1991-03-25,24.69,,
1991-03-26,25.32,,
1991-03-27,25.42,,
1991-03-28,25.32,,
1991-04-01,24.69,,
1991-04-02,25.73,,
1991-04-03,26.04,,
1991-04-04,26.46,,
1991-04-05,26.25,,
1991-04-08,26.25,,
1991-04-09,25.52,,
1991-04-10,25.73,,
1991-04-11,26.35,,
1991-04-12,25.94,,
1991-04-15,26.87,,
1991-04-16,27.49,,
1991-04-17,26.87,,
1991-04-18,26.35,,
1991-04-19,25.21,,
1991-04-22,24.38,,
1991-04-23,24.69,,
1991-04-24,25.52,,
1991-04-25,25.11,,
1991-04-26,25.0,,
1991-04-29,24.59,,
1991-04-30,24.38,,
1991-05-01,25.0,,
1991-05-02,25.11,,
1991-05-03,25.0,,
1991-05-06,25.0,,
1991-05-07,24.38,,
1991-05-08,24.28,,
1991-05-09,24.49,,
1991-05-10,23.97,,
1991-05-13,23.97,,
1991-05-14,23.76,,
1991-05-15,23.34,,
1991-05-16,23.66,,
1991-05-17,23.45,,
1991-05-20,23.97,,
1991-05-21,24.17,,
1991-05-22,24.59,,
1991-05-23,24.28,,
1991-05-24,24.17,,
1991-05-28,24.38,,
1991-05-29,24.9,,
1991-05-30,26.15,,
1991-05-31,26.25,,
1991-06-03,26.46,,
1991-06-04,26.25,,
1991-06-05,25.42,,
1991-06-06,25.42,,
1991-06-07,25.63,,
1991-06-10,25.42,,
1991-06-11,25.21,,
1991-06-12,24.17,,
1991-06-13,24.69,,
1991-06-14,24.69,,
1991-06-17,24.38,,
1991-06-18,23.97,,
1991-06-19,23.86,,
1991-06-20,23.76,,
1991-06-21,23.86,,
1991-06-24,22.72,,
1991-06-25,22.93,,
1991-06-26,22.72,,
1991-06-27,22.83,,
1991-06-28,23.03,,
1991-07-01,23.66,,
1991-07-02,22.83,,
1991-07-03,22.72,,
1991-07-05,23.03,,
1991-07-08,23.14,,
1991-07-09,23.45,,
1991-07-10,24.8,,
1991-07-11,24.8,,
1991-07-12,24.07,,
1991-07-15,24.59,,
1991-07-16,25.63,,
1991-07-17,25.94,,
1991-07-18,26.15,,
1991-07-19,25.32,,
1991-07-22,25.63,,
1991-07-23,25.83,,
1991-07-24,24.9,,
1991-07-25,25.63,,
1991-07-26,25.21,,
1991-07-29,25.32,,
1991-07-30,25.52,,
1991-07-31,26.25,,
1991-08-01,25.73,,
1991-08-02,26.04,,
1991-08-05,26.15,,
1991-08-06,26.98,,
1991-08-07,27.39,,
1991-08-08,28.12,,
1991-08-09,27.7,,
1991-08-12,27.29,,
1991-08-13,27.6,,
1991-08-14,28.12,,
1991-08-15,27.81,,
1991-08-16,27.29,,
1991-08-19,25.94,,
1991-08-20,26.77,,
1991-08-21,28.22,,
1991-08-22,28.22,,
1991-08-23,28.12,,
1991-08-26,28.12,,
1991-08-27,28.53,,
1991-08-28,28.74,,
1991-08-29,28.01,,
1991-08-30,27.91,,
1991-09-03,27.6,,
1991-09-04,27.39,,
1991-09-05,27.08,,
1991-09-06,26.66,,
1991-09-09,27.08,,
1991-09-10,26.87,,
1991-09-11,26.15,,
1991-09-12,27.49,,
1991-09-13,27.39,,
1991-09-16,28.01,,
1991-09-17,27.39,,
1991-09-18,28.22,,
1991-09-19,27.6,,
1991-09-20,27.81,,
1991-09-23,27.49,,
1991-09-24,27.6,,
1991-09-25,28.43,,
1991-09-26,28.64,,
1991-09-27,29.57,,
1991-09-30,29.47,,
1991-10-01,29.47,,
1991-10-02,29.78,,
1991-10-03,29.05,,
1991-10-04,28.01,,
1991-10-07,29.15,,
1991-10-08,28.22,,
1991-10-09,27.6,,
1991-10-10,28.43,,
1991-10-11,28.64,,
1991-10-14,28.95,,
1991-10-15,29.05,,
1991-10-16,29.36,,
1991-10-17,29.57,,
1991-10-18,29.36,,
1991-10-21,28.43,,
1991-10-22,28.64,,
1991-10-23,28.32,,
1991-10-24,28.64,,
1991-10-25,28.32,,
1991-10-28,29.47,,
1991-10-29,29.57,,
1991-10-30,29.88,,
1991-10-31,30.19,,
1991-11-01,29.98,,
1991-11-04,29.98,,
1991-11-05,30.19,,
1991-11-06,30.09,,
1991-11-07,30.5,,
1991-11-08,30.61,,
1991-11-11,30.5,,
1991-11-12,30.71,,
1991-11-13,30.19,,
1991-11-14,29.05,,
1991-11-15,28.74,,
1991-11-18,29.78,,
1991-11-19,28.74,,
1991-11-20,28.84,,
