date,AES,AES_EPS,PE Ratio
,,-0.13,
1991-06-26,3.28,-0.13,-25.23076923076923
1991-06-27,3.32,-0.13,-25.538461538461537
1991-06-28,3.3,-0.13,-25.384615384615383
1991-07-01,3.32,-0.13,-25.538461538461537
1991-07-02,3.36,-0.13,-25.846153846153843
1991-07-03,3.32,-0.13,-25.538461538461537
1991-07-05,3.2,-0.13,-24.615384615384617
1991-07-08,3.2,-0.13,-24.615384615384617
1991-07-09,3.44,-0.13,-26.46153846153846
1991-07-10,3.72,-0.13,-28.615384615384617
1991-07-11,3.78,-0.13,-29.076923076923073
1991-07-12,3.72,-0.13,-28.615384615384617
1991-07-15,3.72,-0.13,-28.615384615384617
1991-07-16,3.92,-0.13,-30.153846153846153
1991-07-17,4.13,-0.13,-31.769230769230766
1991-07-18,4.13,-0.13,-31.769230769230766
1991-07-19,3.92,-0.13,-30.153846153846153
1991-07-22,3.92,-0.13,-30.153846153846153
1991-07-23,3.74,-0.13,-28.76923076923077
1991-07-24,3.64,-0.13,-28.0
1991-07-25,3.6,-0.13,-27.692307692307693
1991-07-26,3.64,-0.13,-28.0
1991-07-29,3.68,-0.13,-28.307692307692307
1991-07-30,3.96,-0.13,-30.46153846153846
1991-07-31,4.05,-0.13,-31.15384615384615
1991-08-01,4.09,-0.13,-31.46153846153846
1991-08-02,4.05,-0.13,-31.15384615384615
1991-08-05,3.96,-0.13,-30.46153846153846
1991-08-06,4.0,-0.13,-30.769230769230766
1991-08-07,4.0,-0.13,-30.769230769230766
1991-08-08,4.0,-0.13,-30.769230769230766
1991-08-09,3.94,-0.13,-30.307692307692307
1991-08-12,3.92,-0.13,-30.153846153846153
1991-08-13,3.92,-0.13,-30.153846153846153
1991-08-14,3.96,-0.13,-30.46153846153846
1991-08-15,3.96,-0.13,-30.46153846153846
1991-08-16,3.92,-0.13,-30.153846153846153
1991-08-19,3.74,-0.13,-28.76923076923077
1991-08-20,3.88,-0.13,-29.846153846153843
1991-08-21,3.88,-0.13,-29.846153846153843
1991-08-22,3.96,-0.13,-30.46153846153846
1991-08-23,4.0,-0.13,-30.769230769230766
1991-08-26,4.05,-0.13,-31.15384615384615
1991-08-27,4.21,-0.13,-32.38461538461538
1991-08-28,4.33,-0.13,-33.30769230769231
1991-08-29,4.27,-0.13,-32.84615384615384
1991-08-30,4.29,-0.13,-33.0
1991-09-03,4.29,-0.13,-33.0
1991-09-04,4.25,-0.13,-32.69230769230769
1991-09-05,4.25,-0.13,-32.69230769230769
1991-09-06,4.25,-0.13,-32.69230769230769
1991-09-09,4.29,-0.13,-33.0
