date,IRM,IRM_EPS,PE Ratio
,,-0.01,
1996-02-01,2.94,-0.01,-294.0
1996-02-02,2.97,-0.01,-297.0
1996-02-05,2.92,-0.01,-292.0
1996-02-06,2.92,-0.01,-292.0
1996-02-07,2.92,-0.01,-292.0
1996-02-08,2.92,-0.01,-292.0
1996-02-09,2.92,-0.01,-292.0
1996-02-12,2.92,-0.01,-292.0
1996-02-13,2.92,-0.01,-292.0
1996-02-14,2.92,-0.01,-292.0
1996-02-15,2.92,-0.01,-292.0
1996-02-16,2.88,-0.01,-288.0
1996-02-20,2.65,-0.01,-265.0
1996-02-21,2.65,-0.01,-265.0
1996-02-22,2.65,-0.01,-265.0
1996-02-23,2.69,-0.01,-269.0
1996-02-26,2.78,-0.01,-278.0
1996-02-27,2.88,-0.01,-288.0
1996-02-28,2.83,-0.01,-283.0
1996-02-29,2.9,-0.01,-290.0
1996-03-01,2.92,-0.01,-292.0
1996-03-04,2.88,-0.01,-288.0
1996-03-05,2.88,-0.01,-288.0
1996-03-06,2.74,-0.01,-274.0
1996-03-07,2.76,-0.01,-276.0
1996-03-08,2.6,-0.01,-260.0
1996-03-11,2.65,-0.01,-265.0
1996-03-12,2.74,-0.01,-274.0
1996-03-13,2.74,-0.01,-274.0
1996-03-14,2.65,-0.01,-265.0
1996-03-15,2.65,-0.01,-265.0
1996-03-18,2.65,-0.01,-265.0
1996-03-19,2.78,-0.01,-278.0
1996-03-20,2.65,-0.01,-265.0
1996-03-21,2.69,-0.01,-269.0
1996-03-22,2.6,-0.01,-260.0
1996-03-25,2.51,-0.01,-250.99999999999997
1996-03-26,2.51,-0.01,-250.99999999999997
1996-03-27,2.6,-0.01,-260.0
1996-03-28,2.65,-0.01,-265.0
1996-03-29,2.78,-0.01,-278.0
1996-04-01,2.83,-0.01,-283.0
1996-04-02,2.83,-0.01,-283.0
1996-04-03,2.83,-0.01,-283.0
1996-04-04,2.83,-0.01,-283.0
1996-04-08,2.78,-0.01,-278.0
1996-04-09,2.72,-0.01,-272.0
1996-04-10,2.65,-0.01,-265.0
1996-04-11,2.74,-0.01,-274.0
1996-04-12,2.69,-0.01,-269.0
1996-04-15,2.67,-0.01,-267.0
1996-04-16,2.74,-0.01,-274.0
1996-04-17,2.65,-0.01,-265.0
1996-04-18,2.65,-0.01,-265.0
1996-04-19,2.72,-0.01,-272.0
1996-04-22,2.74,-0.01,-274.0
1996-04-23,2.65,-0.01,-265.0
1996-04-24,2.74,-0.01,-274.0
1996-04-25,2.74,-0.01,-274.0
1996-04-26,2.65,-0.01,-265.0
1996-04-29,2.69,-0.01,-269.0
1996-04-30,3.06,-0.01,-306.0
1996-05-01,2.92,-0.01,-292.0
1996-05-02,2.92,-0.01,-292.0
1996-05-03,3.01,-0.01,-301.0
1996-05-06,3.06,-0.01,-306.0
1996-05-07,2.92,-0.01,-292.0
1996-05-08,3.06,-0.01,-306.0
1996-05-09,2.97,-0.01,-297.0
1996-05-10,3.1,-0.01,-310.0
1996-05-13,3.15,-0.01,-315.0
1996-05-14,3.06,-0.01,-306.0
1996-05-15,3.19,-0.01,-319.0
1996-05-16,3.1,-0.01,-310.0
1996-05-17,3.08,-0.01,-308.0
1996-05-20,3.15,-0.01,-315.0
1996-05-21,3.15,-0.01,-315.0
1996-05-22,3.19,-0.01,-319.0
1996-05-23,3.19,-0.01,-319.0
1996-05-24,3.4,-0.01,-340.0
1996-05-28,3.33,-0.01,-333.0
1996-05-29,3.42,-0.01,-342.0
1996-05-30,3.38,-0.01,-338.0
1996-05-31,3.42,-0.01,-342.0
1996-06-03,3.38,-0.01,-338.0
1996-06-04,3.42,-0.01,-342.0
1996-06-05,3.38,-0.01,-338.0
1996-06-06,3.42,-0.01,-342.0
1996-06-07,3.38,-0.01,-338.0
1996-06-10,3.47,-0.01,-347.0
1996-06-11,3.47,-0.01,-347.0
1996-06-12,3.47,-0.01,-347.0
1996-06-13,3.38,-0.01,-338.0
1996-06-14,3.42,-0.01,-342.0
1996-06-17,3.47,-0.01,-347.0
1996-06-18,3.38,-0.01,-338.0
1996-06-19,3.38,-0.01,-338.0
1996-06-20,3.51,-0.01,-350.99999999999994
1996-06-21,3.65,-0.01,-365.0
1996-06-24,3.56,-0.01,-356.0
1996-06-25,3.61,-0.01,-361.0
1996-06-26,3.51,-0.01,-350.99999999999994
1996-06-27,3.65,-0.01,-365.0
1996-06-28,3.83,-0.01,-383.0
1996-07-01,3.93,-0.01,-393.0
1996-07-02,3.97,-0.01,-397.0
1996-07-03,4.31,-0.01,-430.99999999999994
1996-07-05,4.2,-0.01,-420.0
1996-07-08,4.29,-0.01,-429.0
1996-07-09,4.52,-0.01,-451.99999999999994
1996-07-10,4.43,-0.01,-442.99999999999994
1996-07-11,4.45,-0.01,-445.0
1996-07-12,4.38,-0.01,-438.0
1996-07-15,4.36,-0.01,-436.0
1996-07-16,4.38,-0.01,-438.0
1996-07-17,4.24,-0.01,-424.0
1996-07-18,4.38,-0.01,-438.0
1996-07-19,4.38,-0.01,-438.0
1996-07-22,4.31,-0.01,-430.99999999999994
