date,BDX,BDX_EPS,PE Ratio
1989-09-19,7.08,,
1989-09-20,7.11,,
1989-09-21,7.05,,
1989-09-22,7.05,,
1989-09-25,7.0,,
1989-09-26,7.0,,
1989-09-27,7.03,,
1989-09-28,7.05,,
1989-09-29,7.16,,
1989-10-02,7.28,,
1989-10-03,7.42,,
1989-10-04,7.28,,
1989-10-05,7.28,,
1989-10-06,7.41,,
1989-10-09,7.48,,
1989-10-10,7.58,,
1989-10-11,7.47,,
1989-10-12,7.42,,
1989-10-13,7.25,,
1989-10-16,7.16,,
1989-10-17,7.08,,
1989-10-18,7.03,,
1989-10-19,7.17,,
1989-10-20,7.28,,
1989-10-23,7.22,,
1989-10-24,7.2,,
1989-10-25,7.2,,
1989-10-26,7.03,,
1989-10-27,7.0,,
1989-10-30,6.92,,
1989-10-31,7.06,,
1989-11-01,7.05,,
1989-11-02,7.06,,
1989-11-03,7.09,,
1989-11-06,7.05,,
1989-11-07,7.09,,
1989-11-08,7.22,,
1989-11-09,7.19,,
1989-11-10,7.13,,
1989-11-13,7.27,,
1989-11-14,7.25,,
1989-11-15,7.2,,
1989-11-16,7.19,,
1989-11-17,7.2,,
1989-11-20,7.13,,
1989-11-21,7.22,,
1989-11-22,7.23,,
1989-11-24,7.28,,
1989-11-27,7.33,,
1989-11-28,7.34,,
1989-11-29,7.33,,
1989-11-30,7.33,,
1989-12-01,7.47,,
1989-12-04,7.59,,
1989-12-05,7.77,,
1989-12-06,7.73,,
1989-12-07,7.56,,
1989-12-08,7.52,,
1989-12-11,7.39,,
1989-12-12,7.53,,
1989-12-13,7.48,,
1989-12-14,7.45,,
1989-12-15,7.45,,
1989-12-18,7.33,,
1989-12-19,7.36,,
1989-12-20,7.34,,
1989-12-21,7.33,,
1989-12-22,7.41,,
1989-12-26,7.41,,
1989-12-27,7.56,,
1989-12-28,7.67,,
1989-12-29,7.73,,
1990-01-02,7.83,,
1990-01-03,7.75,,
1990-01-04,7.69,,
1990-01-05,7.67,,
1990-01-08,7.72,,
1990-01-09,7.67,,
1990-01-10,7.56,,
1990-01-11,7.66,,
1990-01-12,7.53,,
1990-01-15,7.42,,
1990-01-16,7.39,,
1990-01-17,7.47,,
1990-01-18,7.38,,
1990-01-19,7.39,,
1990-01-22,7.34,,
1990-01-23,7.33,,
1990-01-24,7.23,,
1990-01-25,7.19,,
1990-01-26,7.03,,
1990-01-29,7.05,,
1990-01-30,7.02,,
1990-01-31,7.16,,
1990-02-01,7.17,,
1990-02-02,7.31,,
1990-02-05,7.25,,
1990-02-06,7.23,,
1990-02-07,7.34,,
1990-02-08,7.41,,
1990-02-09,7.45,,
1990-02-12,7.41,,
1990-02-13,7.55,,
1990-02-14,7.59,,
1990-02-15,7.58,,
1990-02-16,7.48,,
1990-02-20,7.44,,
1990-02-21,7.45,,
1990-02-22,7.44,,
1990-02-23,7.39,,
1990-02-26,7.39,,
1990-02-27,7.42,,
1990-02-28,7.44,,
1990-03-01,7.34,,
1990-03-02,7.41,,
1990-03-05,7.34,,
1990-03-06,7.42,,
1990-03-07,7.47,,
1990-03-08,7.66,,
1990-03-09,7.53,,
1990-03-12,7.59,,
1990-03-13,7.52,,
1990-03-14,7.47,,
1990-03-15,7.58,,
1990-03-16,7.48,,
1990-03-19,7.61,,
1990-03-20,7.64,,
1990-03-21,7.66,,
1990-03-22,7.44,,
1990-03-23,7.5,,
1990-03-26,7.48,,
1990-03-27,7.5,,
1990-03-28,7.47,,
1990-03-29,7.52,,
1990-03-30,7.56,,
1990-04-02,7.48,,
1990-04-03,7.55,,
1990-04-04,7.42,,
1990-04-05,7.5,,
1990-04-06,7.48,,
1990-04-09,7.45,,
1990-04-10,7.44,,
1990-04-11,7.44,,
1990-04-12,7.48,,
1990-04-16,7.59,,
1990-04-17,7.61,,
1990-04-18,7.58,,
1990-04-19,7.53,,
1990-04-20,7.47,,
1990-04-23,7.39,,
1990-04-24,7.41,,
1990-04-25,7.45,,
1990-04-26,7.44,,
1990-04-27,7.28,,
1990-04-30,7.41,,
1990-05-01,7.5,,
1990-05-02,7.56,,
1990-05-03,7.53,,
1990-05-04,7.55,,
1990-05-07,7.72,,
1990-05-08,7.86,,
1990-05-09,7.95,,
1990-05-10,8.0,,
1990-05-11,8.03,,
1990-05-14,8.03,,
1990-05-15,8.13,,
1990-05-16,8.02,,
1990-05-17,7.98,,
1990-05-18,7.88,,
1990-05-21,7.88,,
1990-05-22,8.09,,
1990-05-23,8.11,,
1990-05-24,8.38,,
1990-05-25,8.31,,
1990-05-29,8.38,,
1990-05-30,8.45,,
1990-05-31,8.41,,
1990-06-01,8.53,,
1990-06-04,8.56,,
1990-06-05,8.63,,
1990-06-06,8.56,,
1990-06-07,8.73,,
1990-06-08,8.66,,
1990-06-11,8.77,,
1990-06-12,8.91,,
1990-06-13,8.97,,
1990-06-14,9.05,,
1990-06-15,8.98,,
1990-06-18,8.83,,
1990-06-19,8.72,,
1990-06-20,8.73,,
1990-06-21,8.78,,
1990-06-22,8.69,,
1990-06-25,8.63,,
1990-06-26,8.64,,
1990-06-27,8.77,,
1990-06-28,8.86,,
1990-06-29,8.77,,
1990-07-02,8.84,,
1990-07-03,8.95,,
1990-07-05,8.88,,
1990-07-06,8.94,,
1990-07-09,8.95,,
1990-07-10,8.92,,
1990-07-11,9.06,,
1990-07-12,9.11,,
1990-07-13,9.13,,
1990-07-16,9.22,,
1990-07-17,9.22,,
1990-07-18,9.14,,
1990-07-19,9.25,,
1990-07-20,9.19,,
1990-07-23,8.86,,
1990-07-24,8.75,,
1990-07-25,8.78,,
1990-07-26,8.94,,
1990-07-27,8.91,,
1990-07-30,8.84,,
1990-07-31,8.88,,
1990-08-01,8.91,,
1990-08-02,8.86,,
1990-08-03,8.58,,
1990-08-06,8.2,,
1990-08-07,8.41,,
1990-08-08,8.56,,
1990-08-09,8.52,,
1990-08-10,8.31,,
1990-08-13,8.23,,
1990-08-14,8.25,,
1990-08-15,8.39,,
1990-08-16,8.25,,
1990-08-17,8.14,,
1990-08-20,8.13,,
1990-08-21,7.97,,
1990-08-22,7.88,,
1990-08-23,7.7,,
1990-08-24,7.78,,
1990-08-27,8.0,,
1990-08-28,8.09,,
1990-08-29,8.2,,
1990-08-30,8.22,,
1990-08-31,8.22,,
1990-09-04,8.22,,
1990-09-05,8.27,,
1990-09-06,8.17,,
1990-09-07,8.2,,
1990-09-10,8.13,,
1990-09-11,8.09,,
1990-09-12,8.05,,
1990-09-13,7.98,,
1990-09-14,7.83,,
1990-09-17,7.91,,
1990-09-18,8.03,,
1990-09-19,8.06,,
1990-09-20,7.97,,
1990-09-21,8.02,,
1990-09-24,8.14,,
1990-09-25,8.13,,
1990-09-26,8.34,,
1990-09-27,8.13,,
1990-09-28,8.22,,
1990-10-01,8.38,,
1990-10-02,8.5,,
1990-10-03,8.42,,
1990-10-04,8.48,,
1990-10-05,8.53,,
1990-10-08,8.72,,
1990-10-09,8.66,,
1990-10-10,8.47,,
1990-10-11,8.25,,
1990-10-12,8.28,,
1990-10-15,8.31,,
1990-10-16,8.36,,
1990-10-17,8.27,,
1990-10-18,8.42,,
1990-10-19,8.72,,
1990-10-22,9.03,,
1990-10-23,8.84,,
1990-10-24,8.81,,
1990-10-25,8.81,,
1990-10-26,8.73,,
1990-10-29,8.59,,
1990-10-30,8.47,,
1990-10-31,8.41,,
1990-11-01,8.39,,
1990-11-02,8.67,,
1990-11-05,8.88,,
1990-11-06,8.84,,
1990-11-07,8.78,,
1990-11-08,8.77,,
1990-11-09,8.97,,
1990-11-12,9.03,,
1990-11-13,9.03,,
1990-11-14,9.03,,
1990-11-15,8.98,,
1990-11-16,8.98,,
1990-11-19,8.94,,
1990-11-20,8.84,,
1990-11-21,8.92,,
1990-11-23,8.84,,
1990-11-26,8.98,,
1990-11-27,9.09,,
1990-11-28,9.2,,
1990-11-29,9.14,,
1990-11-30,9.16,,
1990-12-03,9.2,,
1990-12-04,9.31,,
1990-12-05,9.38,,
1990-12-06,9.5,,
1990-12-07,9.48,,
1990-12-10,9.5,,
1990-12-11,9.39,,
1990-12-12,9.44,,
1990-12-13,9.39,,
1990-12-14,9.3,,
1990-12-17,9.25,,
1990-12-18,9.31,,
1990-12-19,9.3,,
1990-12-20,9.34,,
1990-12-21,9.36,,
1990-12-24,9.33,,
1990-12-26,9.38,,
1990-12-27,9.31,,
1990-12-28,9.28,,
1990-12-31,9.31,,
1991-01-02,9.34,,
1991-01-03,9.28,,
1991-01-04,9.17,,
1991-01-07,9.11,,
1991-01-08,8.88,,
1991-01-09,8.61,,
1991-01-10,8.78,,
1991-01-11,8.89,,
1991-01-14,8.81,,
1991-01-15,8.84,,
1991-01-16,9.0,,
1991-01-17,9.25,,
1991-01-18,9.13,,
1991-01-21,8.63,,
1991-01-22,8.73,,
1991-01-23,8.78,,
1991-01-24,8.91,,
1991-01-25,9.0,,
1991-01-28,8.55,,
1991-01-29,8.5,,
1991-01-30,8.63,,
1991-01-31,8.78,,
1991-02-01,8.8,,
1991-02-04,8.77,,
1991-02-05,8.72,,
1991-02-06,9.08,,
1991-02-07,9.36,,
1991-02-08,9.55,,
1991-02-11,9.47,,
1991-02-12,9.36,,
1991-02-13,9.41,,
1991-02-14,9.3,,
1991-02-15,9.48,,
1991-02-19,9.5,,
1991-02-20,9.41,,
1991-02-21,9.34,,
1991-02-22,9.34,,
1991-02-25,9.34,,
1991-02-26,9.33,,
1991-02-27,9.31,,
1991-02-28,9.03,,
1991-03-01,9.22,,
1991-03-04,9.14,,
1991-03-05,9.13,,
1991-03-06,9.16,,
1991-03-07,9.23,,
1991-03-08,9.14,,
1991-03-11,9.16,,
1991-03-12,9.13,,
1991-03-13,9.06,,
1991-03-14,9.02,,
1991-03-15,9.0,,
1991-03-18,9.02,,
1991-03-19,8.97,,
1991-03-20,9.09,,
1991-03-21,9.16,,
1991-03-22,9.38,,
1991-03-25,9.44,,
1991-03-26,9.58,,
1991-03-27,9.72,,
1991-03-28,9.78,,
1991-04-01,9.75,,
1991-04-02,9.98,,
