date,NWS,NWS_EPS,PE Ratio
2013-06-19,15.53,,
2013-06-20,15.44,,
2013-06-21,15.8,,
2013-06-24,15.52,,
2013-06-25,15.66,,
2013-06-26,15.47,,
2013-06-27,15.37,,
2013-06-28,15.38,,
2013-07-01,14.87,,
2013-07-02,14.99,,
2013-07-03,14.97,,
2013-07-05,15.61,,
2013-07-08,16.02,,
2013-07-09,15.73,,
2013-07-10,15.45,,
2013-07-11,15.21,,
2013-07-12,14.99,,
2013-07-15,14.8,,
2013-07-16,15.39,,
2013-07-17,16.02,,
2013-07-18,15.6,,
2013-07-19,16.12,,
2013-07-22,15.9,,
2013-07-23,15.85,,
2013-07-24,15.92,,
2013-07-25,15.76,,
2013-07-26,16.09,,
2013-07-29,15.71,,
2013-07-30,16.14,,
2013-07-31,16.09,,
2013-08-01,16.39,,
2013-08-02,16.5,,
2013-08-05,16.21,,
2013-08-06,16.39,,
2013-08-07,16.16,,
2013-08-08,16.38,,
2013-08-09,16.24,,
2013-08-12,16.11,,
2013-08-13,16.05,,
2013-08-14,16.18,,
2013-08-15,16.32,,
2013-08-16,16.19,,
2013-08-19,15.89,,
2013-08-20,15.88,,
2013-08-21,15.94,,
2013-08-22,15.88,,
2013-08-23,15.92,,
2013-08-26,16.06,,
2013-08-27,15.94,,
2013-08-28,15.97,,
2013-08-29,15.96,,
2013-08-30,15.84,,
2013-09-03,16.0,,
2013-09-04,16.21,,
2013-09-05,16.39,,
2013-09-06,16.34,,
2013-09-09,16.49,,
2013-09-10,16.72,,
2013-09-11,17.2,,
2013-09-12,17.3,,
2013-09-13,17.11,,
2013-09-16,17.17,,
2013-09-17,17.22,,
2013-09-18,17.25,,
2013-09-19,17.13,,
2013-09-20,16.91,,
2013-09-23,16.79,,
2013-09-24,17.33,,
2013-09-25,17.09,,
2013-09-26,16.67,,
2013-09-27,16.56,,
2013-09-30,16.43,,
2013-10-01,16.29,,
2013-10-02,16.49,,
2013-10-03,16.27,,
2013-10-04,16.27,,
2013-10-07,16.27,,
2013-10-08,16.23,,
2013-10-09,16.34,,
2013-10-10,16.65,,
2013-10-11,16.92,,
2013-10-14,17.06,,
2013-10-15,17.16,,
2013-10-16,17.26,,
2013-10-17,17.26,,
2013-10-18,17.32,,
2013-10-21,17.3,,
2013-10-22,17.45,,
2013-10-23,17.49,,
2013-10-24,17.72,,
2013-10-25,17.56,,
2013-10-28,17.68,,
2013-10-29,17.87,,
2013-10-30,17.75,,
2013-10-31,17.93,,
2013-11-01,18.11,,
2013-11-04,18.13,,
2013-11-05,18.1,,
2013-11-06,17.77,,
2013-11-07,17.61,,
2013-11-08,17.94,,
2013-11-11,17.78,,
2013-11-12,17.49,0.05,349.79999999999995
2013-11-13,17.53,0.05,350.6
2013-11-14,17.51,0.05,350.2
2013-11-15,18.02,0.05,360.4
2013-11-18,17.69,0.05,353.8
2013-11-19,17.73,0.05,354.59999999999997
2013-11-20,17.85,0.05,357.0
2013-11-21,17.8,0.05,356.0
2013-11-22,17.71,0.05,354.2
2013-11-25,17.61,0.05,352.2
2013-11-26,17.76,0.05,355.2
2013-11-27,17.89,0.05,357.8
2013-11-29,17.97,0.05,359.4
2013-12-02,17.66,0.05,353.2
2013-12-03,17.53,0.05,350.6
2013-12-04,17.5,0.05,350.0
2013-12-05,17.37,0.05,347.4
2013-12-06,17.36,0.05,347.2
2013-12-09,17.36,0.05,347.2
2013-12-10,17.5,0.05,350.0
2013-12-11,17.47,0.05,349.4
2013-12-12,17.35,0.05,347.0
2013-12-13,17.5,0.05,350.0
2013-12-16,17.63,0.05,352.59999999999997
2013-12-17,17.21,0.05,344.2
2013-12-18,17.35,0.05,347.0
2013-12-19,17.21,0.05,344.2
2013-12-20,17.58,0.05,351.59999999999997
2013-12-23,17.78,0.05,355.6
2013-12-24,17.82,0.05,356.4
2013-12-26,17.7,0.05,353.99999999999994
2013-12-27,17.68,0.05,353.59999999999997
2013-12-30,17.75,0.05,355.0
2013-12-31,17.83,0.05,356.59999999999997
2014-01-02,17.89,0.05,357.8
2014-01-03,17.73,0.05,354.59999999999997
2014-01-06,17.55,0.05,351.0
2014-01-07,17.32,0.05,346.4
2014-01-08,17.24,0.05,344.79999999999995
2014-01-09,17.3,0.05,346.0
2014-01-10,17.34,0.05,346.79999999999995
2014-01-13,17.08,0.05,341.59999999999997
2014-01-14,17.24,0.05,344.79999999999995
2014-01-15,17.15,0.05,342.99999999999994
2014-01-16,17.04,0.05,340.79999999999995
2014-01-17,17.02,0.05,340.4
2014-01-21,16.76,0.05,335.2
2014-01-22,16.67,0.05,333.40000000000003
2014-01-23,16.55,0.05,331.0
2014-01-24,16.15,0.05,322.99999999999994
2014-01-27,16.15,0.05,322.99999999999994
2014-01-28,16.01,0.05,320.2
2014-01-29,15.92,0.05,318.4
2014-01-30,15.8,0.05,316.0
2014-01-31,15.61,0.05,312.2
2014-02-03,15.07,0.05,301.4
2014-02-04,15.07,0.05,301.4
2014-02-05,15.31,0.05,306.2
2014-02-06,15.66,0.05,313.2
2014-02-07,17.0,0.26,65.38461538461539
2014-02-10,17.15,0.26,65.96153846153845
2014-02-11,17.5,0.26,67.3076923076923
2014-02-12,17.3,0.26,66.53846153846153
2014-02-13,17.26,0.26,66.38461538461539
2014-02-14,17.22,0.26,66.23076923076923
2014-02-18,17.29,0.26,66.5
2014-02-19,17.25,0.26,66.34615384615384
2014-02-20,17.11,0.26,65.8076923076923
2014-02-21,17.22,0.26,66.23076923076923
2014-02-24,17.5,0.26,67.3076923076923
2014-02-25,17.62,0.26,67.76923076923077
2014-02-26,17.59,0.26,67.65384615384615
2014-02-27,17.66,0.26,67.92307692307692
2014-02-28,17.89,0.26,68.8076923076923
2014-03-03,17.7,0.26,68.07692307692307
2014-03-04,17.89,0.26,68.8076923076923
2014-03-05,17.89,0.26,68.8076923076923
2014-03-06,17.86,0.26,68.6923076923077
2014-03-07,17.54,0.26,67.46153846153845
2014-03-10,17.48,0.26,67.23076923076923
2014-03-11,17.37,0.26,66.8076923076923
2014-03-12,17.5,0.26,67.3076923076923
2014-03-13,17.07,0.26,65.65384615384615
2014-03-14,17.05,0.26,65.57692307692308
2014-03-17,17.08,0.26,65.69230769230768
2014-03-18,17.35,0.26,66.73076923076924
2014-03-19,17.24,0.26,66.30769230769229
2014-03-20,17.11,0.26,65.8076923076923
2014-03-21,17.01,0.26,65.42307692307692
2014-03-24,16.96,0.26,65.23076923076923
2014-03-25,16.84,0.26,64.76923076923076
2014-03-26,16.52,0.26,63.53846153846153
2014-03-27,16.5,0.26,63.46153846153846
2014-03-28,16.54,0.26,63.61538461538461
2014-03-31,16.7,0.26,64.23076923076923
2014-04-01,16.93,0.26,65.11538461538461
2014-04-02,16.95,0.26,65.1923076923077
2014-04-03,16.69,0.26,64.1923076923077
2014-04-04,16.71,0.26,64.26923076923077
2014-04-07,16.73,0.26,64.34615384615384
2014-04-08,16.65,0.26,64.03846153846153
2014-04-09,16.82,0.26,64.6923076923077
2014-04-10,16.48,0.26,63.38461538461539
2014-04-11,16.26,0.26,62.53846153846154
2014-04-14,16.4,0.26,63.076923076923066
2014-04-15,16.29,0.26,62.653846153846146
2014-04-16,16.41,0.26,63.11538461538461
2014-04-17,16.47,0.26,63.34615384615384
2014-04-21,16.66,0.26,64.07692307692308
2014-04-22,16.76,0.26,64.46153846153847
2014-04-23,16.92,0.26,65.07692307692308
2014-04-24,16.95,0.26,65.1923076923077
2014-04-25,16.78,0.26,64.53846153846155
2014-04-28,16.78,0.26,64.53846153846155
2014-04-29,16.81,0.26,64.65384615384615
2014-04-30,16.54,0.26,63.61538461538461
2014-05-01,16.76,0.26,64.46153846153847
2014-05-02,16.83,0.26,64.73076923076923
2014-05-05,16.84,0.26,64.76923076923076
2014-05-06,16.65,0.26,64.03846153846153
2014-05-07,16.54,0.26,63.61538461538461
2014-05-08,16.57,0.26,63.730769230769226
2014-05-09,17.4,0.08,217.49999999999997
2014-05-12,17.45,0.08,218.125
2014-05-13,17.31,0.08,216.37499999999997
2014-05-14,16.81,0.08,210.12499999999997
2014-05-15,16.56,0.08,206.99999999999997
2014-05-16,16.7,0.08,208.75
2014-05-19,16.67,0.08,208.37500000000003
2014-05-20,16.43,0.08,205.375
2014-05-21,16.5,0.08,206.25
2014-05-22,16.77,0.08,209.625
2014-05-23,16.74,0.08,209.24999999999997
2014-05-27,16.86,0.08,210.75
2014-05-28,16.71,0.08,208.875
2014-05-29,16.64,0.08,208.0
2014-05-30,16.59,0.08,207.375
2014-06-02,16.78,0.08,209.75
2014-06-03,16.92,0.08,211.50000000000003
2014-06-04,17.01,0.08,212.62500000000003
2014-06-05,17.27,0.08,215.875
2014-06-06,17.27,0.08,215.875
2014-06-09,17.25,0.08,215.625
2014-06-10,17.18,0.08,214.75
2014-06-11,17.17,0.08,214.62500000000003
2014-06-12,16.85,0.08,210.625
2014-06-13,16.73,0.08,209.125
2014-06-16,16.73,0.08,209.125
2014-06-17,16.81,0.08,210.12499999999997
2014-06-18,17.07,0.08,213.375
2014-06-19,17.16,0.08,214.5
2014-06-20,17.11,0.08,213.875
2014-06-23,16.84,0.08,210.5
2014-06-24,17.0,0.08,212.5
2014-06-25,17.2,0.08,215.0
2014-06-26,17.54,0.08,219.24999999999997
2014-06-27,17.55,0.08,219.375
2014-06-30,17.45,0.08,218.125
2014-07-01,17.6,0.08,220.0
2014-07-02,17.72,0.08,221.49999999999997
2014-07-03,17.77,0.08,222.125
2014-07-07,17.63,0.08,220.37499999999997
2014-07-08,17.58,0.08,219.74999999999997
2014-07-09,17.67,0.08,220.87500000000003
2014-07-10,17.51,0.08,218.87500000000003
2014-07-11,17.56,0.08,219.49999999999997
2014-07-14,17.59,0.08,219.875
2014-07-15,17.66,0.08,220.75
2014-07-16,17.63,0.08,220.37499999999997
2014-07-17,17.5,0.08,218.75
2014-07-18,17.65,0.08,220.62499999999997
2014-07-21,17.54,0.08,219.24999999999997
2014-07-22,17.51,0.08,218.87500000000003
2014-07-23,17.55,0.08,219.375
2014-07-24,17.73,0.08,221.625
2014-07-25,17.61,0.08,220.125
2014-07-28,17.49,0.08,218.62499999999997
2014-07-29,17.39,0.08,217.375
2014-07-30,17.38,0.08,217.24999999999997
2014-07-31,17.21,0.08,215.125
2014-08-01,17.36,0.08,217.0
2014-08-04,17.39,0.08,217.375
2014-08-05,17.22,0.08,215.24999999999997
2014-08-06,17.15,0.08,214.37499999999997
2014-08-07,17.0,0.08,212.5
2014-08-08,16.75,0.08,209.375
2014-08-11,16.94,0.08,211.75
2014-08-12,16.83,0.08,210.37499999999997
2014-08-13,16.76,0.08,209.50000000000003
2014-08-14,16.97,0.02,848.4999999999999
2014-08-15,16.81,0.02,840.4999999999999
2014-08-18,16.84,0.02,842.0
2014-08-19,16.75,0.02,837.5
2014-08-20,17.09,0.02,854.5
2014-08-21,17.19,0.02,859.5
2014-08-22,17.14,0.02,857.0
2014-08-25,17.31,0.02,865.4999999999999
2014-08-26,17.25,0.02,862.5
2014-08-27,17.29,0.02,864.4999999999999
2014-08-28,17.29,0.02,864.4999999999999
