date,SO,SO_EPS,PE Ratio
,,0.3,
1989-09-19,8.44,0.3,28.133333333333333
1989-09-20,8.4,0.3,28.000000000000004
1989-09-21,8.4,0.3,28.000000000000004
1989-09-22,8.29,0.3,27.633333333333333
1989-09-25,8.32,0.3,27.733333333333334
1989-09-26,8.32,0.3,27.733333333333334
1989-09-27,8.25,0.3,27.5
1989-09-28,8.29,0.3,27.633333333333333
1989-09-29,8.29,0.3,27.633333333333333
1989-10-02,8.25,0.3,27.5
1989-10-03,8.29,0.3,27.633333333333333
1989-10-04,8.29,0.3,27.633333333333333
1989-10-05,8.29,0.3,27.633333333333333
1989-10-06,8.32,0.3,27.733333333333334
1989-10-09,8.29,0.3,27.633333333333333
1989-10-10,8.32,0.3,27.733333333333334
1989-10-11,8.29,0.3,27.633333333333333
1989-10-12,8.25,0.3,27.5
1989-10-13,7.71,0.3,25.7
1989-10-16,8.06,0.3,26.86666666666667
1989-10-17,8.17,0.3,27.233333333333334
1989-10-18,8.17,0.3,27.233333333333334
1989-10-19,8.25,0.3,27.5
1989-10-20,8.32,0.3,27.733333333333334
1989-10-23,8.29,0.3,27.633333333333333
1989-10-24,8.25,0.3,27.5
1989-10-25,8.29,0.3,27.633333333333333
1989-10-26,8.29,0.3,27.633333333333333
1989-10-27,8.36,0.3,27.866666666666667
1989-10-30,8.32,0.3,27.733333333333334
1989-10-31,8.29,0.3,27.633333333333333
1989-11-01,8.32,0.3,27.733333333333334
1989-11-02,8.4,0.3,28.000000000000004
1989-11-03,8.48,0.3,28.26666666666667
1989-11-06,8.4,0.3,28.000000000000004
1989-11-07,8.4,0.3,28.000000000000004
1989-11-08,8.44,0.3,28.133333333333333
1989-11-09,8.44,0.3,28.133333333333333
1989-11-10,8.51,0.3,28.366666666666667
1989-11-13,8.48,0.3,28.26666666666667
1989-11-14,8.51,0.3,28.366666666666667
1989-11-15,8.51,0.3,28.366666666666667
1989-11-16,8.55,0.3,28.500000000000004
1989-11-17,8.51,0.3,28.366666666666667
1989-11-20,8.4,0.3,28.000000000000004
1989-11-21,8.44,0.3,28.133333333333333
1989-11-22,8.44,0.3,28.133333333333333
1989-11-24,8.44,0.3,28.133333333333333
1989-11-27,8.51,0.3,28.366666666666667
1989-11-28,8.55,0.3,28.500000000000004
1989-11-29,8.55,0.3,28.500000000000004
1989-11-30,8.55,0.3,28.500000000000004
1989-12-01,8.63,0.3,28.76666666666667
1989-12-04,8.59,0.3,28.633333333333333
1989-12-05,8.59,0.3,28.633333333333333
1989-12-06,8.67,0.3,28.900000000000002
1989-12-07,8.63,0.3,28.76666666666667
1989-12-08,8.67,0.3,28.900000000000002
1989-12-11,8.71,0.3,29.03333333333334
1989-12-12,8.78,0.3,29.266666666666666
1989-12-13,8.9,0.3,29.666666666666668
1989-12-14,9.01,0.3,30.033333333333335
1989-12-15,9.05,0.3,30.16666666666667
1989-12-18,8.93,0.3,29.766666666666666
1989-12-19,8.78,0.3,29.266666666666666
1989-12-20,8.82,0.3,29.400000000000002
1989-12-21,8.86,0.3,29.53333333333333
1989-12-22,8.9,0.3,29.666666666666668
1989-12-26,8.9,0.3,29.666666666666668
1989-12-27,8.86,0.3,29.53333333333333
1989-12-28,8.9,0.3,29.666666666666668
1989-12-29,8.9,0.3,29.666666666666668
1990-01-02,8.9,0.3,29.666666666666668
1990-01-03,8.93,0.3,29.766666666666666
1990-01-04,8.55,0.3,28.500000000000004
1990-01-05,8.4,0.3,28.000000000000004
1990-01-08,8.63,0.3,28.76666666666667
1990-01-09,8.55,0.3,28.500000000000004
1990-01-10,8.59,0.3,28.633333333333333
1990-01-11,8.59,0.3,28.633333333333333
1990-01-12,8.4,0.3,28.000000000000004
1990-01-15,8.32,0.3,27.733333333333334
1990-01-16,8.4,0.3,28.000000000000004
1990-01-17,8.44,0.3,28.133333333333333
1990-01-18,8.51,0.3,28.366666666666667
1990-01-19,8.67,0.3,28.900000000000002
1990-01-22,8.51,0.3,28.366666666666667
1990-01-23,8.51,0.3,28.366666666666667
1990-01-24,8.48,0.3,28.26666666666667
1990-01-25,8.44,0.3,28.133333333333333
1990-01-26,8.4,0.3,28.000000000000004
1990-01-29,8.36,0.3,27.866666666666667
1990-01-30,8.09,0.3,26.96666666666667
1990-01-31,8.25,0.3,27.5
1990-02-01,8.29,0.3,27.633333333333333
1990-02-02,8.29,0.3,27.633333333333333
1990-02-05,8.32,0.3,27.733333333333334
1990-02-06,8.21,0.3,27.36666666666667
1990-02-07,8.32,0.3,27.733333333333334
1990-02-08,8.21,0.3,27.36666666666667
1990-02-09,8.29,0.3,27.633333333333333
1990-02-12,8.21,0.3,27.36666666666667
