date,CERN,CERN_EPS,PE Ratio
,,0.0,
1986-12-05,0.27,0.0,inf
1986-12-08,0.27,0.0,inf
1986-12-09,0.25,0.0,inf
1986-12-10,0.25,0.0,inf
1986-12-11,0.24,0.0,inf
1986-12-12,0.24,0.0,inf
1986-12-15,0.23,0.0,inf
1986-12-16,0.24,0.0,inf
1986-12-17,0.24,0.0,inf
1986-12-18,0.24,0.0,inf
1986-12-19,0.24,0.0,inf
1986-12-22,0.24,0.0,inf
1986-12-23,0.23,0.0,inf
1986-12-24,0.23,0.0,inf
1986-12-26,0.23,0.0,inf
1986-12-29,0.23,0.0,inf
1986-12-30,0.23,0.0,inf
1986-12-31,0.24,0.0,inf
1987-01-02,0.24,0.0,inf
1987-01-05,0.25,0.0,inf
1987-01-06,0.26,0.0,inf
1987-01-07,0.28,0.0,inf
1987-01-08,0.28,0.0,inf
1987-01-09,0.3,0.0,inf
1987-01-12,0.31,0.0,inf
1987-01-13,0.31,0.0,inf
1987-01-14,0.31,0.0,inf
1987-01-15,0.31,0.0,inf
1987-01-16,0.31,0.0,inf
1987-01-19,0.3,0.0,inf
1987-01-20,0.3,0.0,inf
1987-01-21,0.3,0.0,inf
1987-01-22,0.3,0.0,inf
1987-01-23,0.3,0.0,inf
1987-01-26,0.3,0.0,inf
1987-01-27,0.3,0.0,inf
1987-01-28,0.3,0.0,inf
1987-01-29,0.31,0.0,inf
1987-01-30,0.3,0.0,inf
1987-02-02,0.3,0.0,inf
1987-02-03,0.31,0.0,inf
1987-02-04,0.34,0.0,inf
1987-02-05,0.36,0.0,inf
1987-02-06,0.36,0.0,inf
1987-02-09,0.36,0.0,inf
1987-02-10,0.36,0.0,inf
1987-02-11,0.36,0.0,inf
1987-02-12,0.34,0.0,inf
1987-02-13,0.34,0.0,inf
1987-02-17,0.35,0.0,inf
1987-02-18,0.35,0.0,inf
1987-02-19,0.35,0.0,inf
1987-02-20,0.35,0.0,inf
1987-02-23,0.35,0.0,inf
1987-02-24,0.35,0.0,inf
1987-02-25,0.35,0.0,inf
1987-02-26,0.35,0.0,inf
1987-02-27,0.35,0.0,inf
1987-03-02,0.35,0.0,inf
1987-03-03,0.35,0.0,inf
1987-03-04,0.36,0.0,inf
1987-03-05,0.39,0.0,inf
1987-03-06,0.39,0.0,inf
1987-03-09,0.39,0.0,inf
1987-03-10,0.39,0.0,inf
1987-03-11,0.38,0.0,inf
1987-03-12,0.39,0.0,inf
1987-03-13,0.38,0.0,inf
1987-03-16,0.38,0.0,inf
1987-03-17,0.39,0.0,inf
1987-03-18,0.41,0.0,inf
1987-03-19,0.4,0.0,inf
1987-03-20,0.39,0.0,inf
1987-03-23,0.39,0.0,inf
1987-03-24,0.4,0.0,inf
1987-03-25,0.4,0.0,inf
1987-03-26,0.39,0.0,inf
1987-03-27,0.4,0.0,inf
1987-03-30,0.38,0.0,inf
1987-03-31,0.38,0.0,inf
1987-04-01,0.38,0.0,inf
1987-04-02,0.38,0.0,inf
1987-04-03,0.38,0.0,inf
1987-04-06,0.36,0.0,inf
1987-04-07,0.36,0.0,inf
1987-04-08,0.36,0.0,inf
1987-04-09,0.37,0.0,inf
1987-04-10,0.36,0.0,inf
1987-04-13,0.36,0.0,inf
1987-04-14,0.35,0.0,inf
1987-04-15,0.36,0.0,inf
1987-04-16,0.36,0.0,inf
1987-04-20,0.35,0.0,inf
1987-04-21,0.36,0.0,inf
1987-04-22,0.35,0.0,inf
1987-04-23,0.35,0.0,inf
1987-04-24,0.34,0.0,inf
1987-04-27,0.33,0.0,inf
1987-04-28,0.32,0.0,inf
1987-04-29,0.34,0.0,inf
1987-04-30,0.35,0.0,inf
1987-05-01,0.34,0.0,inf
1987-05-04,0.34,0.0,inf
1987-05-05,0.35,0.0,inf
1987-05-06,0.36,0.0,inf
1987-05-07,0.35,0.0,inf
1987-05-08,0.36,0.0,inf
1987-05-11,0.37,0.0,inf
1987-05-12,0.36,0.0,inf
1987-05-13,0.38,0.0,inf
1987-05-14,0.39,0.0,inf
1987-05-15,0.38,0.0,inf
1987-05-18,0.39,0.0,inf
1987-05-19,0.38,0.0,inf
1987-05-20,0.38,0.0,inf
1987-05-21,0.38,0.0,inf
1987-05-22,0.38,0.0,inf
1987-05-26,0.38,0.0,inf
1987-05-27,0.37,0.0,inf
1987-05-28,0.37,0.0,inf
1987-05-29,0.37,0.0,inf
1987-06-01,0.38,0.0,inf
1987-06-02,0.37,0.0,inf
1987-06-03,0.37,0.0,inf
1987-06-04,0.37,0.0,inf
1987-06-05,0.37,0.0,inf
1987-06-08,0.36,0.0,inf
1987-06-09,0.37,0.0,inf
