date,FTNT,FTNT_EPS,PE Ratio
,,-0.06,
2009-11-18,8.31,-0.06,-138.5
2009-11-19,8.45,-0.06,-140.83333333333331
2009-11-20,8.47,-0.06,-141.16666666666669
2009-11-23,8.45,-0.06,-140.83333333333331
2009-11-24,8.51,-0.06,-141.83333333333334
2009-11-25,8.6,-0.06,-143.33333333333334
2009-11-27,8.45,-0.06,-140.83333333333331
2009-11-30,8.5,-0.06,-141.66666666666669
2009-12-01,8.41,-0.06,-140.16666666666669
2009-12-02,8.31,-0.06,-138.5
2009-12-03,8.34,-0.06,-139.0
2009-12-04,8.64,-0.06,-144.00000000000003
2009-12-07,8.46,-0.06,-141.00000000000003
2009-12-08,8.28,-0.06,-138.0
2009-12-09,8.5,-0.06,-141.66666666666669
2009-12-10,8.46,-0.06,-141.00000000000003
2009-12-11,8.47,-0.06,-141.16666666666669
2009-12-14,8.5,-0.06,-141.66666666666669
2009-12-15,8.5,-0.06,-141.66666666666669
2009-12-16,9.13,-0.06,-152.16666666666669
2009-12-17,8.98,-0.06,-149.66666666666669
2009-12-18,8.79,-0.06,-146.5
2009-12-21,8.82,-0.06,-147.0
2009-12-22,8.62,-0.06,-143.66666666666666
2009-12-23,8.98,-0.06,-149.66666666666669
2009-12-24,9.18,-0.06,-153.0
2009-12-28,8.87,-0.06,-147.83333333333331
2009-12-29,9.18,-0.06,-153.0
2009-12-30,9.01,-0.06,-150.16666666666666
2009-12-31,8.79,-0.06,-146.5
2010-01-04,9.0,-0.06,-150.0
2010-01-05,9.2,-0.06,-153.33333333333331
2010-01-06,9.71,-0.06,-161.83333333333334
2010-01-07,9.73,-0.06,-162.16666666666669
2010-01-08,10.06,-0.06,-167.66666666666669
2010-01-11,10.03,-0.06,-167.16666666666666
2010-01-12,9.9,-0.06,-165.0
2010-01-13,9.72,-0.06,-162.00000000000003
2010-01-14,9.95,-0.06,-165.83333333333331
2010-01-15,9.82,-0.06,-163.66666666666669
2010-01-19,9.9,-0.06,-165.0
2010-01-20,9.53,-0.06,-158.83333333333331
2010-01-21,9.2,-0.06,-153.33333333333331
2010-01-22,8.94,-0.06,-149.0
2010-01-25,9.01,-0.06,-150.16666666666666
2010-01-26,9.16,-0.06,-152.66666666666669
2010-01-27,9.33,-0.06,-155.5
2010-01-28,8.9,-0.06,-148.33333333333334
2010-01-29,8.62,-0.06,-143.66666666666666
2010-02-01,8.73,-0.06,-145.5
2010-02-02,8.57,-0.06,-142.83333333333334
2010-02-03,8.22,-0.06,-137.00000000000003
2010-02-04,7.85,-0.06,-130.83333333333334
2010-02-05,7.85,-0.06,-130.83333333333334
2010-02-08,7.95,-0.06,-132.5
2010-02-09,8.3,-0.06,-138.33333333333334
2010-02-10,8.43,-0.06,-140.5
2010-02-11,8.34,-0.06,-139.0
2010-02-12,8.26,-0.06,-137.66666666666666
2010-02-16,8.26,-0.06,-137.66666666666666
2010-02-17,8.46,-0.06,-141.00000000000003
2010-02-18,8.67,-0.06,-144.5
2010-02-19,8.67,-0.06,-144.5
2010-02-22,8.49,-0.06,-141.5
2010-02-23,8.34,-0.06,-139.0
2010-02-24,8.29,-0.06,-138.16666666666666
2010-02-25,8.38,-0.06,-139.66666666666669
2010-02-26,8.59,-0.06,-143.16666666666666
2010-03-01,9.0,-0.06,-150.0
2010-03-02,8.73,-0.06,-145.5
2010-03-03,8.55,-0.06,-142.50000000000003
2010-03-04,8.44,-0.06,-140.66666666666666
2010-03-05,8.53,-0.06,-142.16666666666666
2010-03-08,8.62,-0.06,-143.66666666666666
2010-03-09,8.51,-0.06,-141.83333333333334
2010-03-10,8.33,-0.06,-138.83333333333334
2010-03-11,8.19,-0.06,-136.5
2010-03-12,8.17,-0.06,-136.16666666666666
2010-03-15,8.17,-0.06,-136.16666666666666
2010-03-16,8.24,-0.06,-137.33333333333334
2010-03-17,8.47,-0.06,-141.16666666666669
2010-03-18,8.59,-0.06,-143.16666666666666
2010-03-19,8.55,-0.06,-142.50000000000003
2010-03-22,8.57,-0.06,-142.83333333333334
2010-03-23,8.67,-0.06,-144.5
2010-03-24,8.61,-0.06,-143.5
2010-03-25,8.6,-0.06,-143.33333333333334
2010-03-26,8.53,-0.06,-142.16666666666666
2010-03-29,8.7,-0.06,-145.0
2010-03-30,8.83,-0.06,-147.16666666666669
2010-03-31,8.79,-0.06,-146.5
2010-04-01,8.85,-0.06,-147.5
2010-04-05,8.66,-0.06,-144.33333333333334
2010-04-06,8.61,-0.06,-143.5
2010-04-07,8.66,-0.06,-144.33333333333334
2010-04-08,8.51,-0.06,-141.83333333333334
2010-04-09,8.43,-0.06,-140.5
2010-04-12,8.51,-0.06,-141.83333333333334
2010-04-13,8.22,-0.06,-137.00000000000003
2010-04-14,8.53,-0.06,-142.16666666666666
2010-04-15,8.23,-0.06,-137.16666666666669
2010-04-16,8.1,-0.06,-135.0
2010-04-19,8.13,-0.06,-135.50000000000003
2010-04-20,8.33,-0.06,-138.83333333333334
2010-04-21,8.21,-0.06,-136.83333333333334
2010-04-22,8.18,-0.06,-136.33333333333334
2010-04-23,8.29,-0.06,-138.16666666666666
2010-04-26,8.13,-0.06,-135.50000000000003
2010-04-27,8.22,-0.06,-137.00000000000003
2010-04-28,8.41,-0.06,-140.16666666666669
2010-04-29,8.9,-0.06,-148.33333333333334
2010-04-30,8.89,-0.06,-148.16666666666669
2010-05-03,9.32,-0.06,-155.33333333333334
2010-05-04,8.96,-0.06,-149.33333333333334
2010-05-05,8.82,-0.06,-147.0
2010-05-06,8.6,-0.06,-143.33333333333334
2010-05-07,8.23,-0.06,-137.16666666666669
2010-05-10,8.45,-0.06,-140.83333333333331
2010-05-11,8.38,-0.06,-139.66666666666669
2010-05-12,8.59,-0.06,-143.16666666666666
2010-05-13,8.38,0.03,279.33333333333337
2010-05-14,8.07,0.03,269.0
2010-05-17,8.38,0.03,279.33333333333337
2010-05-18,8.29,0.03,276.3333333333333
2010-05-19,8.27,0.03,275.6666666666667
2010-05-20,8.11,0.03,270.3333333333333
2010-05-21,8.13,0.03,271.00000000000006
2010-05-24,8.02,0.03,267.3333333333333
2010-05-25,7.86,0.03,262.0
2010-05-26,8.1,0.03,270.0
2010-05-27,8.1,0.03,270.0
2010-05-28,8.16,0.03,272.0
2010-06-01,7.87,0.03,262.33333333333337
2010-06-02,8.0,0.03,266.6666666666667
2010-06-03,7.89,0.03,263.0
2010-06-04,7.6,0.03,253.33333333333334
2010-06-07,7.52,0.03,250.66666666666666
2010-06-08,7.5,0.03,250.0
2010-06-09,7.55,0.03,251.66666666666666
2010-06-10,7.73,0.03,257.6666666666667
2010-06-11,7.9,0.03,263.33333333333337
2010-06-14,8.1,0.03,270.0
2010-06-15,8.21,0.03,273.6666666666667
