date,DD,DD_EPS,PE Ratio
,,1.78,
1989-09-19,31.87,1.78,17.904494382022474
1989-09-20,32.06,1.78,18.01123595505618
1989-09-21,31.98,1.78,17.96629213483146
1989-09-22,31.94,1.78,17.9438202247191
1989-09-25,31.31,1.78,17.589887640449437
1989-09-26,31.27,1.78,17.56741573033708
1989-09-27,31.11,1.78,17.477528089887638
1989-09-28,31.23,1.78,17.54494382022472
1989-09-29,31.11,1.78,17.477528089887638
1989-10-02,31.55,1.78,17.724719101123597
1989-10-03,32.62,1.78,18.325842696629213
1989-10-04,33.33,1.78,18.724719101123593
1989-10-05,33.05,1.78,18.56741573033708
1989-10-06,32.18,1.78,18.078651685393258
1989-10-09,31.55,1.78,17.724719101123597
1989-10-10,32.02,1.78,17.98876404494382
1989-10-11,31.71,1.78,17.814606741573034
1989-10-12,31.43,1.78,17.657303370786515
1989-10-13,29.1,1.78,16.348314606741575
1989-10-16,30.13,1.78,16.926966292134832
1989-10-17,29.69,1.78,16.679775280898877
1989-10-18,29.93,1.78,16.814606741573034
1989-10-19,30.92,1.78,17.370786516853933
1989-10-20,31.23,1.78,17.54494382022472
1989-10-23,30.84,1.78,17.325842696629213
1989-10-24,30.64,1.78,17.213483146067414
1989-10-25,30.05,1.78,16.882022471910112
1989-10-26,29.61,1.78,16.634831460674157
1989-10-27,29.65,1.78,16.657303370786515
1989-10-30,30.01,1.78,16.859550561797754
1989-10-31,30.6,1.78,17.191011235955056
1989-11-01,30.4,1.78,17.078651685393258
1989-11-02,30.28,1.78,17.01123595505618
1989-11-03,30.17,1.78,16.94943820224719
1989-11-06,29.57,1.78,16.6123595505618
1989-11-07,29.53,1.78,16.58988764044944
1989-11-08,29.37,1.78,16.5
1989-11-09,28.94,1.78,16.258426966292134
1989-11-10,28.78,1.78,16.168539325842698
1989-11-13,29.57,1.78,16.6123595505618
1989-11-14,29.37,1.78,16.5
1989-11-15,29.41,1.78,16.52247191011236
1989-11-16,29.34,1.78,16.48314606741573
1989-11-17,29.45,1.78,16.54494382022472
1989-11-20,29.45,1.78,16.54494382022472
1989-11-21,29.95,1.78,16.825842696629213
1989-11-22,30.01,1.78,16.859550561797754
1989-11-24,30.19,1.78,16.960674157303373
