date,OMC,OMC_EPS,PE Ratio
,,0.03,
1989-09-19,2.98,0.03,99.33333333333334
1989-09-20,3.02,0.03,100.66666666666667
1989-09-21,3.03,0.03,101.0
1989-09-22,3.05,0.03,101.66666666666667
1989-09-25,3.05,0.03,101.66666666666667
1989-09-26,3.03,0.03,101.0
1989-09-27,3.0,0.03,100.0
1989-09-28,2.98,0.03,99.33333333333334
1989-09-29,3.02,0.03,100.66666666666667
1989-10-02,3.05,0.03,101.66666666666667
1989-10-03,3.06,0.03,102.0
1989-10-04,3.11,0.03,103.66666666666667
1989-10-05,3.13,0.03,104.33333333333333
1989-10-06,3.14,0.03,104.66666666666667
1989-10-09,3.19,0.03,106.33333333333333
1989-10-10,3.2,0.03,106.66666666666667
1989-10-11,3.19,0.03,106.33333333333333
1989-10-12,3.2,0.03,106.66666666666667
1989-10-13,3.17,0.03,105.66666666666667
1989-10-16,3.05,0.03,101.66666666666667
1989-10-17,3.05,0.03,101.66666666666667
1989-10-18,3.05,0.03,101.66666666666667
1989-10-19,3.08,0.03,102.66666666666667
1989-10-20,3.06,0.03,102.0
1989-10-23,3.06,0.03,102.0
1989-10-24,3.05,0.03,101.66666666666667
1989-10-25,3.02,0.03,100.66666666666667
1989-10-26,3.02,0.03,100.66666666666667
1989-10-27,3.03,0.03,101.0
1989-10-30,3.0,0.03,100.0
1989-10-31,3.0,0.03,100.0
1989-11-01,2.98,0.03,99.33333333333334
1989-11-02,2.97,0.03,99.00000000000001
1989-11-03,2.94,0.03,98.0
1989-11-06,2.94,0.03,98.0
1989-11-07,2.91,0.03,97.00000000000001
1989-11-08,2.92,0.03,97.33333333333333
1989-11-09,2.95,0.03,98.33333333333334
1989-11-10,3.03,0.03,101.0
1989-11-13,3.06,0.03,102.0
1989-11-14,3.06,0.03,102.0
1989-11-15,3.06,0.03,102.0
1989-11-16,3.06,0.03,102.0
1989-11-17,3.05,0.03,101.66666666666667
1989-11-20,3.06,0.03,102.0
1989-11-21,3.02,0.03,100.66666666666667
1989-11-22,3.02,0.03,100.66666666666667
1989-11-24,3.02,0.03,100.66666666666667
1989-11-27,3.02,0.03,100.66666666666667
1989-11-28,3.02,0.03,100.66666666666667
1989-11-29,3.0,0.03,100.0
1989-11-30,2.97,0.03,99.00000000000001
1989-12-01,3.02,0.03,100.66666666666667
