date,ADM,ADM_EPS,PE Ratio
,,0.15,
1980-03-17,1.85,0.15,12.333333333333334
1980-03-18,1.91,0.15,12.733333333333333
1980-03-19,1.93,0.15,12.866666666666667
1980-03-20,1.98,0.15,13.200000000000001
1980-03-21,1.93,0.15,12.866666666666667
1980-03-24,1.88,0.15,12.533333333333333
1980-03-25,1.81,0.15,12.066666666666668
1980-03-26,1.73,0.15,11.533333333333333
1980-03-27,1.69,0.15,11.266666666666667
1980-03-28,1.85,0.15,12.333333333333334
1980-03-31,1.93,0.15,12.866666666666667
1980-04-01,2.0,0.15,13.333333333333334
1980-04-02,1.96,0.15,13.066666666666666
1980-04-03,1.93,0.15,12.866666666666667
1980-04-07,1.87,0.15,12.466666666666669
1980-04-08,1.9,0.15,12.666666666666666
1980-04-09,1.88,0.15,12.533333333333333
1980-04-10,1.95,0.15,13.0
1980-04-11,1.97,0.15,13.133333333333333
1980-04-14,1.95,0.15,13.0
1980-04-15,1.94,0.15,12.933333333333334
1980-04-16,1.87,0.15,12.466666666666669
1980-04-17,1.82,0.15,12.133333333333335
1980-04-18,1.82,0.15,12.133333333333335
1980-04-21,1.76,0.15,11.733333333333334
1980-04-22,1.96,0.15,13.066666666666666
1980-04-23,1.86,0.15,12.4
1980-04-24,1.92,0.15,12.8
1980-04-25,1.96,0.15,13.066666666666666
1980-04-28,2.04,0.15,13.600000000000001
1980-04-29,2.04,0.15,13.600000000000001
1980-04-30,2.13,0.15,14.2
1980-05-01,2.08,0.15,13.866666666666667
1980-05-02,2.11,0.15,14.066666666666666
1980-05-05,2.19,0.15,14.6
1980-05-06,2.25,0.15,15.0
1980-05-07,2.3,0.15,15.333333333333332
1980-05-08,2.28,0.15,15.2
1980-05-09,2.26,0.15,15.066666666666666
1980-05-12,2.33,0.15,15.533333333333335
1980-05-13,2.34,0.15,15.6
1980-05-14,2.3,0.15,15.333333333333332
1980-05-15,2.25,0.15,15.0
1980-05-16,2.22,0.15,14.800000000000002
1980-05-19,2.25,0.15,15.0
1980-05-20,2.24,0.15,14.933333333333335
1980-05-21,2.24,0.15,14.933333333333335
1980-05-22,2.3,0.15,15.333333333333332
1980-05-23,2.33,0.15,15.533333333333335
1980-05-27,2.4,0.15,16.0
1980-05-28,2.45,0.15,16.333333333333336
1980-05-29,2.31,0.15,15.4
1980-05-30,2.29,0.15,15.266666666666667
1980-06-02,2.35,0.15,15.666666666666668
1980-06-03,2.35,0.15,15.666666666666668
1980-06-04,2.41,0.15,16.06666666666667
1980-06-05,2.3,0.15,15.333333333333332
1980-06-06,2.35,0.15,15.666666666666668
1980-06-09,2.35,0.15,15.666666666666668
1980-06-10,2.35,0.15,15.666666666666668
1980-06-11,2.35,0.15,15.666666666666668
1980-06-12,2.31,0.15,15.4
1980-06-13,2.35,0.15,15.666666666666668
1980-06-16,2.35,0.15,15.666666666666668
1980-06-17,2.31,0.15,15.4
1980-06-18,2.25,0.15,15.0
1980-06-19,2.28,0.15,15.2
1980-06-20,2.27,0.15,15.133333333333335
1980-06-23,2.3,0.15,15.333333333333332
1980-06-24,2.4,0.15,16.0
1980-06-25,2.41,0.15,16.06666666666667
1980-06-26,2.39,0.15,15.933333333333335
1980-06-27,2.35,0.15,15.666666666666668
1980-06-30,2.26,0.15,15.066666666666666
1980-07-01,2.3,0.15,15.333333333333332
1980-07-02,2.35,0.15,15.666666666666668
1980-07-03,2.29,0.15,15.266666666666667
1980-07-07,2.34,0.15,15.6
1980-07-08,2.28,0.15,15.2
