date,FIS,FIS_EPS,PE Ratio
,,0.22,
2001-06-20,23.9,0.22,108.63636363636363
2001-06-21,25.5,0.22,115.9090909090909
2001-06-22,25.6,0.22,116.36363636363637
2001-06-25,26.5,0.22,120.45454545454545
2001-06-26,26.45,0.22,120.22727272727272
2001-06-27,26.6,0.22,120.90909090909092
2001-06-28,27.5,0.22,125.0
2001-06-29,28.0,0.22,127.27272727272727
2001-07-02,28.0,0.22,127.27272727272727
2001-07-03,28.05,0.22,127.5
2001-07-05,27.95,0.22,127.04545454545455
2001-07-06,30.0,0.22,136.36363636363637
2001-07-09,29.91,0.22,135.95454545454547
2001-07-10,28.55,0.22,129.77272727272728
2001-07-11,28.5,0.22,129.54545454545453
2001-07-12,29.45,0.22,133.86363636363635
2001-07-13,29.0,0.22,131.8181818181818
2001-07-16,28.75,0.22,130.6818181818182
2001-07-17,29.59,0.22,134.5
2001-07-18,29.49,0.22,134.04545454545453
2001-07-19,28.9,0.22,131.36363636363635
2001-07-20,28.96,0.22,131.63636363636363
2001-07-23,29.01,0.22,131.86363636363637
2001-07-24,28.98,0.22,131.72727272727272
2001-07-25,29.55,0.22,134.3181818181818
2001-07-26,29.93,0.22,136.04545454545453
2001-07-27,30.53,0.22,138.77272727272728
2001-07-30,31.62,0.22,143.72727272727272
2001-07-31,33.02,0.22,150.0909090909091
2001-08-01,34.0,0.22,154.54545454545453
2001-08-02,33.71,0.22,153.22727272727272
2001-08-03,32.65,0.22,148.4090909090909
2001-08-06,32.14,0.22,146.0909090909091
2001-08-07,32.45,0.22,147.5
2001-08-08,32.49,0.22,147.6818181818182
2001-08-09,32.51,0.22,147.77272727272725
2001-08-10,32.15,0.22,146.13636363636363
2001-08-13,32.0,0.22,145.45454545454547
2001-08-14,32.79,0.31,105.77419354838709
2001-08-15,32.0,0.31,103.22580645161291
2001-08-16,32.0,0.31,103.22580645161291
2001-08-17,32.24,0.31,104.00000000000001
2001-08-20,32.02,0.31,103.29032258064517
2001-08-21,32.3,0.31,104.19354838709677
2001-08-22,32.5,0.31,104.83870967741936
2001-08-23,32.4,0.31,104.51612903225806
2001-08-24,32.35,0.31,104.35483870967742
2001-08-27,32.65,0.31,105.32258064516128
2001-08-28,32.38,0.31,104.45161290322582
2001-08-29,32.73,0.31,105.58064516129032
2001-08-30,33.01,0.31,106.48387096774194
2001-08-31,34.36,0.31,110.83870967741936
2001-09-04,34.9,0.31,112.58064516129032
2001-09-05,33.72,0.31,108.77419354838709
2001-09-06,33.0,0.31,106.45161290322581
2001-09-07,32.64,0.31,105.29032258064517
2001-09-10,32.75,0.31,105.64516129032258
2001-09-17,30.09,0.31,97.06451612903226
2001-09-18,30.75,0.31,99.19354838709677
2001-09-19,30.82,0.31,99.41935483870968
2001-09-20,29.87,0.31,96.35483870967742
2001-09-21,29.64,0.31,95.61290322580645
2001-09-24,29.43,0.31,94.93548387096774
2001-09-25,28.73,0.31,92.6774193548387
2001-09-26,25.6,0.31,82.58064516129033
2001-09-27,24.98,0.31,80.58064516129032
2001-09-28,25.96,0.31,83.74193548387098
2001-10-01,28.23,0.31,91.06451612903226
2001-10-02,28.0,0.31,90.3225806451613
2001-10-03,29.22,0.31,94.25806451612902
2001-10-04,31.0,0.31,100.0
2001-10-05,30.19,0.31,97.38709677419355
2001-10-08,28.51,0.31,91.96774193548387
2001-10-09,29.89,0.31,96.41935483870968
2001-10-10,29.74,0.31,95.93548387096774
2001-10-11,28.79,0.31,92.87096774193549
2001-10-12,27.81,0.31,89.70967741935483
2001-10-15,29.0,0.31,93.54838709677419
2001-10-16,28.7,0.31,92.58064516129032
2001-10-17,28.66,0.31,92.45161290322581
2001-10-18,29.46,0.31,95.03225806451613
2001-10-19,29.4,0.31,94.83870967741935
2001-10-22,29.51,0.31,95.19354838709678
2001-10-23,29.85,0.31,96.29032258064517
2001-10-24,30.02,0.31,96.83870967741936
2001-10-25,30.0,0.31,96.7741935483871
2001-10-26,29.95,0.31,96.61290322580645
2001-10-29,29.49,0.31,95.12903225806451
