date,TFC,TFC_EPS,PE Ratio
1981-03-06,1.89,,
1981-03-09,1.89,,
1981-03-10,1.89,,
1981-03-11,1.89,,
1981-03-12,1.89,,
1981-03-13,1.91,,
1981-03-16,1.91,,
1981-03-17,1.91,,
1981-03-18,1.91,,
1981-03-19,1.91,,
1981-03-20,1.91,,
1981-03-23,1.91,,
1981-03-24,1.93,,
1981-03-25,1.93,,
1981-03-26,1.96,,
1981-03-27,1.96,,
1981-03-30,1.96,,
1981-03-31,1.96,,
1981-04-01,1.96,,
1981-04-02,1.96,,
1981-04-03,2.0,,
1981-04-06,2.02,,
1981-04-07,2.04,,
1981-04-08,2.04,,
1981-04-09,2.04,,
1981-04-10,2.02,,
1981-04-13,2.02,,
1981-04-14,2.02,,
1981-04-15,2.02,,
1981-04-16,2.09,,
1981-04-20,2.09,,
1981-04-21,2.09,,
1981-04-22,2.09,,
1981-04-23,2.09,,
1981-04-24,2.11,,
1981-04-27,2.11,,
1981-04-28,2.13,,
1981-04-29,2.13,,
1981-04-30,2.18,,
1981-05-01,2.18,,
1981-05-04,2.18,,
1981-05-05,2.18,,
1981-05-06,2.18,,
1981-05-07,2.16,,
1981-05-08,2.16,,
1981-05-11,2.16,,
1981-05-12,2.16,,
1981-05-13,2.16,,
1981-05-14,2.16,,
1981-05-15,2.16,,
1981-05-18,2.13,,
1981-05-19,2.13,,
1981-05-20,2.13,,
1981-05-21,2.13,,
1981-05-22,2.13,,
1981-05-26,2.11,,
1981-05-27,2.11,,
1981-05-28,2.11,,
1981-05-29,2.11,,
1981-06-01,2.11,,
1981-06-02,2.11,,
1981-06-03,2.11,,
1981-06-04,2.11,,
1981-06-05,2.11,,
1981-06-08,2.11,,
1981-06-09,2.11,,
1981-06-10,2.11,,
1981-06-11,2.11,,
1981-06-12,2.13,,
1981-06-15,2.13,,
1981-06-16,2.13,,
1981-06-17,2.13,,
1981-06-18,2.11,,
1981-06-19,2.11,,
1981-06-22,2.11,,
1981-06-23,2.11,,
1981-06-24,2.09,,
1981-06-25,2.09,,
1981-06-26,2.09,,
1981-06-29,2.09,,
1981-06-30,2.09,,
1981-07-01,2.09,,
1981-07-02,2.09,,
1981-07-06,2.09,,
1981-07-07,2.04,,
1981-07-08,2.02,,
1981-07-09,2.02,,
1981-07-10,2.02,,
1981-07-13,2.02,,
1981-07-14,2.0,,
1981-07-15,2.0,,
1981-07-16,2.0,,
1981-07-17,1.98,,
1981-07-20,1.98,,
1981-07-21,1.98,,
1981-07-22,1.96,,
1981-07-23,1.96,,
1981-07-24,1.96,,
1981-07-27,1.96,,
1981-07-28,1.96,,
1981-07-29,1.96,,
1981-07-30,1.96,,
1981-07-31,1.98,,
1981-08-03,1.98,,
1981-08-04,1.98,,
1981-08-05,2.02,,
1981-08-06,2.02,,
1981-08-07,2.04,,
1981-08-10,2.04,,
1981-08-11,2.07,,
1981-08-12,2.09,,
1981-08-13,2.09,,
1981-08-14,2.09,,
1981-08-17,2.09,,
1981-08-18,2.09,,
1981-08-19,2.09,,
1981-08-20,2.11,,
1981-08-21,2.11,,
1981-08-24,2.11,,
1981-08-25,2.07,,
1981-08-26,2.09,,
1981-08-27,2.09,,
1981-08-28,2.09,,
1981-08-31,2.04,,
1981-09-01,2.07,,
1981-09-02,2.07,,
1981-09-03,2.07,,
1981-09-04,2.04,,
1981-09-08,2.0,,
1981-09-09,1.98,,
1981-09-10,2.0,,
1981-09-11,2.0,,
1981-09-14,2.02,,
1981-09-15,2.02,,
1981-09-16,2.0,,
1981-09-17,2.0,,
1981-09-18,1.98,,
1981-09-21,2.0,,
1981-09-22,1.98,,
1981-09-23,1.93,,
1981-09-24,1.93,,
1981-09-25,1.91,,
1981-09-28,1.91,,
1981-09-29,1.91,,
1981-09-30,1.91,,
1981-10-01,1.91,,
1981-10-02,1.96,,
1981-10-05,1.96,,
1981-10-06,1.96,,
1981-10-07,1.96,,
1981-10-08,1.96,,
1981-10-09,1.96,,
1981-10-12,1.96,,
1981-10-13,1.96,,
1981-10-14,1.96,,
1981-10-15,1.96,,
1981-10-16,1.96,,
1981-10-19,1.96,,
1981-10-20,1.96,,
1981-10-21,1.96,,
1981-10-22,1.96,,
1981-10-23,1.96,,
1981-10-26,1.96,,
1981-10-27,1.98,,
1981-10-28,1.98,,
1981-10-29,1.98,,
1981-10-30,1.98,,
1981-11-02,1.98,,
1981-11-03,1.96,,
1981-11-04,1.96,,
1981-11-05,1.96,,
1981-11-06,1.98,,
1981-11-09,1.91,,
1981-11-10,1.91,,
1981-11-11,1.91,,
1981-11-12,1.91,,
1981-11-13,1.91,,
1981-11-16,1.91,,
1981-11-17,1.87,,
1981-11-18,1.87,,
1981-11-19,1.87,,
1981-11-20,1.87,,
1981-11-23,1.87,,
1981-11-24,1.87,,
1981-11-25,1.87,,
1981-11-27,1.87,,
1981-11-30,1.89,,
1981-12-01,1.87,,
1981-12-02,1.87,,
1981-12-03,1.87,,
1981-12-04,1.87,,
1981-12-07,1.87,,
1981-12-08,1.87,,
1981-12-09,1.87,,
1981-12-10,1.87,,
1981-12-11,1.87,,
1981-12-14,1.87,,
1981-12-15,1.89,,
1981-12-16,1.89,,
1981-12-17,1.89,,
1981-12-18,1.89,,
1981-12-21,1.89,,
1981-12-22,1.89,,
1981-12-23,1.89,,
1981-12-24,1.89,,
1981-12-28,1.91,,
1981-12-29,1.91,,
1981-12-30,1.91,,
1981-12-31,1.93,,
1982-01-04,1.93,,
1982-01-05,1.93,,
1982-01-06,1.93,,
1982-01-07,1.93,,
1982-01-08,1.93,,
1982-01-11,1.91,,
1982-01-12,1.91,,
1982-01-13,1.91,,
1982-01-14,1.91,,
1982-01-15,1.91,,
1982-01-18,1.91,,
1982-01-19,1.91,,
1982-01-20,1.91,,
1982-01-21,1.91,,
1982-01-22,1.89,,
1982-01-25,1.89,,
1982-01-26,1.87,,
1982-01-27,1.89,,
1982-01-28,1.89,,
1982-01-29,1.89,,
1982-02-01,1.89,,
1982-02-02,1.89,,
1982-02-03,1.89,,
1982-02-04,1.89,,
1982-02-05,1.89,,
1982-02-08,1.89,,
1982-02-09,1.89,,
1982-02-10,1.89,,
1982-02-11,1.89,,
1982-02-12,1.89,,
1982-02-16,1.89,,
1982-02-17,1.87,,
1982-02-18,1.87,,
1982-02-19,1.89,,
1982-02-22,1.89,,
1982-02-23,1.89,,
1982-02-24,1.89,,
1982-02-25,1.91,,
1982-02-26,1.93,,
1982-03-01,1.98,,
1982-03-02,2.0,,
1982-03-03,2.0,,
1982-03-04,2.02,,
1982-03-05,2.02,,
1982-03-08,2.02,,
1982-03-09,2.02,,
1982-03-10,2.02,,
1982-03-11,2.02,,
1982-03-12,2.02,,
1982-03-15,2.04,,
1982-03-16,2.11,,
1982-03-17,2.11,,
1982-03-18,2.13,,
1982-03-19,2.13,,
1982-03-22,2.13,,
1982-03-23,2.13,,
1982-03-24,2.13,,
1982-03-25,2.13,,
1982-03-26,2.13,,
1982-03-29,2.13,,
1982-03-30,2.13,,
1982-03-31,2.11,,
1982-04-01,2.11,,
1982-04-02,2.09,,
1982-04-05,2.09,,
1982-04-06,2.09,,
1982-04-07,2.09,,
1982-04-08,2.11,,
1982-04-12,2.11,,
1982-04-13,2.11,,
1982-04-14,2.09,,
1982-04-15,2.09,,
1982-04-16,2.09,,
1982-04-19,2.09,,
1982-04-20,2.07,,
1982-04-21,2.07,,
1982-04-22,2.07,,
1982-04-23,2.07,,
1982-04-26,2.09,,
1982-04-27,2.09,,
1982-04-28,2.09,,
1982-04-29,2.09,,
1982-04-30,2.09,,
1982-05-03,2.13,,
1982-05-04,2.11,,
1982-05-05,2.11,,
1982-05-06,2.11,,
1982-05-07,2.11,,
1982-05-10,2.09,,
1982-05-11,2.09,,
1982-05-12,2.09,,
1982-05-13,2.07,,
1982-05-14,2.07,,
1982-05-17,2.07,,
1982-05-18,2.07,,
1982-05-19,2.07,,
1982-05-20,2.04,,
1982-05-21,2.04,,
1982-05-24,2.04,,
1982-05-25,2.04,,
1982-05-26,2.07,,
1982-05-27,2.07,,
1982-05-28,2.09,,
1982-06-01,2.09,,
1982-06-02,2.09,,
1982-06-03,2.09,,
1982-06-04,2.09,,
1982-06-07,2.09,,
1982-06-08,2.07,,
1982-06-09,2.07,,
1982-06-10,2.07,,
1982-06-11,2.09,,
1982-06-14,2.07,,
1982-06-15,2.07,,
1982-06-16,2.07,,
1982-06-17,2.07,,
1982-06-18,2.07,,
1982-06-21,2.07,,
1982-06-22,2.07,,
1982-06-23,2.07,,
1982-06-24,2.07,,
1982-06-25,2.07,,
1982-06-28,2.09,,
1982-06-29,2.09,,
1982-06-30,2.09,,
1982-07-01,2.09,,
1982-07-02,2.11,,
1982-07-06,2.13,,
1982-07-07,2.16,,
1982-07-08,2.18,,
1982-07-09,2.18,,
1982-07-12,2.18,,
1982-07-13,2.18,,
1982-07-14,2.18,,
1982-07-15,2.18,,
1982-07-16,2.16,,
1982-07-19,2.16,,
1982-07-20,2.16,,
1982-07-21,2.18,,
1982-07-22,2.18,,
1982-07-23,2.18,,
1982-07-26,2.18,,
1982-07-27,2.18,,
1982-07-28,2.18,,
1982-07-29,2.18,,
1982-07-30,2.18,,
1982-08-02,2.16,,
1982-08-03,2.16,,
1982-08-04,2.16,,
1982-08-05,2.13,,
1982-08-06,2.11,,
1982-08-09,2.09,,
1982-08-10,2.09,,
1982-08-11,2.09,,
1982-08-12,2.07,,
1982-08-13,2.07,,
1982-08-16,2.07,,
1982-08-17,2.07,,
1982-08-18,2.07,,
1982-08-19,2.07,,
1982-08-20,2.07,,
1982-08-23,2.07,,
1982-08-24,2.04,,
1982-08-25,2.04,,
1982-08-26,2.04,,
1982-08-27,2.04,,
1982-08-30,2.04,,
1982-08-31,2.07,,
1982-09-01,2.07,,
1982-09-02,2.07,,
1982-09-03,2.07,,
1982-09-07,2.09,,
1982-09-08,2.09,,
1982-09-09,2.09,,
1982-09-10,2.09,,
1982-09-13,2.07,,
1982-09-14,2.07,,
1982-09-15,2.07,,
1982-09-16,2.09,,
1982-09-17,2.09,,
1982-09-20,2.09,,
1982-09-21,2.09,,
1982-09-22,2.09,,
1982-09-23,2.09,,
1982-09-24,2.07,,
1982-09-27,2.07,,
1982-09-28,2.07,,
1982-09-29,2.07,,
