date,ANSS,ANSS_EPS,PE Ratio
,,-0.03,
1996-06-20,2.97,-0.03,-99.00000000000001
1996-06-21,3.0,-0.03,-100.0
1996-06-24,3.22,-0.03,-107.33333333333334
1996-06-25,3.16,-0.03,-105.33333333333334
1996-06-26,3.16,-0.03,-105.33333333333334
1996-06-27,3.25,-0.03,-108.33333333333334
1996-06-28,3.28,-0.03,-109.33333333333333
1996-07-01,3.22,-0.03,-107.33333333333334
1996-07-02,3.25,-0.03,-108.33333333333334
1996-07-03,3.41,-0.03,-113.66666666666667
1996-07-05,3.25,-0.03,-108.33333333333334
1996-07-08,3.28,-0.03,-109.33333333333333
1996-07-09,3.27,-0.03,-109.0
1996-07-10,3.28,-0.03,-109.33333333333333
1996-07-11,3.13,-0.03,-104.33333333333333
1996-07-12,3.09,-0.03,-103.0
1996-07-15,2.97,-0.03,-99.00000000000001
1996-07-16,2.72,-0.03,-90.66666666666667
1996-07-17,3.03,-0.03,-101.0
1996-07-18,3.19,-0.03,-106.33333333333333
1996-07-19,3.22,-0.03,-107.33333333333334
1996-07-22,3.19,-0.03,-106.33333333333333
1996-07-23,3.09,-0.03,-103.0
1996-07-24,3.13,-0.03,-104.33333333333333
1996-07-25,3.09,-0.03,-103.0
1996-07-26,3.09,-0.03,-103.0
1996-07-29,3.06,-0.03,-102.0
1996-07-30,2.94,-0.03,-98.0
1996-07-31,2.91,-0.03,-97.00000000000001
1996-08-01,2.91,-0.03,-97.00000000000001
1996-08-02,3.13,-0.03,-104.33333333333333
1996-08-05,3.13,-0.03,-104.33333333333333
1996-08-06,3.19,-0.03,-106.33333333333333
1996-08-07,3.22,-0.03,-107.33333333333334
1996-08-08,3.31,-0.03,-110.33333333333334
1996-08-09,3.34,-0.03,-111.33333333333333
1996-08-12,3.38,-0.03,-112.66666666666667
1996-08-13,3.34,0.0,inf
1996-08-14,3.28,0.0,inf
1996-08-15,3.28,0.0,inf
1996-08-16,3.23,0.0,inf
1996-08-19,3.09,0.0,inf
1996-08-20,3.03,0.0,inf
1996-08-21,2.88,0.0,inf
1996-08-22,2.84,0.0,inf
1996-08-23,2.78,0.0,inf
1996-08-26,2.72,0.0,inf
1996-08-27,2.75,0.0,inf
1996-08-28,2.81,0.0,inf
1996-08-29,2.81,0.0,inf
1996-08-30,2.84,0.0,inf
1996-09-03,2.75,0.0,inf
1996-09-04,2.81,0.0,inf
1996-09-05,2.78,0.0,inf
1996-09-06,2.69,0.0,inf
1996-09-09,2.75,0.0,inf
1996-09-10,2.69,0.0,inf
1996-09-11,2.72,0.0,inf
1996-09-12,2.66,0.0,inf
1996-09-13,2.75,0.0,inf
1996-09-16,2.78,0.0,inf
1996-09-17,3.06,0.0,inf
1996-09-18,3.0,0.0,inf
1996-09-19,3.0,0.0,inf
1996-09-20,3.0,0.0,inf
1996-09-23,2.91,0.0,inf
1996-09-24,2.81,0.0,inf
1996-09-25,2.81,0.0,inf
1996-09-26,2.84,0.0,inf
1996-09-27,2.94,0.0,inf
1996-09-30,2.91,0.0,inf
1996-10-01,2.88,0.0,inf
1996-10-02,2.94,0.0,inf
1996-10-03,3.16,0.0,inf
1996-10-04,3.19,0.0,inf
1996-10-07,3.28,0.0,inf
1996-10-08,3.31,0.0,inf
1996-10-09,3.28,0.0,inf
1996-10-10,3.25,0.0,inf
1996-10-11,3.44,0.0,inf
1996-10-14,3.53,0.0,inf
1996-10-15,3.75,0.0,inf
1996-10-16,3.77,0.0,inf
1996-10-17,3.84,0.0,inf
1996-10-18,3.78,0.0,inf
1996-10-21,3.72,0.0,inf
1996-10-22,3.44,0.0,inf
1996-10-23,3.19,0.0,inf
1996-10-24,3.13,0.0,inf
1996-10-25,3.25,0.0,inf
1996-10-28,3.28,0.0,inf
1996-10-29,3.25,0.0,inf
1996-10-30,3.0,0.0,inf
1996-10-31,3.06,0.0,inf
1996-11-01,3.0,0.0,inf
1996-11-04,3.03,0.0,inf
1996-11-05,3.09,0.0,inf
1996-11-06,3.13,0.0,inf
1996-11-07,3.13,0.0,inf
1996-11-08,3.09,0.0,inf
1996-11-11,3.13,0.0,inf
1996-11-12,3.03,0.0,inf
1996-11-13,3.05,0.0,inf
1996-11-14,3.0,0.02,150.0
1996-11-15,3.0,0.02,150.0
1996-11-18,3.0,0.02,150.0
1996-11-19,2.94,0.02,147.0
1996-11-20,2.97,0.02,148.5
1996-11-21,2.88,0.02,144.0
1996-11-22,2.88,0.02,144.0
1996-11-25,2.84,0.02,142.0
1996-11-26,2.84,0.02,142.0
1996-11-27,2.91,0.02,145.5
1996-11-29,2.91,0.02,145.5
1996-12-02,2.91,0.02,145.5
1996-12-03,2.91,0.02,145.5
1996-12-04,2.81,0.02,140.5
1996-12-05,2.81,0.02,140.5
1996-12-06,2.78,0.02,139.0
1996-12-09,2.75,0.02,137.5
1996-12-10,2.91,0.02,145.5
1996-12-11,3.19,0.02,159.5
1996-12-12,3.19,0.02,159.5
1996-12-13,3.19,0.02,159.5
1996-12-16,3.16,0.02,158.0
1996-12-17,3.66,0.02,183.0
1996-12-18,3.63,0.02,181.5
1996-12-19,3.59,0.02,179.5
1996-12-20,3.41,0.02,170.5
1996-12-23,3.25,0.02,162.5
1996-12-24,3.25,0.02,162.5
1996-12-26,3.25,0.02,162.5
1996-12-27,3.34,0.02,167.0
1996-12-30,3.31,0.02,165.5
1996-12-31,3.38,0.02,169.0
1997-01-02,3.25,0.02,162.5
1997-01-03,3.22,0.02,161.0
1997-01-06,3.22,0.02,161.0
1997-01-07,3.22,0.02,161.0
1997-01-08,2.0,0.02,100.0
1997-01-09,2.0,0.02,100.0
1997-01-10,2.03,0.02,101.49999999999999
1997-01-13,2.22,0.02,111.00000000000001
1997-01-14,2.28,0.02,113.99999999999999
1997-01-15,2.25,0.02,112.5
1997-01-16,2.25,0.02,112.5
1997-01-17,2.28,0.02,113.99999999999999
1997-01-20,2.41,0.02,120.5
1997-01-21,2.44,0.02,122.0
1997-01-22,2.5,0.02,125.0
1997-01-23,2.5,0.02,125.0
1997-01-24,2.31,0.02,115.5
1997-01-27,2.31,0.02,115.5
1997-01-28,2.38,0.02,118.99999999999999
