date,JNPR,JNPR_EPS,PE Ratio
,,-0.06,
1999-06-25,16.48,-0.06,-274.6666666666667
1999-06-28,16.52,-0.06,-275.3333333333333
1999-06-29,19.25,-0.06,-320.83333333333337
1999-06-30,24.83,-0.06,-413.8333333333333
1999-07-01,24.33,-0.06,-405.5
1999-07-02,23.79,-0.06,-396.5
1999-07-06,23.25,-0.06,-387.5
1999-07-07,22.51,-0.06,-375.1666666666667
1999-07-08,21.33,-0.06,-355.5
1999-07-09,22.13,-0.06,-368.8333333333333
1999-07-12,21.33,-0.06,-355.5
1999-07-13,20.83,-0.06,-347.16666666666663
1999-07-14,22.01,-0.06,-366.83333333333337
1999-07-15,24.92,-0.06,-415.33333333333337
1999-07-16,23.81,-0.06,-396.8333333333333
1999-07-19,22.5,-0.06,-375.0
1999-07-20,23.0,-0.06,-383.33333333333337
1999-07-21,23.96,-0.06,-399.33333333333337
1999-07-22,24.75,-0.06,-412.5
1999-07-23,24.31,-0.06,-405.1666666666667
1999-07-26,24.04,-0.06,-400.6666666666667
1999-07-27,24.35,-0.06,-405.83333333333337
1999-07-28,23.96,-0.06,-399.33333333333337
1999-07-29,24.17,-0.06,-402.83333333333337
1999-07-30,27.07,-0.03,-902.3333333333334
1999-08-02,26.88,-0.03,-896.0
1999-08-03,25.9,-0.03,-863.3333333333334
1999-08-04,25.98,-0.03,-866.0
1999-08-05,26.28,-0.03,-876.0000000000001
1999-08-06,26.67,-0.03,-889.0000000000001
1999-08-09,27.07,-0.03,-902.3333333333334
1999-08-10,28.49,-0.03,-949.6666666666666
1999-08-11,30.9,-0.03,-1030.0
1999-08-12,32.83,-0.03,-1094.3333333333333
1999-08-13,35.63,-0.03,-1187.6666666666667
1999-08-16,34.0,-0.03,-1133.3333333333335
1999-08-17,36.43,-0.03,-1214.3333333333333
1999-08-18,34.47,-0.03,-1149.0
1999-08-19,34.5,-0.03,-1150.0
1999-08-20,34.1,-0.03,-1136.6666666666667
1999-08-23,37.83,-0.03,-1261.0
1999-08-24,36.89,-0.03,-1229.6666666666667
1999-08-25,36.08,-0.03,-1202.6666666666667
1999-08-26,35.89,-0.03,-1196.3333333333335
1999-08-27,36.33,-0.03,-1211.0
1999-08-30,35.01,-0.03,-1167.0
1999-08-31,34.17,-0.03,-1139.0
1999-09-01,30.04,-0.03,-1001.3333333333334
1999-09-02,33.1,-0.03,-1103.3333333333335
1999-09-03,32.21,-0.03,-1073.6666666666667
1999-09-07,32.25,-0.03,-1075.0
1999-09-08,32.25,-0.03,-1075.0
1999-09-09,32.03,-0.03,-1067.6666666666667
1999-09-10,31.92,-0.03,-1064.0
1999-09-13,30.0,-0.03,-1000.0
1999-09-14,30.52,-0.03,-1017.3333333333334
1999-09-15,30.74,-0.03,-1024.6666666666667
1999-09-16,30.56,-0.03,-1018.6666666666666
1999-09-17,30.42,-0.03,-1014.0000000000001
1999-09-20,30.5,-0.03,-1016.6666666666667
1999-09-21,31.17,-0.03,-1039.0
1999-09-22,31.63,-0.03,-1054.3333333333333
1999-09-23,30.49,-0.03,-1016.3333333333334
1999-09-24,33.16,-0.03,-1105.3333333333333
1999-09-27,34.48,-0.03,-1149.3333333333333
1999-09-28,32.88,-0.03,-1096.0000000000002
1999-09-29,31.91,-0.03,-1063.6666666666667
1999-09-30,30.34,-0.03,-1011.3333333333334
1999-10-01,30.84,-0.03,-1028.0
1999-10-04,30.35,-0.03,-1011.6666666666667
1999-10-05,30.67,-0.03,-1022.3333333333334
1999-10-06,31.81,-0.03,-1060.3333333333333
1999-10-07,32.98,-0.03,-1099.3333333333333
1999-10-08,35.5,-0.03,-1183.3333333333335
1999-10-11,40.67,-0.03,-1355.6666666666667
1999-10-12,37.08,-0.03,-1236.0
1999-10-13,36.5,-0.03,-1216.6666666666667
1999-10-14,36.79,-0.03,-1226.3333333333333
1999-10-15,36.1,-0.03,-1203.3333333333335
1999-10-18,38.13,-0.03,-1271.0000000000002
1999-10-19,39.32,-0.03,-1310.6666666666667
1999-10-20,41.25,-0.03,-1375.0
1999-10-21,43.13,-0.03,-1437.6666666666667
1999-10-22,43.63,-0.03,-1454.3333333333335
1999-10-25,42.96,-0.03,-1432.0
1999-10-26,42.04,-0.03,-1401.3333333333333
1999-10-27,41.66,-0.03,-1388.6666666666665
1999-10-28,44.17,-0.03,-1472.3333333333335
1999-10-29,45.94,0.0,inf
1999-11-01,44.76,0.0,inf
1999-11-02,44.21,0.0,inf
1999-11-03,46.63,0.0,inf
1999-11-04,46.35,0.0,inf
1999-11-05,45.52,0.0,inf
1999-11-08,48.15,0.0,inf
1999-11-09,44.33,0.0,inf
1999-11-10,44.5,0.0,inf
1999-11-11,43.61,0.0,inf
1999-11-12,47.83,0.0,inf
1999-11-15,47.25,0.0,inf
1999-11-16,54.75,0.0,inf
1999-11-17,51.13,0.0,inf
1999-11-18,50.63,0.0,inf
1999-11-19,51.67,0.0,inf
1999-11-22,50.5,0.0,inf
1999-11-23,49.0,0.0,inf
1999-11-24,49.63,0.0,inf
1999-11-26,51.02,0.0,inf
1999-11-29,49.0,0.0,inf
1999-11-30,46.19,0.0,inf
1999-12-01,45.4,0.0,inf
1999-12-02,50.0,0.0,inf
1999-12-03,50.47,0.0,inf
1999-12-06,48.04,0.0,inf
1999-12-07,55.33,0.0,inf
1999-12-08,58.35,0.0,inf
1999-12-09,59.08,0.0,inf
1999-12-10,58.88,0.0,inf
1999-12-13,56.48,0.0,inf
1999-12-14,55.04,0.0,inf
1999-12-15,52.91,0.0,inf
1999-12-16,52.76,0.0,inf
1999-12-17,50.67,0.0,inf
1999-12-20,50.0,0.0,inf
1999-12-21,55.67,0.0,inf
1999-12-22,53.77,0.0,inf
1999-12-23,53.89,0.0,inf
1999-12-27,57.91,0.0,inf
1999-12-28,57.32,0.0,inf
1999-12-29,55.83,0.0,inf
1999-12-30,56.29,0.0,inf
1999-12-31,56.67,0.0,inf
2000-01-03,57.33,0.0,inf
2000-01-04,54.81,0.0,inf
2000-01-05,54.4,0.0,inf
2000-01-06,52.0,0.0,inf
2000-01-07,54.15,0.0,inf
2000-01-10,54.25,0.0,inf
2000-01-11,53.98,0.0,inf
2000-01-12,51.29,0.0,inf
2000-01-13,52.41,0.0,inf
2000-01-14,56.69,0.0,inf
2000-01-18,59.38,0.0,inf
2000-01-19,59.5,0.0,inf
2000-01-20,58.47,0.0,inf
2000-01-21,74.97,0.0,inf
2000-01-24,70.69,0.0,inf
2000-01-25,71.44,0.0,inf
2000-01-26,71.88,0.0,inf
2000-01-27,71.22,0.0,inf
2000-01-28,70.38,0.0,inf
2000-01-31,67.66,0.0,inf
2000-02-01,69.25,0.0,inf
2000-02-02,68.53,0.0,inf
2000-02-03,77.47,0.0,inf
2000-02-04,85.0,0.0,inf
2000-02-07,86.5,0.0,inf
2000-02-08,84.81,0.0,inf
2000-02-09,92.97,0.0,inf
2000-02-10,104.25,0.0,inf
2000-02-11,107.94,0.0,inf
2000-02-14,102.03,0.0,inf
2000-02-15,106.44,0.0,inf
2000-02-16,110.25,0.0,inf
2000-02-17,120.63,0.0,inf
2000-02-18,119.16,0.0,inf
2000-02-22,115.38,0.0,inf
2000-02-23,117.47,0.0,inf
2000-02-24,114.5,0.0,inf
2000-02-25,116.38,0.0,inf
2000-02-28,114.53,0.0,inf
2000-02-29,137.16,0.0,inf
2000-03-01,135.5,0.0,inf
