date,IPGP,IPGP_EPS,PE Ratio
,,0.06,
2006-12-13,25.6,0.06,426.6666666666667
2006-12-14,25.15,0.06,419.1666666666667
2006-12-15,24.6,0.06,410.00000000000006
2006-12-18,23.79,0.06,396.5
2006-12-19,23.1,0.06,385.00000000000006
2006-12-20,25.0,0.06,416.6666666666667
2006-12-21,24.6,0.06,410.00000000000006
2006-12-22,24.02,0.06,400.3333333333333
2006-12-26,24.21,0.06,403.50000000000006
2006-12-27,24.08,0.06,401.3333333333333
2006-12-28,24.0,0.06,400.0
2006-12-29,24.0,0.06,400.0
2007-01-03,24.09,0.06,401.5
2007-01-04,24.09,0.06,401.5
2007-01-05,24.82,0.06,413.6666666666667
2007-01-08,24.66,0.06,411.0
2007-01-09,25.7,0.06,428.3333333333333
2007-01-10,27.24,0.06,454.0
2007-01-11,26.8,0.06,446.6666666666667
2007-01-12,26.33,0.06,438.8333333333333
2007-01-16,25.12,0.06,418.6666666666667
2007-01-17,26.02,0.06,433.6666666666667
2007-01-18,25.13,0.06,418.8333333333333
2007-01-19,25.09,0.06,418.1666666666667
2007-01-22,25.79,0.06,429.8333333333333
2007-01-23,25.37,0.06,422.83333333333337
2007-01-24,25.6,0.06,426.6666666666667
2007-01-25,25.44,0.06,424.00000000000006
2007-01-26,26.42,0.06,440.33333333333337
2007-01-29,27.04,0.06,450.6666666666667
2007-01-30,27.47,0.06,457.8333333333333
2007-01-31,26.41,0.06,440.1666666666667
2007-02-01,26.04,0.06,434.0
2007-02-02,26.41,0.06,440.1666666666667
2007-02-05,26.09,0.06,434.83333333333337
2007-02-06,25.88,0.06,431.3333333333333
2007-02-07,26.3,0.06,438.33333333333337
2007-02-08,26.3,0.06,438.33333333333337
2007-02-09,26.19,0.06,436.50000000000006
2007-02-12,25.6,0.06,426.6666666666667
2007-02-13,25.06,0.06,417.6666666666667
2007-02-14,25.04,0.06,417.3333333333333
2007-02-15,24.18,0.06,403.0
2007-02-16,24.75,0.06,412.5
2007-02-20,25.37,0.06,422.83333333333337
2007-02-21,25.21,0.06,420.1666666666667
2007-02-22,25.0,0.06,416.6666666666667
2007-02-23,24.52,0.06,408.6666666666667
2007-02-26,24.0,0.06,400.0
2007-02-27,23.05,0.06,384.1666666666667
2007-02-28,23.19,0.06,386.50000000000006
2007-03-01,22.46,0.06,374.33333333333337
2007-03-02,23.82,0.06,397.0
2007-03-05,23.23,0.06,387.1666666666667
2007-03-06,21.45,0.06,357.5
2007-03-07,20.38,0.06,339.6666666666667
2007-03-08,20.3,0.06,338.33333333333337
2007-03-09,19.9,0.06,331.66666666666663
2007-03-12,19.87,0.06,331.1666666666667
2007-03-13,19.8,0.06,330.0
2007-03-14,19.09,0.06,318.1666666666667
2007-03-15,18.02,0.06,300.3333333333333
2007-03-16,18.23,0.06,303.83333333333337
2007-03-19,18.69,0.06,311.50000000000006
2007-03-20,19.0,0.06,316.6666666666667
2007-03-21,19.05,0.06,317.5
2007-03-22,19.41,0.06,323.5
2007-03-23,19.94,0.06,332.33333333333337
2007-03-26,20.02,0.06,333.6666666666667
2007-03-27,20.02,0.06,333.6666666666667
2007-03-28,19.82,0.06,330.33333333333337
2007-03-29,19.38,0.06,323.0
2007-03-30,19.2,0.06,320.0
2007-04-02,18.89,0.06,314.83333333333337
2007-04-03,19.0,0.06,316.6666666666667
2007-04-04,18.88,0.06,314.6666666666667
2007-04-05,18.64,0.06,310.6666666666667
2007-04-09,19.0,0.06,316.6666666666667
2007-04-10,19.22,0.06,320.3333333333333
2007-04-11,19.37,0.06,322.83333333333337
2007-04-12,19.4,0.06,323.3333333333333
2007-04-13,19.82,0.06,330.33333333333337
2007-04-16,20.53,0.06,342.1666666666667
2007-04-17,21.12,0.06,352.00000000000006
2007-04-18,20.73,0.06,345.5
2007-04-19,20.04,0.06,334.0
2007-04-20,19.75,0.06,329.1666666666667
2007-04-23,19.25,0.06,320.83333333333337
2007-04-24,19.63,0.06,327.1666666666667
2007-04-25,19.42,0.06,323.6666666666667
2007-04-26,18.17,0.06,302.83333333333337
